Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
2 hours,Contact the organizer to request a refund.,NA,0,20,EUR,Nieuwe Instituut,https://schema.org/EventScheduled,2024-03-13T17:00:00Z,2024-03-13T19:00:00Z,The Not-So-Easy Systems Change Meet-Up,The Not-So-Easy Systems Change Meet-Up brengt experts en nieuwkomers op het gebied van circulair interieurontwerp samen.,https://www.eventbrite.com/e/the-not-so-easy-systems-change-meet-up-tickets-845829046447,amsterdam,NA
2 uren,Neem contact op met de organisator om een restitutie aan te vragen.,"In het kader van Women’s History Month en het succes van de voorgaande editie, slaan made-to-measure vrouwenmodemerk Mesure Amsterdam en Hama Gallery weer de handen ineen voor een speciale avond in de galerie op woensdag 13 maart 2024. Moderator Dounia Maakor zal in gesprek gaan met Sara Blanken (eigenaar van Mesure Amsterdam), Nina Hama (eigenaar van Hama Gallery) en de bezoekers over het ondernemen als vrouwen in de kunst en modewereld. Wat betekent het om een vrouwelijke ondernemer te zijn in een (voornamelijk) door mannen gedomineerde industrie? En waarom is vrouw zijn een terugkerend thema in (bijna) alles wat we creëeren? Met dit evenement creëren we een ruimte om samen te komen, elkaar te ontmoeten en een open gesprek te voeren over dit onderwerp. Tijdens deze avond zullen de creaties van Mesure Amsterdam in combinatie met werken van vrouwelijke kunstenaars, vertegenwoordigd door Hama Gallery, te zien zijn in de galerie. Tickets zijn inclusief drankjes van female-owned wijnimporteur Made with Maude en hapjes van cateraar Bahar Rashid. De talk wordt in het Engels gehouden. EN In light of Women’s History Month and the success of last year's event, made-to-measure womenswear brand Mesure Amsterdam and Hama Gallery are once again joining forces for a special evening at the gallery on Wednesday, March 13th 2024. Moderator Dounia Maakor will engage the conversation with Sara Blanken (founder of Mesure Amsterdam), Nina Hama (founder of Hama Gallery) and the visitors on being a female entrepreneur in the art and fashion world. What does it mean to be a female entrepreneur in a (mainly) male-dominated industry? And why is ""the woman"" a recurring theme in (almost) everything we create? With this event we create a space to come together, meet each other and have an open conversation on this topic. During this evening creations of Mesure Amsterdam and works of female artists, represented by Hama Gallery, will be on display in the gallery. Tickets include drinks from female-owned wine importer Made with Maude and bites from caterer Bahar Rashid. The talk will be held in English.",16.92,16.92,EUR,Hama Gallery,https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T20:00:00Z,Mesure x Hama Gallery,Female Founders: Art & Fashion Talk,https://www.eventbrite.nl/e/tickets-mesure-x-hama-gallery-838513756217,amsterdam,NA
2 uren 45 minuten,Neem contact op met de organisator om een restitutie aan te vragen.,"Back by popular request, this workshop focuses on developing an intriguing and authentic narrative – consisting of two parts – your personal story and the story of your offering. Stories help us imagine and feel, which is precisely what is needed to genuinely care. With an extensive background in writing, storytelling, stand-up poetry and theatre, Margo van de Linde will share with us some key writing and performance tools that help lift a bio and the way it is told from the mundane to the captivating. The way you write and speak about what you do are greatly enhanced by tools like the use of metaphor, engaging narrative arch, rhythmical writing, the use of imagery, detail and an awareness of who it is the story is being told to, and how they might hear it. Come join us to be provoked and have fun in equal measure. If you've participated in the first edition, you are welcome again. There will be familiar and new exercises. ABOUT THE FACILITATOR Margo van de Linde has a long-running background in theatre - making work and performing in intimate and large-scale venues for over 20 years in a range of roles. Aside from this, she works in various contexts as a voice, public speaking and story-writing coach, with groups as well as one-on-one clients. She loves both equally and brings inspiration from one field to the other frequently!",45,45,EUR,Equals,https://schema.org/EventScheduled,2024-03-13T17:15:00Z,2024-03-13T20:00:00Z,What is My Story #2,A workshop on developing an intriguing and authentic narrative,https://www.eventbrite.nl/e/tickets-what-is-my-story-2-819925157217,amsterdam,NA
NA,Restituties tot 30 dagen voor evenement,"Interested in an English speaking training in Amsterdam? Please visit the following event page to book your tickets: RETAIL TRAINING AMSTERDAM ENGLISH SPEAKING In onze enviolo retail training leer je alle essentiële vaardigheden voor het installeren, onderhouden en promoten van de nieuwste enviolo producten. Wij richten ons op kwaliteit, niet op kwantiteit. Dit houdt in, twee toegewijde trainers voor een groep van 15 tot maximaal 30 personen. We vertellen, maar laten vooral onze producten zien en maken er een boeiende dag van waarin we jou alles leren over onze producten.  Taal: Deze enviolo training wordt gegeven in het Nederlands. Parkeergelegenheid: Er is geen parkeergelegenheid bij ons hoofdkantoor. Wij adviseren om P+R RAI Amsterdam te gebruiken. Dit is een van de P+R locaties waar je goedkoop kunt parkeren om daarna met het Openbaar Vervoer het centrum van Amsterdam te bezoeken. Met metro 52 vanaf Europaplein reis je snel en eenvoudig binnen enkele minuten naar metrostation Rokin, vanaf daar is het nog 10 minuten lopen naar ons hoofdkantoor op de Looiersgracht. Wijzigingen en annuleringen: annuleringen zijn mogelijk tot 4 weken voor aanvang van het evenement. Verandering van datum of locatie is alleen mogelijk voor meer dan 3 weken voor het evenement. Onze enviolo-leden ontvangen 3 gratis trainingstickets, klik hier voor meer informatie over het enviolo-lidmaatschapsprogramma.",47.19,119.79,EUR,enviolo,https://schema.org/EventScheduled,2024-03-12T08:00:00Z,2024-03-12T15:00:00Z,enviolo Retail Training Amsterdam (enviolo HQ Special Edition!),Technische Retail Training Serie in Amsterdam (Enviolo HQ Special Edition) 4  - 13 maart 2024,https://www.eventbrite.nl/e/tickets-enviolo-retail-training-amsterdam-enviolo-hq-special-edition-642918756307,amsterdam,Sold out
1 day 5 hours,Contact the organizer to request a refund.,"🌟 “Illuminate the Night at Neon Eclipse - The Ultimate Student Event!” 🌟 Get ready to glow at Club INN’s most electrifying night of the year, Neon Eclipse! Dive into a world where neon lights cast a vibrant glow, and every face is a masterpiece with our professional make-up artists. Accessorize your look with glowing gear and immerse yourself in an atmosphere where creativity and energy shine brightest. Here’s what you can expect: Date: March 13th, 2024 Start Time: 11 PM End Time: 4 AM Location: Lijnbaansgracht 238, 1017 PH Amsterdam Don’t miss out on the night where every student in Amsterdam will be! Let’s light up the night together at Neon Eclipse. 💫",15.33,21.73,EUR,Bliss Amsterdam,https://schema.org/EventScheduled,2024-03-13T22:00:00Z,2024-03-15T03:00:00Z,Neon Eclipse - Club INN Amsterdam,"Who's ready for another one? Neon lights Make-up artists Accessories You name it.
This is where every student is at,make sure you don't miss",https://www.eventbrite.nl/e/neon-eclipse-club-inn-amsterdam-tickets-857267549317,amsterdam,NA
2 uren 30 minuten,Neem contact op met de organisator om een restitutie aan te vragen.,"Ben je op zoek naar een leuke en creatieve workshop? Doe dan mee met deze workshop 'Wax Carving a Silver Ring'! Tijdens deze workshop leer je hoe je je eigen unieke zilveren ring kunt ontwerpen en maken. In deze praktische workshop wordt het volledige proces van het wax carving uitgelegd. Eerst leer je over het ontwerpen van je ring met behulp van wax. Vervolgens gaan we aan de slag met het snijden, vijlen en bewerken van de wax om de gewenste vorm te creëren. Na de workshop wordt jouw unieke  ontwerp in zilver (of goud) gegoten, en wordt de ring gepolijst en mooi verpakt naar jou verzonden. Deze workshop is geschikt voor zowel beginners als gevorderden. Alles wat je nodig hebt, inclusief het gereedschap en het materiaal, wordt verstrekt. Schrijf je nu in en beleef een creatief en gezellig moment met gelijkgestemde mensen. Vergeet niet om je creatieve energie en enthousiasme mee te nemen!",159,159,EUR,Daphne van der Meulen,https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T20:30:00Z,Wax Carving a Silver Ring / Maak je eigen unieke Ring / Sieraden Workshop,Wil je je eigen unieke zilveren ring ontwerpen en maken? Kom dan naar deze workshop waar ik je de kunst van het wax carving bij breng!,https://www.eventbrite.nl/e/tickets-wax-carving-a-silver-ring-maak-je-eigen-unieke-ring-sieraden-workshop-827580564747,amsterdam,NA
1 hour 30 minutes,Contact the organizer to request a refund.,"A space for everyone who is trying to adjust to the reality of mixed family environment. Are you or your spouse facing challenges coming with your (fairly) new family situation? Are you a step-parent, a parent with the child in a relationship? A blended family, also known as a stepfamily, is a family formed when two people come together and bring a child or children from previous relationships. When a blended family is formed, your children might be of the same age group or have major age differences, and you might also have a child together. As an adult, when you first re-partner, your relationship with your child’s other parent can go through a tricky time because they might be feeling angry, insecure, upset or worried about the change. You might need to adjust your co-parenting agreement to fit with your new family arrangements. Do you feel sometimes like creating a new family together is hard and requires a lot of work? Does it overwhelm you at times? Do you need to get something out of your chest and talk to other parents who are facing similar challenges? You are in the right space! Blended & Step Family Support Circle is a space for everyone who is trying to adjust to the reality of mixed family environment. This circle is there for people who are having a hard time and want better. It is meant for those who would like to exchange their experiences and meet others who are facing similar challenges. This is the space where we create a community and support each other through these times. One of the most common challenges you might be facing your step/blended family situation: It takes time to get used to living in a blended family. The early years in blended families are about getting used to the new family and building family relationships. It can also take time to establish your blended family’s boundaries and rules. This can be because the families coming together have different family rules and because everyone is still getting to know each other. About Agata: Working hard on creating a healthy step family together with her husband Bastian for over 6 years. A step mom of a 12 year old Amélie. Apart from that Agata is a Sound therapist, Medicine Woman, Ayurvedic massage therapist & Ayurvedic therapist. She is a founder of Agata Wholistic Touch. Learn more and connect with Agata on Instagram @agata.wholistic.touch or at www.agata-wholistic-touch.com or find her on streaming platforms (Spotify, iTunes, Apple Music, Tidel, Google play, Amazon, Juno).",22.17,22.17,EUR,Agata Wholistic Touch,https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T19:30:00Z,Blended & Step Family Support Circle,A space for everyone who is trying to adjust to the reality of mixed family environment,https://www.eventbrite.com/e/blended-step-family-support-circle-tickets-838463546037,amsterdam,NA
NA,Neem contact op met de organisator om een restitutie aan te vragen.,"RAP duikt in 2024 in de toekomst van de regio, de stad, de buurt en het gebouw. Op 13 maart staat de vraag centraal of we de strijd met het water kunnen winnen of dat we grote delen van ons land terug moeten geven aan het water. Met Justien Marseille, Dirk van Peijpe, Gijs van den Boomen en Jeroen Haan. Let op: we beginnen om 19.30 uur (inloop 19.00 uur).",0,6.2,EUR,RAP Leiden,https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T21:00:00Z,Stadscafé #30: Het Water Komt; een blik op de (toe)komst,Kunnen we de strijd met het water winnen of moeten we grote delen van ons land terug  geven aan het water?,https://www.eventbrite.nl/e/tickets-stadscafe-30-het-water-komt-een-blik-op-de-toekomst-803036974207,amsterdam,Sold out
NA,Refunds up to 30 days before event,"In many startups,  there is a lack of understanding between what the business development folks are doing and what the product developers are doing. The goal here is to create harmony between the two because if it doesn’t exist, disaster will strike. If the concept that the business developers are peddling to the end-user doesn’t line up with the realities of development capabilities or timing, you’re going to be hitting a rock bottom sooner than you anticipate. In this course, learn to find the balance between business development and product development. The key aspects of effective Product Ownership include: Having a skilled and dedicated product owner can significantly contribute to the success of a product or service by providing a clear product vision, efficient decision-making, stakeholder alignment, and a user-centric approach, among other benefits. Highly recommended pre-requisite:  Create better products with design thinking (FUNDAMENTALS) ~ visit katusop.com Limited Slots to 15 Attendees for Quality Q&A This course includes: ✔️Downloadable source material(s)  ✔️Full lifetime self-paced course access ✔️Certificate of Participation (powered by The Mindshop School Program) ✔️A chance for a free ticket to other workshops/masterclass under The Mindshop Innovation School WHY ME? I support ambitious careerists and entrepreneurs in building their arsenal towards creative problem solving, authentic product design and development.  #KeepHustling!  LinkedIn: https://www.linkedin.com/in/katanai/  BLOG: www.katusop.com  TWTR: @itskatusop",49.77,49.77,USD,"Kat Usop, MSHI",https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T21:00:00Z,MINDSHOP™| Become an Efficient Product Owner,"“Be stubborn on vision but flexible on details.”– Jeff Bezos, Amazon",https://www.eventbrite.com/e/mindshoptm-become-an-efficient-product-owner-tickets-619629657987,amsterdam,Sold out
NA,No Refunds,"In this online class, I will be discussing the differences, similarities, advantages, and limitations of different school of thoughts such as lean startup, design thinking, and agile deployment. We will look at these closely from business/startups' point of view with a special inclination towards how tech startups flop or succeed.  I will dive deeper into these methodologies with relevant case studies. Key Takeaways: ✔️Unlimited Access to the Recorded Sessions and monthly livestreams ✔️Exclusive Hands-out materials via newsletters ✔️Certificate of completion upon request* Who is this for?  WHY ME? In one word: Polymath - painfully so. No choice but to be an entrepreneur! I help ambitious careerists and entrepreneurs in building their arsenal towards creative problem solving, authentic product design and development. My masterclasses are highly interactive and personalized. I look forward to having you onboard! WHY ME: CEO OF THE MINDSHOP SCHOOL - VIRTUAL INSTITUTE FOR CAREER SWITCHERS, AND FOUNDERS VENTURING THEIR PATH INTRO INNOVATIVE INDUSTRIES (4000+ STUDENTS SINCE 2018) CEO OF GINA HEALTH – METAVERSE PLATFORM MATCHING NEURO-BEHAVIORAL SUPPORT SERVICES TO USERS WHEREVER, WHENEVER NEEDED DIGITAL NOMAD, CONSULTANT, AND LONG TERM CURIOSITA!  INDUSTRIAL EXPERIENCE ACADEMIC BACKGROUND:  #KeepHustling! LinkedIn: https://www.linkedin.com/in/katanai/ BLOG: www.katusop.com TWTR: @itskatusop FAQs:  No Refund Policy, my intellectual property is at stake. If min. seat requirement is not fullfilled, your ticket will allow you to have access to pre-recorded sessions AND future livestreams.",59.08,77.77,USD,"Kat Usop, MSHI",https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T21:00:00Z,STARTUPS | Understand Lean Startup vs. Design Thinking vs. Agile,"Get skilled up for a versatile, innovative startup ecosystem! No excuse but to succeed.",https://www.eventbrite.com/e/startups-understand-lean-startup-vs-design-thinking-vs-agile-tickets-414803427217,amsterdam,Sold out
