Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
11 horas,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"(ESP) Después del éxito de nuestro primer festival, nos hemos propuesto hacer algo más grande. Algo único en la ciudad. Juntar 10.000 amantes del HOUSE MUSIC en la Plaça del Univers en la Fira de Barcelona en formato open air. Vas a formar parte de ello? Esto es un gran paso para nuestra marca y queríamos tener una invitada a la altura de las expectativas. Para ello hemos contado con la reina y diva del House Music: Honey Dijon. Estar atentos porqué anunciaremos más artistas en las próximas semanas.(ENG) After the success of our first festival, we have decided to do something bigger. Something unique in the city. Gather 10,000 HOUSE MUSIC lovers at the Plaça del Univers at the Fira de Barcelona. Can you help us achieve it? This is a great step for our brand and we wanted to have a guest that lives up to expectations. For this we have counted on the queen and diva of House Music: Honey Dijon. Stay tuned as we will announce more artists in the coming weeks.Backstage experience:-Backstage area acces-Dedicated Bar & Toilets. without queues-Stage acces according to availability-Very limited capacityEARLY ACCESS tickets entail the obligation to enter before a predetermined time A delay in access will entail an extra cost of €10. *RESERVA TU LOCKER AHORA: Locker S c/ USB (1/2 chaquetas) - 5€  Locker M c/ USB (2/3 chaquetas) - 8€ Locker L c/ USB (3/4 chaquetas) - 10€ Locker LD c/ USB (4/5 chaquetas) - 12€ Locker XL c/ USB (6/7 chaquetas) - 16€ -Estos lockers se pueden abrir ilimitadamente con un código. -Este código se puede compartir con otras personas. -Las capacidades son orientativas. -En ninguno de los casos se garantiza las capacidades descritas por locker. Link: https://reservations.be.mlunit.eu/iframe/43/es_ES/events★★★ ABOUT JACKIES ★★★Talking about Jackies is talking about real House Music. We are a independent Barcelona based House Music Label, delivering parties around the world since 2017.We firmly believe in the transformative power of House music, which serves as a unifying force connecting communities. Our parties transcend borders, uniting music lovers worldwide and delivering an unforgettable sonic journey.With a remarkable six-year history, we have had the honor of hosting legendary parties in the foremost electronic music capitals around the globe. From our residency at the illustrious La Terrrazza and W Hotel in Barcelona, to the winter haven of Tunnel, and the iconic Musica NYC club nestled in the heart of Manhattan, our presence has left an indelible mark. We've graced Miami's renowned music week, sailed through Amsterdam's annual ADE gathering alongside the esteemed Louie Vega, and captivated audiences at Egg and W Hotel in London. Further, we've shared sacred spaces with Defected in Ibiza's Eden, embraced the mystique of Tulum's legendary Vagalume, added summer sparkles in Marbella, set the stage ablaze in Madrid, and revealed in the warm embrace of our beloved Medellin, among other cherished destinations.In the heat of summer, we find solace and joy in dancing under the radiant rays of the sun and the gentle glow of the moon, as open-air venues serve as our celestial playground. In the colder months, we seek refuge in the pulsating basslines within the confines of renowned clubs. It is with utmost pleasure that we extend a warm invitation to join us in a relentless dance to the rhythm of House Music, guided by exceptional artists of the highest caliber. Release yourself from the shackles of daily life, disconnect from the digital realm, and immerse yourself in the enchanting ritual of our transcendent House Music experience.",22.18,110.89,EUR,Jackies,https://schema.org/EventScheduled,2024-03-09T11:00:00Z,2024-03-09T22:00:00Z,"Jackies Open Air Festival with Honey Dijon, COEO + more artists",Jackies Open Air Festival with Honey Dijon,https://www.eventbrite.es/e/entradas-jackies-open-air-festival-with-honey-dijon-coeo-more-artists-765736467387,barcelona
1 día 9 horas,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"Has venido alguna vez a una Pop up donde todo se vende a Kilo? Ma´s de 3000 kg de ropa Vintage, más de 3 toneladas! Ropa de los 70, 80 y 90's! USA & UK Coje todo lo que quieras y pésalo! Entrada 2€ Precio del Kilo es de 35€/Kg",2.45,4.67,EUR,Two Market Barcelona,https://schema.org/EventScheduled,2024-03-09T09:00:00Z,2024-03-10T18:00:00Z,A Kilo: Vintage Kilo Market,Two Market y La Percha Events abren nueva propuesta para todos los amantes del Vintage. +3 toneladas de ropa Vintage a un precio increible!,https://www.eventbrite.es/e/entradas-a-kilo-vintage-kilo-market-833127846817,barcelona
4 horas,Entrada electrónica,Comunicate con el organizador para solicitar un reembolso.,"+ D J set: Lidiuska + Games El sábado 9 de marzo MUV vuelve a presentarse en La Nau para disfrutar de una noche llena de música, arte y fiesta! M UV (@muv.banda) Es un grupo musical que utiliza un lenguaje de señas y la improvisación para componer colectivamente. Está formado por 1 director y 7 músicos: guitarra, saxo, trompeta, teclado, bajo, batería y percusión. Siguiendo las indicaciones del director, realiza una composición en tiempo real, dando como resultado música irrepetible y con mucho dinamismo. A lo largo de un concierto, transita diferentes géneros bailables: funk, soul, hip hop, dancehall y cumbia entre otros. Early Birds: 12€ Entrada Anticipada: 14€ Final Release: 16€ En Puerta: 18€ Lxs esperamos!!",13.54,17.97,EUR,MUV Banda,https://schema.org/EventScheduled,2024-03-09T21:00:00Z,2024-03-10T01:00:00Z,MUV en La Nau - Primera fecha del 2024!,Grupo instrumental de improvisación con señas,https://www.eventbrite.es/e/muv-en-la-nau-primera-fecha-del-2024-tickets-826241710197,barcelona
3 horas 30 minutos,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"📅 SÁBADO 9 de Marzo 2024 TEMA 1: INICIANDO UN CAMINO "" VOCACIÓN MATRIMONIAL"" 🕘18:30h Adoración🕘19:30h Eucaristia 🕘20:30h Formación 🕘21:30h Picoteo ⛪️ Parroquia San Quirce y Santa Julita🏘️Carrer Mossèn Francisco Rosales, 2,Sant Quirze del Vallès,08192BarcelonaPara realizar correctamente la inscripción sigue los siguientes pasos: Realizar pagode 5€.",5,5,EUR,LAZOS DE CANA,https://schema.org/EventScheduled,2024-03-09T17:30:00Z,2024-03-09T21:00:00Z,LAZOS DE CANÁ,La Adoración  invita a la reflexión para discernir nuestra vocación.,https://www.eventbrite.es/e/entradas-lazos-de-cana-844595015427,barcelona
8 horas,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"Das-Klub, Ocean Drive & 8037 Fashion Popup present: POP UP FEST at Ocean Drive Barcelona. Fashion Market, DJ Sets, Live Music Stage, Open Air Terrace and lots of fun! 😃 Saturday March 9. 2 pm to 10 pm. Open Air Terrace & Indoor Music Stage. We recommend you arrive early. The entrance or access to the event is free 🙌 On Saturday March 9, we invite you to the ninth edition of the Pop Up Fest, Fashion and Music. Come and enjoy a day full of markets, music, gastronomy and lots of fun. Around 20 brands will exhibit their best pieces in a day that promises to be unforgettable. The market area will be located inside the hotel where the best local brands will present the new trends in clothing, accessories and jewelry. As for music, we have prepared a day and night full of surprises with the best live music and dj sets🎶🔥 Ocean Drive Barcelona is a 5-star design and avant-garde hotel that has a unique atmosphere located in the heart of Barcelona. Come and enjoy a day full of markets, music, gastronomy and lots of fun! Come and don't miss it! 💃 ▷ Fashion Market ▷ Music 🎤 ▷ Djs 🎧 ▷ Art Exhibition 🎨 ▷ Indoor Music Stage & Open Air Terrace ☀️ ▷ Signature Cocktails🍸 ▷ Food 🍔 🔺💎FASHION BRANDS: ▶ TBA 🔺MUSIC BY A$IA (SPECIAL VINYL SET) CHRIS RAZZ SERGIO AARÓN  MILO BEMBÉ JUAN SAECO 🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸 🔸🔸 #FreeEntry ▪️The entrance or access to the event is free. We use the tickets as a reference for capacity reasons. In case of full capacity, tickets will have priority. ▪️For capacity reasons we recommend arriving early or reserving your table, advance drink or free tickets in advance 📢 ▪️ Pre-sale tickets or advance tickets with a drink once purchased cannot be returned. ▪️ Celebrate your events with us :) Reservation and information for celebrations, groups, birthday parties and more. More information, table reservations, telephone and whatsapp: +34 655 670 589 🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸 🔸🔸 Ocean Drive. Carrer d'Aragó, 300 08009, Barcelona Metro L2 - L3 - L4 Passeig De Grácia ----------------------------------------------------------------------------------- Das-Klub, Ocean Drive & 8037 Fashion Popup presentan: POP UP FEST en Ocean Drive Barcelona. Fashion Market, sesiones de DJs, escenario de música en vivo y terraza al aire libre 😃 Sábado 9 de marzo de 14:00h a 22:00h. Escenario de música interior y terraza al aire libre. Te recomendamos llegar temprano. La entrada o acceso al evento es libre 🙌 El sábado 9 de marzo te invitamos a la novena edición del Pop Up Fest, Fashion and Music. Ven y disfruta de un día que reunirá markets, música, gastronomía y muchísima diversión. Alrededor de unas 20 marcas expondrán sus mejores piezas en una jornada que promete ser inolvidable. La zona del market estará ubicada en el interior del hotel y contará con una selección de diseñadores con las mejores marcas locales que presentarán las nuevas tendencias en vestuario, accesorios, complementos y joyería. En cuanto a la música, os tenemos preparado un día con la mejor música en formato ""Live"" y dj set🎶🔥 Ocean Drive Barcelona es un hotel 5 estrellas de diseño y vanguardista que posee un ambiente único ubicado en pleno corazón de Barcelona. Ven y disfruta de un día que reunirá markets, música, gastronomía y muchísima diversión. ¡Te esperamos! 💃 ▷ Fashion Market ▷ Live Music 🎤 ▷ Djs 🎧 ▷ Art Exhibition 🎨 ▷ Indoor Music Stage & Open Air Terrace ☀️ ▷ Signature Cocktails🍸 ▷ Food 🍔 🔺💎FASHION BRANDS TBA 🔺MUSIC BY A$IA (SPECIAL VINYL SET) CHRIS RAZZ SERGIO AARÓN MILO BEMBÉ JUAN SAECO 🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸 🔸🔸 #EntradaGratuita ▪️Por motivos de aforo te recomendamos llegar temprano o reservar tu mesa, copa anticipada o entrada gratis con antelación 📢 ▪️La entrada o acceso al evento es libre. Los Tickets los usamos de referencia por motivos de aforo. En caso de aforo completo los tickets tendrán prioridad. ▪️Los tickets de preventa anticipada con copa una vez comprados no se podrán devolver. Gracias por la compresión. - Celebra tus eventos con nosotros :) Reserva e información para celebraciones, grupos, fiestas de cumpleaños y más. Más información, reservas de mesas, teléfono y whatsapp: +34 655 670 589 👉Entrada gratuita. Os recomendamos llegar temprano 🙂👈 🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸 🔸🔸 ▷ OD Barcelona https://www.od-hotels.com/hotel-ocean-drive-barcelona https://www.instagram.com/oceandrivebarcelona/ https://www.facebook.com/hotelodbarcelona ▷ Das-Klub https://www.instagram.com/dasklub/ https://www.facebook.com/dasklubofficial ▷ Clubber Magazine http://www.clubber-mag.com https://www.instagram.com/clubbermagazine/ https://www.facebook.com/Clubber.Mag 🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸🔸 🔸🔸 Ocean Drive. Carrer d'Aragó, 300 08009, Barcelona Metro L2 - L3 - L4 Passeig De Grácia",0,11.32,EUR,DAS-KLUB,https://schema.org/EventScheduled,2024-03-09T13:00:00Z,2024-03-09T21:00:00Z,FREE TICKETS-POP UP FEST Fashion and Music-Open Air Terrace and Music Stage,"POP UP FEST. Come and enjoy a day full of markets, music, gastronomy and lots of fun. Music Stage and Open Air Terrace.",https://www.eventbrite.es/e/entradas-free-tickets-pop-up-fest-fashion-and-music-open-air-terrace-and-music-stage-856734715597,barcelona
12 hours,Mobile eTicket,Contact the organizer to request a refund.,"— VOLUNTEERS & HELPING HANDS WANTED! Send me a message 😌  CASTELLANO / CATALÀ / ENGLISH Imaginemos una sociedad donde la carrera por el crecimiento perpetuo, el PIB como única métrica para la salud económica de un país, la fuerza laboral explotada, el extractivismo intensivo de los recursos naturales, el consumo excesivo, el individualismo, la acumulación de capital... ya no existan. Ahora digamos que tienes 12 horas y un espacio para demostrar que este tipo de sociedad poscapitalista es posible y, de hecho, las piezas del rompecabezas ya existen y todo lo que necesitan es estar conectadas. ¿A qué se parecería? ¿Qué propondrías? ¿Qué iniciativas, prácticas y comunidades reunirías bajo el mismo techo? ¿Qué modelos de negocio promoverías? La crisis socioeconómica, política y climática en la que nos encontramos nos obliga a actuar ahora. No hay tiempo para esperar por soluciones tecnológicas milagrosas o escenarios de ciencia ficción. A nuestro alrededor ya existen iniciativas, colectivos, organizaciones de base, creadores, artistas y creativos que se arremangan, hacen preguntas incómodas y pasan tiempo alejados del consumismo. Activistas sin etiqueta. Contrafuerzas al capitalismo. Creemos que la creatividad, el pensamiento crítico y el poder de las artes, la cultura y la comunidad son nuestras mejores armas para un cambio cultural muy necesario. El día después del Día Internacional de la Mujer, nos reuniremos para celebrar el poder de pasar tiempo lejos del consumismo, practicando música, cocinando deliciosas verduras, formando comunidades y tomando el control. A través de la artesanía, el bricolaje, las artes, el teatro, la música, la comida y las asambleas ciudadanas, encarnamos los principios poscapitalistas, no sólo con convivencia y solidaridad, sino también haciendo preguntas incómodas y encontrando respuestas juntos. SÍGUENOS EN IG: @BRAKCSHAW @JOWGLI.POPUP A CERCA DEL JOWGLI: LEER MÁS SOLICITAR PRESENTACIÓN Y KIT DE PRENSA CONVOCATORIA ABIERTA Envíe su propuesta sobre el tema ""pasar del asiento del pasajero al asiento del conductor"" antes del jueves 29 de febrero. — CATALÀ Imagineu una societat on la carrera pel creixement perpetu, el PIB com a únic indicador de la salut econòmica d'un país, la mà d'obra explotada, l'extractivisme intensiu dels recursos naturals, el consum excessiu, l'individualisme, l'acumulació de capital... ja no existeixen. Ara diguem que tens 12 hores i un espai per demostrar que aquest tipus de societat postcapitalista és possible i, de fet, les peces del trencaclosques ja existeixen i només cal que estiguin connectades. Com seria això? Què proposaries? Quines iniciatives, pràctiques i comunitats portaries sota el mateix sostre? Quins models de negoci promouries? La crisi socioeconòmica, política i climàtica en la qual estem, ens obliga a actuar ara. No hi ha temps per esperar solucions tecnològiques miraculoses o escenaris de ciència-ficció. Arreu al nostre voltant ja hi ha iniciatives, col·lectius, organitzacions de base, makers, artistes i creatius, que s'arromangen, fan preguntes incòmodes i passen temps allunyats del consumisme. Activistes sense etiqueta. Contraforces al capitalisme. Creiem que la creativitat, el pensament crític i el poder de les arts, la cultura i la comunitat són les nostres millors armes per a un canvi cultural tan necessari. L'endemà del dia internacional de la dona, ens reunim per celebrar el poder de passar el temps lluny del consumisme, practicar música, cuinar delicioses verdures, formar comunitats i canviar al seient del conductor. A través de l'artesania, el bricolatge, l'art, el teatre, la música, el menjar i l'assemblea ciutadana, estem encarnant els principis postcapitalistes, no només amb convivència i solidaritat, sinó també fent preguntes incòmodes i trobant respostes junts. SEGUEIX-NOS A IG: @BRAKCSHAW @JOWGLI.POPUP SOBRE EL JOWGLI: LLEGIR MÉS SOL·LICITAR PITCHDECK I DOSSIER DE PREMSA CONVOCATÒRIA OBERTA Envieu la vostra proposta sobre el tema ""canvi del passatger al seient del conductor"" abans del dijous 29 de febrer. — ENGLISH Imagine a society where the race for perpetual growth, GDP as the only metrics for a country's economic health, exploited workforce, intensive extractivism of natural resources, overconsumption, individualism, capital accumulation... no longer exist. Now let's say you have 12 hours and a space to demonstrate that this kind of post-capitalist society, is possible, and, in fact, the puzzle pieces already exist and all they need is to be connected. What would this look like? What would you propose? Which initiatives, practices and communities would you bring under the same roof? Which business models would you promote? The socio-economic, political and climate crisis we're in, forces us to act now. There is no time to wait for miraculous techno-solutions or sci-fi scenarios. Everywhere around us, there are already initiatives, collectives, grassroots organizations, makers, artists and creatives, who roll up their sleeves, ask uncomfortable questions and spend time away from consumerism. Activists without the label. Counter-forces to capitalism. We believe that creativity, critical thinking, and the power of arts, culture and community are our best weapons for a much-needed cultural shift. The day after international women's day, we're coming together to celebrate the power of spending time away from consumerism, practicing music, cooking delicious veggies, forming communities, and switching to the driver's seat. Through crafts, DIY, arts, theater, music, food and citizen assembly, we're embodying the post-capitalist principles, with not only conviviality and solidarity, but also by asking uncomfortable questions, and finding answers together. FOLLOW US ON IG: @BRAKCSHAW @JOWGLI.POPUP ABOUT THE JOWGLI: READ MORE REQUEST PITCHDECK & PRESS KIT OPEN CALL Submit your proposal on the theme of ""switch from the passenger to the driver's seat"" by Thursday Feb 29th.",0,0,EUR,Brakcshaw Studio,https://schema.org/EventScheduled,2024-03-09T09:00:00Z,2024-03-09T21:00:00Z,JOWGLI — POPUP PARTY DE 12 HORAS HACIA POST-CAPITALISMO,"Encarnar y redefinir una sociedad impulsada por la creatividad radical, la abundancia colectiva y la justicia social.",https://www.eventbrite.es/e/jowgli-popup-party-de-12-horas-hacia-post-capitalismo-tickets-852131818207,barcelona
9 horas,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"El espíritu emprendedor y creativo de las mujeres merece ser reconocido y celebrado. Es por eso que nos complace anunciar el MUSE DAY, un evento especial dedicado a honrar y destacar la creatividad femenina. El próximo 9 de marzo, desde las 11 de la mañana hasta las 8 de la noche, te invitamos a unirte a nosotros en el Valid World Hall (Buenaventura Muñoz 6 Bajo izquierda) ubicado en el impresionante Arc De Triomf de Barcelona. En colaboración con Flea Market Barcelona y Clhub.art, MUSE DAY promete ser una jornada llena de inspiración, música, charlas, talleres y, por supuesto, una amplia selección de marcas y proyectos liderados por mujeres. Desde prendas de ropa de diseño independiente hasta arte, diseño, artesanía, productos eco-sostenibles y mucho más, este evento ofrecerá una plataforma para que las mujeres emprendedoras y creativas muestren sus talentos y proyectos innovadores. La entrada general al evento es solo de 2 € en puerta y 1 € como anticipada por aqui. Marca el 9 de marzo en tu calendario y prepárate para sumergirte en un día dedicado a celebrar la creatividad femenina en todas sus formas. ¡Te esperamos en MUSE DAY para compartir, aprender y celebrar juntas!",2.45,2.45,EUR,Flea Market Barcelona,https://schema.org/EventScheduled,2024-03-09T10:00:00Z,2024-03-09T19:00:00Z,MUSE DAY,"Moda, diseño y más arte de mujeres emprendedoras",https://www.eventbrite.es/e/entradas-muse-day-841387672177,barcelona
1 hour 45 minutes,Mobile eTicket,Contact the organizer to request a refund.,"Are you a lover? A friend with benefits? A husband? Eternally single? Then this comedy show is for you! A line up of Barcelona's finest English language comedians will entertain you with tales of misfortune in love, sex, and dating. Bring your date, come alone seeking love, bring your wife, bring your family (if that's what you're into), and have a great night! Who knows, you might just meet that special someone… Throughout the show we will feature some of the best of Barcelona's comedy scene and touring comedian Teddy Hall. Saturday, March 9 Show starts at 10pm (come early to grab a drink and find your seat) Tickets here A production from On The Run Comedy Club Lateness/Refund Policy: If you don’t come on time, we may resell your ticket and not refund you, and you may not be allowed into the show. (see below for full late and refund policies) Come early to grab a drink. We have a full bar available (open 1 hour before the first show of the day) with beer, wine, mixed drinks, free snacks, and table games! About Teddy Hall Since learning his trade as a comedian in London, Teddy has been performing across Europe for years, exciting audiences with an unpredictable and quick-witted brand of comedy all about language, mental health, sexuality, and dentists. In his base of Basel, Switzerland, he has founded and runs On The Run Comedy Club and co-produces and hosts Comic Strip, a variety show renowned for its beautiful chaos. Headlining shows across Europe, Teddy's comedy veers from the profound to the inane to the stupid, keeping audiences on their toes, despite this being a very uncomfortable way to sit. Teddy was nominated for a Swiss Comedy Award (and lost) and has also featured on Comedy Central DE Roast Battle. Teddy has opened for Victor Patrascan, Dragos, Luana Matei, TJ, Daniel Ryan Spaulding, Anna Beros, and many more. At The Comedy Clubhouse - Barcelona's dedicated English Comedy Club. At The Comedy Clubhouse we're committed to providing a space for people to relax, chat, meet new people, make mistakes, develop their craft, say stupid things, laugh, cry, detox from the internet AND learn that stepping outside your comfort zone doesn't have to be that uncomfortable. Basically we're bringing community back baby! We run 20+ different shows a week of all different types and have had massive stars like Louis CK & Michelle Wolf perform at our club. We produce sketches and funny videos every day on our Instagram of us goofing around. We have Improv jams, Improv Workshops, Open Mics, Friendly Bartenders, Yoga Lessons, Writing Sessions & More! We have an average rating of 4.9 Stars on Google across OVER 500 REVIEWS! People that come here love the friendly tone that we set, and they enjoy having a place they can relax and be themselves. Here are some nice things people have said recently 'Pure laughs and silliness every time! Love the weekly Fat Goose shows, nice mix of newcomers and comedy pros :)' - Joe 'Funky chunky is a great plan to enjoy comedy on a Monday night. Mixed new and professional comedians trying out their jokes and brilliantly hosted by Luke and Hannah' - Albert 'A kind of hotspot for English speaking Comedy in Barcelona. A pleasant friendly bar in the main floor and a middle sized show venue in the basement. What I have seen had a nice atmosphere and was full of laughter as well. Especially the ""Midweek Crisis"" on Wednesday was a hilarious show where also little or bigger problems of audience members became funnily solved away.' Stephen Some people don't like us, that's ok, we're not for everyone. Around 1% of the people that come here, find something they don't like. Sometimes people complain about the lack of drink variety, or about the chaotic feel of the place. Other people find that the open mic comedy event they attended didn't meet the standards they are used to on Netflix. If you come to The Comedy Clubhouse, please understand that it is a work in progress. We are constantly changing & improving and trying to develop new talent. - It's the Sagrada Familia of comedy. Just give us another 140 years and it'll be perfect :) Join our WhatsApp regulars chat for a weekly update on all the different things we have going on. Or Follow us on Instagram (@TheComedyClubhouseBcn) or subscribe on YouTube... Or just come and hang out. We're here every day :). LATE POLICY: Due to frequent sell outs and demand for door tickets, we are implementing a new ticket policy. All shows will now start on time. Please arrive AT LEAST 15 minutes before show time (listed event time) to check in, get a drink, and find a seat. If the show is sold out and you haven’t been checked in by show time, we will assume you are a no show and will sell your seat to the waiting list with no refund. If you will be late, please notify us via email (info@thecomedyclubhouse.es), Instagram (@thecomedyclubhousebcn), or WhatsApp (+34 665 46 91 55) and we will hold your tickets up to 10 minutes after showtime. We will close the doors 10 minutes after showtime. If you arrive after that, we may deny entry without a refund. REFUND POLICY: If you want a refund for any reason, you must request it BEFORE the show starts. Requests made after the show will not be refunded.",9.66,11.32,EUR,The Comedy Clubhouse BCN,https://schema.org/EventScheduled,2024-03-09T21:00:00Z,2024-03-09T22:45:00Z,Too Naughty • NSFW Stand-Up Comedy in English,"A line up of Barcelona's finest English language comedians will entertain you with tales of misfortune in love, sex, and dating.",https://www.eventbrite.es/e/too-naughty-nsfw-stand-up-comedy-in-english-tickets-826953228367,barcelona
1 hora,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"COLLECTIVE TRÍO Jorge Abadias, guitarra  Pol Padrós, trompeta Oscar Doménech, batería	 Una exploración de sonidos del jazz desde las visiones más personales de cada uno de los componentes. Pura libertad creativa e improvisación, en una noche de jazz de exploración.",15,15,EUR,Byron - Librería y espacio cultural,https://schema.org/EventScheduled,2024-03-09T19:00:00Z,2024-03-09T20:00:00Z,Collective Trío,«Pura libertad creativa e improvisación.»,https://www.eventbrite.es/e/entradas-collective-trio-784431113577,barcelona
5 horas 30 minutos,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"Jornada tècnica sobre experiències en la creació i gestió de jardins i espais verds al SXXI. Amb la participació de paisatgistes i jardiners d'àmplia trajectòria i renom: Cristóbal Elgueta Maranovic Enginyer Forestal i paisatgista Xilè, Marti Franch i Batllori Enginyer Agrícola i Paisatgista i Carles Garcia i Paterna mestre jardiner i Cap de jardins i espais verds de Malgrat de Mar. CRISTÓBAL ELGUETA MARANOVIC Enginyer forestal per la Univesitat de Xile i paisatgista. A través de la permanent observació, estudi i experimentació de la composició i funcionament de comunitats vegetals de zones mediterrànies i la fauna associada, ha desenvolupat una metodologia de disseny de jardins que va batejar com a Paisatgisme Ecosistèmic. En aquesta, el disseny dels espais i la selecció de les comunitats vegetals permeten transformar el jardí en un sistema biològic, de baix manteniment i baix requeriment d'aigua on és possible realitzar conservació d'espècies en perill o vulnerables a l'extinció gràcies a generar jardins i parcs d'aspecte silvestres de gran diversitat biològica i atractiu amb floracions continuades al llarg de l'any. La seva vasta experiència l'ha portat a construir una gran quantitat de jardins al llarg de Xile, l'Argentina, el Perú i el Brasil. MARTÍ FRANCH I BATLLORI Director Estudi Martí Franch · Arquitectura del Paisatge SL. Arquitecte del Paisatge per la Universitat de Greenwich (UK) el 1998 i Doctor Honoris Causa el 2016. Enginyer tècnic agrícola per l'Escola Superior d'Agricultura de Barcelona 1994. Franch forma EMF arquitectura del paisatge el 1999 després d'un període de formació i exercicia professional a Barcelona, Amsterdam, Londres i Berlín, on es té l'oportunitat de contrastar diferents aproximacions al paisatgisme, la cultura de l'espai públic i l'ordenació de la ciutat i el territori. Actualment EMF supera els 450 projectes a set països en projectes de paisatge i espai públic d'escales i temàtiques molt diverses. D’ençà 2014 treballa amb la noció de la gestió diferenciada (evolutiva) del paisatge en el laboratori territorial del projecte ‘La vora de Girona’.  Franch ha compaginat la seva trajectòria com a Director d'EMF amb la docència, les conferències i la redacció d'articles als 5 continents. Les obres del seu despatx han rebut múltiples reconeixements internacionals, en àmbits tan diversos com el disseny urbà i paisatgístic, el valor social local, la millora de la biodiversitat o el turisme sostenible. En aquests reconeixements, es valora d'EMF la integració entre la natura i els serveis eco-sistèmics amb la qualitat estètica i funcional del disseny. CARLES GARCIA I PATERNA Mestre jardiner per l'Escola Rubio i Tudurí. Responsable del Servei d'Espais Verds de l'Ajuntament de Malgrat de Mar. Durant els primers anys de la seva carrera va treballar al Jardí Botànic Mar i Murta de Blanes abans de ser el responsable del Servei d'Espais Verds de l'Ajuntament de Malgrat de Mar. Pioner des de fa trenta anys en l'aplicació de criteris de sostenibilitat a la creació i la gestió dels jardins i espais verds de Malgrat de Mar, un dels pocs municipis zero fitosanitaris de Catalunya. Un referent en el sector i sempre un pas endavant. Gestió integrada biologica de plagues, foment de la biodiversitat, enjardinaments de baixos requeriments hídrics i sense reg, escocells florits, descompactació i el.liminació de paviments impermeables per a la creació de jardins de pluja i pous d'infiltració...",50,50,EUR,LES GARBERES.,https://schema.org/EventScheduled,2024-03-09T08:00:00Z,2024-03-09T13:30:00Z,Jornada tècnica de la 2a Fira de plantes del S.XXI,"Cristòbal Elgueta Maranovic/Martí Franch i Batllori/ Carles Garcia i Paterna_9/III-9/14h._SALA BLAVA de l'ESPAI TOLRÀ, Castellar del Vallès.",https://www.eventbrite.es/e/entradas-jornada-tecnica-de-la-2a-fira-de-plantes-del-sxxi-792678722397,barcelona
