Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
1 day 9 hours,Contact the organiser to request a refund.,"Mx3 Barcelona is a creative, international and in-person gathering dedicated to media and their media-tech enablers driving specialist media, that is media building and serving communities around special interest verticals, into the future. Attendees are creators and consumer and B2B media, marketing  and information companies, consultants and media-tech  innovators.  I﻿t follows our highly successful launch edition in Berlin in October 2022. With the Internet fragmenting audiences into silos serving even the narrowest of interests, specialist media is a robust, vibrant and thriving sector. New technologies such as AI offer further scope for innovation. Even general interest media are getting in on the act,  investing and acquiring specialist media products and services to serve well-defined  communities. From the independent newsletter or podcast creator to the multi-brand multi-national, they have one thing in common. That is to serve and monetise enthusiasts and professional communities around their topics of choice. In-person and off the record: I﻿f you are not in the room, you are not in the conversation Mx3 Barcelona is dedicated to this exciting  sector. It is a creative event with Our promise to you builds on three pillars Our launch offer, available for a limited period  only, is currently live A﻿part from event admission, tickets also include our evening networking event on the evening of 12 March. Mx3 Barcelona will build on the phenomenal success of the launch event in October 2022 in Berlin, Germany. Here's what a few of those attendees told us afterwards. Join us for the next Mx3 in Barcelona  on 12 and 13 March 2024!",647,3998,EUR,Media Makers Meet (Mx3),https://schema.org/EventScheduled,2024-03-12T07:00:00Z,2024-03-13T16:00:00Z,"Mx3 Barcelona - For Leaders, Innovators and Mavericks in Specialist Media","Mx3 Barcelona is a gathering of Global Leaders, Innovators and Mavericks in Media and Media-Tech driving Specialist Media into the future.",https://www.eventbrite.co.uk/e/mx3-barcelona-for-leaders-innovators-and-mavericks-in-specialist-media-tickets-685499536567,barcelona,NA
1 hour,Contact the organiser to request a refund.,A highlight at the beginning of the week to disconnect and charge. MO&MACE's quick but intense core workout combined with a dynamic yoga practice for all levels. *Bring your own yoga mat and towel. IMPORTANT: Community Members can sign up FOR FREE through The Social Hub app :) 📅 Date: every Tuesday 🕡 Time: 08:00 – 09:00 📍Location: Auditorium,5,5,EUR,The Social Hub - Barcelona Poblenou,https://schema.org/EventScheduled,2024-03-12T07:00:00Z,2024-03-12T08:00:00Z,Core & Yoga,Core & Yoga sessions by MO&MACE in collaboration with The Social Hub Barcelona.,https://www.eventbrite.dk/e/core-yoga-tickets-850697056797,barcelona,NA
NA,No Refunds,"During the 2023/24 La Liga season all FC Barcelona home games will be played at the Lluís Companys Stadium whilst Camp Nou undergoes renovation. Therefore, all hospitality packages will of course take place at the Lluís Companys Stadium. See details below. All tickets are e-tickets and will be delivered 3-5 days before the match date. Official VIP Hospitality Tickets for FC Barcelona VIP Panoramic",990,990,GBP,Footy-Legend Tickets,https://schema.org/EventScheduled,2024-03-12T20:00:00Z,2024-03-12T22:00:00Z,Barcelona vs Napoli - VIP Tickets,"Secure your seat to this Champions League knockout tie between FC Barcelona and Napoli, at Barcelona's temporary home, Estadi Olímpic.",https://www.eventbrite.es/e/barcelona-vs-napoli-vip-tickets-tickets-781910404067,barcelona,Sold out
2 horas,Contacta con el organizador para solicitar un reembolso.,Crea tu propio bouquet💐 en un ambiente creativo y acogedor mientras disfrutas de una agradable compañía😍🥰 Puedes venir sol@ o acompañad@🤩 ¿Tú que prefieres? Te esperamos!! Incluye una consumición!!😜,35,35,EUR,Silvestre flowers and drinks,https://schema.org/EventScheduled,2024-03-12T18:00:00Z,2024-03-12T20:00:00Z,Taller de Creación de Ramo,Crea tu propio bouquet en un ambiente creativo y acogedor mientras disfrutas de una agradable compañía,https://www.eventbrite.es/e/entradas-taller-de-creacion-de-ramo-850804648607,barcelona,NA
NA,Contact the organizer to request a refund.,NA,105.58,105.58,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T19:00:00Z,Traditional Wood-Fired Paella - Cooking Class by Cozymeal™,"Phenomenal food and incredible company await you at the chef's table! Join Cozymeal’s upcoming cooking class Join “Traditional Wood-Fired Paella” with Chef Luke for an intimate 3-hour culinary experience and 4-course meal.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Traditional Wood-Fired Paella",https://www.eventbrite.com/e/traditional-wood-fired-paella-cooking-class-by-cozymealtm-tickets-792865912287,barcelona,Sold out
NA,Contact the organizer to request a refund.,NA,83.4,83.4,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T18:00:00Z,Handmade Authentic Spanish Tapas - Cooking Class by Cozymeal™,"Phenomenal food and incredible company await you at the chef's table! Join Cozymeal’s upcoming cooking class Join “Handmade Authentic Spanish Tapas” with Chef Luke for an intimate 2-hour culinary experience and 5-course meal.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Handmade Authentic Spanish Tapas",https://www.eventbrite.com/e/handmade-authentic-spanish-tapas-cooking-class-by-cozymealtm-tickets-792803264907,barcelona,Sold out
NA,Contact the organizer to request a refund.,NA,105.58,105.58,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T18:30:00Z,Marmalade-Making Techniques - Cooking Class by Cozymeal™,"Phenomenal food and incredible company await you at the chef's table! Join Cozymeal’s upcoming cooking class Join “Marmalade-Making Techniques” with Chef Luke for an intimate 2.5-hour culinary experience and 3-course meal.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Marmalade-Making Techniques",https://www.eventbrite.com/e/marmalade-making-techniques-cooking-class-by-cozymealtm-tickets-792803315057,barcelona,Sold out
NA,Contact the organizer to request a refund.,NA,121.1,121.1,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T08:30:00Z,2024-03-12T11:30:00Z,Iconic Fare and Libations in Barcelona - Food Tours by Cozymeal™,"Learn all about Barcelona's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “Iconic Fare and Libations in Barcelona”, with Guide Jorge or Local Guide for a fun 3-hour experience with 7 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Iconic Fare and Libations in Barcelona",https://www.eventbrite.com/e/iconic-fare-and-libations-in-barcelona-food-tours-by-cozymealtm-tickets-801819974127,barcelona,Sold out
NA,Contact the organizer to request a refund.,NA,98.92,98.92,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T08:30:00Z,2024-03-12T11:30:00Z,The Authentic Flavors of Barcelona - Food Tours by Cozymeal™,"Learn all about Barcelona's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “The Authentic Flavors of Barcelona”, with Guide Jorge or Local Guide for a fun 3-hour experience with 7 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit The Authentic Flavors of Barcelona",https://www.eventbrite.com/e/the-authentic-flavors-of-barcelona-food-tours-by-cozymealtm-tickets-801873554387,barcelona,Sold out
NA,Contact the organiser to request a refund.,NA,4.67,4.67,EUR,PubQuizBarcelona,https://schema.org/EventScheduled,2024-03-12T19:00:00Z,2024-03-12T21:00:00Z,Pub Quiz at BlackLab Tap Room - Trivia Night in English! 8-10pm,"Come enjoy our pub quiz with original and interactive questions questions, while enjoying the the delicious craftbeer brewed by the BlackLab",https://www.eventbrite.com/e/pub-quiz-at-blacklab-tap-room-trivia-night-in-english-8-10pm-tickets-846940079577,barcelona,Sold out
