Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
8 hours,Mobile eTicket,Contact the organizer to request a refund.,"Gather with us with a new cast of raconteurs for this one night only redux special edition! Heaux Tales, mo’ tales…The Black Sex Worker Collective’s iconic “Heaux Tales” Black Sex Worker storytelling event is BACK and bigger than before! Back and still Black The Black Sex Workers Collective presents two nights of storytelling and performances by Black Sex Workers inspired by the seminal feminist text, ‘Women Who Run With the Wolves’ a novel which represents the instinctual nature of women by Clarissa Pinkola Estes. Join us for one or both nights as we sit around the proverbial fire to channel the wild femme spirit of divine Black folk. Our very special lineup includes new and seasoned performers, each of whom is a certified heauxstess with tha’ mostest! This multi-media/intersensory experience aims to re-acquaint us all with our instinctual nature, where we tear apart systems of oppression which have taken us away from who we are. This showcase is an opportunity to join Black Sex Workers to reconnect with the wild spirit that lives within us! Due to stigmatization and the criminalization of sexual labor, Black Sex Worker narratives are often the missing component when we seek enlightenment and progression without our societies and ourselves. Regardless of your gende orgin or choice of labor, we present to you the opportunity to reconnect with your wild nature, as you experience the magic of Sex Worker artistry. The showcases take place at event space Studio DB in Wedding. With a sliding scale of 25-50euro euro, this show is easily accessible to most. [Black] Sex Worker groups are the most underfunded globally, you honor our time and energy by paying for a ticket—as Black people and as Sex Workers, we cannot work for free! With food on sale by the Jamerican (American and Jamaican soul food kitchen), a sober bar option, AND a dance party after the show, how could anyone miss this! There will be an awareness team on site for those who may be triggered or feel uncomfortable in anyway. We will make them visible to you early in the evening. If due to financial need you cannot afford to attend, please email us through the website to access a reduced price ticket OR to volunteer in exchange for free entry! These are very limited options and should only go to those who need it most and who would genuinely like to support our first funded project. Once presales are finished, tickets WILL be available at the door C AST: Curated by MF AKYNOS for The Black Sex Worker Collective featuring words and introduction by Sangria Red with your MC for the evening Serene X Performances by Bishop Black Shayla (Black Sex Worker Collective, Berlin) Natalia The Incredible, Edible, Akynos (BSWC) Music by Ixa Psyborg Serene X is an Afro-Latinx queer sex worker, artist and scholar. They have been in the trade for over 10 years, working as a stripper, companion and pro-domme. Shayla is a in Berlin born & based Black, lesbian, sexy lil thing ‘charging the patriarchy’ for almost a year now. She believes that especially in this white country, more representation of the intersection of being Black, queer and a S€x Worker is very important.She perceives her body as a temple - a temple that makes moneyyyyy!!!🌟 Shayla considers herself a wild womxn whenever using the softness and beauty of her body to take money from men who want to be embraced by her beauty. S€x Work to her means freedom. It is HER choice when to work. It is HER choice which boundaries she sets for the night. It is HER choice who she wants to see. Her work mantra is “Exploit the Exploitation” (-Frau Lexi Dark)💋 Bishop Black (they/them) is a Berlin based, Black British porn performer, sex worker, dancer, theater performer and director. They have worked with some of the adult industry’s most provocative figures including Venice Biennale artist Shu Lea Cheang, directors Bruce LaBruce, Erika Lust, Paulita Pappel, Davey Wavey and more. They also work in cabaret and are a part of the Lunacy collective. In their stage and screen performances Bishop regularly addresses themes of sexual fluidity and race using mythology, occultism, queerness and dance. Instagram: Thebishopblack3000 From a race of bioluminescent extraterrestrial creatures with Nubian features booming in speakers. Natalia is an young queer bipoc artist which also considers sex work as part of her journey to empowerment. Also active in the ballroom scene were she walks the categories face and Vogue fem World reknowned bitch. Queen of the profane.",11.83,54.45,EUR,The BSWC,https://schema.org/EventScheduled,2024-03-10T18:00:00Z,2024-03-11T02:00:00Z,"ONE NIGHT ONLY! HEAUX TALES - RUNNING W/WOLVES, JOURNEY OF TRANFORMATION","ONE NIGHT ONLY - SWers come together to bring a revamped edition of the last storytelling/performance theme. New cast, stories, and venue",https://www.eventbrite.de/e/one-night-only-heaux-tales-running-wwolves-journey-of-tranformation-tickets-837542651617,berlin
3 Stunden,Mobile E-Tickets,Keine Rückerstattungen,"""Steh auf und leuchte - Damit das Glück dich finden kann"" Lesung, Coaching, Konzert  Komm und lass dich von diesem inspirierenden Event mitreißen! Saina Bayatpour liest nicht nur aus ihrem Buch ""Steh auf leuchte"" vor und singt mit Manuel Cortez den gleichnamigen Song, sie zeigt dir zudem auch Wege, wie du in 5 Schritten zu mehr Selbstliebe und Sichtbarkeit gelangst. Hier geht es darum, dein Glück zu finden und es in die Welt zu tragen. Wir möchten dich ermutigen, aufzustehen und dein volles Potenzial zu entfalten. Erlebe eine einzigartige Atmosphäre, in der du dich von Gleichgesinnten umgeben fühlst. Tauche ein in spannende Vorträge und Gespräche, die dir helfen werden, deine innere Stärke zu entdecken. Lerne von ihrer inspirierenden Geschichte und teile deine eigenen Erfahrungen. Gemeinsam werden wir lachen, lernen und uns gegenseitig unterstützen. Sei dabei und lasse das Glück in dein Leben strömen! Dieses Event ist eine einmalige Gelegenheit, um dich zu motivieren und neue Wege zu entdecken. Verpasse nicht die Chance, deine Träume zu verwirklichen und ein erfülltes Leben zu führen. Reserviere dir jetzt deinen Platz und sei Teil dieser besonderen Veranstaltung. Wir freuen uns darauf, dich kennenzulernen und gemeinsam zu wachsen!",11.78,22.38,EUR,Sheciety GmbH,https://schema.org/EventScheduled,2024-03-10T17:30:00Z,2024-03-10T20:30:00Z,Steh auf und leuchte - Damit das Glück dich finden kann - Berlin,"Komm und lass uns gemeinsam aufstehen und leuchten, um das Glück in unserem Leben zu finden - ein persönliches Event, das dich inspirieren u",https://www.eventbrite.de/e/steh-auf-und-leuchte-damit-das-gluck-dich-finden-kann-berlin-tickets-839237862037,berlin
2 hours 30 minutes,Mobile eTicket,No Refunds,"WE GOT LIMITED CAPACITY. Because of that we have special seat reservations for 3€ to ensure audience members with this reservation a seat at the show as well as the best seating at the venue. However, you can still come to the show without a reservation and try your luck that way. But no guarantees that you will get a seat. The only guarantee is a FREE SHOT at the door. :) HAPPY HOUR with special discounted drinks offers is from 6.30pm! Berlin's most scenic comedy show will brighten up your evening and make you laugh. Laughing Spree Comedy is a weekly comedy show, hosted by Chris Doering, with an extremely friendly atmosphere and some of Berlin's finest comedians, lots of guest comedians and the occasional first timer. When? Every Sunday & Tuesday Where? The Floating Lounge When again? show start at 7.30pm Each Comedian has 5-7 minutes to make you laugh. This is a donation based show with suggested donations of 10-12€. Seat reservations are only valid till 7.15pm. Please come to the venue before then. No refunds for people who arrive after the show started. See you buoys and gulls aboard. Keep on laughing! Some words from the audience: ★★★★★  ""It was hilarious. Best comedy ever. Will go back there again."" - Xinqi – South Korea ★★★★★ ""So much fun. Chris and co-host drago[s] very entertaining. Also much fun with other guests. Great evening and good venue."" - Estelle - France ★★★★★ ""The comedy was fantastic, and the venue was a blast! Thanks for everything Chris. A truly unique, belly-laugh-filled evening in Berlin."" - Joey - USA ★★★★★ ""Fun evening experiencing European comedy but in English. Nice evening for a very nice price!"" - Robyn - USA ★★★★★ ""I absolutely LOVED my evening on this amazing boat with Chris and all the performers ! They are funny, friendly, respectful and professional. If you just arrived in Berlin and are scared of going there by yourself, don’t be ! I did it myself and I’ll do it again as soon as I get the opportunity. I highly recommend it.""  - Alexia - Indonesia ★★★★★ ""Wonderful experience. Very intimate and inclusive energy from the comedians and the audience too. This is the kind of event that draws the best kinds of people to an enclosed space. I had lots of laughs and I met lots of great people. Definitely worth coming back to Berlin for."" - Chipo - Venezuela ★★★★★ ""Great evening! A very international audience and line-up (from Azerbaijan, Czech Republic, Malaysia to the Netherlands), of all ages, laughing with each other in a foreign language and artists trying out new material. Love how Chris brings this all together. Special evening!"" - Reinoud - Switzlerand★★★★★ ""Great value and a great location which was easy to find. Chris made you feel really welcome. It was a busy night - all seats taken! There were quite a few comedy acts, all very different and both hosts that night were very funny. A very enjoyable evening and highly recommend :-)"" - Shameem - Pakistan ★★★★★ ""Free shots and an awesome night of laughter. Chris took the time to engage the entire crowd and he has a great lineup of comedians to round it all off. Highly recommended!"" - Jody - Ireland ★★★★★ ""HIGHLY RECOMMENDED!! Both solo and group travelers will have a great time with Chris. It's also a good way to meet some new people."" - Zishan - Turkey ★★★★★ ""If you are coming to Berlin DON’T miss this! We’ve been to the usual tourist spots and museums but for the price and time I can vouch that you are gonna have the best time here. Chris & the other guys made us really feel welcome and the diverse culture & jokes of the comedians and guests will make you feel like home."" - Abdulla – Sri Lanka ★★★★★  ""This is one of the funnest & funniest places in Berlin. Definitely worth a stop whether you're a local or tourist. It's absolutely packed! You'll meet people and comics from literally all over the world who are looking to have a good time and poke a little well-meaning fun at you and themselves. Don't be alarmed by the grungy outside, the inside is lovely and cozy. (Only wish I had been able to take pictures!) Add it to your trip!"" - Rowan - Ireland ★★★★★ ""The comedy show was really good and genuinely funny. There were a mix of new comedians as well as seasoned ones. It was great place to meet people as well."" - Hari - India ★★★★★ ""The whole evening was amazing, start to finish. I went alone and tend to be really socially awkward, but ended up being one of the last people leaving as I found myself talking to the performers and the people sat at my table. Chris created a super relaxed atmosphere for everyone. I also have to say he stuck to safety rules re: covid, which many places currently don't and for me personally, that really made a difference. I will for sure go and see the show again, it's definitely a great night out!!"" - Pamela - Argentina  ★★★★★ ""perfect!"" - ""栋辉 - Japan",3.39,3.39,EUR,Laughing Spree Comedy,https://schema.org/EventScheduled,2024-03-10T18:00:00Z,2024-03-10T20:30:00Z,Laughing Spree: English Comedy on a BOAT (FREE SHOTS) 10.03.,It's Berlin's #1 (and only) English Comedy Show on a Boat. On the Spree. It's Laughing Spree Comedy!,https://www.eventbrite.de/e/laughing-spree-english-comedy-on-a-boat-free-shots-1003-registration-787556822657,berlin
2 hours,Mobile eTicket,Contact the organizer to request a refund.,"TRANSFERENCE – an experiment on sound, light & movementwithYuko Kaseki - butoh danceKriton Beyer - daxophone, light controllerTeo Vlad - light ninjaTeaser: https://www.youtube.com/watch?v=1Od35yBPSxcHomepage: https://kritonbeyer.com/enlightenment/Facebook Event: https://www.facebook.com/events/922284289407832 TRANSFERENCE is an inter- and transdisciplinary art and performance project that explores the phenomena of sound, light and movement from three different perspectives of three different art forms.Three performers – a musician, a dancer and a moving light designer – influence each other through their interaction and fundamental interplay and, similar to the fundamental forces of physics, transfer this influence to the audience.The Kleiner Wasserspeicher, a historic water reservoir in Prenzlauer Berg, was deliberately chosen as the venue, and the performance is adapted to its unique architectural and acoustic characteristics in a site-specific way.Warm clothing is recommended. Only limited seating possibilities.Venue: Kleiner WasserspeicherAddress: Diedenhofer Straße, 10405 BerlinDate: 9 March 2024Doors: 19:30 / Start: 20:00Admission: 15 / 10 EURKindly supported by: Projektförderung des Bezirksamts Pankow von Berlin & Uferstudios für Zeitgenössischen Tanz",17.17,17.17,EUR,Kriton Beyer,https://schema.org/EventScheduled,2024-03-10T19:00:00Z,2024-03-10T21:00:00Z,"TRANSFERENCE – an experiment on sound, light & movement  (DAY 2)","interdisciplinary art & performance project that explores the phenomena of sound, light and movement",https://www.eventbrite.de/e/transference-an-experiment-on-sound-light-movement-day-2-tickets-828357689147,berlin
1 hour 45 minutes,Mobile eTicket,Refunds up to 1 day before event,"Welcome to ""Comedy Vulvas,"" the ultimate playground for womxn comics to experiment, push boundaries, and develop new material. Come for the comedy, stay for more comedy! Spend your Sunday evening with funny vulvas! It's in English! English Stand-up Comedy, Babe! 🚫 We are cencored by Facebook due to the word ""Vulva"". Now unable to do paid marketing, we fully rely on word-of-vulva. Help us spread the word! ⭐⭐⭐⭐⭐ “My jaw is hurting from all the laughs!!"" - Franziaka, Berlin ⭐⭐⭐⭐⭐ “It's so funny I laughed so hard, despite being German"" - German dude who loves karaoke ⭐⭐⭐⭐⭐ “This is my first time watching live stand-up comedy. It’s way better than my first time having sex!” - Cute girl with curly hair ⭐⭐⭐⭐⭐ “I was here last week, and I come back again this week with more friends. They all loved it too!” - Hot turkish guy from Luxembourg ⭐⭐⭐⭐⭐ ""I had a blast. Can't wait to come back!"" - Emilio, Argentina ⭐⭐⭐⭐⭐ ""Great vibes and even better jokes."" - Oliver, Australia ⭐⭐⭐⭐⭐ ""Each comedian is like a magician, turning words into laughter in ways I couldn't imagine. "" - Laila, Egypt ⭐⭐⭐⭐⭐ ""The host's energy lit up the room! Easily the best Asian comic in the city. Had us in stitches from start to finish. "" - John, UK ⭐⭐⭐⭐⭐ ""Each act was unique, it was incredible!"" - Lily, UK ⭐⭐⭐⭐⭐ ""These ladies are comedy powerhouses!"" - Anna, Poland ⭐⭐⭐⭐⭐ ""Berlin's best-kept secret :)"" - Kai, Germany ⭐⭐⭐⭐⭐ ""Not only was the comedy great, but the beer and cake were fantastic too! "" - Carlos, Spain ⭐⭐⭐⭐⭐ ""It's my go-to place for a guaranteed good laugh"" - Simone, Italy ⭐⭐⭐⭐⭐ ""Smart, sassy, and spot-on"" - Erik, Sweden 🍑🍑🍑 Lineup 🍑🍑🍑  🎤 Nora Anderson 🇸🇪 (IG: @jadedbiitch) 🎤 Sofia May 🇺🇸 (IG: @sofiamaycomedy) 🎤 Mairita Rosicka 🇱🇻 (IG: @futurmamma) 🎤 Zoe Langer 🇩🇪 (IG: @zoe__langer) 🎤 Ster Voorpijl 🇳🇱 (IG: @ster_wars) 🎤 Sepideh 🇮🇷 (IG: @sepcomedy) 🎤 Host by Moni Zhang 🇨🇳 (IG: @moni.zhang.comedy) Winner of Berlin New Standup Award 2019 & Founder of Berlin Mental Health Festival. Moni is featured by BBC, Euronews, Scottish Field, and The Scotsman. She produces & performs at stand-up comedy shows all over Berlin and in UK. Check more at www.monizhang.com ### Ticket ### 🤑 This ain't no free comedy. It's a Pay What You Want comedy show. How does it work? You get to decide how much to donate AFTER you've laughed your butt off. If you're planning on soaking up the jokes without leaving a tip, better skip this comedy show! 💰 We suggest a donation of 10€ - 15€. 💰 Students & unemployed 7€ - 12€. 💰 We accept cards & cash. ### When & where ### Entry & Drinks & Mingle: 8pm Comedy Time: 8.30 - 9.45pm 📍Kohlenquelle: Kopenhagener Str. 16, 10437 Berlin. Close to S+U Schönhauser Allee",0,0,EUR,Crazy Noodle Comedy by Moni Zhang,https://schema.org/EventScheduled,2024-03-10T19:00:00Z,2024-03-10T20:45:00Z,Comedy Vulvas: Comedy by Vulvas | English Stand-up Comedy Open Mic 10.03.24,"All Female Lineup Stand-up Comedy Open Mic on Sunday, in English. Stand-up comedy, babe!",https://www.eventbrite.de/e/comedy-vulvas-comedy-by-vulvas-english-stand-up-comedy-open-mic-100324-registration-843474343467,berlin
NA,Sold out,"Kontaktieren Sie den Veranstalter, um eine Rückerstattung anzufordern.","P.S STUDIO 132 & Sunday Catharsis laden Sie zu einem besonderen Erlebnis in Form einer Reihe psychologisch fokussierter Workshops ein. Durch projektive Techniken wie Zeichnen, Tonmodellieren und Kollagenherstellung konzentrieren wir uns auf den Prozess des Selbstausdrucks und der Reflexion. Innerhalb von vier Wochen durchlaufen wir ein Programm mit 4 Modulen: Psychosomatik; Stress; Bewusstsein und Unterbewusstsein; Wir arbeiten mit Farben, Texturen und anderen Ausdrucksmethoden, die uns dabei helfen, unser Leben zu verwirklichen 28.02.24 Gefühle materialisieren04.02.24 Pshe&Soma10.03.24 Ich, ich und die anderen, Spiegel17.03.24 Ich fühle in Farben 1️⃣ Psychologischer Workshop mit Tonanwendung🌈 Taucht ein in die Tiefen eurer Psyche durch die kreative Kraft der Tonerde. Wir werden Gefühle materialisieren, diskutieren und unsere Erfahrungen reflektieren. Es ist eine fantastische Möglichkeit, sich zu entspannen und gleichzeitig in die Feinheiten unseres Geistes einzutauchen.2️⃣ Psychosomatischer Fokus🤯 Begleitet uns bei einem Workshop, der sich mit psychosomatischen Verbindungen befasst. Wir bieten Einblicke in die Geist-Körper-Beziehung und nutzen Gestaltpsychologie und Konstellationen. Es ist eine Reise der Selbstheilung und des Verstehens der tiefen Wechselwirkungen zwischen Geist und Körper.3️⃣ Persönliche Geschichten & Reflexion🔄 Dieser Workshop dreht sich um persönliche Geschichten, die als Spiegel dienen und Einblicke in uns selbst und unsere Interaktionen mit der Welt bieten. Theoretische Diskussionen werden neue Türen in der angewandten Psychologie öffnen, gemeinsames Teilen und Klären fördern.4️⃣ Großes Finale: Kreativität & Verfeinerung🎨 Unser abschließender Workshop konzentriert sich auf Kreativität und die Verfeinerung eurer Lebensleinwand. Durch Malen werden wir verschiedene Situationen und Emotionen materialisieren, Intuition und Spiritualität entfalten. Es ist eine wunderbare Möglichkeit, die Serie mit lebendigen Strichen zu eurem persönlichen Meisterwerk abzuschließen.Wir würde uns freuen, wenn ihr an diesen transformierenden Erfahrungen teilnehmt! Ticket station:https://www.materialgirls.de/shop/p/sunday-catharsis-workshop-berlin",54.45,54.45,EUR,Victoria Grozeva & Dr.Kristina Delcheva,https://schema.org/EventScheduled,2024-03-10T13:00:00Z,2024-03-10T17:00:00Z,"Psychology-orientated workshops ""Sunday Catharsis""",besonderes Erlebnis in Form einer Reihe psychologisch fokussierter Workshops,https://www.eventbrite.de/e/psychology-orientated-workshops-sunday-catharsis-tickets-812301043287,berlin
NA,Sold out,"Kontaktieren Sie den Veranstalter, um eine Rückerstattung anzufordern.","Ein Kernelement der Gewaltfreien Kommunikation (nach Marhshall Rosenberg) ist es, die Verbindung zu dir und anderen Menschen zu vertiefen. DIe GFK ist ein bedürfnisorientierter Kommunikationsprozess und eine sehr wirksame Methode, um mit dir selbst und anderen in Verbindung zu kommen. Indem du lernst die GFK anzuwenden, wird deine Kommunikation mitfühlender und wertschätzender und es wird dir auch leichter fallen, Missverständnisse und Konflikte leichter zu lösen.In unserem 3-tägigen GFK-Einführungsseminar in Berlin lernst du:",374.09,374.09,EUR,NEURES Akademie,https://schema.org/EventScheduled,2024-03-13T08:30:00Z,2024-03-13T16:00:00Z,Einführung in die Gewaltfreie Kommunikation (GFK) in Berlin & Online,"3-tägiges Einführungsseminar, für alle, die lernen möchten, die Verbindung zu sich selbst und ihren Mitmenschen zu vertiefen.",https://www.eventbrite.com/e/einfuhrung-in-die-gewaltfreie-kommunikation-gfk-in-berlin-online-tickets-826801705157,berlin
NA,Sold out,"Kontaktieren Sie den Veranstalter, um eine Rückerstattung anzufordern.","Female Mantra Sing & Dance Join us for a joyful and empowering event with Daria!  Immerse yourself in the magic of music, movement, and female energy.  This in-person gathering is a celebration of sisterhood, where we come together to sing and dance with full hearts and open minds. Through the power of mantras, we will connect with our inner selves and create a harmonious atmosphere. The rhythmic beats will guide our bodies to move freely, expressing our authentic selves. No dance experience or singing skills are required – just a willingness to let go and have fun! This event will be led by experienced facilitators who will guide us through different mantras and dance styles. You'll have the opportunity to learn new chants, explore various dance movements, and connect with like-minded women in a safe and supportive environment. Deep Gong Relaxation will rounds off the gathering.  Don't miss this chance to recharge your spirit, uplift your soul, and celebrate the beauty of being a woman.  Come and join us at Dock 11, Breite Str. 43, 13187 Berlin  for an unforgettable evening of mantra singing and dancing! Daria Czarlinska is the founder of Sinnergie - the place to be.  Kundalini Yogateacher, political scientist, family constellator and coach  für Embodied female Leadership.  Feel free to be a part of this empowering gathering for women of all ages.  www.dariayoga.com  www.sinnergie-berlin.de",27.82,49.13,EUR,Daria Czarlinska,https://schema.org/EventScheduled,2024-03-10T15:00:00Z,2024-03-10T17:00:00Z,Female Mantra Sing & Dance,"Sing & Dance with Female Mantra: A vibrant gathering celebrating the power of women, where we come together to unleash our inner diva.",https://www.eventbrite.de/e/female-mantra-sing-dance-tickets-822745242167,berlin
NA,Sold out,Contact the organizer to request a refund.,"Within this max 2-person session you will learn how to make your simple ring, pair of earrings or simple chain using Sterling Silver. You will be advised on the design, you will be introduced to the basics of goldsmith (tools, soldering, sanding, polishing). At the end of the approximate 2-hour session, you will leave home with your self-made jewellery. Introduction to the basics of goldsmith Create your simple ring, pair of earrings or simple chain Receive advice on the design In the end, take your own piece home Your host: Mihaela Caravan is a Berlin-based artist and conceptual jewellery creator. Her pieces explore the mundane and emotional landscape that surrounds big cities and their inhabitants. With components ranging from the exploration of vulnerability and hidden life of everyday objects to the reinterpretation of social constructs and worldly concerns. Mihaela designs statement pieces that are transformative stories. You can check her artistic work at https://mihaelacaravan.com/ and her commercial line at https://www.iioo.jewelry/",140,140,EUR,Mihaela Caravan,https://schema.org/EventScheduled,2024-03-10T14:00:00Z,2024-03-10T17:00:00Z,Make your own minimalist silver jewellery piece,Small group - introduction to  silver jewelry making,https://www.eventbrite.com/e/make-your-own-minimalist-silver-jewellery-piece-tickets-806703430677,berlin
NA,Sold out,"Kontaktieren Sie den Veranstalter, um eine Rückerstattung anzufordern.","Transformative Atemreisen für den modernen Geist Entdecke die Kraft deines Atems und tauche tief in ein Erlebnis ein, das speziell für ambitionierte, karriereorientierte und bewusst lebende Menschen wie dich entworfen wurde. Unsere Atemreisen sind mehr als nur eine Pause vom Alltag – sie sind ein Tor zu persönlicher Entwicklung, tiefem Stressabbau und echter, sinnstiftender Verbindung. Was dich erwartet: Für wen ist dies gedacht? Unsere Atemreisen sind ideal für dich, wenn du: Bereite Dich vor auf: Bist du bereit für eine Reise, die deine Sichtweise verändern und dir neue Wege eröffnen kann? Tritt unserer nächsten Atemreise bei und finde heraus, was hinter deinem Atem liegt. Weitere Informationen auf www.geilatmen.de Folge mir gern auf Instagram @geilatmen Wichtig - Teilnahmebedingungen für die Veranstaltung:Bitte nimm nicht an der Veranstaltung teil, falls zutreffend: ernsthafte Erkrankung, Einnahme starker Medikamente, Epilepsie, kürzliche OP/ frische Wunde, akute Infektionskrankheit oder Schwangerschaft. Falls du dir nicht sicher bist, ob du teilnehmen kannst, schreibe uns gerne eine Nachricht. Mit dem Kauf eine Tickets bestätigst du, dass du körperlich, seelisch und geistig stabil bist teilzunehmen. Die Teilnahme ersetzt keine therapeutische oder schulmedizinische Behandlung und erfolgt auf eigene Verantwortung. Sollte es für Dich nicht einfach sein ein Ticket zu leisten, dann schreib mir gerne persönlich auf meiner Website oder via Instagram.",20,20,EUR,Geil Atmen,https://schema.org/EventScheduled,2024-03-10T17:00:00Z,2024-03-10T19:00:00Z,Conscious Breathwork  mit Geil Atmen,"Komm mit auf eine aufregende Reise in dein Unterbewusstsein und erlebe, wie geil es ist, tief zu atmen und dich selbst zu entdecken!",https://www.eventbrite.com/e/conscious-breathwork-mit-geil-atmen-tickets-824292038677,berlin
