Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
3 hours,Contact the organizer to request a refund.,"This unique event is for anyone wishing to connect more authentically with other people through interactive meditation. Interactive meditation allows us to connect with ourselves and with other people more consciously. It is an opportunity to develop greater emotional intelligence and relational awareness in a safe and supportive environment. 𝗪𝗵𝗮𝘁 𝘁𝗼 𝗲𝘅𝗽𝗲𝗰𝘁Interactive meditations are simple and accessible to everyone. They are practiced in pairs and usually last between 5 and 10 minutes, allowing you to meet different people. The meditations are based on traditional mindfulness exercises as well as on contemporary mind-body modalities.They include:- Mindfulness practices- Breath & Voice work- Authentic Relating games- Authentic Movement- Consent and boundary exercises- Non-Violent Communication 𝗧𝗵𝗲 𝗖𝗼𝗻𝘁𝗮𝗶𝗻𝗲𝗿You will be clearly guided throughout the seminar. No prior experience is needed. You may come by yourself or with someone else. Everything is an invitation: you are encouraged to participate based on your preferences and comfort level. We make sure to create a safe and welcoming container for all.Gender diversity: We make sure gender representation is balanced. All identities are warmly welcome.Age: Anyone over 18 is welcome. Participants are usually between 30 and 60 years old.Language: English (German translation can be provided if needed). ---------------------------𝗙𝗮𝗰𝗶𝗹𝗶𝘁𝗮𝘁𝗼𝗿Dr Swan Alyon is a psychotherapist specializing in somatic approaches to self-awareness and holistic growth. Swan worked as a research supervisor at the University of Cambridge, where he wrote his PhD thesis on processes of self-transformation. He also holds certificates in tantra yoga, breahtwork, and hypnotherapy. Swan is the founder of the Institute of Devotional Arts, which works for inner and outer peace through creative and contemplative practices. https://devotionalarts.org ---------------------------𝗢𝘂𝗿 𝗦𝘁𝗼𝗿𝘆Tantra Slow Dating was born in Montreal, Canada, to refine the inclusivity and depth of Tantra Speed Date events from San Francisco (https://www.tantrany.com/date/?aff=tny). Now offered in various European cities such as Paris, Brussels, or Barcelona, it has allowed hundreds to find a conscious space in which to meet others.𝗧𝗲𝘀𝘁𝗶𝗺𝗼𝗻𝗶𝗮𝗹“𝘈𝘴 𝘢 𝘳𝘦𝘭𝘢𝘵𝘪𝘰𝘯𝘢𝘭 𝘤𝘰𝘢𝘤𝘩, 𝘐 𝘰𝘧𝘵𝘦𝘯 𝘩𝘦𝘢𝘳 𝘪𝘵 𝘴𝘢𝘪𝘥 𝘵𝘩𝘢𝘵 𝘧𝘦𝘸 𝘱𝘦𝘰𝘱𝘭𝘦 𝘴𝘦𝘦𝘬 𝘨𝘦𝘯𝘶𝘪𝘯𝘦 𝘤𝘰𝘯𝘯𝘦𝘤𝘵𝘪𝘰𝘯 𝘯𝘰𝘸𝘢𝘥𝘢𝘺𝘴. 𝘞𝘪𝘵𝘩 𝘚𝘸𝘢𝘯, 𝘴𝘤𝘦𝘱𝘵𝘪𝘤𝘴 𝘸𝘦𝘳𝘦 𝘱𝘳𝘰𝘷𝘦𝘯 𝘸𝘳𝘰𝘯𝘨. 𝘐 𝘦𝘹𝘱𝘦𝘳𝘪𝘦𝘯𝘤𝘦𝘥 𝘢 𝘮𝘢𝘨𝘪𝘤𝘢𝘭 𝘮𝘰𝘮𝘦𝘯𝘵 𝘰𝘧 𝘱𝘳𝘰𝘧𝘰𝘶𝘯𝘥 𝘳𝘦𝘴𝘱𝘦𝘤𝘵 𝘢𝘯𝘥 𝘤𝘰𝘯𝘯𝘦𝘤𝘵𝘪𝘰𝘯 𝘸𝘪𝘵𝘩 𝘢𝘭𝘭 𝘱𝘢𝘳𝘵𝘪𝘤𝘪𝘱𝘢𝘯𝘵𝘴.” – Sylvie C., Relationship Coach. ---------------------------𝗣𝗿𝗮𝗰𝘁𝗶𝗰𝗮𝗹 𝗜𝗻𝗳𝗼𝗿𝗺𝗮𝘁𝗶𝗼𝗻• Fee: €49 (sliding scale option: €39 students & unemployed; €59 financial ease).• All orders are non-refundable. Credit may be used for the next event or transferred to a friend.• Date: Wednesday 13 March 2024.• Time: 7pm-10pm. Doors open at 6.40pm and close at 7pm sharp. Late arrivals will not be admitted and will not be refunded.• Location: Wamos - Veranstaltungszentrum. Hasenheide 9, 10967 Berlin. For any questions do not hesitate to contact Ramona at ramona.todor18@gmail.com",35,64.05,EUR,Swan Alyon,https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T21:00:00Z,Tantra Slow Dating - Meeting Mindfully,"Make new friends, find a partner, but above all spend a moment of meaningful connection.",https://www.eventbrite.co.uk/e/tantra-slow-dating-meeting-mindfully-tickets-820046801057,berlin,NA
NA,Keine Rückerstattungen,"Die Band wollte sich neu ausrichten und stilistisch weiterentwickeln und das zeigt großartige Früchte. Ihnen gelingt als RÄUBER „3.0“ ein grandioses Comeback. Mit WIGGA DIGGA erreichen sie Top-Platzierungen in den karnevalistischen Hitparaden und Wettbewerben und in kürzester Zeit über eine Million Downloads und Streams. Doch nicht nur dieser eine Song steht für die musikalische Transformation in die Moderne, vielmehr das ganze Album ALLE FÜR KÖLLE zeigt auf beeindruckende Art und Weise wie es die Kölsche Kultband versteht, sich immer wieder neu zu erfinden und zu begeistern.Im Jubiläumsjahr geht es nach der Karnevalssession mit ihren rund 200 Auftritten in und um KÖLN von März bis Dezember natürlich auch auf LIVE TOUR quer durch den Westen der Republik mit einzelnen Stationen in Holland und Belgien. Mit dem RÄUBERSCHIFF 2024 geht es diesmal auf Sonderreise nach Frankreich.Erlebt die komplette Räuber 3.0 DNA – nahbar, spürbar, emotional, energiegeladen – LIVE ON STAGE am 1303.2024 im Ballhaus Berlin.Im Gepäck auf der „Dreimolelf Jubiläumstour 2024“ haben sie neben ihren unzähligen Hits natürlich auch ihren brandneuen mitreißenden Song OBEN UNTEN (Veröffentlichung am 20.10.2023). Die Fans sprechen schon vom allerersten „Jecken-Dance-Workout“ und der Kölner EXPRESS schreibt in seinem Bericht vom 25.09.2023 von „Hitpotenzial und Ohrwurmqualitäten“.Die RÄUBER in ihrer aktuellen BESETZUNG sind Keyboarder und Mitgründer Kurt Feller (Captain Kurt), Gitarrist Andreas Dorn (Schrader), Frontmann Sven West, Martin Zänder am Bass und Thommy Pieper am Schlagzeug. Einlass 18 Uhr Warmup Party mit DJ Henry Göllen aus Köln",33,36,EUR,Ballhaus Berlin,https://schema.org/EventScheduled,2024-03-13T19:00:00Z,2024-03-13T21:30:00Z,Räuber DREIMOLELF TOUR 2024,"Die RÄUBER gehören seit Jahrzehnten zur Top-Liga der Kölschen Bands, im Jahr 2024 feiern sie ihr „jeckes“ 3x11-jähriges Jubiläum",https://www.eventbrite.de/e/rauber-dreimolelf-tour-2024-tickets-764646015817,berlin,Sold out
NA,Keine Rückerstattungen,On Wednesdays we Tell Mama! Tickets for 13.03.2024 Es erwartet dich eine tolle Show mit der zauberhaften Judy LaDivina. Lass dich verzaubern und inspirieren. Show in englischer Sprache. Judy LaDivina is back on stage for special Tell Mama shows at Zum Schmutzigen Hobby. It’s time to get up close and personal with the lipsync Diva and be ready to confess! Okurrr?!,10,10,EUR,Bar Zum schmutzigen Hobby,https://schema.org/EventScheduled,2024-03-13T19:00:00Z,2024-03-13T22:00:00Z,Judy LaDivina Tell Mama (Tickets for 13.03.2024),Judy La Divina TELL MAMA & Guests,https://www.eventbrite.de/e/judy-ladivina-tell-mama-tickets-for-13032024-tickets-786720571407,berlin,Sold out
3 hours,Contact the organizer to request a refund.,"Unlimited Sonic Use & Exile On Mainstream Records present: Beehoover - GER | ex- Exile on Mainstream Records http://www.beehoover.com/ Genre: Heavy Progressiv Riffadelic Doom FFO: Tschaika 21/16, Big Business, Melvins Das Zwei-Mann-Riff-Ungetüm BEEHOOVER aus Eßlingen macht mit seinem bereits siebten Album ""Low Performer"" immer noch keine Gefangenen und fräst sich von Bass und markantem Gesang Ingmars getragen und dem Schlagzeugwirbelwind Claus nach vorne gepeitscht durch eine wilde Landschaft aus Verzerrungen, Lärm, Lawine, Brecheisen und, wie bereits angedeutet, Riff, Riff und Riff. Eine Abfahrt durch Stoner, Doom, Sludge, Metal, zusammengehalten von einer Vorliebe für progressive Strukturen und einem fast schon avantgardistischen Songverständnis. Eine Wonne und Herausforderung zugleich! Treedeon - GER | Exile on Mainstream Records https://www.mainstreamrecords.de/artists/treedeon Genre: Filthy Sludge Doom Inferno FFO: Conan, Ulme, Jingo De Lunch Five years in the making, Berlin, Germany-based sludge/noise stalwarts Treedeon are preparing to release their third album, New World Hoarder, through Exile On Mainstream on 17 March 2023. While its predecessor Under The Manchineel was a bristly beast of dark and thunderous swill pounding monstrous riffs and bleak lyrics mostly into the area underneath your chest, the new effort cuts higher, right at the heart and brain, although no less heavy. After the almost simultaneous demise of Germany’s Noise-stalwarts ULME and the 2nd spring of seminal Crossover punk/metal icons JINGO DE LUNCH, Ulme-guitarist and singer Arne and Jingo de Lunch singer Yvonne formed an acoustic bit named Treedeon. After the addition drummer Boomer and a full amplified gig, the band found themselves on the map for lovers of Noise, Sludge, and all kinds of heavy pumping riffage, combined with an emotional approach and intimate lyrics. They released three records via Exile on Mainstream, ""Lowest Level Reincarnation"" in 2015 and ""Under The Manchineel"" in 2017. Alphatrip - GER | friends of Exile on Mainstream Records http://alphatrip.net/ Genre: Spaced out Wall of Sound FFO: Russian Circles, OM, Explosions in the Sky Das Berliner Duo Alphatrip versetzt den Zuhörer mit psychedelischen Postrockklängen in Trance. Nur mit Gitarre und Schlagzeug bewaffnet schaffen sie es, eine Wand aus Klängen zu erzeugen, die sich anhört, wie ein von Jim Morrison beschriebener Meskalintrip in der Wüste. Es gibt keine wirklichen Pausen, die beiden Musiker spielen und spielen und kommunizierren untereinander mit ihren Blicken. Ist das jetzt ein langer Song oder viele kürzere? Man weiß es nicht und eigentlich ist es auch egal. Es klingt gut. Man verweilt, schließt die Augen und lauscht, bis es irgendwann still wird.",15.72,15.72,EUR,Unlimited Sonic Use,https://schema.org/EventScheduled,2024-03-13T19:00:00Z,2024-03-13T22:00:00Z,USU pres.:  Beehoover +  Treedeon + Alphatrip - Urban Spree - 13.03.2024,Crushing Progressive Sludge Metal Duo,https://www.eventbrite.de/e/usu-pres-beehoover-treedeon-alphatrip-urban-spree-13032024-tickets-785210233947,berlin,NA
2 Stunden 30 Minuten,Rückerstattungen bis zu 1 Tag vor dem Event,"Evening Shine ist das Community-Event des Bundesverbands für Qualität in der Systemischen Arbeit (QSA) Die Veranstaltung ist offen für alle QSA-Mitglieder und interessierte Nicht-Mitglieder, für alle SystemikerInnen und solche, die es werden wollen. Veranstaltungsort des Evening Shine ist im Nikki Space, die einladenden Seminarräume der Coaching Akademie Berlin in Mitte. Das erwartet die Teilnehmenden: Wir kommen in entspannter Atmosphäre bei Snacks und Feierabend-Drinks zusammen. Evening Shine ist grundsätzlich straßenschuhfrei. Nach einem kleinen Meet & Greet gibt es spannenden, fachlichen Input von interessanten Speakern aus der Welt der systemischen Arbeit, zu deren Inhalten und auch weiteren Themen wir uns gemeinsam in der Gruppe oder auch in Kleingruppen weiter austauschen. Im Anschluss laden wir alle Teilnehmenden dazu ein, mit uns in lockerer Runde den Abend mit anregenden Gesprächen und Lachen ausklingen zu lassen. Beim nächsten Termin am 13.03.2024 geht es um das spannende Thema :Das Nutzen von multiplen neuronalen Stimulationen – der Körper im Coaching Petra Bernhardt wird in ihrem Input-Vortrag verschiedene Formen der neuronalen Stimulation im Coaching vorstellen, darunter das Beklopfen von Akupunkturpunkten, Augenbewegungen und Embodiment. Zusätzlich zeigt sie Schauspieltechniken wie die Subtextarbeit. Der Vortrag bietet auch einen Einblick in das kommende Systemische Seminar ""Verdecktes Arbeiten"" beim INSTITUT FÜR SYSTEMISCHE KOMPETENZ (ISK), das hilfreich bei sensiblen, komplexen Themen ist. Durch das ""Verdeckte Arbeiten"" eröffnen sich neue Perspektiven für Klienten. Bernhardt möchte Coaches mit praxisnahen Beispielen und Tools inspirieren, um ihre Methodenauswahl zu bereichern und den fachlichen Austausch zu fördern. Um allen QSA-Mitgliedern und anderen Interessierten die Teilnahme zu ermöglichen, findet Evening Shine als Hybrid-Veranstaltung statt, d.h. Input-Referat und Diskussion werden parallel online gestreamt. Als SystemikerInnen wollen wir als Bundesverband für Qualität in der systemischen Arbeit eine starke Community bilden, damit wir unsere Haltungen und unser Wissen in die Welt tragen können, die zu alternativen Denk- und Handlungsweisen inspirieren. Unser Ziel ist es, durch das Wirken unserer Community-Mitglieder immer mehr Systeme zu ermöglichen, in denen Menschen sich als kompetent, liebenswürdig und wertvoll erfahren sowie Autonomie und Zugehörigkeit erleben können. Beim Evening Shine erleben wir, dass wir Teil von etwas sind, das größer ist als wir. Thema: Das Nutzen von multiplen neuronalen Stimulationen – der Körper im Coaching Zeit: Mittwoch | 13.03.24 Einlass: 18:45 Uhr Beginn: 19:00 Uhr Ort: Coaching Akademie Berlin ( Nikispace) in den KurfürstenhöfenPoststraße 4-5, Berlin, 10178 Unkostenbeitrag: 15,- EUR | online 10,- EUR | QSA-Mitglieder frei Programm: 18.45 Uhr Meet & Greet | WELCOME 19.00 Uhr Input-Vortrag | Der Körper im Coaching - Das Nutzen von multiplen neuronalen Stimulationen mit Petra Bernhardt 19.30 Uhr Feedback | Share Your Thoughts 19.45 Uhr 2 Spaces: Chat & Relax | Lebe die Community bei Snacks und Drinks Vision & Network | Vorstellung des QSA mit dem Vorstand 20.15 Uhr Open Space22.00 Uhr Veranstaltungsende Zum Thema: Der Körper im Coaching - Das Nutzen von multiplen neuronalen Stimulationen Im Input-Vortrag von Petra Bernhardt erwartet Sie ein Impuls, wie das Arbeiten mit dem Körper im Coaching eingesetzt und was dadurch für Ihre Klientin oder Ihren Klienten möglich werden kann. Es werden unterschiedliche multiple neuronale Stimulationen, wie das Beklopfen unterschiedlicher Akupunkturpunkte, Augenbewegungen oder Embodiment, vorgestellt. Darüber hinaus zeigt Petra Bernhardt Ihnen einige Schauspieltechniken, wie z.B. die Subtextarbeit im Coaching. Und natürlich gibt der Input-Vortrag auch einen kleinen Vorgeschmack auf das kommende Systemische Seminar ""Verdecktes Arbeiten"" beim INSTITUT FÜR SYSTEMISCHE KOMPETENZ (ISK), das ungemein hilfreich sein kann bei schambesetzten Themen, Peinlichkeitsthemen, geheimen Themen oder sehr komplexen Themen. Durch das „Verdeckte Arbeiten“ eröffnen sich neue Möglichkeitsräume und spannende neue Perspektiven für die KlientInnen. Der Zustand des absoluten Nichtwissens und somit ein inhaltsfreier Raum kann bei den vorgenannten Themen sehr wertvoll für einen erfolgreichen Coaching Prozess sein. Mit diesen praxisnahen Beispielen und nützlichen Tools möchte Petra Bernhardt Sie inspirieren und Ihre Methodenauswahl im Coaching-Praxis bereichern. Seien Sie gespannt auf neue Impulse, praktische Anregungen und fachlichen Austausch für Ihre Arbeit als Coach. Über Petra Bernhardt Petra Bernhardt verbindet als systemische Personal und Business Coach sowie Auftritts- und Performance Coach langjährige Erfahrungen im Coaching mit ihrer Leidenschaft für die Schauspielkunst. Durch ihre Spezialisierung auf Emotions-Coaching mit Fokus auf die Auflösung von Ängsten bringt sie eine ganzheitliche Herangehensweise in ihre Arbeit ein. Als Trainerin und Lehrcoach an der Coaching Akademie Berlin teilt sie ihr Wissen und ihre Begeisterung für transformative Veränderung. Petra Bernhardt bedient sich dabei einer Reihe inspirierender, systemisch-ressourcenorientierter Methoden und Werkzeuge sowie sehr wirksamer, körperfokussierter Techniken verbunden mit Schauspiel- und Hollywoodtechniken. Durch ihre Erfahrungen als Schauspielerin ist es Petra Bernhardt sehr bewusst, wie stark sich Körper und Geist gegenseitig beeinflussen. Daher hat sie sich darauf spezialisiert, den Körper aktiv in jeden Coaching Prozess einzubeziehen, um die KlientInnen so zu einer authentischen Präsenz und persönlichen Freiheit zu bringen.",0,15,EUR,QSA - Verband,https://schema.org/EventScheduled,2024-03-13T17:30:00Z,2024-03-13T20:00:00Z,Evening Shine - Der Körper im Coaching,"Entdecke die Verbindung zwischen Körper und Coaching bei ""Evening Shine"" am 13. März um 18:45 Uhr!",https://www.eventbrite.de/e/evening-shine-der-korper-im-coaching-tickets-837789509977,berlin,NA
NA,Keine Rückerstattungen,"Hi! Wir sind The League. Wir verstehen uns als eine Initiative für Frauen* und nicht-binäre Personen im Sportbusiness. Unsere Events (die sogenannten Matches) empowern, vernetzen und schaffen Synergien. Unsere Arbeit ist zu 100% ehrenamtlich. Sprich, dein Ticketkauf unterstützt uns dabei, unsere Matches mit spannenden Speaker*innen für euch möglich zu machen. Join us: The League BERLIN Match #3 in der adidas Sports Base - Gemeinsam gegen Sexismus – Workshop zu diskriminierungskritischen Ansätzen und Lösungen im Sport und Sportbusiness Anlässlich des feministischen Kampftages am 08. März zeigen viele Unternehmen, Agenturen und Vereine gerne öffentlich ihre Ablehnung von Sexismus. Doch wie nachhaltig sind solche Bekenntnisse wirklich? Um den tief verwurzelten Strukturen im Sport wirkungsvoll zu begegnen, bedarf es mehr als nur öffentlicher Statements und Kampagnen. In einem 60-minütigen Workshop - geleitet von Elisa Lierhaus und Dr. Solvejg Wolfers-Pommerenke - möchten wir gemeinsam die Grundlagen diskriminierungskritischer Ansätze am Arbeitsplatz beleuchten. Wir wollen Perspektiven und Lösungsansätze erörtern und die Bildung von Allianzen zur Stärkung dieser Ziele fördern. Seid am 13. März dabei, um gemeinsam einen Beitrag für eine inklusivere Arbeitsumgebung zu leisten! 🎤 Elisa Lierhaus: Sportpsychologin, ALBA Berlin & Union Berlin🎤 Dr. Solvejg Wolfers-Pommerenke: Sprachwissenschaftlerin, KickIn! & The League BERLIN Get your ticket now - first come, first serve! Für das perfekte Networking Event haben wir für alles gesorgt: 🪄 (Alkoholfreie) Drinks, die im Preis enthalten sind 🪄 Networking in entspannter Atmosphäre 🪄 Eine Location, die uns einen safer space ermöglicht⏰ Einlass ab 19.00 Uhr. Wir starten pünktlich um 19.30 Uhr mit dem Workshop. Wir freuen uns auf dich! Dein The League Berlin Team Solvejg, Camilla & Shawty Den Erlös der Tickets nutzen wir zu 100% für eine Aufwandsentschädigung für unsere Speaker *innen und Forograf* innen. *Solltest du aktuell finanziellen Herausforderungen ausgesetzt sein, möchten wir dir die Teilnahme an unser The League Event dennoch möglich machen. Schreib uns eine Nachricht an berlin@theleague-community.com 💌",17.17,17.17,EUR,The League,https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T21:00:00Z,The League BERLIN Match #3 - Gemeinsam gegen Sexismus – Workshop,The League BERLIN Match #3 - Gemeinsam gegen Sexismus – Workshop zu diskriminierungskritischen Ansätzen und Lösungen am Arbeitsplatz.,https://www.eventbrite.de/e/the-league-berlin-match-3-gemeinsam-gegen-sexismus-workshop-tickets-808936479787,berlin,Sold out
3 Stunden,Rückerstattungen bis zu 7 Tage vor dem Event,"Jetzt anmelden und LIVE dabei sein! Freuen Sie sich auf spannende Vorträge zum Thema Ektoparasiten und deren effektive Behandlung. Dr. Wieland Beck gibt Ihnen einen Überblick über die aktuellen Erkenntnisse und neuen Entwicklungen unserer heimischen Parasiten. Denn durch die klimatischen Veränderungen finden immer mehr Parasiten in Deutschland ganzjährig optimale Lebensbedingungen vor. Zecken, Flöhe und Milben sorgen zudem nicht nur für Juckreiz und entzündliche Hautreaktionen, sondern können auch gefährliche Krankheitserreger auf Mensch und Tier übertragen. Sichern Sie sich jetzt einen Platz (begrenzte Teilnehmer*innenzahl). Für diese Fortbildung werden 1 AG TFA-Stunden anerkannt!",29,29,EUR,Zoetis Deutschland GmbH,https://schema.org/EventScheduled,2024-03-13T17:30:00Z,2024-03-13T20:30:00Z,Tierisch gut beraten - Berlin 1,Fortbildungsveranstaltung für TFAs zum Thema Ektoparasiten und deren effektive Behandlung.,https://www.eventbrite.de/e/tierisch-gut-beraten-berlin-1-tickets-830390890507,berlin,NA
NA,Keine Rückerstattungen,"The easiest-to-make Kimchi coming your way! Kimchi is a fermented Korean side dish made of cabbage.Learn how to make it at home, from scratch, with no bacteria culture needed, so that you can easily replicate it any time you want. Get the tips where to buy the best ingredients and to make the process super efficient. Participants will first taste our home made kimchi at different ageing stages. You will get everything you need to make a delicious kimchi - you'll be guided step by step and will learn by doing. However, in the attempt to reduce unneeded consumption and reusing what we already have, we would ask you to BRING YOUR OWN JAR - either a big one or two smaller ones. If you don't have any, you'll be able to purchase one at the workshop for couple of euros:) Naturally you will take your kimchi home after you make it, along with the how-to notes. *The workshop is in English* *Please purchase your tickets carefully as there are no cancellations or refunds. The tickets are non transferable to other events / dates. If you decide / cannot join afterall, you can sell your ticket or give it to a friend!*",60.26,60.26,EUR,Plant Base,https://schema.org/EventScheduled,2024-03-13T18:00:00Z,2024-03-13T20:30:00Z,Kimchi Workshop - vegan,"The easiest-to-make Kimchi coming your way! Kimchi is a fermented Korean side dish made of cabbage.Learn how to make it at home, from scratc",https://www.eventbrite.de/e/kimchi-workshop-vegan-tickets-796131921007,berlin,Sold out
2 hours 30 minutes,Refunds up to 1 day before event,"Your new favorite comedy crash course in Berlin's bizarre love life! It's a night packed with 👏top-tier comedy, relentless laughs, and bonus: gratis love tips!! It's not an open mic, we hire experienced comedians use their well-tested material to entertain YOU! Come for the comedy, stay for more comedy! It's in English! English Stand Up Comedy, Babe! ⭐⭐⭐⭐⭐ “My jaw is hurting from all the laughs!!"" - Franziaka, Berlin ⭐⭐⭐⭐⭐ “It's so funny I laughed so hard, despite being German"" - German dude who loves karaoke ⭐⭐⭐⭐⭐ “This is my first time watching live stand-up comedy. It’s way better than my first time having sex!” - Cute girl with curly hair ⭐⭐⭐⭐⭐ “I was here last week, and I come back again this week with more friends. They all loved it too!” - Hot turkish guy from Luxembourg ⭐⭐⭐⭐⭐ ""I had a blast. Can't wait to come back!"" - Emilio, Argentina ⭐⭐⭐⭐⭐ ""Great vibes and even better jokes."" - Oliver, Australia ⭐⭐⭐⭐⭐ ""Each comedian is like a magician, turning words into laughter in ways I couldn't imagine. "" - Laila, Egypt ⭐⭐⭐⭐⭐ ""The host's energy lit up the room! Easily the best Asian comic in the city. Had us in stitches from start to finish. "" - John, UK ⭐⭐⭐⭐⭐ ""Each act was unique, it was incredible!"" - Lily, UK ⭐⭐⭐⭐⭐ ""These ladies are comedy powerhouses!"" - Anna, Poland ⭐⭐⭐⭐⭐ ""Berlin's best-kept secret :)"" - Kai, Germany ⭐⭐⭐⭐⭐ ""Not only was the comedy great, but the beer and cake were fantastic too! "" - Carlos, Spain ⭐⭐⭐⭐⭐ ""It's my go-to place for a guaranteed good laugh"" - Simone, Italy ⭐⭐⭐⭐⭐ ""Smart, sassy, and spot-on"" - Erik, Sweden ❤️‍🩹❤️‍🩹❤️‍🩹 Lineup ❤️‍🩹❤️‍🩹❤️‍🩹 🎤 Shannon Brooke 🇦🇺 (IG: @shanbrooke_comedy) 🎤 Nav Jain 🇮🇳 (IG: @iamnavjain) 🎤 Mihai Tartara 🇷🇴 (IG: @mihaithewerewolf) 🎤 Christoph Schmid 🇩🇪 🇻🇪 (IG: @topf.comedy) 🎤 Kourosh Mohebian 🇮🇷 (IG: @kouroshkj) 🎤 Host by Moni Zhang 🇨🇳 (IG: @moni.zhang.comedy) Winner of Berlin New Standup Award 2019 & Founder of Berlin Mental Health Festival. Moni is featured by BBC, Euronews, Scottish Field, and The Scotsman. She produces & performs stand up comedy shows all over Berlin and UK. Check more info at www.monizhang.com ### Where & When ### Wednesdays Doors open & drinks: 8.00pm Comedy Time: 8.30 - 10.30pm, with a break in between 📍 The Wall Comedy Club: Grünberger Str. 84, 10245 F'shain. Right at the corner of Boxhagener Platz. ### Ticket ### ❤️ Discover professional stand-up comedy without hidden costs. Our events prioritize quality with experienced comedians bring their well tested material. Oh, enjoy the quality comedy with some FREE shots & snacks, babe! 🎟️ Book Online, Pay at Door: 7€ 🎟️ No Reservation? 10€ We accept Cash & Card!",0,0,EUR,Crazy Noodle Comedy by Moni Zhang,https://schema.org/EventScheduled,2024-03-13T19:00:00Z,2024-03-13T21:30:00Z,Wednesday Stand-up Comedy @ The Wall Comedy Club in F'shain 13.03.24,"THE Stand-Up Comedy Show that prepares you for Berlin's dating scene, in English. Stand-up Comedy, Babe!",https://www.eventbrite.de/e/wednesday-stand-up-comedy-the-wall-comedy-club-in-fshain-130324-registration-843471494947,berlin,NA
2 Stunden,"Kontaktieren Sie den Veranstalter, um eine Rückerstattung anzufordern.","Ajam Quartet ist ein faszinierendes akustisches Fusion-Ensemble aus Berlin. Vier virtuose Musiker, jeder ein starker Vertreter seiner eigenen kulturellen Herkunft, haben sich zusammengefunden, um eine reizvolle Mischung verschiedener Stile und Genres zu schaffen, wie zum Beispiel Nahost- und jüdische Volksmusik, europäische Klassik, Jazz, Rock und eine Prise Berliner Wahnsinn.  Seit ihrer Gründung im Jahr 2018 hat die Band zwei Alben veröffentlicht: Migrating Tunes mit außergewöhnlichen Arrangements bekannter arabischer, türkischer und europäischer Klassiker sowie Echoes & Blossoms mit acht ausdrucksstarken Eigenkompositionen. In dem kommenden Konzert wird das Ajam Quartet die ausgewählten Stücke aus beiden Alben präsentieren, sowie neue Kompositionen, an denen die vier Künstler derzeit arbeiten. Verpassen Sie nicht dieses Juwel der Berliner Musikszene, das zu Recht als eines der besten Instrumentalensembles der Stadt gilt. Wassim Mukdad - Oud Alexey Kochetkov - Violine Or Rozenfeld - Kontrabass Peter Kuhnsch - Percussion https://www.ajamquartet.com Photo by Anton Tal  Mittwoch 13. März 2024 Start: 20 Uhr Einlass: 19 Uhr VVK 15,-€ / AK 20,-€Sofern noch Tickets verfügbar sind, wird es eine Abendkasse geben. Wir empfehlen den Vorverkauf zu nutzen. Tickets gibt es auch zu den Öffnungszeiten an der Bar im ART Stalker, hier fallen keine zusätzlichen online Gebühren an. Es wird bei den Tickets nur Barzahlung akzeptiert. Wir reservieren bei Veranstaltungen keine Tische, bei uns ist freie Platzwahl! Einlass ist immer eine Stunde vor Veranstaltungsbeginn. Liebe Eltern: da wir von Gesetzeswegen her als Club/Barbetrieb gelten, müssen Minderjährige nach der Veranstaltung gegen 22 Uhr die Location verlassen. Wir bitten um Verständnis! ART Stalker - Kunst+Bar+Events - Kaiser - Friedrich - Str. 67, 10627 Berlin / art-stalker.de / mail@art-stalker.de / Büro 10 - 16 Uhr: 0163 7374 229 / Office (EN)10AM - 4PM: 0152 2644 2625 / Bar ab 19 Uhr: 030 - 220 529 60 / aktuelle Öffnungszeiten der Bar: DI - SA ab 19 Uhr",15.99,15.99,EUR,ART Stalker,https://schema.org/EventScheduled,2024-03-13T19:00:00Z,2024-03-13T21:00:00Z,Ajam Quartet,"Nahost- und jüdische Volksmusik, europäische Klassik, Jazz, Rock und eine Prise Berliner Wahnsinn",https://www.eventbrite.de/e/ajam-quartet-tickets-796766679587,berlin,NA
