Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
2 horas,Comunicate con el organizador para solicitar un reembolso.,"Información sobre la Práctica 5Ritmos® es una práctica dinámica de movimiento que puede definirse, a la vez, como un ejercicio corporal, donde la invitación es transitar 5 Ritmos que constituyen nuestra esencia y la de todo lo que nos rodea, a través de una danza que prioriza el movimiento espontáneo y la expresión auténtica. Los 5Ritmos® Fluido, Staccato, Caos, Lírico y Quietud™ son formas de Ser. Son un mapa para cualquier lugar al que deseemos ir y en cualquier plano de consciencia: hacia el interior y el exterior, hacia el frente y de regreso, en el nivel físico, emocional o intelectual. La secuencia cíclica de movimiento de estos 5Ritmos se llama Ola. A través del movimiento podemos acceder a su pleno conocimiento integrándolo de tal forma que nos haga conscientes de cada estado que estamos atravesando en los procesos que vamos viviendo. La práctica de los 5Ritmos nos enseña que la vida es energía en movimiento, liberándonos de las nociones fijas sobre personas, lugares, objetos o ideas. Los participantes podrán experimentar una liberación de emociones o estrés lo que puede aportar mayor bienestar. ¿Cómo funciona la práctica? Con ayuda de algunas pautas que guían el recorrido y con música especialmente curada, nos sumergimos en un viaje sin interrupciones con un tiempo de transición adecuado para la exploración de cada uno de los ritmos: Fluido, Staccato, Caos, Lírico y Quietud. Que tiene como destino final la conexión con la sabiduría de nuestro cuerpo, el auto-conocimiento y el despertar de la conciencia. Finalmente, lo más importante para mi es generar un espacio donde puedas seguir el impulso de tu cuerpo, comprometiéndolo por completo en movimiento, soltando las formas y conectando con el propio ritmo. Aquí lo perfecto es auténtico. + INFO SOBRE LA PRÁCTICA: https://www.5rhythms.com/es/",6000,6000,ARS,Práctica de 5Ritmos®️ Con Brenda Cohen,https://schema.org/EventScheduled,2024-03-12T22:15:00Z,2024-03-13T00:15:00Z,5Ritmos MARTES 12 MARZO,5Ritmos® es una práctica de auto exploración a través del movimiento espontáneo y la expresión auténtica del ser.,https://www.eventbrite.com.ar/e/5ritmos-martes-12-marzo-tickets-846608497807,buenos_aires,NA
3 horas 30 minutos,Comunicate con el organizador para solicitar un reembolso.,NA,2000,2000,ARS,NA,https://schema.org/EventScheduled,2024-03-12T22:30:00Z,2024-03-13T02:00:00Z,CICLO DELART,Ciclo de artistas under en formato acústico,https://www.eventbrite.com.ar/e/ciclo-delart-tickets-845896508227,buenos_aires,NA
1 hora 40 minutos,Comunicate con el organizador para solicitar un reembolso.,"BNI es la Red de Negocios más grande del mundo. Desde hace más de 38 años, presente en más de 80 países y con más de 10.590 equipos de trabajo conformados; propone un método de hacer negocios con una interesante dinámica que se da en cada una de nuestras reuniones. Tendremos networking, invitados, momento de capacitación (potenciando los recursos de la red BNI) y mucho más . Podrás darte a conocer, contarnos tu ocupación, presentar tu empresa, y conocer este comprobado y exitoso sistema de relaciones. ¿Querés ser parte de esta experiencia y entrar a un circuito donde todos ganamos, dando?",5000,5000,ARS,BNI Impronta,https://schema.org/EventScheduled,2024-03-12T10:50:00Z,2024-03-12T12:30:00Z,VISITOR DAY BNI IMPRONTA - ¡Cupos Limitados!,"El próximo martes 12/03, a las 7.50 hs, damos comienzo a un nuevo Desayuno de Negocios para empresarios, profesionales y emprendedores",https://www.eventbrite.com.ar/e/visitor-day-bni-impronta-cupos-limitados-tickets-851526949027,buenos_aires,NA
2 hours 30 minutes,Contact the organizer to request a refund.,NA,2000,2000,ARS,Plan O Secuencia,https://schema.org/EventScheduled,2024-03-12T22:30:00Z,2024-03-13T01:00:00Z,El cadaver de la novia  - en POST STREET BAR - PoS,Te esperamos con El cadaver de la novia  en idioma original con subs en castellano - PoS,https://www.eventbrite.com.ar/e/el-cadaver-de-la-novia-en-post-street-bar-pos-tickets-856063217127,buenos_aires,NA
3 horas,Comunicate con el organizador para solicitar un reembolso.,¡Hola! Somos Cruz Vinos y estamos muy contentos de anunciar esta Cata junto a Escorihuela Gascón con Sushi de Cruz Omakase! La cata incluye: 🍷7 etiquetas de vinos: Escorihuela Gascón Extra Brut RoséEscorihuela Gascón ChardonnayEscorihuela Gascón Sauvignon BlancEscorihuela Gascón SangioveseEscorihuela Gascón Pinot NoirEscorihuela Gascón Pequeñas Producciones MalbecEscorihuela Gascón Pequeñas Producciones Cabernet Sauvignon 🍣 Sushi Cruz Omakase: Hako Sushi - Tartar de Salmón/Pesca del día5 Varidades de Nigiris *Consultar por opción vegetariana🍫 Chocolates Rapanui 🏷️ ¡Además tenés un 20% en tus compras luego de la cata! ¡Te esperamos en nuestro local para disfrutar juntos! 📍 Amenábar 1148 CABA 📲 WhatsApp +54 9 11 3047-0442 Saber elegir es saber disfrutar💫 EN CASO DE NO PODER ASISTIR AL EVENTO SE DEBE COMUNICAR CON 48HS DE ANTICIPACIÓN AL ORGANIZADOR. DE LO CONTRARIO SE COBRARÁ EL 100% DE LA RESERVA SIN EXCEPCIÓN.,17000,17000,ARS,Cruz Vinos,https://schema.org/EventScheduled,2024-03-12T23:00:00Z,2024-03-13T02:00:00Z,Cata Escorihuela Gascón,Cata de 7 etiquetas de vino Escorihuela Gascón con Sushi de Cruz Omakase,https://www.eventbrite.com.ar/e/cata-escorihuela-gascon-tickets-848789350797,buenos_aires,NA
2 horas,Comunicate con el organizador para solicitar un reembolso.,"Andrew Dufresne es un hombre inocente que es acusado del asesinato de su mujer. Tras ser condenado a cadena perpetua, es enviado a la cárcel de Shawshank, en Maine. Con el paso de los años, Andrew conseguirá ganarse la confianza del director del centro y el respeto de los otros convictos, especialmente de Red, el jefe de la mafia.",2000,2000,ARS,Plan O Secuencia,https://schema.org/EventScheduled,2024-03-12T23:00:00Z,2024-03-13T01:00:00Z,The Shawshank redemption - en el patio de CABA -PoS,Te esperamos con The Shawshank redemption en idioma original subs en castellano - PoS,https://www.eventbrite.com.ar/e/the-shawshank-redemption-en-el-patio-de-caba-pos-tickets-856060238217,buenos_aires,NA
NA,Refunds up to 30 days before event,"Money doesn't grow on trees, good employees takes effort to find. If you want to have a nice team, working for you like a well oiled machine, you will have to build that team, with your own bare hands. You will have to learn the skill on how to build that team. Like any building projects - start with high quality material. You hate: getting conned and fooled, by cheating/lying scammers, again. You believe: Fool me once, shame on? Fool me twice?? shame on ??? You love: Learn the skills needed to attract and test good candidates. You want: practical down to earth straight education, without sugar coating. Save time and take this  short 1/2 hour class, that's jam packed with reality based truthful insights and wisdom that will solve problems in the real world. ""It was my old thinking that was causing me to attract all the wrong candidates to apply for jobs with me, and suing me for providing them a livelihood! This class from Coach Michael Lin turned my thinking around 180 degrees, and I am no longer attracting the wrong kind of applicants!"" ""Now I know which resume to delete, and which resume to call - saving so much time!"" ""I used to get lied to a lot during interviews, and I had no idea I was being lied to! I now know how to avoid being tricked! Take this class so you will become an effective lie detector!"" 1: Delegation Skills for Busy Leaders - Why & How 2: How To Motivate & Inspire Your Employees? Young Employees? 3: How to Overcome Employee's Resistance To Change? 4: How to Create Genuine and Sincere Employee Loyalty? 5: How to Manage the 4 Different Types of Younger Employees? 6: How to Successfully Coach Your Employees? 7: Is being friends with your employees a good idea? or a bad idea? 8: How To Get Your Best Employees To Stay For As Long As Possible? 9: How To Avoid Costly Hiring Mistakes? 10: How to Overcome Your Anxiety with Discipline and Termination? 11: Seven Secrets for Your Leadership Success that They Won't Teach You! Thousands of business leaders, from hundreds of organizations and associations, in dozens of industries, have attended his Leadership Seminars, Workshops, Keynote Sessions & 1-on-1 Coaching sessions. His leadership seminar students love his unique teaching content, as well as his unique teaching method. He is the best, at: ● Discovering what is in people's blindspot that is holding them back, causing internal conflicts deep down inside; ● Effectively teaching his students new ways of understanding their situations, therefore helping them to resolve the conflicts in their thinking, so they can become more productive - instantly! +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Coach Michael Lin came out of the tech industry, and uses his superb analytical skills to dissect business challenges. He has deep insights into human nature, which he uses to help people to solve their business challenges. His analysis and solutions are all based on Emotional Intelligence, not on how we wish humans ought to be, but based on what humans actually are. Managers & Leaders from over 500 organizations across many industries have attended seminars and workshops taught by Coach Michael Lin. Example industries are: - Airports - Automobile Manufacturers - Aviation Companies - Banks & Credit Unions - Casinos - Charities - Churches - Courts (State and County) - Fire, Police & Sheriff Depts - Food Companies - Governments - Hospitals - Hotel Chains - Insurance Companies - Railroad Companies - School Districts - Technology Companies - Universities - Etc Etc. 1: What makes other people tick? Employees who report to us? Our peer managers & leaders? Outside customers? Outside vendors? Shareholders? Upper management? 2: How to identify the right incentives - for other people? Why should we not confuse “the right incentive for ourselves"" with ""the right incentive for others”? How to utilize our insights into short term vs long term pain & pleasure to influence, persuade and help others, to create Win/Win outcomes for everyone? 3: How to advance our own careers, by going out of our way to: help others?! solve other people's problems?! Why do we need to understand the big picture of the corporation (not just ""my department"") and solve problems for the entire corporation? 4: ""Software Upgrade"" in our heads, from employee thinking (my hours for my salary), into business thinking: what do customers need and want? how to provide goods/services for customers? What hardware & human capabilities do we have? how to inspire employees to want to give their best - using non monetary incentives? How to create win/win for everyone? customers, shareholders, employees, and managers/leaders? 5: Why Confidence Building by practicing Fear Busting is the key to Self Development? How can we constantly expand our comfort zone, by doing things we know we should do, but don't do - due to fear? +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is an Interview/Article by Coach Michael Lin on ""Moving From Command & Control to Coaching & Collaboration: How Leaders and Managers Can Become Better Coaches - the Why, the What, and the How"": https://medium.com/authority-magazine/moving-from-command-control-to-coaching-collaboration-michael-lin-on-how-leaders-and-managers-64fdf22eaa71 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a list of two dozen people telling us what they thought of the teaching, after they've attended the seminar or workshop by Coach Michael Lin: (These people range from brand new managers to highly experienced leaders, from various private sectors to the government...) https://youtu.be/_jPxflr1LV8 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a short sample of Coach Michael Lin in action, helping managers to get over their fears and grow into Real Leaders, so they can do what they are afraid of doing but need to be doing: https://youtu.be/Wc4GylRBQ6U +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here are over a dozen media interviews, in which Coach Michael Lin answers tough questions from journalists on leadership: https://www.linkedin.com/in/coachmichaellin/recent-activity/videos/ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ We have all attended those waste of time seminars that are: Why bring another one of those waste of time seminars to your company? And force employees to endure the ordeal? Be a real hero, bring a seminar that your employees will: And when leaders improve? everyone in the company gets to enjoy the benefit: from team members to shareholders! And all of them will be thanking you for organizing training that's useful!",29.99,29.99,USD,Coach Michael Lin,https://schema.org/EventScheduled,2024-03-12T11:30:00Z,2024-03-12T12:00:00Z,Buenos Aires Leadership Secret: How To Avoid Costly Hiring Mistakes?,"You should attend if you are a manager or a business owner, managing a team of employees, or managing a team of managers.",https://www.eventbrite.com/e/buenos-aires-leadership-secret-how-to-avoid-costly-hiring-mistakes-tickets-812789875397,buenos_aires,Sold out
NA,Refunds up to 30 days before event,"After you take the class, you will figure out: Why it's impossible for them to teach you these secrets This class is ONLY for those managers who want to expand their own comfort zones, hear the truth, willing to do what has to be done, and want to overcome this challenge. You need to do/learn/hear what is necessary! And what you need to hear (not what you want to hear) are outside of your current awareness, they are outside of your current comfort zone. But you have a long history of expanding your comfort zone, right? You are not the sort of person who spends 100% of their intellectual, mental and emotional energy fighting to stay inside their comfort zone, are you? The type of person who insists on only hearing what they want to hear, and refuses to hear what they need to hear?  You are busy, that's why this class is ""On-demand""! As soon as you register, you'll be able to take the class! Or come back to the class if you get interrupted! 1: Delegation Skills for Busy Leaders - Why & How 2: How To Motivate & Inspire Your Employees? Young Employees? 3: How to Overcome Employee's Resistance To Change? 4: How to Create Genuine and Sincere Employee Loyalty? 5: How to Manage the 4 Different Types of Younger Employees? 6: How to Successfully Coach Your Employees? 7: Is being friends with your employees a good idea? or a bad idea? 8: How To Get Your Best Employees To Stay For As Long As Possible? 9: How To Avoid Costly Hiring Mistakes? 10: How to Overcome Your Anxiety with Discipline and Termination? 11: Seven Secrets for Your Leadership Success that They Won't Teach You! Thousands of business leaders, from hundreds of organizations and associations, in dozens of industries, have attended his Leadership Seminars, Workshops, Keynote Sessions & 1-on-1 Coaching sessions. His leadership seminar students love his unique teaching content, as well as his unique teaching method. He is the best, at: ● Discovering what is in people's blindspot that is holding them back, causing internal conflicts deep down inside; ● Effectively teaching his students new ways of understanding their situations, therefore helping them to resolve the conflicts in their thinking, so they can become more productive - instantly! +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Coach Michael Lin came out of the tech industry, and uses his superb analytical skills to dissect business challenges. He has deep insights into human nature, which he uses to help people to solve their business challenges. His analysis and solutions are all based on Emotional Intelligence, not on how we wish humans ought to be, but based on what humans actually are. Managers & Leaders from over 500 organizations across many industries have attended seminars and workshops taught by Coach Michael Lin. Example industries are: - Airports - Automobile Manufacturers - Aviation Companies - Banks & Credit Unions - Casinos - Charities - Churches - Courts (State and County) - Fire, Police & Sheriff Depts - Food Companies - Governments - Hospitals - Hotel Chains - Insurance Companies - Railroad Companies - School Districts - Technology Companies - Universities - Etc Etc. 1: What makes other people tick? Employees who report to us? Our peer managers & leaders? Outside customers? Outside vendors? Shareholders? Upper management? 2: How to identify the right incentives - for other people? Why should we not confuse “the right incentive for ourselves"" with ""the right incentive for others”? How to utilize our insights into short term vs long term pain & pleasure to influence, persuade and help others, to create Win/Win outcomes for everyone? 3: How to advance our own careers, by going out of our way to: help others?! solve other people's problems?! Why do we need to understand the big picture of the corporation (not just ""my department"") and solve problems for the entire corporation? 4: ""Software Upgrade"" in our heads, from employee thinking (my hours for my salary), into business thinking: what do customers need and want? how to provide goods/services for customers? What hardware & human capabilities do we have? how to inspire employees to want to give their best - using non monetary incentives? How to create win/win for everyone? customers, shareholders, employees, and managers/leaders? 5: Why Confidence Building by practicing Fear Busting is the key to Self Development? How can we constantly expand our comfort zone, by doing things we know we should do, but don't do - due to fear? +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is an Interview/Article by Coach Michael Lin on ""Moving From Command & Control to Coaching & Collaboration: How Leaders and Managers Can Become Better Coaches - the Why, the What, and the How"": https://medium.com/authority-magazine/moving-from-command-control-to-coaching-collaboration-michael-lin-on-how-leaders-and-managers-64fdf22eaa71 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a list of two dozen people telling us what they thought of the teaching, after they've attended the seminar or workshop by Coach Michael Lin: (These people range from brand new managers to highly experienced leaders, from various private sectors to the government...) https://youtu.be/_jPxflr1LV8 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a short sample of Coach Michael Lin in action, helping managers to get over their fears and grow into Real Leaders, so they can do what they are afraid of doing but need to be doing: https://youtu.be/Wc4GylRBQ6U +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here are over a dozen media interviews, in which Coach Michael Lin answers tough questions from journalists on leadership: https://www.linkedin.com/in/coachmichaellin/recent-activity/videos/ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ We have all attended those waste of time seminars that are: Why bring another one of those waste of time seminars to your company? And force employees to endure the ordeal? Be a real hero, bring a seminar that your employees will: And when leaders improve? everyone in the company gets to enjoy the benefit: from team members to shareholders! And all of them will be thanking you for organizing training that's useful!",29.99,29.99,USD,Coach Michael Lin,https://schema.org/EventScheduled,2024-03-12T13:00:00Z,2024-03-12T13:30:00Z,Buenos Aires Leadership: 7 Secrets for Your Success They Won't Teach You!,"If you want others to give you fish, this class is NOT for you. If you want to learn how to fish on your own, this class is for you!",https://www.eventbrite.com/e/buenos-aires-leadership-7-secrets-for-your-success-they-wont-teach-you-tickets-812788681827,buenos_aires,Sold out
NA,Refunds up to 30 days before event,"Before you had employees, all you had to do was to make sure you are a high performer yourself. You know why you wanted to get up early in the morning, fight traffic, and get to work. You now have employees. How do you get other people to want to produce high performance? How do get others to be as eager as you are? Everyone is ""uniquely different"", with their own set of reasons, their own set of whys: 200 people on the same airplane flying from Los Angeles to New York, they are going from Los Angeles to New York for 200 different reasons! You are going to New York for your own reasons. The other 199 passengers are also going to New York, but they are going for their own reasons. Same trip, same destination, different reasons. In just 1 hour, you will learn the skill to get your employees to Want to do what you Need them to do. This class is ""On-Demand"". As soon as you register, you will be able to attend the class. There is no need to wait. ""I was frustrated when I couldn't get my employees to be as eager as me. After taking this class, I realized: I was trying to project my reasons and my whys onto my employees LOL other people are not me and they have their own reasons and their whys!"" ""I could not get my employees to tell me what they wanted until I took this class. In this great class, I learned how to set it up so people will always want to volunteer to tell me what I needed to know - I had no idea how easy it can be if you know the right method and my old method was hard work and counterproductive!"" ""Should've taken this class with Coach Michael Lin 5 years ago when I first had employees. I wish I learned all these secret insights 5 years ago! Don't make my mistake - you need to take this class ASAP!"" 1: Delegation Skills for Busy Leaders - Why & How 2: How To Motivate & Inspire Your Employees? Young Employees? 3: How to Overcome Employee's Resistance To Change? 4: How to Create Genuine and Sincere Employee Loyalty? 5: How to Manage the 4 Different Types of Younger Employees? 6: How to Successfully Coach Your Employees? 7: Is being friends with your employees a good idea? or a bad idea? 8: How To Get Your Best Employees To Stay For As Long As Possible? 9: How To Avoid Costly Hiring Mistakes? 10: How to Overcome Your Anxiety with Discipline and Termination? 11: Seven Secrets for Your Leadership Success that They Won't Teach You! Thousands of business leaders, from hundreds of organizations and associations, in dozens of industries, have attended his Leadership Seminars, Workshops, Keynote Sessions & 1-on-1 Coaching sessions. His leadership seminar students love his unique teaching content, as well as his unique teaching method. He is the best, at: ● Discovering what is in people's blindspot that is holding them back, causing internal conflicts deep down inside; ● Effectively teaching his students new ways of understanding their situations, therefore helping them to resolve the conflicts in their thinking, so they can become more productive - instantly! +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Coach Michael Lin came out of the tech industry, and uses his superb analytical skills to dissect business challenges. He has deep insights into human nature, which he uses to help people to solve their business challenges. His analysis and solutions are all based on Emotional Intelligence, not on how we wish humans ought to be, but based on what humans actually are. Managers & Leaders from over 500 organizations across many industries have attended seminars and workshops taught by Coach Michael Lin. Example industries are: - Airports - Automobile Manufacturers - Aviation Companies - Banks & Credit Unions - Casinos - Charities - Churches - Courts (State and County) - Fire, Police & Sheriff Depts - Food Companies - Governments - Hospitals - Hotel Chains - Insurance Companies - Railroad Companies - School Districts - Technology Companies - Universities - Etc Etc. 1: What makes other people tick? Employees who report to us? Our peer managers & leaders? Outside customers? Outside vendors? Shareholders? Upper management? 2: How to identify the right incentives - for other people? Why should we not confuse “the right incentive for ourselves"" with ""the right incentive for others”? How to utilize our insights into short term vs long term pain & pleasure to influence, persuade and help others, to create Win/Win outcomes for everyone? 3: How to advance our own careers, by going out of our way to: help others?! solve other people's problems?! Why do we need to understand the big picture of the corporation (not just ""my department"") and solve problems for the entire corporation? 4: ""Software Upgrade"" in our heads, from employee thinking (my hours for my salary), into business thinking: what do customers need and want? how to provide goods/services for customers? What hardware & human capabilities do we have? how to inspire employees to want to give their best - using non monetary incentives? How to create win/win for everyone? customers, shareholders, employees, and managers/leaders? 5: Why Confidence Building by practicing Fear Busting is the key to Self Development? How can we constantly expand our comfort zone, by doing things we know we should do, but don't do - due to fear? +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is an Interview/Article by Coach Michael Lin on ""Moving From Command & Control to Coaching & Collaboration: How Leaders and Managers Can Become Better Coaches - the Why, the What, and the How"": https://medium.com/authority-magazine/moving-from-command-control-to-coaching-collaboration-michael-lin-on-how-leaders-and-managers-64fdf22eaa71 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a list of two dozen people telling us what they thought of the teaching, after they've attended the seminar or workshop by Coach Michael Lin: (These people range from brand new managers to highly experienced leaders, from various private sectors to the government...) https://youtu.be/_jPxflr1LV8 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a short sample of Coach Michael Lin in action, helping managers to get over their fears and grow into Real Leaders, so they can do what they are afraid of doing but need to be doing: https://youtu.be/Wc4GylRBQ6U +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here are over a dozen media interviews, in which Coach Michael Lin answers tough questions from journalists on leadership: https://www.linkedin.com/in/coachmichaellin/recent-activity/videos/ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ We have all attended those waste of time seminars that are: Why bring another one of those waste of time seminars to your company? And force employees to endure the ordeal? Be a real hero, bring a seminar that your employees will: And when leaders improve? everyone in the company gets to enjoy the benefit: from team members to shareholders! And all of them will be thanking you for organizing training that's useful!",29.99,29.99,USD,Coach Michael Lin,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T17:00:00Z,Buenos Aires Leadership Secret: How To Motivate & Inspire Your Employees?,"You should attend if you are a manager or a business owner, managing a team of employees, or managing a team of managers.",https://www.eventbrite.com/e/buenos-aires-leadership-secret-how-to-motivate-inspire-your-employees-tickets-812788711917,buenos_aires,Sold out
NA,Refunds up to 30 days before event,"And you need to acquire the leadership skills to build your team into a well oiled machine. Take this class, learn leadership skills that's 100% based in real world insight and wisdom, so you can catapult you and your team to the next level of success! 1: Delegation Skills for Busy Leaders - Why & How 2: How To Motivate & Inspire Your Employees? Young Employees? 3: How to Overcome Employee's Resistance To Change? 4: How to Create Genuine and Sincere Employee Loyalty? 5: How to Manage the 4 Different Types of Younger Employees? 6: How to Successfully Coach Your Employees? 7: Is being friends with your employees a good idea? or a bad idea? 8: How To Get Your Best Employees To Stay For As Long As Possible? 9: How To Avoid Costly Hiring Mistakes? 10: How to Overcome Your Anxiety with Discipline and Termination? 11: Seven Secrets for Your Leadership Success that They Won't Teach You! Thousands of business leaders, from hundreds of organizations and associations, in dozens of industries, have attended his Leadership Seminars, Workshops, Keynote Sessions & 1-on-1 Coaching sessions. His leadership seminar students love his unique teaching content, as well as his unique teaching method. He is the best, at: ● Discovering what is in people's blindspot that is holding them back, causing internal conflicts deep down inside; ● Effectively teaching his students new ways of understanding their situations, therefore helping them to resolve the conflicts in their thinking, so they can become more productive - instantly! +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Coach Michael Lin came out of the tech industry, and uses his superb analytical skills to dissect business challenges. He has deep insights into human nature, which he uses to help people to solve their business challenges. His analysis and solutions are all based on Emotional Intelligence, not on how we wish humans ought to be, but based on what humans actually are. Managers & Leaders from over 500 organizations across many industries have attended seminars and workshops taught by Coach Michael Lin. Example industries are: - Airports - Automobile Manufacturers - Aviation Companies - Banks & Credit Unions - Casinos - Charities - Churches - Courts (State and County) - Fire, Police & Sheriff Depts - Food Companies - Governments - Hospitals - Hotel Chains - Insurance Companies - Railroad Companies - School Districts - Technology Companies - Universities - Etc Etc. 1: What makes other people tick? Employees who report to us? Our peer managers & leaders? Outside customers? Outside vendors? Shareholders? Upper management? 2: How to identify the right incentives - for other people? Why should we not confuse “the right incentive for ourselves"" with ""the right incentive for others”? How to utilize our insights into short term vs long term pain & pleasure to influence, persuade and help others, to create Win/Win outcomes for everyone? 3: How to advance our own careers, by going out of our way to: help others?! solve other people's problems?! Why do we need to understand the big picture of the corporation (not just ""my department"") and solve problems for the entire corporation? 4: ""Software Upgrade"" in our heads, from employee thinking (my hours for my salary), into business thinking: what do customers need and want? how to provide goods/services for customers? What hardware & human capabilities do we have? how to inspire employees to want to give their best - using non monetary incentives? How to create win/win for everyone? customers, shareholders, employees, and managers/leaders? 5: Why Confidence Building by practicing Fear Busting is the key to Self Development? How can we constantly expand our comfort zone, by doing things we know we should do, but don't do - due to fear? +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is an Interview/Article by Coach Michael Lin on ""Moving From Command & Control to Coaching & Collaboration: How Leaders and Managers Can Become Better Coaches - the Why, the What, and the How"": https://medium.com/authority-magazine/moving-from-command-control-to-coaching-collaboration-michael-lin-on-how-leaders-and-managers-64fdf22eaa71 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a list of two dozen people telling us what they thought of the teaching, after they've attended the seminar or workshop by Coach Michael Lin: (These people range from brand new managers to highly experienced leaders, from various private sectors to the government...) https://youtu.be/_jPxflr1LV8 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a short sample of Coach Michael Lin in action, helping managers to get over their fears and grow into Real Leaders, so they can do what they are afraid of doing but need to be doing: https://youtu.be/Wc4GylRBQ6U +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here are over a dozen media interviews, in which Coach Michael Lin answers tough questions from journalists on leadership: https://www.linkedin.com/in/coachmichaellin/recent-activity/videos/ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ We have all attended those waste of time seminars that are: Why bring another one of those waste of time seminars to your company? And force employees to endure the ordeal? Be a real hero, bring a seminar that your employees will: And when leaders improve? everyone in the company gets to enjoy the benefit: from team members to shareholders! And all of them will be thanking you for organizing training that's useful!",29.99,29.99,USD,Coach Michael Lin,https://schema.org/EventScheduled,2024-03-12T12:30:00Z,2024-03-12T13:00:00Z,Buenos Aires: How To Get Your Best Employees To Stay As Long As Possible?,"You should attend if you are a manager or a business owner, managing a team of employees, or managing a team of managers.",https://www.eventbrite.com/e/buenos-aires-how-to-get-your-best-employees-to-stay-as-long-as-possible-tickets-812789173297,buenos_aires,Sold out
