Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
2 hours,Mobile eTicket,No Refunds,"BrainStorm / Prāta Vētra coming to UK and Ireland in spring 2024. The band prolongs two-year concert tour “Gads bez kalendāra” and will perform songs from latest releases “Pagalmi” and “Lonesome Moon / Gads bez kalendāra” as well as their most popular songs.  “We had so much fun last time touring the UK and Ireland! The stage-dive moment in London was one of a kind! Let’s meet each other and enjoy the spring time in Birmingham, London and Dublin,” comments the band.  Concert will take place at Dublin's newest multi-purpose event complex  THE WAREHOUSE DUBLIN located at the Red Cow, Address: The Red Cow Complex, Naas Rd, Redcow, Clondalkin, Co. Dublin 22 Entry doors through ""Buzz Late Night Venue""  Doors: 18:30 Start: 19:30  AGE:  +8 (all children must be supervised the whole time by the parent or adult). No refund policy applies, all sales are final",33.15,86.78,EUR,MainStage Events,https://schema.org/EventScheduled,2024-03-10T19:30:00Z,2024-03-10T21:30:00Z,BRAINSTORM - DUBLIN,BrainStorm / Prāta Vētra coming to Ireland in spring 2024.,https://www.eventbrite.ie/e/brainstorm-dublin-tickets-733802030627,dublin
6 hours,Mobile eTicket,No Refunds,"Kidysard Family Raves in The Bernard Shaw, Drumcondra Kidsyard Rave is an inclusive family experience where parents can have just as much fun as their kids. Presented by Bodytonic, old ravers can relive their youth with their kids (and without the hangover!) at our fun filled family friendly raves. Mums, Dads, Grandparents, Aunties, Uncles and kids are all encouraged to hit the dance floor and have fun. Dancing with your kids is the ultimate sensory experience as kids love seeing the grownups in their lives letting loose and having a good time! Kidsyard Rave will include glowstick crafts, face painting and bubbles with parachute games on the dancefloor… AND incredible dance tunes  & disco lighting. It’s going to be epic!  | Adults €10.00+BF | Kids €5.00+BF | Under 1 free of charge  WHAT TO EXPECT ⭐ Glow Stick Crafts ⭐ Face Painting ⭐ Bubbles ⭐ Parachute Games ⭐ Music at safe levels (we recommend ear protectors for children under 2 years) ⭐ Buggy Park ⭐ Kids Menu available   INFO ⭐ Babies under one year are free of charge. All other children require a child ticket. ⭐ No adults admitted without a child.  ⭐ Tickets are non-refundable are and not to be resold. ⭐ Parents remain responsible for children at all times. Children must remain under supervision. ⭐ Buggies should be kept in buggy park area and not taken onto the dance floor.  ⭐ A licensed bar will be available as well as full cafe menu ⭐ Food is available all day - see the menu here thebernardshaw.com/menu A﻿ny questions, shoot us an email info@thebernardshaw.com Tickets €10 Adults | €5 kids | under 1s go free Age 0 – 10 years  ",5.5,11,EUR,Bodytonic,https://schema.org/EventScheduled,2024-03-10T12:00:00Z,2024-03-10T18:00:00Z,Kidsyard Family Rave at The Bernard Shaw | Mother's Day Special,"Kidsyard Family Raves are an inclusive experience, somewhere where the parents can have as much fun as the kids!",https://www.eventbrite.ie/e/kidsyard-family-rave-at-the-bernard-shaw-mothers-day-special-tickets-805257636267,dublin
6 hours,Mobile eTicket,No Refunds,"Kidysard Family Raves in The Lighthouse, Dun Laoghaire Kidsyard Rave is an inclusive family experience where parents can have just as much fun as their kids. Presented by Bodytonic, old ravers can relive their youth with their kids (and without the hangover!) at our fun filled family friendly raves. Mums, Dads, Grandparents, Aunties, Uncles and kids are all encouraged to hit the dance floor and have fun. Dancing with your kids is the ultimate sensory experience as kids love seeing the grownups in their lives letting loose and having a good time! Kidsyard Rave will include glowstick crafts, face painting and bubbles with parachute games on the dancefloor… AND incredible dance tunes  & disco lighting. It’s going to be epic!  | Adults €10.00+BF | Kids €5.00+BF | Under 1 free of charge  WHAT TO EXPECT ⭐ Glow Stick Crafts ⭐ Face Painting ⭐ Bubbles ⭐ Parachute Games ⭐ Music at safe levels (we recommend ear protectors for children under 2 years) ⭐ Buggy Park ⭐ Kids Menu available   INFO ⭐ Babies under one year are free of charge. All other children require a child ticket. ⭐ No adults admitted without a child.  ⭐ Tickets are non-refundable are and not to be resold. ⭐ Parents remain responsible for children at all times. Children must remain under supervision. ⭐ Buggies should be kept in buggy park area and not taken onto the dance floor.  ⭐ A licensed bar will be available as well as full cafe menu ⭐ Food is available all day - see the menu here lighthousedublin.com/menu A﻿ny questions, shoot us an email info@lighthousedublin.com Tickets €10 Adults | €5 kids | under 1s go freeAge 0 – 10 years  ",5.5,11,EUR,Bodytonic,https://schema.org/EventScheduled,2024-03-10T12:00:00Z,2024-03-10T18:00:00Z,Kidsyard Family Rave at The Lighthouse | Mother's Day Special,"Kidsyard Family Raves are an inclusive experience, somewhere where the parents can have as much fun as the kids!",https://www.eventbrite.ie/e/kidsyard-family-rave-at-the-lighthouse-mothers-day-special-tickets-805268689327,dublin
3 hours,Mobile eTicket,Contact the organiser to request a refund.,"Brown Thomas invites you to the ultimate girls day out to celebrate Mother's Day. Join us in The Westbury Hotel for an exclusive event filled with fashion, beauty and fun featuring Lauren Faires, renowned as @theshopper_x on Instagram and Brown Thomas Beauty Style Team, Elena Costello and Aidan Corcoran. Lauren Faires, @theshopper_x , will host an exclusive fashion master class, guiding you through the art of building your dream wardrobe foundation using her perfected formula. This approach ensures a flawless base, allowing you to effortlessly incorporate trendy pieces as desired. Lauren is joined on the day by the Brown Thomas Beauty Style Team, Elena Costello and Aidan Corcoran, who will showcase a beauty demonstration on model and Coops cocktails founder Joanna Cooper. The Beauty Style Team will use their expertise to spotlight the essential products you need to create your beauty wardrobe Tickets for this exclusive experience are priced at €50, fully redeemable in-store across Womenswear Own Buy Fashion, Beauty, and Accessories on Sunday 10th March. For more details on Own Buy Product, kindly inquire with a member of our team. All tickets are final sale and there are no refunds available. Event Details:",54.6,54.6,EUR,Brown Thomas,https://schema.org/EventScheduled,2024-03-10T12:00:00Z,2024-03-10T15:00:00Z,Brown Thomas Presents... The Ultimate Girls Day Out!,Brown Thomas is delighted to welcome you to The Westbury to celebrate Mother's Day,https://www.eventbrite.ie/e/brown-thomas-presents-the-ultimate-girls-day-out-tickets-847147600277,dublin
4 hours,Mobile eTicket,Contact the organiser to request a refund.,"The Directed by Her Slumber Party includes screenings of music videos, video art and experimental pieces directed by various FLINTA directors from Ireland and internationally. The work is to be viewed as a full audio-visual experience, with a set from an experimental DJ (TBA). As well as including fun pop-ups, catering from Puff n'Buns and more this Slumber Party is not to be missed!  The Racket Space venue located in the Bernard Shaw basement accommodates for the screening of the music videos, the sound system needed and the dance floor!  Brought to you by The GALPAL Collective",5,10,EUR,The GALPAL Collective,https://schema.org/EventScheduled,2024-03-10T19:00:00Z,2024-03-10T23:00:00Z,Directed by Her - The Slumber Party @ The Racket Space,"Come join us for our slumber party at The Racket Space, with works featured as part of Directed by Her!",https://www.eventbrite.ie/e/directed-by-her-the-slumber-party-the-racket-space-tickets-842787589367,dublin
8 hours 30 minutes,Mobile eTicket,Contact the organiser to request a refund.,"Join us for a special Mother’s Day celebration at the Green Isle Hotel on March 10th, 2024. We’re hosting a tribute to the legendary Tina Turner, performed by the talented Amanda Lane and her band, Proud Mary & Her City Limits. The evening will kick off with doors opening at 4pm, followed by a sumptuous three-course meal at 5pm. At 6pm, get ready to be enthralled by live music featuring Amanda Lane performing some of Tina Turner’s greatest hits, including “Simply The Best”. But the fun doesn’t stop there! From 8:30pm onwards, we’ll have a DJ to keep the party going into the night. ADULTS ONLY Don’t miss out on this unforgettable evening of food, music, and celebration! Sunday, March 10, 2024 Doors open: 4:00 PM Three-course meal/Finger Food: 5:00 PM Live music: 6:00 PM DJ: from 8:30 PM",33.1,54.55,EUR,Green Isle Hotel,https://schema.org/EventScheduled,2024-03-10T16:00:00Z,2024-03-11T00:30:00Z,Mother's Day - Tina Turner Tribute: Proud Mary & Her City Limits Band,"Join us for a special Mother’s Day celebration at the Green Isle Hotel on March 10th, 2024",https://www.eventbrite.ie/e/mothers-day-tina-turner-tribute-proud-mary-her-city-limits-band-tickets-728699809747,dublin
2 hours,Mobile eTicket,Contact the organiser to request a refund.,"Paint A Canvas Using Florescent Paint With Music And Prizes. Our team will take each person step by step into creating a masterpiece with no experience necessary. Create a painting under UV Lights and do something very different. WHAT TO EXPECT? Artist (to help you paint) Themed Painting Prizes Music UV Lights DO YOU DO PRIVATE EVENTS? Yes, we host private events, brand events, hen parties, and work parties. Contact us on alternativedublincity@gmail.com WHERE IS THE VENUE LOCATED? The new space is located in Pawn Shop on Dame Street. IS THERE ALCOHOL? Yes, the bar has alcohol for sale. There is no BYOB option. IS IT WHEELCHAIR ACCESSIBLE? Unfortunately not, this venue is not wheelchair accessible but we do events in other venues which are. DO YOU DO KIDS EVENTS? Nope, all events are 18+. We are very strict on ID. HOW DO I FIND OUT ABOUT EVENTS? Signup to our weekly newsletter. LOCATION Pawn Shop, 15 Dame St, Dublin 2, D02 KD74",29.93,29.93,EUR,Alternative Dublin,https://schema.org/EventScheduled,2024-03-10T17:00:00Z,2024-03-10T19:00:00Z,Neon Painting: Enchanted Forest,Paint A Neon Canvas. Music. UV Lights. Prizes. No Experience Needed To Take Part.,https://www.eventbrite.ie/e/neon-painting-enchanted-forest-tickets-848205213627,dublin
2 hours,Mobile eTicket,Contact the organiser to request a refund.,"No experience and all the materials will be provided. Create your own unique piece with our instructor in Atlas Bar. Learn the basics of air dry clay and create your masterpiece. Expect music, craic and a full bar to get yourself a drink or two. PLEASE NOTE: The finished pot is not suitable for plants. We will be using air dry clay. If you want to create flower pots your pieces would need to be kiln fired. What you get with your ticket? 500 grams of air dry clay Two hour experience Instructor to help guide you Win Prizes on the day Patterns and designs to help inspire you Private venue in Cork This event is strictly over 18's. ROAR. Drinks are not included with tickets, you can purchase drinks at the bar. If you have a group larger than 6 send us a message. We hope to see you soon ♥",29.93,29.93,EUR,Alternative Dublin,https://schema.org/EventScheduled,2024-03-10T17:00:00Z,2024-03-10T19:00:00Z,Sip & Sculpt: Make your own Boob Pots,"Create your own clay pot featuring boobs, in a c﻿ity centre bar.",https://www.eventbrite.ie/e/sip-sculpt-make-your-own-boob-pots-tickets-796901151797,dublin
3 hours,Mobile eTicket,Contact the organiser to request a refund.,"A curation by Christine Tobin. The Vintage Room, doors at 19:30, music at 20:00 Use codes 'student' and 'artist' for special prices. Only 10 early bird tickets! Special Price. The trio will guide you through a lunar-inspired musical journey as they perform their repertoire full of your classic moon-themed jazz standards. Self-proclaimed moon-lover, vocalist Róisín Mulliez is joined by the skilled jazz duo of Petar Krivitsky on bass and Matthew O’Connell on guitar for this intimate night of jazz, with nuanced and understated renditions of timeless melodies. Vocalist: Róisín Mulliez Galway girl Róisín is a jazz vocalist who delves into the enormously rich heritage of Gershwin, Porter and Kern, her knowledge and understanding of the genre is deep and passionate. With her main influences being Ella Fitzgerald, Julie London and Chet Baker, she delivers standards with that same old-style class. Róisín has an honours degree in vocal jazz performance (BA in Jazz and Contemporary Music Performance, DCU) and years of experience collaborating with artists around the country, not only through gigging as a vocalist in traditional jazz outfits, but also through creative musical projects such as JazzTempo (directed by Matthew Berrill, a collaboration with RTE Contempo Quartet), Tapestry Vocal Ensemble (Jennifer McMahon) and her own vocal trio Mayflyes, to name a few. Guitarist: Matthew O'Connell Matthew O’Connell is a Dublin-based jazz guitarist and composer. He is an emerging artist on the Irish jazz scene and has played part in many groups and projects as a leader and sideman. O’Connell draws inspiration from blues, bebop and contemporary jazz, and his compositions and playing are highly reflective of these influences. Bassist: Petar Krivistsky Petar Krivitsky, a remarkable jazz bassist hailing from Bulgaria, relocated to Ireland a year ago to complete his jazz studies. Rapidly gaining recognition, he has emerged as one of the premier jazz bassists in Dublin. Krivitsky's talent has put him in high demand for jazz gigs. Besides his prowess as a performer, he is a gifted composer for jazz ensembles, showcasing a natural flair for both playing and creating music. Social Media: https://www.instagram.com/moonmist_jazz/ https://www.instagram.com/rolom3/",11.7,13.85,EUR,The Dublin Jazz Co-op,https://schema.org/EventScheduled,2024-03-10T19:30:00Z,2024-03-10T22:30:00Z,The Dublin Jazz Co-op Presents: Moon Mist Jazz Trio,Vocalist: Róisín Mulliez /Guitarist: Matthew O'Connell /Bassist: Petar Krivistsky,https://www.eventbrite.com/e/the-dublin-jazz-co-op-presents-moon-mist-jazz-trio-tickets-808864925767,dublin
2 hours 30 minutes,Mobile eTicket,Contact the organiser to request a refund.,"Fun and friendly quiz on the Sunday 10th evening in Bar Rua. €5 per person, max 5 person per team. Come to have a laugh, a great time, enjoy some food and drinks while giving to a charity that is helping women. Everyone is welcome. Women's Aid is an organisation working to prevent and address the impact of domestic violence and abuse.",6.34,6.34,EUR,Bar Rua,https://schema.org/EventScheduled,2024-03-10T18:00:00Z,2024-03-10T20:30:00Z,IWD Table Quiz in support of Women's Aid,"Bar Rua is organising a Table Quiz for International Womens Day weekend, all entrance fees will be donated to Women's Aid.",https://www.eventbrite.ie/e/iwd-table-quiz-in-support-of-womens-aid-tickets-854673711077,dublin
