Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
1 day 4 hours,Contact the organizer to request a refund.,"CHOOSEDAYS is moving to Flannerys! Both Shifters Mondays and CHOOSEDAYS have packed their things and eloped to become one every Tuesday at Flannerys. Same craic, different day. Better craic, different venue. Tuesdays just got a whole lot better. Expect: - Live Music - Karaoke - Choosedays craic - Flannerys buzz - €3.50 Pints & Drinks Special €1 Early Bird tickets on sale now!",2.05,11.7,EUR,NightLife Ireland,https://schema.org/EventScheduled,2024-03-12T22:00:00Z,2024-03-14T02:30:00Z,CHOOSEDAYS @ Flannerys - Live Music - €3.50 Drinks - 12th March,CHOOSEDAYS @ Flannerys - Live Music - €3.50 Drinks - 12th March,https://www.eventbrite.com/e/choosedays-flannerys-live-music-350-drinks-12th-march-tickets-857029407027,dublin,NA
2 hours,Refunds up to 30 days before event,"🎬📅🕖 Pe data de 12 martie 2024, începând cu ora 20:30, la LIGHT HOUSE CINEMA (screen 1), va avea loc premiera filmului ""TUNETE"" 🎥🎞️. Vă invităm să vedeți lungmetrajul în regia lui Ioane Bobeică 🎬 în prezența echipei de producție. 🗣️🎙️ !ATENȚIE! ACCESUL LA FILM SE FACE DOAR PENTRU PERSOANELE CARE AU VÂRSTA 18+. Cei care nu îndeplinesc acest criteriu nu vor fi lăsați să intre. Mulțumim pentru înțelegere. Despre ""TUNETE"": Acțiunea filmului TUNETE se desfășoară într-un sat în vecinătatea căruia se află un câmp minat, rămas după conflictul armat din 1992. Doi copii din clase sociale diferite, Zinca și Victor, pe care îi leagă o prietenie interzisă de părinții lor, scapă vacile pe teritoriul minat și încearcă să le recupereze, intrând în zona restricționată. Astfel, câmpul minat devine un loc în care dispar prejudecățile și statutul social, lăsând loc doar pentru curaj, sacrificiu și… frică de tunete.Starring: Anatol Mîrzenco, Tincuța Josan, Daniel Brînză, Nicolae Cernomaz, Grigore Bechet, Olesea Sveclă, Boris Cremene, Mihaela Strâmbeanu, Andrei Golban, Marin Madan, Gherasim Crețu, Dumitrița Guvir, Victoria Cîrlan, Aurica Sclifos, Elena Chirilov, Eremia Loghin, Nina Grecu și alții.Written and Directed by: Ioane BobeicaCinematographers: Nicu Drăgan, Ioane BobeicaProduction Designer: Cristian CebanCostumes Designer: Victoria RotaruMusic by: Octavian CotețSound by: Roman BordeiEditor: Sergiu Barajin, Ioane BobeicaProducers: Marin Madan, Sergiu Cumatrenco, Anatol Mîrzenco, Ioane Bobeica, Marin CumatrencoExecutive Producers: Cristi Urîtu, Marin Madan1st AD & production managers: Vlada Jechiu, Ion BorșCameramans: Nicu Dragan, Ioane Bobeica, Alexandru PascalCamera Assistants: Adrian Gușan, Lucian SpataruLighting technicians: Dumitru Stegărescu, Petru Dragan, Vlad BragaRecordists: Sorin Mutelică, Marin CumatrencoFoley: Kseniya & Sergey Tarasiuk / Tarasyuk Records, KievAudio Engineers: Roman Bordei, Gigi Tabarcea, Mihăiță ChiriacRe-recording mixer în Dolby Atmos: Roman Bordei / YOUBESCVFX / Graphic Designer: Ian Onică / ACTIV STUDIOColor correction: Ilya CrestnicovProduction Design Assistant: David StavilaMake Up: Oxana SpineiPersonal Assistant for Mr. Cernomaz: Angela CechirlanTUNETE / THUNDERS is a production by ISGT GROUP and YOUBESC CREATIVE INSTITUTE (Moldova), BADEAMIC (Moldova), YOUBESC AYA (Romania); with the support of National Film Center from Republica of Moldova, Swiss Agency for Development and Cooperation (SDC), UNICEF MOLDOVA. Durată: 75 min ⏱️ Audio: RO 🇷🇴 Vârsta: 12+ 🧒👧 Vă așteptăm cu drag la""TUNETE""! ❗ATENȚIE: Cinematograful este închiriat pe ore. De aceea filmul începe exact la ora stabilită și vă rugăm să veniți cu 30 minute înainte. Principiul de așezare în sală este ""primul venit - primul servit"" Filmul va fi subtitrat în engleză, de aceea puteți veni împreună cu prietenii voștri locali.",27.84,27.84,EUR,BADEAMIC DISTRIBUTION,https://schema.org/EventScheduled,2024-03-12T20:30:00Z,2024-03-12T22:30:00Z,"Premiera filmului TUNETE în Dublin, IRLANDA","Vino să fii martorul premierii filmului TUNETE în Dublin, IRLANDA, pe 12 martie 2024, la ora 20:30!",https://www.eventbrite.co.uk/e/premiera-filmului-tunete-in-dublin-irlanda-tickets-783333971997,dublin,NA
1 hour 30 minutes,Contact the organizer to request a refund.,"Calling all chocoholics, pop culture enthusiasts, and board game fanatics! Are you ready to celebrate the iconic Cadbury Creme Egg in a way that's bigger, bolder, and more playful than ever before? Brace yourselves for an EGG-vent like no other at Board, the hottest non-alcoholic games bar & cafe! Join us for an evening steeped in chocolatey fun, laughter, and unveiling your unique Creme Egg personality. Here's what awaits you: If that's not enough, you will leave on the night with your very own Creme Egg Goody Bag to enjoy! Tickets are priced at €5 with all proceeds from the night going to Cadbury's charity partner Alone. Take the Creme Egg Test now! https://cremeeggtest.cadbury.ie/",6.34,6.34,EUR,Cadbury Creme Egg,https://schema.org/EventScheduled,2024-03-12T18:30:00Z,2024-03-12T20:00:00Z,Cadbury Creme Egg - How Do You Eat Yours,"Cadbury Creme Egg is BACK and this year, it’s better than ever!",https://www.eventbrite.co.uk/e/cadbury-creme-egg-how-do-you-eat-yours-tickets-846952717377,dublin,NA
1 hour,Refunds up to 1 day before event,"Live classical music concerts in a relaxed, local setting. Take a moment for yourself to sit back and enjoy the finest chamber music, as your baby feeds, sleeps, plays and absorbs all the benefits of this wonderful music. Our performers are Ireland's best and brightest professional musicians and we are looking forward to entertaining you.  Suitable for ages 0-3 years.  If you would like more information on these lovely concerts, head over to classicalkids.ie for all the lowdown.",16.62,16.62,EUR,Classicalkids.ie,https://schema.org/EventScheduled,2024-03-12T11:00:00Z,2024-03-12T12:00:00Z,Blanchardstown: Music for Babies,"Live, accessible, classical concerts for you and your child. Bring your babies along to experience the finest chamber music. On their terms.",https://www.eventbrite.ie/e/blanchardstown-music-for-babies-tickets-676524491967,dublin,NA
1 hour,Contact the organiser to request a refund.,"In this workshop, we delve into the pivotal role nutrition plays in supporting your health during the menopause and post-menopause! As an Associate Nutritionist and Student Dietitian, I will be providing you with invaluable, evidence-based knowledge and practical strategies to optimize your nutrition and enhance your quality of life. Where? When? Topics covered? In today's world it may seem there is an overwhelming abundance of nutrition information, I will help you to navigate what’s most important in this period of your life and dispel some common misconceptions! What to expect? Embrace the power of you, a time of newfound freedom to live life on your own terms! All proceeds will be donated to the MOEI Education Project, dedicated to breaking down educational barriers faced by underprivileged children in Cambodia. In July 2024, I’ll be travelling to Battambang, Cambodia to volunteer with UCD Volunteer Overseas for 5 weeks. I will teach English in local free community schools to support community development. If you cannot attend and would still like to contribute to this excellent cause, all donations would be very much appreciated.  If you cannot attend and would still like to contribute to this excellent cause, all donations would be very much appreciated. https://altruism.ie/fundraising_page/lorna-haydon-fundraising-page-for-ucd-volunteers-overseas",27.79,27.79,EUR,Lorna Haydon,https://schema.org/EventScheduled,2024-03-12T19:30:00Z,2024-03-12T20:30:00Z,Women’s Nutritional Power - the workshop,"Get ready to learn about the most important nutrition considerations for this stage of life at this workshop on Tuesday, 12th March @ 7:30PM",https://www.eventbrite.com/e/womens-nutritional-power-the-workshop-tickets-845175441497,dublin,NA
2 hours,Contact the organiser to request a refund.,"Our exclusive, one-time dumpling making class is perfect for individuals and small groups looking for a unique experience. Upon your arrival, you'll be warmly welcomed with a refreshing drink to kick off the culinary adventure. Each participant will be provided with an apron, and as the class commences, you'll be assigned your own cooking station, fostering a space for hands-on learning and collaborative fun. Guiding you through the art of crafting delicious dumplings will be our skilled chef from Lucky Tortoise, sharing the secrets and techniques that make these treats truly delectable. To get a glimpse of the excitement, check out some previous event videos on our instagram . The cost for this extraordinary experience is €59 per person (Excluding ticket fees), which covers the dumpling making class, welcome drink and a full meal, and exciting prizes. What's more, you have the flexibility to book the class with a group of any size.",64.25,64.25,EUR,Lucky Tortoise Temple Bar,https://schema.org/EventScheduled,2024-03-12T19:00:00Z,2024-03-12T21:00:00Z,Dumpling Class - March 12th,Lucky Tortoise Dumpling Rolling Classes for individuals and small groups!,https://www.eventbrite.com/e/dumpling-class-march-12th-tickets-816374597397,dublin,NA
2 hours,Refunds up to 7 days before event,"There is a massive move away from useless, heart wrenching dating apps! There is no better substitute than a real world face-to-face meeting with like-minded singles. Open the door to possibilities and meet 8+ dates in one night! This event is for all eligible singles in the 35-45 age group. Meet like-minded members face to face at our 2CONNECT.IE Speed Dating Events. Speed Dating is the world's most popular way to meet people face-to-face. Who? Single and fabulous people just like you. In fact, We run events for all ages, so check out our site. As a guide, men tend be on the upper end of the bracket and ladies on the lower end. What? Speed dating is the perfect way to meet up to 8 dates in one night. Come with a smile and an open mind. Don’t come with a list of job interview questions and an engagement ring just in case. When you arrive, our lovely host will welcome you and sign you in. Your badge will match a table in the room and usually the ladies stay seated while the men rotate about every 5 mins when the bell ringa-ding-dings. It's very simple, you just mark the dates you are interested in on a card we provide you, hand us the card before you leave, 24 hours later we will send you your matches.It's FREE to send/read messages to/from all the guests you have met at the event through our secure website. Video/photos maybe taken at the event. If you have a concern, please inform the host on your arrival. All our events are guaranteed! We’re so confident you’ll meet someone you like, that if you don't your next event is FREE! What have you got to lose? Event Schedule: Arrive 19:40 Registration 19:50 Start 20:00 SHARP Location: We meet in a private room at the 51 Bar. Parking is limited and free on some streets but make sure to read the parking signs. Payment Options: You must pre-book your tickets through this website. You can also send us a postal order or check. Email us at admin@2connect.ie for for information. Testimonials Hi Guys! Great night. I was at your recent speed dating at the Lincoln Inn and absolutely had a brilliant time. The guys were lovely and very good looking :) . See you again. Brenda, Sutton Refund Policy Refunds are available up until 7 days before the event minus an administrative fee of €15 per ticket. Less than 7 days we cant' refund you but will do our best to book you into an alternative event. . Less than 7 days we cant' refund you but will do our best to book you into an alternative event. FAQs How can I contact the organiser with any questions? Contact us by phone at 087-203-7196 or by email at admin@2connect.ie Do I have to bring my printed ticket to the event? Yes Is my registration fee or ticket transferrable? Yes you can transfer your ticket for another event but must give us a minimum notice of 48 hours. Is it ok if the name on my ticket or registration doesn't match the person who attends? Yes we will register a different name if required on the night of the event. #singleindublin #singleireland #thingstododublin #speeddatingdublin #speeddatingireland #solo #solotraveller #meetups #meetupdublin #partydublin",36.14,36.14,EUR,2CONNECT.IE,https://schema.org/EventScheduled,2024-03-12T20:00:00Z,2024-03-12T22:00:00Z,Speed Dating Ages 35-45  2 LADIES SOLD OUT!  ONLY 2 MALE PLACES LEFT,A special Leap Year Event!  Speed Dating is a perfect way to meet and connect with new people.,https://www.eventbrite.ie/e/speed-dating-ages-35-45-2-ladies-sold-out-only-2-male-places-left-tickets-852231907577,dublin,NA
4 hours 30 minutes,Contact the organiser to request a refund.,"THE ARCHITECT OF HAIR with Robert Masciave and Ceri Cushen - Look and Learn. About the course THE ARCHITECT Watch the Master, multi award winner Robert Masciave, deliver his revolutionary 'Ergonomic' cutting method, which will elevate your cutting skills and focused on revealing your client's individuality and beauty.   MEET THE COLOUR OF THE YEAR 2024 – 88.44!  The Power of Placement In this one day Look and Learn seminar you will explore the full range of Revlon Professional’s dazzling COPPER portfolio including the new Colour of the Year and discover how to use colour to maximise salon takings and increase customer loyalty, delivered by BHBA Salon Stylist of the Year 2023, Ceri Cushen. Who the course is for: All colourists Prerequisite: Minimum 2 years’ experience Duration: 1 day What to bring: Notepad, tablet, phone, camera. Investment: £100 /€100 or 1000 Always Connect points",100,100,EUR,Revlon Professional UK & Ireland,https://schema.org/EventScheduled,2024-03-12T10:30:00Z,2024-03-12T15:00:00Z,THE ARCHITECT  of HAIR with ROBERT MASCIAVE and CERI CUSHEN,Cutting & Colouring Look and Learn seminar,https://www.eventbrite.co.uk/e/the-architect-of-hair-with-robert-masciave-and-ceri-cushen-tickets-841412486397,dublin,NA
3 hours,Contact the organiser to request a refund.,"As part of our Seachtain Na Gaeilge celebrations TU Dublin Students' Union presents Grooveline + support! BIO ""They’ve got the precision of Vulfpeck, the coolness of Parliament and the energy of James Brown"" - HotPress Magazine Grooveline: one of Ireland’s most dynamic and exciting upcoming bands. The 6 piece style bending band rooted in funk blend (High energy Funk, Groove, hip-hop, Rock ,Jazz and trad) to make a completely refreshing sound that is “unlike anything in the Irish music scene“ (Rua media) This captivating sound comes together with their raw and explosive energy to create an “exhilarating live show” (HotPress) and with the ability to ""encapsulate the crowd into an immersive bubble of ultimate fun” (TradFest)."" doors 8pm Over 18's id essential",6.28,6.28,EUR,TU Dublin SU,https://schema.org/EventScheduled,2024-03-12T20:00:00Z,2024-03-12T23:00:00Z,GROOVELINE @ FIBBER MAGEE'S,GROOVELINE @ FIBBER MAGEE'S FOR TU DUBLIN SEACHTAIN NA GAEILGE,https://www.eventbrite.ie/e/grooveline-fibber-magees-tickets-855448257767,dublin,NA
2 hours,Refunds up to 7 days before event,"In this immersive masterclass on translating short stories, participants embark on a captivating journey into the world of literary translation. Led by literary translator, Gaia Baldassarri, the class focuses on the technicalities of translating short stories, a genre that requires skillful precision and cultural sensitivity. Through an exploration of diverse narrative styles, themes, and voices, participants learn how to convey the essence of the story while infusing it with richness and authenticity in the target language. The masterclass introduces participants to the tools needed to handle linguistic nuances and cultural references in a seamless manner. By honing their understanding of character development, plot structure, and literary devices, attendees are equipped to craft compelling translations that resonate with readers. Engaging in practical exercises, participants work collectively to refine their translation skills and develop their own unique style.  Whether you are an aspiring translator seeking to enter the world of literary translation or an experienced linguist looking to enhance your expertise, this masterclass promises to deepen your appreciation for the art of translating short stories and provide you with the knowledge and confidence to create impactful translations that transcend borders and cultures. T﻿ranslators working with any language pair are welcome. The session is delivered in English. It is only available to attend in-person. Short stories are brief, fictional narrative prose pieces that typically focus on a single incident, character, or theme. They are much shorter than novels, often only one or two pages long, and often centre on a single plotline or moment in the lives of its characters.  Short stories can be found in a wide range of genres and styles, and are known for their concise and compact storytelling, aiming to convey a complete and impactful narrative within a limited word count. The brevity of short stories allows writers to explore themes, emotions, and character development in an engaging way. However, balancing tone and style, cultural context and pacing with the brevity of the medium can make translating short stories more challenging than it might appear.  Before the masterclass takes place, attendees will be sent a short story which will be the focus of the workshop. Together, we will look at everyone's translations of the story. People who have signed up to attend will be sent a link to the story and to upload their translations before the session. These translations will be shared with everyone else in the group and serve as the basis for part of the masterclass. Gaia Baldassarri is a Dublin-based literary translator and visual artist. She holds a BA in Languages, Literatures and Intercultural Studies (Scandinavian and German studies) awarded by the University of Florence, and an MPhil in Literary Translation from Trinity College Dublin. Her translation interests include cultural specificity and dialects especially in contemporary Irish and Italian fiction.",30,30,EUR,Trinity Centre for Literary & Cultural Translation,https://schema.org/EventScheduled,2024-03-12T18:00:00Z,2024-03-12T20:00:00Z,Translation Masterclass: Short Stories with Gaia Baldassarri,"Join Literary Translator, Gaia Baldassarri, for an interactive workshop on translating short stories",https://www.eventbrite.ie/e/translation-masterclass-short-stories-with-gaia-baldassarri-tickets-692342052717,dublin,NA
