Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
11 hours 15 minutes,Mobile eTicket,No Refunds,"🟥 SOLD OUT 😔 BUT YOU CAN JOIN OUR LAST TOURS IN MARCH as follows: ---------------------------------------------------------- MAKE AMAZING MEMORIES with International Student Tours; highly recommended by International & Exchange Students and Visitors. ----------------------------- Lake District, Windermere and Bowness Day Trip Explore Lake District, England's largest and scenic National Park, known as the most beautiful corner of England. ----------------------------- Ticket £42 Ticket includes: Places we explore: ----------------------------- About the Tour A journey through the majestic and stunning Lake District, known for its glacial ribbon lakes, rugged fell mountains and historic literary associations and its cute towns. We will explore Bowness-on-Windermre and its traditional inns, galleries of local art and outdoor equipment shops and a will have the opportunity to take a tour on a boat cruise on the lake. The tour includes hiking and walking at Brantfell, a popular walk where the fantastic panoramic views will not let you leave! The 'World of Beatrix Potter Attraction' in Lake District is also A-MUST-SEE if you are a big fan! This tour also icludes visiting the Scottish Boarders and Gretna Green. No words can describe these places and no photos can capture these sights. ----------------------------- Pick Up Points: ----------------------------- Final Departure Point: ----------------------------- Lunch / Things to bring with you There will be time for a lunch break in restaurants, however, you can also bring your own packed lunch. Bring with you lots of smiles, a camera, warm clothes, proper walking / hiking shoes, an ID, a bottle of water and snacks. We will also have tea/coffee and toilet breaks throughout the journey. ----------------------------- Drop Off Point: Drop off point for all students will be at Strathclyde Business School, 199 Cathedral St, Glasgow City Centre. There will be no drop off in Glasgow University. ----------------------------- ---------------------------------------------------------- Notes & Terms",45.19,45.19,GBP,International Student Tours Scotland (Glasgow),https://schema.org/EventScheduled,2024-03-10T08:15:00Z,2024-03-10T19:30:00Z,"Lake District, Windermere and Bowness Day Trip",Lake District and Windermere Day Trip,https://www.eventbrite.co.uk/e/lake-district-windermere-and-bowness-day-trip-tickets-775769877587,glasgow
2 hours,Mobile eTicket,Contact the organiser to request a refund.,"Join our Boozy Brushes Sip and Paint 80s Sip and Paint Party! Listen to some 80s Bangers from Across the Musical Genres while you Create a Unique Expressionist Painting.  Painting is a fantastic way to unwind, explore your creative potential and socialise with your friends or someone new. We want to show people that art is not restricted to a particular type of individual and learning new painting skills can be lighthearted, fun and therapeutic. All of our classes are beginner friendly and are taught by a professional artist who will guide you through the painting process. You can also chose to show off your own skills and paint something entirely different should you choose to. All of the supplies will be provided, including: Canvas Easel Brushes Paint Aprons Food and drink available to purchase Alongside potentially winning one of our exciting prizes, guests can also take home their own masterpiece. Please arrive 5 minutes before the class with your ticket to hand. Our tickets are non-refundable once purchased. If you would like to reschedule your class please provide us with at least 24 hours notice and you should be able to join a future event. Look forward to getting creative with you all :)",25.63,29.96,GBP,Boozy Brushes,https://schema.org/EventScheduled,2024-03-10T14:00:00Z,2024-03-10T16:00:00Z,"Boozy Brushes, Mother's Day 80s Sip & Paint Special! Glasgow",Join our Boozy Brushes Sip and Paint 80s Sip and Paint Party! Listen to some 80s Bangers. Mum's Go Free.,https://www.eventbrite.co.uk/e/boozy-brushes-mothers-day-80s-sip-paint-special-glasgow-tickets-845526732217,glasgow
2 hours 30 minutes,Mobile eTicket,Contact the organiser to request a refund.,"Galvanize Ensemble is a flexible ensemble of musicians who work with composers, artists, film and text to create installations, cross disciplinary performances and exhibitions. They are based in Newcastle Upon Tyne, Cumbria and London, UK, run by pianist Kate Halsall. Players for Newcastle and Glasgow are Sarah Dacey (voice), John Garner (violin), and Kate Halsall (harmonium and keys). Sound Thought is a Glasgow-based collective of experimental sound artists, composers, and audio engineers, whose practices include improvisation, collaboration, performance, audiovisual and acoustic composition, field recording, and installation work. Players for Glasgow are Melissa Rankin, Beth Horseman, Cat Hawthorn, and Steven Myles.",9.38,9.38,GBP,Sound Thought,https://schema.org/EventScheduled,2024-03-10T19:30:00Z,2024-03-10T22:00:00Z,Galvanize Ensemble // Sound Thought @ The Glad Cafe,Sound Thought joins forces with Newcastle's Galvanize Ensemble  for an evening of multi-instrumental and spoken word performances.,https://www.eventbrite.co.uk/e/galvanize-ensemble-sound-thought-the-glad-cafe-tickets-843769606607,glasgow
NA,Sold out,Contact the organizer to request a refund.,"Celebrate Mother's Day at Crossbasket Castle with traditional afternoon tea and cocktail, served in our Grand Roosevelt Ballroom.",55,55,GBP,Crossbasket Castle,https://schema.org/EventScheduled,2024-03-10T14:00:00Z,2024-03-10T16:00:00Z,Mother's Day Afternoon Tea,"Celebrate Mother's Day at Crossbasket Castle with traditional afternoon tea and cocktail, served in our Grand Roosevelt Ballroom",https://www.eventbrite.co.uk/e/mothers-day-afternoon-tea-tickets-847250066757,glasgow
5 hours 30 minutes,Mobile eTicket,Contact the organizer to request a refund.,"This Mother's Day we are inviting you along to visit us at LUSH Glasgow Fort to join us for ""Time 2 Relax"" pampering workshop to discover the importance of self care and how to look after you skin using a variety of LUSH Skincare treats. 1.5 hour long of pamper! Bring along your mum, a good friend, or any other parent/important figure in your life that you would love to treat to a pamper! Come in at least groups of two to be able to share this special experience with your special someone. As part of this experience you will: Participants will leave this event with their handmade face mask, a massage bar of choice, and in addition to this the guest of honour will also recieve a relaxing shower gel and bath bomb to complete the experience. Suitable for guests age 10+.",25,25,GBP,Lush Retail Ltd,https://schema.org/EventScheduled,2024-03-10T10:30:00Z,2024-03-10T16:00:00Z,LUSH Glasgow Fort - Time 2 Relax,Did someone say spa? Come along to our in store spa experience with a loved one for a mothering Sunday pamper.,https://www.eventbrite.co.uk/e/lush-glasgow-fort-time-2-relax-tickets-823785543737,glasgow
NA,Sold out,Contact the organiser to request a refund.,"Immerse yourself in the artistry of crafting tufted rugs at our Unofficial Space, where creativity, peace, and friendly and personal expression converge in an immersive hands-on workshop experience. Whether you seek some solitary creative time, a unique date idea, a twist on gift-giving, or a special birthday treat, we offer the perfect experience tailored to your desires.Our dedicated team is committed to providing expert guidance at every stage of the process, ensuring a seamless journey regardless of whether you're crafting a 40x40cm artwork.Set your imagination free as we provide you with all the essential tools and materials necessary for an enjoyable tufting experience. Experiment with various techniques, colors, and textures to bring your vision to life.From rugs and coasters to key holders and bags, unleash your creativity to fashion unique pieces that infuse charm into any space. Embrace the opportunity to imbue your creations with personal flair and sentiment. Embrace the present moment and find tranquillity amidst the creative process, allowing your artistic endeavours to unfold naturally.Our workshop is specially designed for beginners, and our friendly tufting artists, Elsie and Alice, are readily available to offer support and encouragement at every step.Located atop the Atlantic Chamber, our Unofficial Art Space offers a unique perspective for indulging in captivating handicraft activities while enjoying breathtaking views of the city. Just a short stroll from Glasgow Central Station, our venue promises both convenience and inspiration. What you'll get Knowledge required: Beginner-friendly - we love bringing new tufters to this enjoyable experience! Suitable for: This workshop only suitable for over 18 years people!!Suitable peopleThis class is great for individuals,friends and couples as well as for a team-building activity, birthday or hen do. This would also be a nice gift for her, a gift for Mum, or a birthday gift. What to bring",46.21,46.21,GBP,UNOFFICIAL ART SPACE,https://schema.org/EventScheduled,2024-03-09T16:00:00Z,2024-03-09T19:00:00Z,TUFTING RUG AND CRAFT（40X40 cm ）WORKSHOP,Don't miss out on this incredible opportunity to unleash your creativity. Sign up now and join us for a fun and fulfilling craft course!,https://www.eventbrite.com/e/tufting-rug-and-craft40x40-cm-workshop-tickets-851887828427,glasgow
NA,Sold out,Contact the organizer to request a refund.,"2024 New Year Discount for First-Time Tufting Experience!  Was £70, Now £ 50 per guest! Welcome to the Tufting Workshop! Ever wondered about the magic behind those plush carpets and intricately designed textiles? Look no further – welcome to the world of tufting! What is Tufting? Tufting is an age-old textile technique that involves the creation of intricate patterns and designs by punching yarn through a fabric base. It's the art of crafting textures and bringing creative visions to life through the careful placement of each tuft. What You'll Learn: In this workshop, we'll unravel the mysteries of tufting, guiding you through the essential techniques and tools. From understanding different tufting styles to hands-on practice, get ready to explore the fascinating realm where precision meets artistry. Why Tufting Matters: Beyond its historical significance, tufting has evolved into a dynamic craft that blends tradition with innovation. It's not just about creating textiles; it's about expressing creativity, adding warmth to spaces, and pushing the boundaries of design. Who Should Attend: Whether you're a seasoned textile professional, a DIY enthusiast, or someone simply curious about the world of tufting, this workshop is for you. No prior experience is needed; just bring your eagerness to learn and create! PLEASE NOTE: THIS EVENT IS ONLY AVAILABLE FOR 18+ YEARS OLD. What we provide for this workshop : Learn how to use tufting tools, practice one by one, and learn a variety of tufting techniques to complete your design with a maximum of 6 guests together. Every guest will be provided with the necessary tools and materials and will be given free trimming service once the Tufting work is completed. Generally, it takes 5-7 days then you can come to collect your rug work. What do you need to do for this session? Prepare a simple design pattern, e.g., a design with smooth lines and distinct areas of color. This could be a plant, simple caricatured images, or line designs that you will need to draw onto the cloth by yourself when you come to the workshop. Join us on a journey where every tuft tells a story. Let's dive into the fascinating world of tufting together!",54.88,54.88,GBP,Tufter Studio,https://schema.org/EventScheduled,2024-03-10T14:00:00Z,2024-03-10T16:30:00Z,Group Tufting Workshop in Spring - Beginning Level at Tufter Studio,Join us on a journey where every tuft tells a story. Let's dive into the fascinating world of tufting together!,https://www.eventbrite.com/e/group-tufting-workshop-in-spring-beginning-level-at-tufter-studio-tickets-846062584967,glasgow
NA,Sold out,Contact the organizer to request a refund.,"Immerse yourself in an atmosphere filled with creativity as you learn the art of tufting in a charming setting. Discover the joy of expressing your imagination through vibrant tufted designs and craft a stunning masterpiece to adorn your home. Indulge in delightful refreshments and engage in the company of your loved ones as you embark on this artistic journey together. Feeling a bit hesitant about tufting?  Our skilled instructors will be there to assist you at every turn, ensuring a delightful and stress-free experience for beginners. This is a Tufting Craft workshop，After workshop you can get 1brooch and 1hairclip (only 10X10cm)size. Throughout the workshop, you'll have access to premium materials and the opportunity to explore various tufting techniques, allowing you to bring your artistic vision to fruition. Engaging in the creative process within a supportive environment can be incredibly fulfilling, leaving you feeling inspired and accomplished. Celebrate the unique bond of motherhood through the art of tufting, creating treasured memories on this special day. Take home not only a beautiful tufted creation but also the heartwarming experience of crafting something meaningful alongside your loved ones.",22.38,22.38,GBP,UNOFFICIAL ART SPACE,https://schema.org/EventScheduled,2024-03-09T18:00:00Z,2024-03-09T19:00:00Z,"Mother's Day spacial Tufting DIY craft event,20*20cm,Brooches,Hair clips",This is DIY  2XCRAFT Tufting Workshop this Mother's Day in Glasgow!,https://www.eventbrite.com/e/mothers-day-spacial-tufting-diy-craft-event2020cmbroocheshair-clips-tickets-856622269267,glasgow
2 hours 30 minutes,Mobile eTicket,Contact the organiser to request a refund.,"This event by Unified Dating offers a relaxed and friendly way to easily meet new people locally. If for any reason the event that you want to book onto says Sales Ended please email us at customercare@unifieddating.com stating the event that you want to book onto and date so that we can check and confirm if it is possible for you to book on. If the Venue Name and Address are not on the event page then at the latest we will add this to the event page by 2 hours prior to the event start time. At that point you will then be able to see the Venue Name and Address on the event page if we have not added it prior to this. Bored of swiping on dating apps? Want to meet someone new? Stop swiping and start dating! We know what makes a great party and we’ve designed our events to help people make the most of the night. The event will be with people single and ready to mingle. It really is that simple! Dress code: Dress to impress/smart casual/ be yourself! If the event has sold out, please add yourself to the waitlist or email us to be added to the waitlist as more places may become available. To register with Unified Dating please visit: https://www.unifieddating.com/ Book your ticket, arrive at the venue, introduce yourself to everyone, get a drink and easily meet new people in your area!. Bring A Friend: You can book tickets for friends at 50% off using code BringAFriend at checkout. You will need to ensure at least one ticket is booked at full price in order to bring friends at up to 50% off. Enter the code in the promo code section at checkout and click apply to then scroll and select the 50% off Bring A Friend tickets. Please note Bring A Friend tickets are for people that are single and looking to participate in the event. Please note this event is a brunch event and attendees are expected to order from the brunch/ food menus. Please note the ticket price is simply to book on to attend this event. Any drinks or food you will need to purchase directly from the venue. You must not bring any food or drinks from outside into the venue. We cannot guarantee the availability of food or drinks. *Our events are for mixed ages. Our minimum age requirement is that attendees must be 18+ to book on and attend our events. *All attendees are required to have purchased a ticket for our events online prior to attending our events. We only sell our tickets online. We do not sell tickets at the event. Event Organiser: Unified Dating *Please note: Refund Policy: No Refunds. Additionally, we cannot guarantee the number or gender mix and do not offer refunds if some attendees fail to attend or the numbers are low or the gender mix skewed. As stated on this event page, order form and in our Terms and Conditions of Business we have a no refunds policy. We can offer an event credit if a valid reason is provided.  *Unified Dating has a zero tolerance policy towards any form of discrimination. News: Get Me Pampered has partnered with us to offer our customers 20% off on bookings!. Get Me Pampered offer hair, beauty and massage treatments at your home, hotel or office in London Zones 1 to 5 and Oxford, in other UK areas can also be offered at request. Find out more and to book for yourself, a group pamper party/ special event or as a gift: getmepampered.com. Use code GET20%OFF for 20% off at checkout on Get Me Pampered for bookings.",16.99,16.99,GBP,Unified Dating,https://schema.org/EventScheduled,2024-03-10T16:00:00Z,2024-03-10T18:30:00Z,Unified Dating Gay - Meet Singles over Brunch in Glasgow (Ages 18-30),Book your place on this offline in-person brunch event and easily connect with new people in your area!,https://www.eventbrite.co.uk/e/unified-dating-gay-meet-singles-over-brunch-in-glasgow-ages-18-30-tickets-856340907707,glasgow
2 hours 30 minutes,Mobile eTicket,Contact the organiser to request a refund.,"This event by Unified Dating offers a relaxed and friendly way to easily meet new people locally. If for any reason the event that you want to book onto says Sales Ended please email us at customercare@unifieddating.com stating the event that you want to book onto and date so that we can check and confirm if it is possible for you to book on. If the Venue Name and Address are not on the event page then at the latest we will add this to the event page by 2 hours prior to the event start time. At that point you will then be able to see the Venue Name and Address on the event page if we have not added it prior to this. Bored of swiping on dating apps? Want to meet someone new? Stop swiping and start dating! We know what makes a great party and we’ve designed our events to help people make the most of the night. The event will be with people single and ready to mingle. It really is that simple! Dress code: Dress to impress/smart casual/ be yourself! If the event has sold out, please add yourself to the waitlist or email us to be added to the waitlist as more places may become available. To register with Unified Dating please visit: https://www.unifieddating.com/ Book your ticket, arrive at the venue, introduce yourself to everyone, get a drink and easily meet new people in your area!. Bring A Friend: You can book tickets for friends at 50% off using code BringAFriend at checkout. You will need to ensure at least one ticket is booked at full price in order to bring friends at up to 50% off. Enter the code in the promo code section at checkout and click apply to then scroll and select the 50% off Bring A Friend tickets. Please note Bring A Friend tickets are for people that are single and looking to participate in the event. Please note this event is a brunch event and attendees are expected to order from the brunch/ food menus. Please note the ticket price is simply to book on to attend this event. Any drinks or food you will need to purchase directly from the venue. You must not bring any food or drinks from outside into the venue. We cannot guarantee the availability of food or drinks. *Our events are for mixed ages. Our minimum age requirement is that attendees must be 18+ to book on and attend our events. *All attendees are required to have purchased a ticket for our events online prior to attending our events. We only sell our tickets online. We do not sell tickets at the event. Event Organiser: Unified Dating *Please note: Refund Policy: No Refunds. Additionally, we cannot guarantee the number or gender mix and do not offer refunds if some attendees fail to attend or the numbers are low or the gender mix skewed. As stated on this event page, order form and in our Terms and Conditions of Business we have a no refunds policy. We can offer an event credit if a valid reason is provided.  *Unified Dating has a zero tolerance policy towards any form of discrimination. News: Get Me Pampered has partnered with us to offer our customers 20% off on bookings!. Get Me Pampered offer hair, beauty and massage treatments at your home, hotel or office in London Zones 1 to 5 and Oxford, in other UK areas can also be offered at request. Find out more and to book for yourself, a group pamper party/ special event or as a gift: getmepampered.com. Use code GET20%OFF for 20% off at checkout on Get Me Pampered for bookings.",16.99,16.99,GBP,Unified Dating,https://schema.org/EventScheduled,2024-03-10T16:00:00Z,2024-03-10T18:30:00Z,Unified Dating Lesbian - Meet Singles over Brunch in Glasgow (Ages 28+),Book your place on this offline in-person brunch event and easily connect with new people in your area!,https://www.eventbrite.co.uk/e/unified-dating-lesbian-meet-singles-over-brunch-in-glasgow-ages-28-tickets-856916469227,glasgow
