Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
2 hours,Contact the organizer to request a refund.,"Look no further, St Mirren WFC are here to revolutionise your football networking experience. 🤝Against the run of play, we would love to invite you to our next St Mirren WFC Business Club For Relentless Business People event at Patick Thistle FC. This in-person event provides a mega opportunity to network, connect, and gain insights from fellow business professionals who share your passion for female football and business.📍 This in-person event  is at one of the slickest venues. 👐 The St Mirren Business Club For Relentless Business People is a vibrant and thriving community with an aim to create more awareness of St Mirren WFC and build a community, learning from leaders all in a laid-back environment and high level complimentary refreshments. . Whether you are a business person, a simply die hard fan, a player, a scout or an football agent and you love this beautiful game, come along and unlock endless opportunities for personal and professional growth. Connect with influential football and business figures who love to give without any expectations of receiving back and help you grow. . This is NOT a marketing ploy as we were fully booked last month and we only have space for 50 people in the changing rooms. These will go very quickly, so please, if you are going to book, please attend as you may be stopping other people who want to come and experience this amazing and vibrant community. See you soon. Love Paula Wingate and Kate Copper :) 10am Kick Off in the changing rooms",9.97,9.97,GBP,St Mirren WFC and Girls Academy,https://schema.org/EventScheduled,2024-03-12T10:00:00Z,2024-03-12T12:00:00Z,ST Mirren WFC Business Club For Relentless Business People,Is this you? Passionate Football Fan + Loves Business + Love Connecting With Like Minded People + Supporting Female Footballers?,https://www.eventbrite.com/e/st-mirren-wfc-business-club-for-relentless-business-people-tickets-841444803057,glasgow,NA
4 hours,Contact the organizer to request a refund.,All profits from this event including ticket sales will be sent to endometriosis UK who contribute to the support of endometriosis sufferers and provide a reliable source of information to inform the public and patients of this little researched condition.,6.13,6.13,GBP,The Bungalow,https://schema.org/EventScheduled,2024-03-12T19:00:00Z,2024-03-12T23:00:00Z,Paint and a Pint for Endometriosis UK,Have fun for a good cause! Open-mic with art supplies for all to use and an hour jam at the end! More TBA for this very special event.,https://www.eventbrite.co.uk/e/paint-and-a-pint-for-endometriosis-uk-tickets-838654938497,glasgow,NA
3 hours,Contact the organiser to request a refund.,"As a valued member of the St Mirren VIP Club we would be delighted if you would join us at Wyre Stadium for and exclusive taster session of the Dream Team Experience Day by OnlyDo Limited.  This exclusive event to will set you on the path to revolutionise your organisation's team dynamics. Stuart Blyth, the founder of Onlydo.online, in collaboration with club legend David Mackinnon, invites you to a transformative experience designed to empower you with the knowledge, skills, and strategies needed to create a high-performing dream team. This taster session has been designed especially for you to pick up some tips and tricks on how to build a great team in your business - these tips and tricks can be used immediately on your return to your business.",59,59,GBP,onlydo.online,https://schema.org/EventScheduled,2024-03-12T13:00:00Z,2024-03-12T16:00:00Z,St Mirren VIP Business Club Taster Session,A one-off exclusive taster event for St Mirren FC Business Club members. How do you build a great team in your business ?,https://www.eventbrite.co.uk/e/st-mirren-vip-business-club-taster-session-tickets-828366706117,glasgow,NA
1 hour,Contact the organiser to request a refund.,"Menopause Cafe East Kilbride Join us for a cozy gathering at Hunter House Coffee Shop to chat about all things menopause! Whether you're looking for support, or just a friendly chat, this event is the perfect place to connect with others going through similar experiences. Come sip on a cuppa and share your stories in a welcoming environment. No judgment, just good company!",2.88,2.88,GBP,Jana Lanc,https://schema.org/EventScheduled,2024-03-12T19:00:00Z,2024-03-12T20:00:00Z,Menopause Cafe East Kilbride,Come join us at Menopause Cafe East Kilbride for a casual chat about all things menopause over a cuppa!,https://www.eventbrite.co.uk/e/menopause-cafe-east-kilbride-tickets-850445474307,glasgow,NA
3 hours,Contact the organiser to request a refund.,"Empower yourself to make a difference by joining us for a game-changing panel discussion on Tuesday, March 12th at 4 pm. Our Employment Law team is hosting this event, chaired by renowned Scottish broadcast journalist and STV presenter Rona Dougall. This event focuses on the International Women's Day rallying call to #InspireInclusion. Our handpicked speakers come from diverse backgrounds and have invaluable insights to offer, guaranteeing to leave you empowered to make a significant impact. You will benefit from a thought-provoking discussion, discover practical solutions that work, and make a real difference. Trust us to provide an energising and motivating event that prepares you to create a better workplace. Take advantage of this unique opportunity to gain inspiration and drive positive change. You will have the opportunity to build connections and expand networks. You will learn how to drive gender inclusion in the workplace, this includes: Designing and building an inclusive business infrastructure. You will be able to hear valuable insights and tangible examples of work experiences, which you can hopefully implement in your own organisation... or share your own examples! Rona is a broadcaster, freelance journalist, and popular TV presenter. She is best known for hosting STV's flagship current affairs program, 'Scotland Tonight'. Marie is a Partner and Chairman of Miller Samuel Hill Brown. She has been accredited as a specialist in Employment Law and has a wealth of experience. Marie is a recognised leader in her field and Co-Chair of the International Lawyers Network Labour and Employment Group. In addition, she acts as Honorary Legal Counsel for Badminton Scotland. Sarra is the co-founder of SmartPA and the first SmartPA. As the Chief Experience Officer, she is passionately dedicated to customer and brand experience and serves as an ambassador for female empowerment. The business, which started in Edinburgh, now has offices throughout the UK and around the world. They have a team of 50,000 highly trained SmartPAs in 20 countries, supporting over 3,000 clients. Their specialist training program has been accredited by the Continuing Professional Development Standards Office (CPDSO), earning the global gold standard. Liz holds the position of Director of People, interim Deputy Chief Officer on the Strategic Leadership Team tasked with delivering the Scottish Fire and Rescue Service on behalf of the Board. In her role, she provides leadership and strategic direction across the corporate functions. Naeema is the founder of Diversity+. She is a solicitor with over 20 years of experience and was a Partner at one of Scotland's top ten law firms. Naeema is also a co-founder of the Scottish Ethnic Minorities Lawyers Association (SEMLA). She launched Diversity+ to support the legal profession in achieving greater diversity and inclusivity. At Miller Samuel Hill Brown, we are more than just a law firm. We are a team of passionate professionals dedicated to making a real difference in the communities we serve. This year, we are delighted to partner with Glasgow City Mission as our charity partner, and all ticket proceeds from the event will be donated to this worthy cause. We understand the positive impact of these charities on the lives of those in need, and we are honoured to play our part in helping them achieve their goals.",0,0,GBP,Miller Samuel Hill Brown Solicitors,https://schema.org/EventScheduled,2024-03-12T16:00:00Z,2024-03-12T19:00:00Z,International Women's Day Panel Discussion: Inspiring Inclusion,Join us for an empowering in-person panel discussion on International Women's Day to find inspiration and drive positive change.,https://www.eventbrite.co.uk/e/international-womens-day-panel-discussion-inspiring-inclusion-tickets-824694572667,glasgow,NA
NA,Contact the organiser to request a refund.,"Immerse yourself in the artistry of crafting tufted rugs at our Unofficial Space, where creativity, peace, and friendly and personal expression converge in an immersive hands-on workshop experience. Whether you seek some solitary creative time, a unique date idea, a twist on gift-giving, or a special birthday treat, we offer the perfect experience tailored to your desires.Our dedicated team is committed to providing expert guidance at every stage of the process, ensuring a seamless journey regardless of whether you're crafting a 40x40cm artwork.Set your imagination free as we provide you with all the essential tools and materials necessary for an enjoyable tufting experience. Experiment with various techniques, colors, and textures to bring your vision to life.From rugs and coasters to key holders and bags, unleash your creativity to fashion unique pieces that infuse charm into any space. Embrace the opportunity to imbue your creations with personal flair and sentiment. Embrace the present moment and find tranquillity amidst the creative process, allowing your artistic endeavours to unfold naturally.Our workshop is specially designed for beginners, and our friendly tufting artists, Elsie and Alice, are readily available to offer support and encouragement at every step.Located atop the Atlantic Chamber, our Unofficial Art Space offers a unique perspective for indulging in captivating handicraft activities while enjoying breathtaking views of the city. Just a short stroll from Glasgow Central Station, our venue promises both convenience and inspiration. What you'll get Knowledge required: Beginner-friendly - we love bringing new tufters to this enjoyable experience! Suitable for: This workshop only suitable for over 18 years people!!Suitable peopleThis class is great for individuals,friends and couples as well as for a team-building activity, birthday or hen do. This would also be a nice gift for her, a gift for Mum, or a birthday gift. What to bring",46.21,46.21,GBP,UNOFFICIAL ART SPACE,https://schema.org/EventScheduled,2024-03-12T18:30:00Z,2024-03-12T21:30:00Z,TUFTING RUG AND CRAFT（40X40 cm ）WORKSHOP,Don't miss out on this incredible opportunity to unleash your creativity. Sign up now and join us for a fun and fulfilling craft course!,https://www.eventbrite.com/e/tufting-rug-and-craft40x40-cm-workshop-tickets-851887828427,glasgow,Sold out
1 hour,Contact the organizer to request a refund.,"The School Of SOS is created by the celebrity instructors who work with the stars, and all SOS licensee instructors go through an intensive training course to learn the backstage knowledge SOS master trainers have built up over the years of running the best dance classes in London, and dancing for countless pop stars. We're bringing this sass fuelled dance concept straight to you in Glasgow, thanks to our incredible SOS certified instructor, Miya Pniel. Your routine is to Usher - Yeah! Most importantly, Miya and the SOS team know how to break dance choreography down so it's super easy to learn, even if you've never done a dance class before! At SOS, we're on a mission to empower a generation of women to believe in themselves through dance, so our job is to ensure you leave class ""buzzing"", feeling like an absolute Queen! ABSOLUTE BEGINNERS WELCOME. See you on the dance floor!",10,10,GBP,SOS Miya,https://schema.org/EventScheduled,2024-03-12T18:30:00Z,2024-03-12T19:30:00Z,SOS BOSS With Miya // Beyoncé - MY HOUSE,"Learn how to BOSS the dance floor with certified School Of SOS instructor, Miya Pniel!",https://www.eventbrite.co.uk/e/sos-boss-with-miya-beyonce-my-house-tickets-850661309877,glasgow,NA
NA,Contact the organizer to request a refund.,"2024 New Year Discount for First-Time Tufting Experience!  Was £70, Now £ 50 per guest! Welcome to the Tufting Workshop! Ever wondered about the magic behind those plush carpets and intricately designed textiles? Look no further – welcome to the world of tufting! What is Tufting? Tufting is an age-old textile technique that involves the creation of intricate patterns and designs by punching yarn through a fabric base. It's the art of crafting textures and bringing creative visions to life through the careful placement of each tuft. What You'll Learn: In this workshop, we'll unravel the mysteries of tufting, guiding you through the essential techniques and tools. From understanding different tufting styles to hands-on practice, get ready to explore the fascinating realm where precision meets artistry. Why Tufting Matters: Beyond its historical significance, tufting has evolved into a dynamic craft that blends tradition with innovation. It's not just about creating textiles; it's about expressing creativity, adding warmth to spaces, and pushing the boundaries of design. Who Should Attend: Whether you're a seasoned textile professional, a DIY enthusiast, or someone simply curious about the world of tufting, this workshop is for you. No prior experience is needed; just bring your eagerness to learn and create! PLEASE NOTE: THIS EVENT IS ONLY AVAILABLE FOR 18+ YEARS OLD. What we provide for this workshop : Learn how to use tufting tools, practice one by one, and learn a variety of tufting techniques to complete your design with a maximum of 6 guests together. Every guest will be provided with the necessary tools and materials and will be given free trimming service once the Tufting work is completed. Generally, it takes 5-7 days then you can come to collect your rug work. What do you need to do for this session? Prepare a simple design pattern, e.g., a design with smooth lines and distinct areas of color. This could be a plant, simple caricatured images, or line designs that you will need to draw onto the cloth by yourself when you come to the workshop. Join us on a journey where every tuft tells a story. Let's dive into the fascinating world of tufting together!",54.88,54.88,GBP,Tufter Studio,https://schema.org/EventScheduled,2024-03-12T18:00:00Z,2024-03-12T20:30:00Z,Group Tufting Workshop in Spring - Beginning Level at Tufter Studio,Join us on a journey where every tuft tells a story. Let's dive into the fascinating world of tufting together!,https://www.eventbrite.com/e/group-tufting-workshop-in-spring-beginning-level-at-tufter-studio-tickets-846062584967,glasgow,Sold out
NA,Contact the organizer to request a refund.,"Recently named ‘Europe’s murder capital’ and voted the ‘UK’s friendliest city’ in the same week, it’s fair to say Glasgow is a confusing city - which means you need a true Weegie to show you around! Hear about its ties to the slave trade, its gangs, its godfathers, its ghosts, and its twisted serial killers. Let's toast with single malt Scottish Whisky and have some traditional snacks whilst learning about the 'real' Glasgow, from a real Glaswegian. Bursting with trademark dry Glaswegian humour and feisty, entertaining tales, this is a unique tour experience not to be missed. 'People Make Glasgow' and this is a tour dedicated to the people and their thrilling, hilarious, and sometimes terrifying adventures. Want to know about Bible John? The Human Crocodile? The Gorbals Vampire? Arthur Thompson and his kin? Then look no further! These are not the stories you will find in museums, they cannot be summed up in a book. Glaswegians are known to spin a yarn and are the world’s greatest storytellers ─ your guide will add their own anecdotes passed down from family, including both the historical facts and the mythical imaginings clearly defined. You will learn to admire our working-class charm. Our brutality, our humour and most of all our complexity. Edinburgh might be Scotland’s brain, but Glasgow is its heart! Our Stops Merchant City: The most beautiful, affluent area but its hiding a despicable secret!The High Court: The scene of many dramatic court cases and the backbone of the city's crime.Glasgow Green: The city's oldest park. 15th century luscious greenery but where the bodies used to hang.The Barras: Both the iconic flea market and the trendy ballroom which was the hunting ground for Scotland’s most terrifying serial killer!Gallowgate: The historic heart of the city, with Mercat cross and Tolbooth Steeple.",25,25,GBP,The Dark Side Tours,https://schema.org/EventScheduled,2024-03-12T14:00:00Z,2024-03-12T17:00:00Z,The Dark Side of Glasgow,"Let's share a dram and explore famous landmarks and gritty street art, while I tell you tales of Glasgow’s crime and macabre past!",https://www.eventbrite.com/e/the-dark-side-of-glasgow-tickets-859526566097,glasgow,Sold out
2 hours 30 minutes,Contact the organiser to request a refund.,"This event by Unified Dating offers a relaxed and friendly way to easily meet new people locally. If for any reason the event that you want to book onto says Sales Ended please email us at customercare@unifieddating.com stating the event that you want to book onto and date so that we can check and confirm if it is possible for you to book on. If the Venue Name and Address are not on the event page then at the latest we will add this to the event page by 2 hours prior to the event start time. At that point you will then be able to see the Venue Name and Address on the event page if we have not added it prior to this. Bored of swiping on dating apps? Want to meet someone new? Stop swiping and start dating! We know what makes a great party and we’ve designed our events to help people make the most of the night. The event will be with people single and ready to mingle. It really is that simple! Dress code: Dress to impress/smart casual/ be yourself! If the event has sold out, please add yourself to the waitlist or email us to be added to the waitlist as more places may become available. To register with Unified Dating please visit: https://www.unifieddating.com/ Book your ticket, arrive at the venue, introduce yourself to everyone, get a drink and easily meet new people in your area!. Bring A Friend: You can book tickets for friends at 50% off using code BringAFriend at checkout. You will need to ensure at least one ticket is booked at full price in order to bring friends at up to 50% off. Enter the code in the promo code section at checkout and click apply to then scroll and select the 50% off Bring A Friend tickets. Please note Bring A Friend tickets are for people that are single and looking to participate in the event. Please note this event is a dinner event and attendees are expected to order from the food menu. Please note the ticket price is simply to book on to attend this event. Any drinks or food you will need to purchase directly from the venue. You must not bring any food or drinks from outside into the venue. We cannot guarantee the availability of food or drinks. *Our events are for mixed ages. Our minimum age requirement is that attendees must be 18+ to book on and attend our events. *All attendees are required to have purchased a ticket for our events online prior to attending our events. We only sell our tickets online. We do not sell tickets at the event. Event Organiser: Unified Dating *Please note: Refund Policy: No Refunds. Additionally, we cannot guarantee the number or gender mix and do not offer refunds if some attendees fail to attend or the numbers are low or the gender mix skewed. As stated on this event page, order form and in our Terms and Conditions of Business we have a no refunds policy. We can offer an event credit if a valid reason is provided.  *Unified Dating has a zero tolerance policy towards any form of discrimination. News: Get Me Pampered has partnered with us to offer our customers 20% off on bookings!. Get Me Pampered offer hair, beauty and massage treatments at your home, hotel or office in London Zones 1 to 5 and Oxford, in other UK areas can also be offered at request. Find out more and to book for yourself, a group pamper party/ special event or as a gift: getmepampered.com. Use code GET20%OFF for 20% off at checkout on Get Me Pampered for bookings.",16.99,16.99,GBP,Unified Dating,https://schema.org/EventScheduled,2024-03-12T19:30:00Z,2024-03-12T22:00:00Z,Unified Dating Bisexual - Meet Singles over Dinner in Glasgow (Ages 28+),Book your place on this offline in-person dinner event and easily connect with new people in your area!,https://www.eventbrite.co.uk/e/unified-dating-bisexual-meet-singles-over-dinner-in-glasgow-ages-28-tickets-843136513007,glasgow,NA
