Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
NA,Sold out,Contact the organizer to request a refund.,"Journey back in time through the mesmerizing streets of Granada, guided by an ancient tome teeming with enigmatic maps and arcane symbols.This outdoor escape game sets you on a quest for a legendary golden key, believed to unlock chambers concealed within a palace crafted by regal lineages of yore.Rumors whisper of unimaginable treasures guarded within. However, the road to riches is paved with challenges: seek the elusive Astrologer, elude the dread of the evil eye, and navigate the intricate labyrinths leading to the very heart of the regal abode.Will you unearth the secrets that have been shrouded in mystery for centuries? The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:30:00Z,Medieval Granada Outdoor Escape Game: Secrets of Dynasties and Royals,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/medieval-granada-outdoor-escape-game-secrets-of-dynasties-and-royals-tickets-769425340907,granada
NA,Sold out,Contacta con el organizador para solicitar un reembolso.,NA,0,9.1,EUR,PUB BABEL,https://schema.org/EventScheduled,2024-03-09T19:00:00Z,2024-03-09T23:30:00Z,BEER PONG PUB BABEL,NA,https://www.eventbrite.com/e/beer-pong-pub-babel-tickets-753957486137,granada
NA,Sold out,NA,NA,5,5,EUR,Women TechMakers,https://schema.org/EventScheduled,2024-03-09T08:00:00Z,2024-03-09T17:00:00Z,” IngeniaTech edición Día Internacional de la Mujer”,"Un evento en el que aprender, compartir conocimientos y hacer networking con la comunidad de desarrolladores de Jaén.",https://www.eventbrite.es/e/entradas-ingeniatech-edicion-dia-internacional-de-la-mujer-776509700417,granada
NA,Sold out,Contacta con el organizador para solicitar un reembolso.,"PROMO / Club Santorini Entrada + 2 Cervezas o Refrescos INSTRUCCIONES CONDICIONES ¡Ven a disfrutar de una noche increíble en el Santorini Club Malaga Centro! Con nuestra promo especial, podrás disfrutar de 2 cervezas o refrescos mientras bailas y te diviertes en nuestro exclusivo club. No te pierdas esta oportunidad de pasar una noche inolvidable con tus amigos. ¡Te esperamos!",1.34,1.34,EUR,NiXMi,https://schema.org/EventScheduled,2024-03-09T22:00:00Z,2024-03-10T00:00:00Z,PROMO / Club Santorini Entrada + 2 Cervezas o Refrescos,¡Ven a PROMO / Club Santorini y disfruta de Entrada + 2 cervezas o refrescos!,https://www.eventbrite.es/e/entradas-promo-club-santorini-entrada-2-cervezas-o-refrescos-856880732337,granada
NA,Sold out,Refunds up to 7 days before event,"🇬🇧  COMMERCIAL, ChillOutmusic and more The exact meeting point will be sent via whatsapp +34 622 14 88 63, please write a message with your name. Link https://wa.me/34622148863 Whatsapp Group 👉 wp.yeknomblack.es Sunset on Catamaran Experience a unique sunset in Malaga! Get on the catamaran and let yourself be carried away by the incredible bay. Enjoy the coast of Malaga with a glass of cava to end the day with a magical sunset. Activity recommended for all ages. DURATION 1 hour. Tour along the coast of Malaga to find the best position to watch the sunset. IMPORTANT Arrive 30 minutes before at the ticket office and give the name of the person who made the reservation for the check-in. 🇪🇸  Música COMERCIAL, ChillOut y más El punto de encuentro exacto se enviará vía whatsapp +34 622 14 88 63, por favor escribe un mensaje con tu nombre Link https://wa.me/34622148863 Whatsapp Group 👉 wp.yeknomblack.es Atardecer en catamarán ¡Vive una puesta de sol única en Málaga! Sube al catamarán y déjate llevar por la increíble bahía. Disfruta la costa de Málaga con una copa de cava para finalizar el día con una puesta de sol mágica. Actividad recomendada para todas las edades. DURACIÓN 1 hora. Recorrido por la costa de Málaga hasta encontrar la mejor posición para ver el atardecer. I MPORTANTE L legar 30 min antes a la taquilla decir el nombre del que hizo la reserva, para el check-in",11.32,23.52,EUR,NiXMi,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:00:00Z,Malaga - ChillOut Sunset on Boat + Glass of Cava,Music in beautiful locations. Sunset  - 17:30H,https://www.eventbrite.es/e/malaga-chillout-sunset-on-boat-glass-of-cava-registration-795111829887,granada
NA,Sold out,Refunds up to 7 days before event,"🇬🇧  Sunset picnic in Malaga, with music and light show. Enjoy the DJ's music with your headphones. Music AFROHOUSE and more Each person must bring their own drink and food Access to the venue is completely FREE, as it is a public space, only a donation is requested if you wish to listen to the music. The meeting point will be sent by whatsapp +34 622 14 88 63, please write a message with your name Link https://wa.me/34622148863 Conscious contribution, if you bring your headphones from 5€ or our headphones from 10€. if you agree to participate in the event you give us your permission to take photos and videos that will be used for dissemination in networks. THANK YOU IMPORTANT   * Each person is responsible for himself and comply with the rules of behavior and respect of any public place. * Each person is responsible for picking up all his garbage. 🇪🇸 Pícnic al atardecer en Ma, con música y show de luces. Disfruta de la música del DJ con tus auriculares. Música AFROHOUSE y más Cada persona debe llevar su bebida y comida E l acceso al lugar es totalmente GRATIS, ya que es un espacio público, solo se pide una donación si deseas escuchar la música. El punto de encuentro exacto se enviará vía whatsapp +34 622 14 88 63, por favor escribe un mensaje con tu nombre Link https://wa.me/34622148863 Contribución consciente , si llevas tus audífonos a partir de 5€ o los nuestros a partir de 10€. si aceptar participar en el evento nos das tu autorización para hacer fotos y videos que se usaran para la difusión en redes. GRACIAS IMPORTANTE * Cada persona es responsable de sí mismo y cumplir con las normas de comportamiento y respeto de cualquier lugar público. * Cada uno es responsable de recoger toda su basura",0,0,EUR,NiXMi,https://schema.org/EventScheduled,2024-03-09T18:00:00Z,2024-03-09T20:00:00Z,"Malagueta Beach - Headphones Experience, picnic, music, light, sunset","DJ, sunset, picnic, music with headphones in beautiful locations. MIERCOLES 20:00H",https://www.eventbrite.es/e/malagueta-beach-headphones-experience-picnic-music-light-sunset-registration-706064587187,granada
NA,Sold out,No Refunds,"Awaken your mind and body to a new level and learn how to practice meditation in motion. The purpose of this yoga lineage is to guide you toward cultivating a conscious connection, integration and awakening of the body, mind, heart and spirit. You will learn and practice Patanjali's 8 limbs of yoga: Work primarily with the Amrit posture sequence, gentle vinyasa flows and extended posture holding times. Explore the deepest levels of body, mind and spirit with the integrative practices of clear intention, breath, meditative awareness and conscious integration. Learn to balance your nervous system with the “first half” and “second half” of a posture. To transition from an active state of “doing” a posture, to a relaxed state of “being”. And to feel the effects of a posture. Learn to consciously encounter your ""edge"" of body and mind to release deep tensions and restore the natural flow of the vital life force energy (prana). Good for all levels, from those with some experience to more experienced practitioners. Some experience with yoga and postures is recommended. BIOGRAPHY I have been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, meditation, Ayurveda and breathing. It is my pleasure and honor to guide you toward self-empowerment, transformation and awakened consciousness. I will help you connect to your deepest self and inner guide, from the physical to the soul dimension. SOULDIMENSION.ORG Copyright © 2022 • Soul Dimension",16.49,16.49,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-13T15:30:00Z,2024-03-13T17:00:00Z,Awakening Yoga • Weekly Class • Malaga,Weekly online class with a spiritual focus to awaken one’s consciousness and highest potential.,https://www.eventbrite.com/e/awakening-yoga-weekly-class-malaga-tickets-402642974977,granada
NA,Sold out,Contacta con el organizador para solicitar un reembolso.,"PROMO / Club Bubbles Entrada + 2 Cervezas o Refrescos INSTRUCCIONES CONDICIONES ¡Ven a disfrutar de una noche increíble en el Bubbles Club Malaga Centro! Con nuestra promo especial, podrás disfrutar de 2 cervezas o refrescos mientras bailas y te diviertes en nuestro exclusivo club. No te pierdas esta oportunidad de pasar una noche inolvidable con tus amigos. ¡Te esperamos!",1.34,1.34,EUR,NiXMi,https://schema.org/EventScheduled,2024-03-09T22:00:00Z,2024-03-10T00:00:00Z,PROMO / Club Bubbles Entrada + 2 Cervezas o Refrescos,¡Ven a PROMO / Club Bubbles  y disfruta de Entrada + 2 cervezas o refrescos!,https://www.eventbrite.es/e/entradas-promo-club-bubbles-entrada-2-cervezas-o-refrescos-858179858057,granada
NA,Sold out,Contact the organizer to request a refund.,"A different way of Sightseeing Explore Málaga on our memorable Treasure Hunt Tour! Are you looking for an exciting and unforgettable activity in Malaga as a family, couple, friends or group? Discover Malaga at your own pace and admire the most famous sights, attractions, cultural highlights and hidden gems in the historical city centre of Malaga on a Pirate Treasure Hunt Tour. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:30:00Z,Malaga Outdoor Escape Game: Sightseeing Treasure Hunt,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/malaga-outdoor-escape-game-sightseeing-treasure-hunt-tickets-539575403557,granada
NA,Sold out,Contact the organizer to request a refund.,"‘Dinner and a movie’ is so 2021! Especially when the movie is now played out in the real-world. Let us explain! The route you’re going to follow in the city is sprinkled with charming and picturesque places, fun clues and challenges, and romantic stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. Play a city game that will take you back to a Málaga of the XIX century, at a time when society was highly hierarchic and relationships between the locals and the gipsy communities were completely stranded. Wander on the sunny streets as you search for your lost lover: a ""gitana"" princess who stole your heart away. This story of forbidden love will take you through the most emblematic and hidden corners of the city, where you will find out all about the many cultures that flourished here. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 130 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 300 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-09T17:00:00Z,2024-03-09T18:30:00Z,Highlights of Malaga - Outdoor Escape Game,"If you’re looking for a new and exciting way of spending time with your one and only, family or friends, this is your Eureka moment!",https://www.eventbrite.com/e/highlights-of-malaga-outdoor-escape-game-tickets-478212024037,granada
