Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
8 hours,Mobile eTicket,Contact the organiser to request a refund.,"Tackling health inequalities for children and young people has never been more important with NHS England Core20plus5 approach giving a steer and direction from the top The rising cost of living and the COVID-19 pandemic have also exacerbated existing inequalities for children and young people against the backdrop of 4.2 million children already living in poverty in the UK in 2021-22.  As the health and care system continues to grapple with a host of operational and strategic issues during deeply challenging times and with increasing competing pressures on the Integrated Care System (ICS) budgets, this conference will explore how to ensure that the voice and needs of children and young people and equitable resource allocation are central in the strategic decision-making process. Due to be held in person early next year, this in-person event will attract a wide-ranging audience from central and local government, the NHS, local government, private and third sector organisations, and people with lived experience. This event is being held in partnership with Barnardo’s Yes. Please select your tickets and once you're through to the registration form, you can amend the 'payment method' from credit card to 'pay by invoice' . Please note, there is a £20+VAT surcharge to cover the cost of processing invoices. This is an addition to the ticket price and will be added to your invoice. There is one invoice fee per order, not per ticket. There is no charge for paying by debit or credit card. Cancellations confirmed in writing more than 14 days before the first live session will be refunded in full via the same payment method. We regret that no refund can be made after that date, however, if you contact us before the event start, we can offer a transfer of your ticket to another event taking place in the following six months. Please email us at events@kingsfund.org.uk with confirmation of your original booking to cancel or transfer your ticket. On completion of the confirmed booking the delegate and their supporting organisation are liable for the fees for the event (regardless of whether payment has been made). If you have any questions about this event, please contact The King's Fund events team at events@kingsfund.org.uk. The King’s Fund privacy policy",72,72,GBP,The King's Fund,https://schema.org/EventScheduled,NA,NA,Time for action: addressing health inequalities for children & young people,Time for action: addressing health inequalities for children and young people  (in-person conference),https://www.eventbrite.co.uk/e/time-for-action-addressing-health-inequalities-for-children-young-people-registration-737799166167,london
2 hours,Mobile eTicket,Contact the organizer to request a refund.,"An evening of life-changing career advice and confidence-building with Stef Sword-Williams of F*ck Being Humble—a global mission, movement and consultancy inspiring individuals to be unapologetically proud of their achievements and overcome the fear of self-promotion.  After years of seeing boring professional development and cheesy motivational slogans, Stef decided she wanted to disrupt the careers industry with a message people could *actually* relate to.  Through her training, talks, books, and most recently, her free career advice series, Stef focuses on empowering individuals to recognise their worth, celebrate their successes and bring an unapologetic confidence to the table. Are you struggling with feeling lost in your work journey or lacking self-belief in knowing what to do next? Then this event is for you 👀 Stef will be welcoming three audience members to the stage to share their work dilemmas and get bespoke career advice LIVE!  Want the chance to chat to Stef? Send your name, job title, age and a short summary of what you need help with now to community@okmentor.me! 🙋",11.55,11.55,GBP,OK Mentor,https://schema.org/EventScheduled,2024-03-12T18:00:00Z,2024-03-12T20:00:00Z,Getting Unstuck with Stef Sword-Williams,An evening of life-changing career advice and confidence-building with Stef Sword-Williams of F*ck Being Humble,https://www.eventbrite.co.uk/e/getting-unstuck-with-stef-sword-williams-tickets-841444060837,london
2 hours 30 minutes,Mobile eTicket,No Refunds,"A night of free-thinking comedy with comedians who don't self-censor. Absurd, surreal, wonderful. Identifies as working-class. Scottish Milwall Polymath Whip sharp Andrew Doyle: “Andy Shaw and I set up Comedy Unleashed because we feel that the time is right for a new alternative comedy movement. We book comics from all political backgrounds, or those who have no interest in politics at all. Our key criteria is that they are talented and funny. ” Doors open 6pm. Food is available from 6.30pm. Show starts 7.30pm and finishes at 10pm. Artists on the bill may change. Ticket buyers will be added to the Comedy Unleashed email newsletter. You're free to unsubscribe at any time.",10,22.38,GBP,Comedy Unleashed,https://schema.org/EventScheduled,2024-03-12T19:30:00Z,2024-03-12T22:00:00Z,"Tony Law, Leo Kearse, Lenny Sherman at Comedy Unleashed","Tony Law, Leo Kearse, Lenny Sherman, Andrew Doyle, Stephen Grant at Comedy Unleashed",https://www.eventbrite.co.uk/e/tony-law-leo-kearse-lenny-sherman-at-comedy-unleashed-tickets-788595669877,london
2 hours,Mobile eTicket,Contact the organiser to request a refund.,"Join our next ElevateHer event - an exciting in person event celebrating International Women's Day and supporting gender parity! This is an event for men and women - after all it isn't just a social issue that impacts women, its an economic one that impacts all of us: “It's so important to bring gender parity to our countries and to our lives – for more productivity and a better economy for everybody.” - was the quote that came out of The World Economic Forum this year. The Forum’s Global Gender Gap Report 2023, which measures four key gender gaps, found that the Economic Participation and Opportunity gap has only closed by just over 60%. But the longer it takes to close, the more the global economy is missing out. In 2020, the World Bank found that potential gains from closing economic gender gaps could unlock a “gender dividend” of $172 trillion for the global economy. Join us at Rise London on Luke Street for a day filled with empowering talks from a panel that will inspire and uplift each other as we strive for equality as an industry. We will be joined by Lucy Heavens, Women of FinTech Ambassador who will moderate the panel below to talk about how women can inspire one another at each stage of their career: Hannah Pring CCO Lockton Laura Coote Business Execution Consultant Wells Fargo Nombuso Matsape Head of Global Markets IT Operations ICBC Standard Bank Tiffany Appiah FinTech Student   Your registration details will be shared with both organisers for the event - Women of FinTech and Rise",0,27.8,GBP,Women of FinTech,https://schema.org/EventScheduled,2024-03-12T17:00:00Z,2024-03-12T19:00:00Z,ElevateHer - International Women's Day Event - Inspire inclusion in FinTech,Join us for our next ElevateHer event for International Women's Day Event to inspire inclusion in FinTech,https://www.eventbrite.co.uk/e/elevateher-international-womens-day-event-inspire-inclusion-in-fintech-tickets-847551548497,london
1 hour 30 minutes,Mobile eTicket,Contact the organiser to request a refund.,"From Palaces of Art to the Studios of Bohemia: Artists’ houses in Victorian Kensington and Chelsea The second half of the 19th century was a great time to be a painter. More people bought art than ever before and the most successful artists, like Leighton and Luke Fildes, were showered with public honours and earned incomes that by today’s standards made them millionaires. They commissioned magnificent, purpose-built studio houses in the leafy suburbs of Holland Park and Kensington. The less wealthy and more unconventional, like Rossetti and Whistler, gravitated towards Chelsea, occupying picturesque old buildings that lined the riverside or innovative new studio’s in Tite Street. This lecture reviews the two most famous artists’ colonies - Melbury Road, Kensington and Cheyne Walk and Tite Street, Chelsea - and explores the lives and interiors of the painters who lived there. Jo Banham is a freelance curator, lecturer and writer. Previously she worked at the V&A, National Portrait Gallery, and Tate Britain as Head of Public Programmes. She is currently writing a book on the History of Wallpaper. FAQs How do I get to St Mary Abbots, Kensington? On foot...St Mary Abbots church is on the corner of Kensington Church Street, and Kensington High Street - opposite Wholefoods / the Barkers building. By bus...Buses stopping close to the church : Bus Routes: 9, 10, 27, 28, 49, 52, 70, 328, 452, C1 By underground...The nearest Underground station is High Street Kensington on the District and Circle Lines (4 minutes walk). Notting Hill Gate on the Central Line is also within walking distance. None all of these stations can be accessed by people in wheelchairs. How can I contact the organiser with any questions? Please contact Ruth Miller by email at events@victoriansociety.org.uk before the day of the event. This event helps raise funds for The Victorian Society - the only charity dedicated to fighting for our Victorian and Edwardian heritage. Funds raised from events and memberships allow us to employ expert caseworkers to reply to thousands of planning applications a year in our role as a statutory consultee in the planning system. We help tackle the climate emergency by campaigning for the sensitive reuse of historic buildings to generate much lower carbon emissions than demolition and rebuild. Join us today and safeguard our unique cultural heritage for future generations! For further information, click here. Image: H. Teffry-Dunn, Rossetti at 16 Cheyne Walk",10,15,GBP,The Victorian Society,https://schema.org/EventScheduled,2024-03-12T19:00:00Z,2024-03-12T20:30:00Z,"Artists’ Houses in Victorian Kensington and Chelsea, by Jo Banham",This lecture reviews the two most famous artists’ colonies in Kensington and Chelsea.,https://www.eventbrite.co.uk/e/artists-houses-in-victorian-kensington-and-chelsea-by-jo-banham-tickets-792983303407,london
3 hours,Mobile eTicket,Contact the organiser to request a refund.,"Join us at Filly Brook, a Leytonstone favourite, for a delicious dinner with Labour MPs, councillors, and members.We're honoured to welcome special guests: All funds raised will go towards campaigning in Waltham Forest to get Sadiq Khan re-elected as Mayor of London on 2 May. Solidarity tickets are available for those who want to support but are unable to join us on the night. The date falls within Ramadan, so we will start slightly later to allow people to break their fast at home. Doors open at 7.30pm with a buffet dinner starting at 8pm.",25,27.8,GBP,NA,https://schema.org/EventScheduled,2024-03-12T19:30:00Z,2024-03-12T22:30:00Z,Waltham Forest Labour Fundraiser Dinner,"Special guests Feryal Clark MP, John Cryer MP, and Sem Moema AM",https://www.eventbrite.co.uk/e/waltham-forest-labour-fundraiser-dinner-tickets-850902581527,london
1 hour,Mobile eTicket,Contact the organiser to request a refund.,"Join us for a discussion exploring solidarity networks established during and in the time since 1984/85 Miners’ Strike.  Building on the annual Friends of Durham Miners’ Gala fundraising dinner, Redhills and Left Book Club present an event marking the 40th anniversary of the 1984/85 Miners’ strike. During the strike, mining communities established national and international solidarity networks, finding common cause with other organising movements. The most famous being the relationship with Lesbians and Gay Support the Miners, the story of which is celebrated in the film Pride.  Solidarity Through the Decades is a panel event featuring voices from the strike - and those who have come since and been inspired by the experience of the conflict.  With an introduction from Durham Miners’ Association the event will feature National Union of Miners General Secretary Chris Kitchen, an exploration of the connection between LGSMiners and LGSMigrants, Women Against Pit Closures and Redhills Durham Miners Hall. Chaired by Left Book Club the event will draw on the strike as a historic moment with much to reflect the challenges facing the UK in 2024.  Left Book Club x Redhills Tuesday 12th March 2024, 6PM Ev Restaurant (The Arches, 98 Isabella St, London, SE1 8DD)London",0,3.96,GBP,The Left Book Club,https://schema.org/EventScheduled,2024-03-12T18:00:00Z,2024-03-12T19:00:00Z,Solidarity Through the Decades: 40 Years of the 1984/85 Miners' Strike,This event is co-organised by Redhills Durham and Left Book Club,https://www.eventbrite.co.uk/e/solidarity-through-the-decades-40-years-of-the-198485-miners-strike-tickets-835864141147,london
3 hours,Mobile eTicket,Contact the organiser to request a refund.,"In partnership with Kea New Zealand and hosted by Killik & Co. we’re proud to announce our International Women’s Day 2024 event. When we inspire others to understand and value women's inclusion, we create a better world. The aim for IWD 2024 #InspireInclusion is to collectively forge a more inclusive world for women. Our panel will tackle the theme of Inpiring Inclusion and discuss what this means to them. Join us for a glass of wine, nibbles and an opportunity to connect and be inspired. About our hosts Killik & Co is an independently-owned wealth management firm that specialises in helping families achieve their financial goals, from getting started with investing, to planning for retirement. To find out more about their services and how they can help you visit their website. About our panel Chantelle Nicholson Chantelle moved to London in 2004 to pursue a career as a chef. Starting at the Savoy Grill then moved to Pétrus, Gilbert Scott, Tredwells, a pop up, 'All's Well'.In 2021 Chantelle closed Treadwells to open a space that aligned with her ethos of running a business with purpose.In April 2022 Chantelle opened Apricity, in Mayfair, London. Apricity focuses on the circular economy, and is a business based on the pillars of people, planet, purpose, and profit. In 2023, Apricity was awarded a coveted Michelin Green Star.Chantell has a strong passion for sustainability & consciousness - what we eat, where we source it from, & how we eat. Kiri Haggart Kiri is the Managing Director for Feed Me Light and plume.tv. Feed Me Light Ltd is an award winning London based creative studio. Kiri manages a team of talented, like-minded people who specialise in animation. From storyboarding, illustrations, 2D & 3D animation, filming, post production, print, video games and VR her team have worked with comanies like Sainsburys, Netflix and Adobe to name a few.Lisa Miles-Heal Lisa Miles-Heal is the CEO of cloud accounting software Silverfin. Following a period of strong growth, she oversaw its acquisition by the leading tech company in Europe, Visma, in 2023. As a female leader in the technology industry, she is entrepreneurial, growth focussed and keen to see her teams and customers thrive. She has held a number of technical, operational and business leadership posts, alongside starting a consultancy business in the past. Alongside her full time role she makes time to advise and support founders and executives in several scaling software businesses in NZ, AU and Europe. A special thanks to Lowrise Brewery for providing us with their delicious beer and the award winning Forrest Wines for with their outstanding wine. We would also like to thank Sarah Smart at The Collective for providing us with treats and very talented Mae Cermaics by Lilly Maetzig you can look at her beautiful collection here. About NZBWN The New Zealand Business Women’s Network (NZBWN) is built on a network of over 2,500 members and volunteers who are committed to learning, connecting and inspiring. Whether that be through small or large events, mentoring, workshops or training, the magic of our network is that we bring together like-minded Kiwi women giving them a taste of home, while on the opposite side of the world. While the majority of our members are in the UK, we have a growing New Zealand group. About Kea New Zealand Kea New Zealand nurtures a vibrant and diverse community who share a strong passion for New Zealand and the success of its people and businesses. Join Kea to have full access to Kea tools and services, including the Kea Connect service, job portal and event portal. Find out more and register for free on the Kea website keanewzealand.com or contact Kea directly at info@keanewzealand.com. About International Women’s Day International Women's Day is a global day celebrating the social, economic, cultural and political achievements of women. Proudly celebrating it’s 110 year anniversary - with the first IWD event held exactly 110 years ago in 1911 in Austria, Denmark, Germany and Switzerland. More than one million women and men attended IWD rallies campaigning for women's rights to work, vote, be trained, to hold public office and end discrimination.",29.96,29.96,GBP,The New Zealand Business Women's Network,https://schema.org/EventScheduled,2024-03-12T18:30:00Z,2024-03-12T21:30:00Z,International Women's Day #InspireInclusion,This year the theme for International Women's Day is #InspireInclusion. Our panel will discuss their thoughts on this important theme.,https://www.eventbrite.co.uk/e/international-womens-day-inspireinclusion-tickets-817481839187,london
3 hours 30 minutes,Mobile eTicket,No Refunds,"UPDATE: THIS EVENT IS NOW FREE!We have issued refunds to all who purchased a ticket for this event. This will mean you will need to get a 'FREE ADMISSION' ticket instead. Thank you for supporting our event! Bring Your Own Bars Poetry is back again! Join us again at Boxpark Croydon for a night of poetry with headliner TEMI T! This is an 18+ event with photo ID required and an open mic sign up on the door. Hosted by resident poet extraordinaire Woodzy, our night of bars and wordplay will again be enriched by our DJ Haroon Khan on the decks during the breaks. Our events tend to sell out in advance and the only way to guarantee entry will be via a ticket on Eventbrite! Open mic is strictly sign up on the door and names will be picked out of a hat IMPORTANT: The show will start strictly at 7:00pm. A Boxpark black card is required for entry which may be obtained for free via www.boxpark.co.uk",0,9.38,GBP,Bring Your Own Bars Poetry,https://schema.org/EventScheduled,2024-03-12T18:30:00Z,2024-03-12T22:00:00Z,#27 - TEMI T at BYOB Poetry Croydon Open Mic (Spoken Word),"BYOB Poetry returns to Boxpark Croydon featuring TEMI T!

Open mic sign up on door, 18+ photo ID required.",https://www.eventbrite.co.uk/e/27-temi-t-at-byob-poetry-croydon-open-mic-spoken-word-tickets-809783322717,london
2 hours 30 minutes,Mobile eTicket,Contact the organiser to request a refund.,"The UK’s leading green industrialist Dale Vince OBE will be in conversation with Ava Santina Evans about his Sunday Times best-selling book Manifesto. The book is a blend of personal memoir and mission statement, charting Dale’s unique journey from a new age traveller and environmental visionary, to becoming a leading light in green energy and global politics. The new edition is a true call to action, with new chapters encouraging young people to vote, with the inclusion of a QR code at the back with a link to register to vote. Dale will be discussing the new edition of his book in conversation with Ava Santina Evans, a political correspondent at PoliticsJOE, a digital-first news publisher aimed at 18-35s. Based in Westminster, she covers UK politics and trade unions. Before this, she was the lead producer of the James O’Brien programme on LBC Radio and a broadcast journalist with the BBC. She is a regular contributor on the BBC, Sky News, ITV’s Good Morning Britain and TalkTV. Following the in conversation talk and Q&A, Dale will be signing books which will be available to buy at the event sold by local independent bookshop Ink@84. Tickets £5 to include refreshments on arrival. All proceeds to be donated to Islington Climate Centre. There will be 50 seats first come first serve, with 20 standing places available.",5,5,GBP,NA,https://schema.org/EventScheduled,2024-03-12T18:30:00Z,2024-03-12T21:00:00Z,Dale Vince In Conversation With Ava Santina Evans,The UK’s leading green industrialist Dale Vince will be in conversation about his Sunday Times best-selling book Manifesto.,https://www.eventbrite.co.uk/e/dale-vince-in-conversation-with-ava-santina-evans-tickets-850737828747,london
