Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
7 heures,Billets électroniques sur mobile,Remboursements jusqu'à 1 jour avant l'événement,"L’une des meilleures choses que comporte une nouvelle année, c’est l’opportunité de renouveler votre bien-être. Ce sentiment de se fixer des objectifs et de faire des projets vous remplit d’espoir et de promesses. Mais par où commencer ? Que vous soyez un(e) pro des huiles essentielles ou que vous participiez pour la première fois, les événements du printemps 2024 sont exactement ce qu’il vous faut pour poser des bases solides pour votre bien-être pour l’année à venir. Venez et explorez les produits doTERRA sous un nouvel angle et adoptez une approche ciblée pour gérer les moments de stress, réduire la toxicité et viser une alimentation éclairée. Ensemble, nous trouverons un équilibre entre repos, exercice, métabolisme, nutrition et digestion pour créer une routine qui nourrira votre esprit, votre corps et votre âme. Avec l’aide du diagramme du bien-être de doTERRA, vous pouvez déterminer votre propre rythme pour vivre une vie plus satisfaisante. Nous vous dévoilons le défi ultime : #doTERRALifeGoals! Voir grand n’est qu’un début ! Avez-vous déjà imaginé réaliser vos ambitions les plus audacieuses ? Qu’il s’agisse d’atteindre le sommet d’une montagne, fonder une famille, ou faire le tour du monde, vos rêves nécessitent vos meilleures performances. Prenez part au défi #doTERRALifeGoals – qui vous conduira vers vos plus grande ambitions ! Cette expérience consiste à mettre en place les habitudes qui vous propulseront vers vos visions à long terme. Mais ce qu’il y a de plus grisant : vous ne serez pas seul(e) dans cette aventure ! Rejoignez un collectif de personnes qui partagent les mêmes idées, unies par la passion d’apporter des changements transformateurs dans leur vie. Êtes-vous prêt(e) à enclencher le changement qui définira votre année ? Rejoignez nos événements du printemps et prenez part à une aventure exaltante qui vous conduira vers la réalisation de vos rêves. Vous obtiendrez plus d’informations concernant ce défi lors des événements. Le compte à rebours est lancé !Si le billet de votre événement comprend un cadeau, il peut uniquement être récupéré en personne lors de l’enregistrement ; les cadeaux ne peuvent pas être expédiés à votre domicile. Si un membre de votre équipe participe au même événement, vous pouvez lui transmettre votre code QR pour qu’il vous enregistre et récupère votre cadeau à votre place.",22,25,EUR,dōTERRA Europe,https://schema.org/EventScheduled,2024-03-09T09:00:00Z,2024-03-09T16:00:00Z,Spring Tour 2024 - Lyon,"Préparer l’avenir, ça commence aujourd’hui.",https://www.eventbrite.co.uk/e/billets-spring-tour-2024-lyon-811250210217,lyon
NA,Sold out,Remboursements jusqu'à 1 jour avant l'événement,"--- ⚠️ Animées par des bénévoles, ces sessions publiques sont destinées avant tout aux particuliers, les participants à titre professionnel sont acceptés, dans la limite de 2 représentants par entreprise. --- 💡 Contenu de l'atelier 🌍 Face à l’urgence climatique, on se sait pas toujours comment agir : Eco-gestes ou actions collectives ? Devenir flexitarien ou acheter de seconde-main ? Rénover son logement ou se déplacer à vélo ? S'engager dans une association ou dans son travail ? 🌡️ Dans cet atelier, vous aurez pour mission de construire un scénario de transition,ensemble, afin de limiter le changement climatique à +1,5°C. Pour cela, vous vivrez en accéléré les 30 prochaines années et devrez choisir des actions individuelles ET collectives à l'échelle du pays. Chaque action aura un impact sur vos émissions de gaz à effet de serre !  ☀️ Quelles actions réaliser ? Lesquelles ont le plus d'impact ? Quel est mon rôle dans la transition écologique et sociale ?  👋 Venez le découvrir en participant à l'atelier.",0,0,EUR,2 tonnes,https://schema.org/EventScheduled,2024-03-09T08:30:00Z,2024-03-09T11:30:00Z,2tonnes - Atelier à  Les Petites Cantines Vieux Lyon (69005),Vous voulez agir pour le climat ? L'atelier 2tonnes vous donne les clés pour passer à l'action de façon ludique et pédagogique !,https://www.eventbrite.fr/e/billets-2tonnes-atelier-a-les-petites-cantines-vieux-lyon-69005-809147340477,lyon
NA,Sold out,Contactez l'organisateur pour demander un remboursement.,"Atelier d’écriture olfactive : Je suis à ma place De quoi il s’agit ? Une méditation olfactive suivie d’une séance d’écriture intuitive, pour pouvoir plonger au plus profond de vous-mêmes et poser sur le papier vos ressentis et intentions. La méditation aura lieu autour de la thématique « Je suis à ma place » et elle sera guidée par l’olfaction d’huiles essentielles qui aident à équilibrer les phases d’action et de repos, l’énergie Yin et l’énergie Yang. Pendant la deuxième partie de l’atelier, grâce à l’écriture intuitive, nous allons ancrer dans la matière ce qui a pris forme dans notre esprit pendant la méditation. Nous allons conclure en faisant connaissance avec les huiles essentielles qui nous auront guidées pendant l’atelier et en partageant nos ressentis, pour celleux qui le souhaitent. Cet atelier est fait pour vous si ... … vous êtes en train de vous investir dans un gros projet, qu’il soit personnel ou professionnel et vous ressentez le besoin d’équilibrer le feu de l’action et les phases de repos, si vous ressentez le besoin de relâcher la pression, si vous voulez réintégrer dans votre quotidien la légèreté et l’enthousiasme nécessaires à poursuivre la mise en place de vos projets et sentir que, quoiqu’il arrive, JE SUIS A MA PLACE ! Qui-suis-je ? Chiara, naturopathe passionnée par l’humain et la transmission du message que la mauvaise santé n’est pas une fatalité, du moment qu’on arrive à rester à l’écoute de notre corps et de nos émotions.",17.18,17.18,EUR,Librairie a soi.e,https://schema.org/EventScheduled,2024-03-09T16:00:00Z,2024-03-09T18:00:00Z,"Atelier d’écriture olfactive ""Je suis à ma place""","Atelier d’écriture olfactive ""Je suis à ma place""",https://www.eventbrite.fr/e/billets-atelier-decriture-olfactive-je-suis-a-ma-place-818837814947,lyon
NA,Sold out,Contact the organizer to request a refund.,NA,91.8,91.8,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-09T19:30:00Z,2024-03-09T22:30:00Z,Lyon's Most Iconic Fare - Food Tours by Cozymeal™,"Learn all about Lyon's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “Lyon's Most Iconic Fare”, with Guide Charlie or Local Guide for a fun 3-hour experience with 5 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Lyon's Most Iconic Fare",https://www.eventbrite.com/e/lyons-most-iconic-fare-food-tours-by-cozymealtm-tickets-790478371087,lyon
NA,Sold out,Remboursements jusqu'à 1 jour avant l'événement,"Salle sans accès PMR. --- ⚠️ Animées par des bénévoles, ces sessions publiques sont destinées avant tout aux particuliers, les participants à titre professionnel sont acceptés, dans la limite de 2 représentants par entreprise. --- 💡 Contenu de l'atelier 🌍 Face à l’urgence climatique, on se sait pas toujours comment agir : Eco-gestes ou actions collectives ? Devenir flexitarien ou acheter de seconde-main ? Rénover son logement ou se déplacer à vélo ? S'engager dans une association ou dans son travail ? 🌡️ Dans cet atelier, vous aurez pour mission de construire un scénario de transition,ensemble, afin de limiter le changement climatique à +1,5°C. Pour cela, vous vivrez en accéléré les 30 prochaines années et devrez choisir des actions individuelles ET collectives à l'échelle du pays. Chaque action aura un impact sur vos émissions de gaz à effet de serre ! ☀️ Quelles actions réaliser ? Lesquelles ont le plus d'impact ? Quel est mon rôle dans la transition écologique et sociale ? 👋 Venez le découvrir en participant à l'atelier.",0,0,EUR,2 tonnes,https://schema.org/EventScheduled,2024-03-09T14:00:00Z,2024-03-09T17:00:00Z,2tonnes - Atelier au Salon de l'environnement EGPN  - VILLEURBANNE (69100),Vous voulez agir pour le climat ? L'atelier 2tonnes vous donne les clés pour passer à l'action de façon ludique et pédagogique !,https://www.eventbrite.fr/e/billets-2tonnes-atelier-au-salon-de-lenvironnement-egpn-villeurbanne-69100-830166699947,lyon
2 hours,Mobile eTicket,Contact the organizer to request a refund.,NA,52.36,52.36,EUR,NA,https://schema.org/EventScheduled,2024-03-09T09:00:00Z,2024-03-09T11:00:00Z,Explore a new dog-friendly trail or beach,Explore a new dog-friendly trail or beach,https://www.eventbrite.com/e/explore-a-new-dog-friendly-trail-or-beach-tickets-813723377527,lyon
NA,Sold out,Contactez l'organisateur pour demander un remboursement.,30 rue de l’Annonciade 69001 Lyon,0,0,EUR,Diego Ponce,https://schema.org/EventScheduled,2024-03-08T21:00:00Z,2024-03-09T02:00:00Z,Fuego Latino Latín party Fiesta Latina salsa bachata merengue reggaetón kiz,Salsa Bachata Kizomba Merengue Reggaeton soirée gratuite fiesta latina gratis latín party free,https://www.eventbrite.fr/e/billets-fuego-latino-latin-party-fiesta-latina-salsa-bachata-merengue-reggaeton-kiz-685603226707,lyon
NA,Sold out,Contact the organizer to request a refund.,NA,117.39,117.39,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-08T19:30:00Z,2024-03-08T22:30:00Z,The Culture and Cuisine of Lyon - Food Tours by Cozymeal™,"Learn all about Lyon's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “The Culture and Cuisine of Lyon”, with Guide Charlie or Local Guide for a fun 3-hour experience with 5 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit The Culture and Cuisine of Lyon",https://www.eventbrite.com/e/the-culture-and-cuisine-of-lyon-food-tours-by-cozymealtm-tickets-781175004467,lyon
NA,Sold out,Contact the organizer to request a refund.,"Play a thrilling adventure game where your mission is to break free from the city limits of Lyon. You will follow clues to discover fascinating places in the old town and their mysterious histories. Discover monuments from the Renaissance, uncover secret passageways that were used to escape from the Nazis, and learn about the enchanting local history. Are you ready to escape Lyon? The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",11.99,49.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-08T17:00:00Z,2024-03-08T18:30:00Z,Lyon  Outdoor Escape Game: Escape the Nazi,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/lyon-outdoor-escape-game-escape-the-nazi-tickets-655662944517,lyon
NA,Sold out,Contact the organizer to request a refund.,"Play a city exploration game and make your way through traboules in one of Lyon’s most iconic neighborhoods, the Croix-Rousse. Solve clues to learn about the former Lyonnais silk workers, the Canuts, and travel even back in time to discover Roman ruins. Are you ready to explore Lyon? *Note: Some traboules and courtyards may need to be accessed by pressing the security button on the digicode pad. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-08T17:00:00Z,2024-03-08T18:30:00Z,Lyon Croix-Rousse Highlights: Outdoor Escape Game,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/lyon-croix-rousse-highlights-outdoor-escape-game-tickets-734103823297,lyon
