Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
3 horas,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"¡Celebra con nosotros el 5º Aniversario de Historias Hiladas Madrid! Te invitamos a un evento muy especial donde celebraremos cinco años de costura, patronaje, labores y gente maravillosa!  Únete a nuestra fiesta de aniversario en Historias Hiladas Madrid donde te esperamos con una pequeña fiesta con regalos y sorpresas donde celebrar contigo estos cinco años. ¿Quién nos lo hubiera dicho cuando empezamos? ASí fue nuestro primer aniversario. A pocos días de la locura del Covid. Después llegaron mcuas cosas, gente nueva, nuevos cursos, intercambios de telas, nuevas máquinas... Fuimos llenando la academia de un poco de todo, pero sobre todo de nuestras chicas (y cada vez más chicos!) que son las que hacen que el proyecto tenga sentido, que tengamos un espacio para coser, para conocer a gente con nuestros mismos hobbies y sobre todo, un espacio donde disfrutar y aprender los unos de los otros.En este evento, queremos pasar un rato recordando viejos tiempos, conociendo caras fuera de las pantallas y por supuesto, agradeceros vuestro apoyo durante todo este tiempo con regalos y sorteos! TALLER DE MACRAMÉ: En el aniversario va a haber un mini taller de iniciación al macramé. Las plazas soy muy limitadas porque estamos probando esta labor a ver si sale un curso más adelante. Así que será una muestra para aprender lo básico y hacer un macetero colgante precioso!! Las entradas son a parte del resto del evento, así que asegúrate de coger la entrada de ""minitaller de macramé"" para no quedarte sin plaza!!!",0,10,EUR,Laura de Historias Hiladas Madrid,https://schema.org/EventScheduled,2024-03-10T10:00:00Z,2024-03-10T13:00:00Z,5º Aniversario Historias Hiladas Madrid,¡Celebra con nosotros el quinto aniversario de Historias Hiladas Madrid en un evento en persona lleno de diversión y sorpresas!,https://www.eventbrite.com/e/entradas-5o-aniversario-historias-hiladas-madrid-837333305457,madrid
3 horas 30 minutos,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"Cavaliers afronta el tramo final de la temporada regular contra Gijón Mariners. Esperamos ganar para poder seguir con opciones para la clasificación a los Play-Off y para ello necesitamos a la marea granate en las gradas! 🎟️ ¡Compra tus entradas antes del viernes 8 a precio de venta anticipada en Eventbrite! 🥤 Esta temporada nos acompaña Península, la cervecera de Alcobendas. ¡ Disfruta el camino! Always Forward!",0,6.73,EUR,The Royal Oaks Knights,https://schema.org/EventScheduled,2024-03-10T12:00:00Z,2024-03-10T15:30:00Z,Fútbol Americano: Cavaliers vs Gijón Mariners,"¡Jornada 6 de la fase regular! Nos visitan desde el norte... ¡Gijón Mariners! ´Penúltimo partido en casa, ¡Ven a animar!",https://www.eventbrite.es/e/entradas-futbol-americano-cavaliers-vs-gijon-mariners-769595640277,madrid
30 minutes,Mobile eTicket,Contact the organizer to request a refund.,"Antes de esto, temblaba es una obra breve de autoficción de Federico Abrill para la compañía Malala Producciones. Te esperamos el domingo 10 de marzo de 2024 a las 13:00 en Esquina Nua (C. de Aguilón, 7). Por primera vez nadie sabe lo que va a suceder, no se ensaya ni planifica. Tanto público como intérpretes están en igualdad de condiciones. Leer en alto por primera vez nos sitúa en un espacio de vulnerabilidad e imprecisión hermoso, un presente continuo en el que no se puede preveer nada, pero donde todo el mundo es invitado a formar parte. Un actor/actriz deberá leer un texto por primera vez bajo esta única premisa:",5,5,EUR,Malala Producciones,https://schema.org/EventScheduled,2024-03-10T12:00:00Z,2024-03-10T12:30:00Z,"Antes de esto, temblaba","""Antes de esto, temblaba"" es una obra breve autoficcional de Federico Abrill para ser leída a primera vista x un intérprete cada día.",https://www.eventbrite.es/e/antes-de-esto-temblaba-tickets-854360534357,madrid
1 hora 30 minutos,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"No te pierdas la Terapia de Baile con Auriculares en la increíble Fuente del Ángel Caído! Ven y únete a nosotros para una experiencia única llena de música, baile y diversión. En este evento en persona, podrás sumergirte en un ambiente vibrante y liberador mientras bailas al ritmo de tus canciones favoritas. Con nuestros auriculares inalámbricos y las indicaciones del monitor bailarás de principio a fin. No importa si eres un bailarín profesional o simplemente quieres disfrutar de una mañana divertida, ¡todos son bienvenidos! ¡Así que trae tus mejores movimientos y únete a nosotros en la Terapia de Baile con Auriculares en la Fuente del Ángel Caído!",8.58,8.58,EUR,PURA VIDA CON VEOBETODANCE,https://schema.org/EventScheduled,2024-03-10T10:30:00Z,2024-03-10T12:00:00Z,TERAPIA DE BAILE CON AURICULARES,¡Ven a disfrutar de una Terapia de Baile con Auriculares que te hará mover el cuerpo y liberar el estrés al ritmo de la música!,https://www.eventbrite.es/e/entradas-terapia-de-baile-con-auriculares-855722668537,madrid
1 hora,Entrada electrónica móvil,Reembolsos hasta 1 día antes del evento,"¡Planes en familia en Madrid: Crea tu propia burbuja de baño en Lush Vaguada! ¿Estás buscando una actividad divertida para disfrutar en familia? ¡No busques más! Ven a nuestro evento en Lush Vaguada el domingo 10 de marzo de 2024 a las 17:00. En este evento, podrás crear tu propia burbuja de baño personalizada. Sumérgete en un mundo de colores y aromas mientras te diviertes en familia. Nuestros expertos te guiarán en el proceso de creación, proporcionándote todos los materiales necesarios. En Lush Vaguada, encontrarás un ambiente acogedor y relajante, perfecto para pasar un rato agradable en familia y amigos. ¡No te lo pierdas! Esta nube color pastel de lavanda, tonka e ylang ylang te hará navegar por un mar de espuma relajante y te regalará dulces sueños. Te recomendamos utilizarla para un baño calmante antes de dormir: la lavanda facilita el sueño de forma natural. Este es el producto perfecto si... ...quieres un baño con mucha espuma. ...tienes problemas para dormir y buscas un ritual relajante antes de dormir. ...te encanta el olor dulce de nuestra gama Sleepy. ¿QUÉ INCLUYE ESTA EXPERIENCIA?",11.09,11.09,EUR,Lush Vaguada,https://schema.org/EventScheduled,2024-03-10T16:00:00Z,2024-03-10T17:00:00Z,Planes en familia en Madrid: Crea tu propia burbuja de baño en Lush Vaguada,¿Buscas planes en Madrid? ¡Crea tu propia burbuja de baño! Un taller ideal para todas las edades y para compartir entre amigos y familia.,https://www.eventbrite.es/e/entradas-planes-en-familia-en-madrid-crea-tu-propia-burbuja-de-bano-en-lush-vaguada-836331699627,madrid
NA,Sold out,Contacta con el organizador para solicitar un reembolso.,"En el día a día de los Aberrante la violencia y la ignorancia se instalan como lo cotidiano. Frígida, la matriarca, lidera a su clan con puño de hierro gracias al apoyo de Macario, su cómplice esposo. Ajeno a sus chanchullos está Bebé, su inocente vástago, protegido por su abuela Socorro Auxilio. Este idílico caos se desmorona cuando Facundo, el padre de Frígida, pone una desmesurada condición para heredar la empresa familiar. No te pierdas Aberrantes y otros muchos grandes espectáculos en la Sala La Usina. Atención: las entradas deberán ser retiradas en taquilla por la persona que realizó la reserva desde 30 minutos antes del inicio del espectáculo. Para solicitar entradas para personas en silla de ruedas o con movilidad reducida se aconseja contactarnos en el 670 580 570. Duración: 75 minutos Ficha artística: Autor: Carolina Touceda y Álex Ortín Dirección: Carolina Touceda Compañía: Aúpa Teatro Elenco: Nayo Pérez, Álex Ortín, Steven Gil, Rían Domínguez y Carolina Touceda Diseño de sonido e iluminación y técnico: Silvia Arévalo Música original: Alberto Shwartz Vestuario y maquillaje: Soledad Ameijeiras Diseño de escenografía: Jesús Soria Producción: Jessy Olivo Diseño Cartel: Nayo Pérez Fotografía y teaser: Elías Lara",15.75,15.75,EUR,"Sala La Usina  Calle Palos de la frontera, 4   28012 Madrid",https://schema.org/EventScheduled,2024-03-10T16:30:00Z,2024-03-10T18:00:00Z,Aberrantes,Aberrantes,https://www.eventbrite.es/e/entradas-aberrantes-776237085017,madrid
1 hora,Entrada electrónica móvil,Reembolsos hasta 1 día antes del evento,🌈 ¿﻿Quieres realizar con tus propias manos nuestra bomba de baño más vendida?  Déjate inundar por el aluvión de colores que genera Intergalactic 🌈  ¡No dejes pasar ésta maravillosa oportunidad! ¡Reserva tu plaza antes de que se acaben y únete a una experiencia coloridamente divertida!😻,8.91,8.91,EUR,LUSH Gran Plaza,https://schema.org/EventScheduled,2024-03-10T16:00:00Z,2024-03-10T17:00:00Z,Planes en Madrid: Crea tu propia bomba de baño,¿Buscas planes en Madrid? ¡Crea tus propias bombas de baño! Un taller cerca de ti con manualidades para toda la familia.,https://www.eventbrite.es/e/entradas-planes-en-madrid-crea-tu-propia-bomba-de-bano-850334371997,madrid
1 hora,Entrada electrónica móvil,Reembolsos hasta 1 día antes del evento,"Vivirás una experiencia completa creando tu propia burbuja de baño, que podrás liberar luego en las aguas de tu bañera para que nos ayude a descansar y desconectar de un largo día. Es un taller para toda la familia, divertido y dinámico, donde fabricarás la burbuja de baño  Sleepy,  esta burbuja rica en lavanda te hará navegar por un mar de nubes, relajantes y reconfortantes a quien no le va a gustar darse un paseo por las nubes ¿Te lo vas a perder?",11.09,11.09,EUR,Lush Spa Madrid,https://schema.org/EventScheduled,2024-03-10T16:00:00Z,2024-03-10T17:00:00Z,Planes y eventos en Madrid: Crea tu propia burbuja de baño en Lush Spa.,¿Buscas planes en Madrid? ¡Crea tus propias burbujas de baño! Un taller cerca de ti con manualidades para niños/as y para toda la familia.,https://www.eventbrite.es/e/entradas-planes-y-eventos-en-madrid-crea-tu-propia-burbuja-de-bano-en-lush-spa-837348460787,madrid
1 hora,Entrada electrónica móvil,Reembolsos hasta 1 día antes del evento,¿Qué incluye tu experiencia? ¡Prepárate para sumergirte en la serenidad con nuestro exclusivo taller de burbuja de baño Sleepy! 🌙✨ Descubre el arte de crear burbujas relajantes que te envuelven en una fragancia tranquila y te preparan para una noche de sueño reparador. 🛁💤 ¡Ven y aprende los secretos para transformar tu baño en un santuario de paz y tranquilidad! Reserva tu entrada ahora y sumérgete en el mundo encantado del baño Sleepy. 🌟 #TallerSleepyLush ¿Quieres saber al detalle lo que vamos hacer en el taller? Pues no olvides mirar la agenda que encontrarás más arriba ⬆️ Recuerda que los tiempos son orientativos y pueden variar ligeramente según las necesidades de cada grupo.,11.09,11.09,EUR,Lush Parquesur,https://schema.org/EventScheduled,2024-03-10T17:00:00Z,2024-03-10T18:00:00Z,Planes Creativos en Madrid: Crea tu propia burbuja de baño relajante,¿Buscas planes en Madrid? ¡Crea tus propias burbujas de baño! Un taller cerca de ti con manualidades para niños/as y para toda la familia.,https://www.eventbrite.es/e/entradas-planes-creativos-en-madrid-crea-tu-propia-burbuja-de-bano-relajante-848286918007,madrid
4 hours,Mobile eTicket,Contact the organizer to request a refund.,"Un sistema de emparejamiento táctico en el que vais a poder conocer a tod@s los participantes ya sea mediante diversos juegos, conversación y baile. Anímate a pasarlo  super bien, y quizás conocer a tu próximo amor perdido!",20,20,EUR,Mola!Hostel&Suites,https://schema.org/EventScheduled,2024-03-10T18:30:00Z,2024-03-10T22:30:00Z,"San Valentín y Galentines, pero a lo grande. FIESTA! Y buen ambiente.","Apuntate a nuestra fiesta dónde podrás apuntarte para que te emparejemos, o directamente venir para disfrutar. Regalos, música, fiesta! ven!",https://www.eventbrite.com/e/san-valentin-y-galentines-pero-a-lo-grande-fiesta-y-buen-ambiente-tickets-815099583797,madrid
