Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
NA,Sold out,Contactez l'organisateur pour demander un remboursement.,"En trois heures, Emilie vous offre un cours de découverte de la gravure. Par une approche pratique, vous apprendrez les principes fondateurs de la gravure en relief et réaliserez vos propres blocs en caoutchouc pour une impression sur textile. Vous graverez à la main deux blocs tampons et réaliserez une impression sur un sac en toile. Ce cours vous équipe également de tous les fondamentaux pour pouvoir poursuivre une pratique de la gravure textile en autonomie chez vous Ce cours est accessible au débutant complet et il n’est pas nécessaire de savoir dessiner! Emilie Walsh est artiste avec plus de 15 ans d'expérience et une pédagogie unique de l’enseignement de la gravure. Ses cours s'adaptent au niveau de chacun avec une attitude positive et bienveillante. L’atelier coloré et confortable est équipé de 3 presses, d’une station d’encrage et d’une large table pour le dessin et la gravure. Les cours sont assurée en petit groupe pour offrir à chacun un temps personnalisé Le cours comprend: Repartez avec : Tous les matériaux sont fournis - venez simplement avec des habits confortables et que vous n'avez pas peur de salir (tablier fourni). Vous avez la possibilité d’acheter un kit comprenant les outils, de l’encre, des plaques supplémentaires et du papier supplémentaire pour poursuivre une pratique de gravure en autonomie. Thé et café à disposition Cours pour adulte à partir de 16 ans.",65.15,65.15,EUR,Emilie Walsh - Couleur,https://schema.org/EventScheduled,2024-03-09T13:30:00Z,2024-03-09T16:30:00Z,Impression sur textile,Créez vos blocs-tampons et imprimer un sac en toile !,https://www.eventbrite.fr/e/billets-impression-sur-textile-826892917977,marseille
NA,Sold out,Contact the organizer to request a refund.,"Embark on a thrilling journey into the heart of Marseille's past and present with a city exploration game. Play a city game in Marseille’s district by the sea and go on a walking tour filled with vast plazas and narrow streets, vibrant street art, cosy boutiques, all overflowing with history. Solve clues to untangle the past of one of the oldest neighbourhoods in Marseille. This path will lead you through the streets of the oldest city of France, brimming with architectural magic. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. Be ready to have a full immersion into the past and present of Marseille. So grab your walking shoes, and join this adventure through the streets of Marseille! HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",11.99,49.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-08T17:00:00Z,2024-03-08T18:30:00Z,Marseille Outdoor Escape Game: Return to Origins,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/marseille-outdoor-escape-game-return-to-origins-tickets-531048098157,marseille
NA,Sold out,No Refunds,"Awaken your mind and body to a new level and learn how to practice meditation in motion. The purpose of this yoga lineage is to guide you toward cultivating a conscious connection, integration and awakening of the body, mind, heart and spirit. You will learn and practice Patanjali's 8 limbs of yoga: Work primarily with the Amrit posture sequence, gentle vinyasa flows and extended posture holding times. Explore the deepest levels of body, mind and spirit with the integrative practices of clear intention, breath, meditative awareness and conscious integration. Learn to balance your nervous system with the “first half” and “second half” of a posture. To transition from an active state of “doing” a posture, to a relaxed state of “being”. And to feel the effects of a posture. Learn to consciously encounter your ""edge"" of body and mind to release deep tensions and restore the natural flow of the vital life force energy (prana). Good for all levels, from those with some experience to more experienced practitioners. Some experience with yoga and postures is recommended. BIOGRAPHY I have been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, meditation, Ayurveda and breathing. It is my pleasure and honor to guide you toward self-empowerment, transformation and awakened consciousness. I will help you connect to your deepest self and inner guide, from the physical to the soul dimension. SOULDIMENSION.ORG Copyright © 2022 • Soul Dimension",16.49,16.49,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-09T16:00:00Z,2024-03-09T17:30:00Z,Awakening Yoga • Weekly Class • Marseille,Weekly online class with a spiritual focus to awaken one’s consciousness and highest potential.,https://www.eventbrite.com/e/awakening-yoga-weekly-class-marseille-tickets-403096571697,marseille
NA,Sold out,Refunds up to 7 days before event,"THE AGENDA OF THIS EVENT / PROGRAM : 1. BUILDING A STARTUP BUSINESS: 2. MARKET RESEARCH & STATISTICS FOR A STARTUP BUSINESS: 3. POC / MVP (MINIMUM VIABLE PRODUCT) FOR YOUR STARTUP BUSINESS: 4. PRODUCT & PRODUCT POSITIONING FOR YOUR STARTUP BUSINESS: 5. GO TO MARKET (GTM) STRATEGY FOR YOUR STARTUP BUSINESS: 6. CUSTOMER ACQUISITION, RETENTION FOR YOUR STARTUP: 7. SALES & MARKETING STRATEGIES FOR YOUR STARTUP BUSINESS: 8. INVESTMENT READINESS (STARTUP FUND RAISING): 9. INVESTOR'S ANALYSIS OF A STARTUP (STARTUP FUND RAISING): 10. ORGANIZATIONAL STRUCTURE OF YOUR STARTUP BUSINESS: 11. COMMON ISSUES WITH STARTUPS (STARTUP FOUNDERS): ---------------------------------------- This Startup Business Event will be Delivered ONLINE ---------------------------------------- ABOUT ME: I am LAKSHMAN SINGH (Startup / Business Mentor, Business Coach & Auditor, Fund Management, Angel Investor) I hold more than a decade of extensive experience in startup/business ecosystem and help founders/cxo's in startup/business through Consultations, Advices & by Auditing the Businesses. I also help startup businesses by investing in them, mentoring them and giving them exposure of my network. Linkedin : https://linkedin.com/in/iamlakshmansingh Facebook : https://www.facebook.com/iamlakshmansingh Email : Connect@LakshmanSingh.com Web : https://www.lakshmansingh.com/ Blog : https://www.lakshmansingh.com/blog Clientele : https://www.lakshmansingh.com/clientele ---------------------------------------- Startup Mentorship Event | Learn to build Startup Business | Startup | Entrepreneur | Entrepreneurship Workshop | Entrepreneur Class | Tech Workshop |Bootcamp | Tech Class | Tech Webinar | Entrepreneur Bootcamp | Entrepreneur Webinar | Startup Webinar | Startup Class | Entrepreneur Conference | Startup Conference | Tech Startup Conference | Business Conference | Business Networking | Startup Networking | Startup Classes | Entrepreneur Classes | Business Training | Entrepreneurship Training | Startup Training | Entrepreneur Training | Tech Workshop | Startup Workshop | Entrepreneur Workshop",32.64,80.12,EUR,Lakshman Singh,https://schema.org/EventScheduled,2024-03-09T08:00:00Z,2024-03-09T09:00:00Z,Startups Mentorship Program,Join This Startup Business Mentorship Event Today !,https://www.eventbrite.com/e/startups-mentorship-program-tickets-121912512607,marseille
NA,Sold out,Refunds up to 7 days before event,"Join This Startup Business Fund Raising Event Today To Learn How To Raise Funds $$ For Your Startup Business If : THIS IS AN ONLINE EVENT / PROGRAM THE AGENDA OF THIS STARTUP EVENT / PROGRAM : 1. FUND RAISING FROM NAIVE INVESTORS AND BOOTSTRAPPING 2. PROFESSIONAL INVESTORS (ANGELS, VC'S, PE'S) 2.1. ANGEL INVESTORS (UPTO $1 MILLION) 2.2. VENTURE CAPITALIST (VC's) (ABOVE $5 MILLION) 2.3. PRIVATE EQUITY (HUNDREDS OF MILLIONS $$) 3. INVESTMENT TERMS, DOCUMENTS & CONTRACTS 4. CROWDFUNDING FOR STARTUP BUSINESS 5. PRESALES (MVP) 6. FINANCIAL & NON-FINANCIAL INSTITUTIONS ------------- ABOUT ME: I am LAKSHMAN SINGH (Angel Investor, Startups Mentor, Fund Management) I hold more than a decade of extensive experience and help people & businesses through Investments, Mentoring & Consultations. Linkedin : https://linkedin.com/in/iamlakshmansingh Facebook : https://www.facebook.com/iamlakshmansingh Email : Connect@LakshmanSingh.com Web : https://www.lakshmansingh.com/ Blog : https://www.lakshmansingh.com/blog Clientele : https://www.lakshmansingh.com/clientele ---------------------------------------- Startup Fund Raising Event, Learn how to raise fund for Startup Business, Fundraising, Series Rounds, Seed Capital, Seed Round, Venture Capital, Angel Investor, Investments, Investor, Startup, Entrepreneur, Startup Webinar, Startup Class, Entrepreneur Conference, Startup Conference, Business Conference, Business Networking, Startup Networking",32.64,80.12,EUR,Lakshman Singh,https://schema.org/EventScheduled,2024-03-09T09:00:00Z,2024-03-09T10:00:00Z,Startups Fund Raising Program,Join This Startup Business Fund Raising Event Today !,https://www.eventbrite.com/e/startups-fund-raising-program-tickets-121899561871,marseille
NA,Sold out,Contactez l'organisateur pour demander un remboursement.,"La Fondation Vasarely est une institution privée reconnue d’utilité publique depuis 1976, fonctionnant sur ses propres fonds. En 2013, elle a été inscrite au titre des monuments historiques en reconnaissance de son architecture exceptionnelle, conçue par l’artiste lui-même. En 2020, la Fondation a également obtenu le label «Musée de France», qui garantit la qualité de sa politique de conservation, d’enrichissement et de présentation des collections. La Fondation Vasarely a développé des partenariats prestigieux pour enrichir sa programmation culturelle. Depuis plus de 4 ans, elle collabore avec le Centre Pompidou pour organiser une exposition unique, offrant un regard inédit sur l’art cinétique et l’art optique. La Fondation Vasarely abrite une collection exceptionnelle de Victor Vasarely. Les salles d’exposition de la Fondation offrent un cadre unique pour découvrir ces œuvres, qui jouent avec les illusions d’optique, les jeux de couleurs et de formes, et qui ont influencé de nombreux artistes contemporains. « A la base, il y a toujours l’original, la « pièce unique » mais il n'est plus permis de nous arrêter là et d'enfermer cette œuvre unique dans le cercle restreint des privilégiés. Au contraire ! Il faut œuvrer à partir d’elle, la recréer en d’autres fonctions, la centupler et la projeter dans les espaces du monde. » Victor Vasarely, « La sérigraphie, Arcay et la re-création », Aujourd’hui art et architecture, n°12, avril 1957 Ce sont en ces termes que Victor Vasarely présentait la sérigraphie en 1957. Le Plasticien souhaitait atteindre une démocratisation de l’œuvre, qui se traduit alors par le passage d’un prototype initial aux multiples, grâce au procédé de la sérigraphie. Les œuvres originales se déclinent ainsi en diverses programmations numérotées, accompagnées d’une gamme de couleur correspondante, avant d’être transformées en véritables sérigraphies, signées et numérotées. S’opposant à l’idée de l’œuvre unique et exclusive, Vasarely s’entête à reproduire celle-ci, dans le but de rendre l’art accessible à tout le monde, résultant dans un art multiple et identique en toute matière et dimension.",5,15,EUR,Fondation Vasarely,https://schema.org/EventScheduled,2024-03-09T09:30:00Z,2024-03-09T16:30:00Z,"Admission générale - L art du multiple, Victor Vasarely et la sérigraphie",Venez découvrir le centre architectonique créé par Victor Vasarely,https://www.eventbrite.fr/e/billets-admission-generale-l-art-du-multiple-victor-vasarely-et-la-serigraphie-754523127987,marseille
NA,Sold out,Pas de remboursements,"Biotope urbain et convivialités : d’un milieu sécrété par les habitants à un milieu programmé et façonné par la techno-structure. Raphaël vous propose une traversée des métamorphoses urbaines engendrées par Euroméditerranée, serpentant entre les chantiers et gratte-ciels comme des interstices et vestiges urbains.  Jardinier poète et artiste marcheur, habitant de la Cabucelle Marseille 15ème depuis 1999, Raphaël Caillens est un témoin à ce titre de la transformation urbaine du secteur d’Euroméditerranée et de ses marges. INFOS PRATIQUES Départ à 9h à la station de métro Capitaine Gèze.  Arrivée au parvis du FRAC-Sud à la Joliette vers 16h Prévoir un pique nique, eau, bonnes chaussures",5,5,EUR,Bureau des guides - GR2013,https://schema.org/EventScheduled,2024-03-09T08:00:00Z,2024-03-09T15:00:00Z,En voisinages,Biotope urbain et convivialités,https://www.eventbrite.fr/e/billets-en-voisinages-840521862517,marseille
3 heures,Billets électroniques sur mobile,Contactez l'organisateur pour demander un remboursement.,"Ouverture des portes: A partir de 19h45 Apéritif 20h30 début de la Pièce suivis d'un buffet campagnard (compris dans les 25€) Deux collègues de travail décident d'entamer une grève du sexe avec leur conjoint. Leur but, priver leur conjoint de sexe pour être enfin écouté. En parallèle, ils s'astreignent à un entraînement régulier pour que lui éveille sa part de féminité et elle sa part de virilité. Mais à tout moment, eux et leur conjoint peuvent craquer face à la frustration sexuelle. Et la frustration peut conduire à des comportements bizarres et excessifs... Dans cette guerre du sexe, les couples sont mis à rude épreuve. Le résultat ? Une comédie sur les joies de la vie à deux qui parle d'amour et de sexe avec originalité et tendresse sans jamais tomber dans la vulgarité... Auteur : Julien Sigalas, Birgen Stock Artistes : Isabelle Bouvier, Mister Rach",20,20,EUR,Genese entreprendre,https://schema.org/EventScheduled,2024-03-09T18:45:00Z,2024-03-09T21:45:00Z,LA GUERRE DES SEXES AURA T ELLE ?,Deux collègues de travail décident d'entamer une grève du sexe avec leur conjoint.,https://www.eventbrite.fr/e/billets-la-guerre-des-sexes-aura-t-elle-856861153777,marseille
NA,Sold out,No Refunds,"Awaken your mind and body to a new level and learn how to practice meditation in motion. The purpose of this yoga lineage is to guide you toward cultivating a conscious connection, integration and awakening of the body, mind, heart and spirit. You will learn and practice Patanjali's 8 limbs of yoga: Work primarily with the Amrit posture sequence, gentle vinyasa flows and extended posture holding times. Explore the deepest levels of body, mind and spirit with the integrative practices of clear intention, breath, meditative awareness and conscious integration. Learn to balance your nervous system with the “first half” and “second half” of a posture. To transition from an active state of “doing” a posture, to a relaxed state of “being”. And to feel the effects of a posture. Learn to consciously encounter your ""edge"" of body and mind to release deep tensions and restore the natural flow of the vital life force energy (prana). Good for all levels, from those with some experience to more experienced practitioners. Some experience with yoga and postures is recommended. BIOGRAPHY I have been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, meditation, Ayurveda and breathing. It is my pleasure and honor to guide you toward self-empowerment, transformation and awakened consciousness. I will help you connect to your deepest self and inner guide, from the physical to the soul dimension. SOULDIMENSION.ORG Copyright © 2022 • Soul Dimension",16.49,16.49,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-09T16:00:00Z,2024-03-09T17:30:00Z,Awakening Yoga • Weekly Class • Toulon,Weekly online class with a spiritual focus to awaken one’s consciousness and highest potential.,https://www.eventbrite.com/e/awakening-yoga-weekly-class-toulon-tickets-402976352117,marseille
NA,Sold out,NA,"Après une première session expérimentale en décembre à la Cinégraphie, l'Open Safe Scène revient pour une seconde édition le samedi 9 mars 2024, à l'occasion de la journée internationale des droits des femmes. Au programme, du Stand Up et du Slam/Poésie, toujours dans la bienveillance, la solidarité, et l'engagement, portés par 8 artistes du coin, animé.es par l'envie de vous faire vibrer entre rires, frissons et soleil dans les coeurs! Petites infos pratiques : Hâtes de vous y voir ! Hélène & Garçon Manqué NB: on vient de lancer notre Insta aussi pour info :)",0,0,EUR,Hélène Laboi7 & Garçon Manqué,https://schema.org/EventScheduled,2024-03-09T14:30:00Z,2024-03-09T15:30:00Z,L'Open Safe Scène Saison 2 (15h30 à 16h30),"L'Open Safe Scène - Saison 2 - Stand Up & Slam, à l'occasion de la journée internationale du droits des Femmes",https://www.eventbrite.com/e/billets-lopen-safe-scene-saison-2-15h30-a-16h30-853572256597,marseille
