Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
3 heures,Contactez l'organisateur pour demander un remboursement.,"Avec Raz Ben-Ami, ex-otage du Hamas dont le mari est toujours en captivité et Geneviève Molina, maman du jeune Eli Valentin Ghnassia, mort au combat. En présence du Dr Richard Prasquier, président d'honneur du KH et ancien président du Crif. Cocktail dinatoire.",40,40,EUR,Keren Hayessod France,https://schema.org/EventScheduled,2024-03-12T18:00:00Z,2024-03-12T21:00:00Z,Soirée des Héroïnes à Marseille,"Rencontre avec des femmes extraordinaires, héroïnes du 7 octobre, elles témoignent...",https://www.eventbrite.fr/e/billets-soiree-des-heroines-a-marseille-837550364687,marseille,NA
2 hours,Contact the organizer to request a refund.,"Invités : Programme : Chaque mois, nous invitons 3 entrepreneur.es dont les projets nous inspirent. À partir d’un angle de vue chaque fois différent, nous interrogeons un aspect singulier du parcours et des valeurs de nos invité.es, qui confronte et révèle des clefs et des éléments moteurs dans la quête de sens et le succès entrepreneurial. Nous nous amusons avec les signes astrologiques pour thématiser mensuellement notre approche. Bienvenu.es en Mars! Nous sommes, depuis le 19 février, dans les énergies du Poisson, un signe aux affluences d'adaptation, de compassion et de transmission. L'occasion de nous interroger sur l'importance de créer un projet que l'on aime profondément, qui répond à ce que nous sommes, pour être en mesure de le diffuser et le transmettre. Nous sommes très heureuses d'accueillir trois entrepreneur.es et artistes que nous admirons, pour échanger sur cette thématique. Ils/elles se confieront sur leur parcours en tant qu'entrepreneur.es mais avant tout en tant qu'êtres humains ayant créé un projet qui fait sens pour eux. Sophie et Isabelle nous font le plaisir de nous accueillir une fois de plus dans leur chaleureux espace.",0,10,EUR,Votre Attention SVP,https://schema.org/EventScheduled,2024-03-12T18:00:00Z,2024-03-12T20:00:00Z,Un projet réalisé avec amour favorise la transmission de sa raison d'être,Table ronde - 12 mars 2024 à 19H  - Chez Make it Marseille (ING : @votreattention_svp),https://www.eventbrite.fr/e/un-projet-realise-avec-amour-favorise-la-transmission-de-sa-raison-detre-tickets-852421203767,marseille,NA
NA,Contactez l'organisateur pour demander un remboursement.,"L'atelier 13 A'tipik vous ouvre ses portes et vous a confectionné un espace partagé dédié à la mode responsable et durable, un lieu de rencontres et de partages qui a pour intention d'encourager les projets individuels et/ou collectifs des métiers de la mode, toujours dans une démarche d'eco-conception. Le co-working c'est l'accueil de tous les profils et tous les parcours au sein des métiers de la couture/mode. Vous avez les idées mais pas les outils ? Vous avez votre savoir faire mais pas encore l'endroit pour échanger avec d'autres personnes pour compléter votre savoir faire ? Bienvenue dans l'espace co-working13 A'tipik, le lieu qui donne vie à vos idées, au échanges, à la création des bonnes connexions. L'espace met à disposition des machines familiales et industrielles innovantes où vous pourrez aiguiser vos compétences en couture. *Pour bénéficier pleinement de notre espace de coworking et participer à nos initiatives engagées, une cotisation annuelle de 50 € est requise. Cette contribution soutiendra nos projets et nous permettra de promouvoir une mode plus responsable // Service SEMI PRO // Machine à coudre familiales, Machines semi-pro, Surjeteuses, table de coupe // Service EXPERT // Machine à coudre industrielles, table de coupe, table de digitalisation, Traceur, Wifi",10,310.33,EUR,Atelier 13 A'tipik,https://schema.org/EventScheduled,2024-03-12T09:00:00Z,2024-03-12T15:00:00Z,Espace coworking couture,"L'atelier 13 A'tipik vous a confectionné un espace partagé couture, un lieu de rencontres et de partage équipé de machines performantes",https://www.eventbrite.fr/e/billets-espace-coworking-couture-850812161077,marseille,Sold out
NA,Contact the organizer to request a refund.,"Embark on a thrilling journey into the heart of Marseille's past and present with a city exploration game. Play a city game in Marseille’s district by the sea and go on a walking tour filled with vast plazas and narrow streets, vibrant street art, cosy boutiques, all overflowing with history. Solve clues to untangle the past of one of the oldest neighbourhoods in Marseille. This path will lead you through the streets of the oldest city of France, brimming with architectural magic. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. Be ready to have a full immersion into the past and present of Marseille. So grab your walking shoes, and join this adventure through the streets of Marseille! HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",11.99,49.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-12T13:00:00Z,2024-03-12T14:30:00Z,Marseille Outdoor Escape Game: Return to Origins,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/marseille-outdoor-escape-game-return-to-origins-tickets-531048098157,marseille,Sold out
3 heures 30 minutes,NA,"Connecter les personnes et les projets à impact positif sur le territoire d'Aix Marseille, et organiser une chaine de solidarité et de valeurs, c'est la raison d'être de cette nouvelle communauté d'acteurs et entrepreneurs engagés. Viens à leur rencontre autour d'un apéritif convival, et pourquoi pas ... rejoins le mouvement ✊",0,0,EUR,Communauté des engagés,https://schema.org/EventScheduled,2024-03-12T17:30:00Z,2024-03-12T21:00:00Z,Afterwork de la Communauté des Engagés #16,"On se rencontre, on présente nos projets, nos missions, nos compétences et on crée des synergies pour impacter positivement le territoire ✅",https://www.eventbrite.fr/e/billets-afterwork-de-la-communaute-des-engages-16-838448721697,marseille,NA
2 heures 30 minutes,NA,Cin'éthique - Film Yves et débat Assistez à une soirée cinéphile captivante lors de l'événement Cin'éthique - Film Yves suivi d'un débat au Cinéma Les Variétés.  Plongez dans l'univers cinématographique et explorez les thèmes éthiques abordés dans ce film étonnant. Partagez vos réflexions et échangez autour de l'intelligence artificielle avec d'autres passionnés du cinéma.,0,0,EUR,Espace Ethique PACA Corse,https://schema.org/EventScheduled,2024-03-12T18:00:00Z,2024-03-12T20:30:00Z,Cin'éthique - Film Yves et débat,"Venez découvrir le film ""Yves"" lors de Cin'éthique, suivi d'un débat animé pour discuter des enjeux éthiques soulevés par cette œuvre captiv",https://www.eventbrite.fr/e/billets-cinethique-film-yves-et-debat-825024188557,marseille,NA
NA,NA,"Découvrez une toute nouvelle expérience à Marseille avec nos ateliers de réparation textiles, une première dans la région ! Rejoignez votre Repar'Café textiles les mardis de 10h à 15h30. Au lieu de jeter, réparez ! Nos ateliers visent à prolonger la durée de vie de vos vêtements, contribuant à réduire la quantité de déchets textiles chaque année. En plus de faire un geste pour l'environnement, vous économiserez en choisissant de réparer plutôt que de racheter. Apprenez des compétences pratiques et valorisez l'art de la couture en participant à nos ateliers. C'est l'occasion d'acquérir de nouvelles compétences tout en contribuant activement à l'économie circulaire. Nos ateliers de réparation textiles sont bien plus qu'une simple activité, ils incarnent un véritable engagement envers la durabilité et l'autonomie. En plus d'être bénéfiques sur le plan individuel, nos ateliers renforcent les liens. Rejoignez-nous pour créer une atmosphère chaleureuse où les participants se réunissent autour d'une passion commune. Partagez vos connaissances, vos expériences, et tissez des liens durables. Soyez acteur du changement et participez à nos ateliers de réparation textiles, une expérience enrichissante et gratuite pour des vêtements durables ! Contactez nous au 06 09 87 16 52 ou 04 13 20 19 89 pour confirmer votre venu. A très vite !",0,0,EUR,Atelier 13 A'tipik,https://schema.org/EventScheduled,2024-03-12T09:00:00Z,2024-03-12T14:30:00Z,Répar'café  -  Atelier de réparation du mardi,Apprenez à retoucher vos vêtements et rejoignez-nous dans notre mission pour une mode durable et responsable,https://www.eventbrite.fr/e/billets-reparcafe-atelier-de-reparation-du-mardi-844583240207,marseille,Sold out
4 heures,NA,"Soyez bienvenu.es à La node ! Afin de resserrer les liens et apprendre à se connaître, nous organisons mensuellement une soirée jeux pour s'amuser tous ensemble 🎲 😄 Rencontrons-nous et passons ensemble une soirée détente après le boulot.Et peut-être ferez-vous des rencontres intéressantes ! 🕺 Venez, si possible, avec votre jeu favori et en découvrir d'autres ! L'événement est gratuit (mais essayez d'apporter une boisson ou un snack en guise de participation 😉). — Le mois a pour thématique : ""Réalité augmentée"" • Mardi 12 mars : Soirée jeux • Mercredi 20 mars : Apéro partagé en terrasse d'un café/bar (+ d'infos sur le Discord) • Jeudi 28 mars : Atelier réalité augementée Meta Spark AR avec Jérémy Immordino",0,0,EUR,La node Marseille,https://schema.org/EventScheduled,2024-03-12T17:30:00Z,2024-03-12T21:30:00Z,Soirée jeux & partage,"Viens prendre un verre, partager ton jeu favori & découvrir ceux des autres !",https://www.eventbrite.fr/e/billets-soiree-jeux-partage-858109708237,marseille,NA
NA,NA,"Le Lab de l'Endo c'est aussi & surtout une histoire de couple engagé pour libérer la parole sur l'endométriose ! ""Moi, Floriane, j'en ai eu marre d'entendre ""c'est dans ta tête"", alors que je souffrais de douleurs d'endométriose depuis mes 9 ans sans que personne ne trouve ce que j'ai jusqu'à mes 26 ans !Mon allié, Sylvain, en a eu marre de me voir souffrir sans trouver d'écoute et de solutions, alors on a décidé de créer Le Lab de l'Endo pour trouver comment aller mieux, et le partager à toutes les autres femmes, couples & alliés ! "" RDV au showroom Jolibump, le 12 Mars à 18h30 au 24 rue Jules Moulet, Marseille 6e. Le talk sera suivi d'un petit apéritif. Nous avons hâte de vous recevoir !",0,0,EUR,Jolibump,https://schema.org/EventScheduled,2024-03-12T17:30:00Z,2024-03-12T20:30:00Z,Le Lab de l'endo x Jolibump,Rejoignez-nous au showroom Jolibump le 12 mars à 18h30 pour échanger sur le thème de l'endométriose et répondre à toutes vos questions !,https://www.eventbrite.fr/e/billets-le-lab-de-lendo-x-jolibump-852020224427,marseille,Sold out
1 heures 30 minutes,Contactez l'organisateur pour demander un remboursement.,"Camille Kerneguez et Damien Fargeout reviennent à vos côtés pour enregistrer Dear Valid People ensemble.Accompagnés de leurs invitées, ils vont plus loin dans les perceptions pour explorer les liens entre handicap et d’autres thématiques.Retrouvez-nous le mardi 12 mars à 18h pour la suite et fin de notre triptyque Intimité/Couple/Sexualités !",0,0,EUR,Dear Valid People,https://schema.org/EventScheduled,2024-03-12T17:00:00Z,2024-03-12T18:30:00Z,Conférence : Comment le handicap influence les sexualités ?,On parle de handicap sans tabou !,https://www.eventbrite.com/e/billets-conference-comment-le-handicap-influence-les-sexualites-852387222127,marseille,NA
