Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
NA,Sold out,Contatta l'organizzatore per richiedere un rimborso.,"Ciao a tutti, per la raccolta fondi per il Campo Scuola della 3°C vi invitiamo al laboratorio ""Alla scoperta della stampa 3D - Seminario per giovani inventori e inventrici"" che si terrà alla Casa del Custode i giorni 15-22 Febbraio in orario 17:00-18:30 e 4-11 Marzo in orario 17:00-18:30. Il corso è rivolto a giovani inventori e inventrici tra 8 e 13 anni ! Ci sono 10 posti disponibili per ogni giornata e la donazione consigliata è di 15€ (a testa a giornata), ma chi vuole può donare di più 🙂. Grazie in anticipo per il supporto ! Tutto il ricavato sara’ destinato al campo scuola della 3°C.",0,0,EUR,Fab Lab Olbia,https://schema.org/EventScheduled,2024-03-11T16:00:00Z,2024-03-11T17:30:00Z,Alla scoperta della stampa 3D-Seminario per giovani inventori e inventrici,Il primo corso di arte e creatività digitale della scuola Carlo Pisacane !,https://www.eventbrite.it/e/biglietti-alla-scoperta-della-stampa-3d-seminario-per-giovani-inventori-e-inventrici-804023173957,roma
NA,Sold out,Contact the organizer to request a refund.,NA,117.53,117.53,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-11T16:00:00Z,2024-03-11T19:00:00Z,Taste the Best of the Trastevere District - Food Tours by Cozymeal™,"Learn all about Rome's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “Taste the Best of the Trastevere District”, with Guide Jorge or Local Guide for a fun 3-hour experience with 5 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Taste the Best of the Trastevere District",https://www.eventbrite.com/e/taste-the-best-of-the-trastevere-district-food-tours-by-cozymealtm-tickets-788767002337,roma
NA,Sold out,Contact the organizer to request a refund.,NA,96.19,96.19,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-11T16:00:00Z,2024-03-11T18:30:00Z,Homemade Pasta and Roman Sauce - Cooking Class by Cozymeal™,"Phenomenal food and incredible company await you at the chef's table! Join Cozymeal’s upcoming cooking class Join “Homemade Pasta and Roman Sauce” with Chef Davide for an intimate 2.5-hour culinary experience and 3-course meal.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Homemade Pasta and Roman Sauce",https://www.eventbrite.com/e/homemade-pasta-and-roman-sauce-cooking-class-by-cozymealtm-tickets-797526161217,roma
NA,Sold out,Contact the organizer to request a refund.,NA,91.92,91.92,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-11T16:00:00Z,2024-03-11T18:00:00Z,Scratch-Made Italian Gnocchi - Team Building by Cozymeal™,"Book a unique team building event centered around sharing an incredible meal together! Join Cozymeal’s team building activity “Scratch-Made Italian Gnocchi” with Chef Davide and connect with your team during a 2-hour culinary experience  and enjoy a 3-course meal together.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Scratch-Made Italian Gnocchi",https://www.eventbrite.com/e/scratch-made-italian-gnocchi-team-building-by-cozymealtm-tickets-797526311667,roma
NA,Sold out,Contact the organizer to request a refund.,NA,91.92,91.92,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-11T16:00:00Z,2024-03-11T18:00:00Z,Roman Pizza Feast - Team Building by Cozymeal™,"Book a unique team building event centered around sharing an incredible meal together! Join Cozymeal’s team building activity “Roman Pizza Feast” with Chef Davide and connect with your team during a 2-hour culinary experience  and enjoy a 3-course meal together.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Roman Pizza Feast",https://www.eventbrite.com/e/roman-pizza-feast-team-building-by-cozymealtm-tickets-797484476537,roma
NA,Sold out,Contact the organizer to request a refund.,NA,91.92,91.92,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-11T16:00:00Z,2024-03-11T18:00:00Z,Fresh Homemade Pasta - Team Building by Cozymeal™,"Book a unique team building event centered around sharing an incredible meal together! Join Cozymeal’s team building activity “Fresh Homemade Pasta” with Chef Davide and connect with your team during a 2-hour culinary experience  and enjoy a 3-course meal together.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Fresh Homemade Pasta",https://www.eventbrite.com/e/fresh-homemade-pasta-team-building-by-cozymealtm-tickets-797484566807,roma
NA,Sold out,Contact the organizer to request a refund.,NA,106.86,106.86,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-11T16:00:00Z,2024-03-11T19:00:00Z,A Culinary Adventure in Charming Trastevere - Food Tours by Cozymeal™,"Learn all about Rome's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “A Culinary Adventure in Charming Trastevere”, with Guide Jorge or Local Guide for a fun 3-hour experience with 5 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit A Culinary Adventure in Charming Trastevere",https://www.eventbrite.com/e/a-culinary-adventure-in-charming-trastevere-food-tours-by-cozymealtm-tickets-792315154957,roma
NA,Sold out,Contatta l'organizzatore per richiedere un rimborso.,"Accompagnateci in un viaggio del XVIII Secolo… L’Orchestra Barocca “Opera in Roma” e solisti di fama internazionale, creano un’atmosfera unica nel suo genere nella splendida Chiesa di San Paolo entro le Mura. Soprattutto la sapiente scelta dei brani musicali da allo spettatore l’impressione di assistere ad un autentico concerto dell’epoca barocca!  I programmi dei concerti comprendono l’esecuzione del famoso concerto per violino solista “Le Quattro Stagioni” di Antonio Vivaldi nonché le celebri cantate di Bach per voce solista che entusiasmano il pubblico. L’Orchestra Barocca “Opera in Roma” e i suoi artisti emozioneranno anche voi! Join us on a journey back to the 18th century… The “Opera in Roma” Baroque Orchestra and internationally renowned soloists create a special atmosphere in the St. Paul Within the Walls Church. Principally the choice of works gives an impression of an authentic concert of the baroque era! The programs of the concerts includes the work of the famous concerto for solo violin ""The Four Seasons"" by Antonio Vivaldi and the famous Bach cantatas for solo voice that enthuse the audience. The Baroque Orchestra ""Opera in Rome"" and its artists will inspire you too! Enjoy the “Opera in Roma” Baroque Orchestra!",25,50,EUR,Operainroma S.R.L.S,https://schema.org/EventScheduled,2024-03-11T19:30:00Z,2024-03-11T20:30:00Z,Vivaldi's Four Seasons and Bach's Masterpieces,The best of Vivaldi and Bach,https://www.eventbrite.it/e/biglietti-vivaldis-four-seasons-and-bachs-masterpieces-175322633717,roma
NA,Sold out,Refunds up to 1 day before event,"Join an authentic Italian cooking class in the heart of Rome, where you'll learn to create two of Italy's most beloved dishes: Pasta and Tiramisù! So come join us for an unforgettable culinary experience in the heart of Rome, and learn to make delicious Pasta and Tiramisù like a true Italian!",70,70,EUR,Naples Together,https://schema.org/EventScheduled,2024-03-11T09:15:00Z,2024-03-11T11:15:00Z,Cooking Class in the Heart of Rome: Make Pasta & Tiramisu with Wine,Experience the flavors of Italy in an unforgettable cooking class in Rome!,https://www.eventbrite.com/e/cooking-class-in-the-heart-of-rome-make-pasta-tiramisu-with-wine-tickets-807921664447,roma
NA,Sold out,Contact the organizer to request a refund.,"Do you spend your time playing with Ouija boards and watching spooky videos indoors? Yawn. Newsflash: your twenty-year-old house is about as haunted as YouTube – MySpace at a push. The present (and past) is outside, in real life, where all the creepy buildings, monuments and verifiable ghost sightings hotspots are. With this in mind, we’re inviting you to visit places that are truly haunted. Let that sink in for a moment. The route you will follow is full of haunted and spooky places, mysterious clues and challenges, and real facts/accounts from the past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in the first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. Let's play a real-world adventure! HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲] 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! - - - - - More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 130 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 300 different experiences created by a growing network of local content creators and event organizers.",11.99,34.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-11T11:00:00Z,2024-03-11T12:30:00Z,Ghosts of Rome: Haunting Stories Outdoor Escape Game,Looking to get spooked or spook someone else? Then put on your vampire teeth and get booking: this is your opportunity to do exactly that!,https://www.eventbrite.com/e/ghosts-of-rome-haunting-stories-outdoor-escape-game-tickets-517524859787,roma
NA,Sold out,Contact the organiser to request a refund.,"The best cooking class in the ancient neighborhood of Rome, Trastevere, with Ilaria Sparla. Ilaria is a professional Italian chef who comes from three generations of family cooks. In this experience she will teach you and she will cook Roman recipes with you in her private home and in her garden. You will be able to appreciate and savor the flavors of ancient Roman cuisine in an unrepeatable culinary experience. Ilaria is always ready to create vegetarian dishes for you with her family's recipes! When the weather is nice we will use, for lunch and for dinner, my private garden especially during the summer time.   What to expect We will start with an aperitif based on local products then we will knead flour and fresh organic eggs to prepare fresh pasta together.  Create your own dessert from a family recipe, and savor your creations paired with a bottle of Italian wine. Ilaria will show you all the secrets for an excellent result. At the end of the lesson you can enjoy lunch or dinner. Example menu   Starter welcome aperitif with fresh toasted bread, fresh organic cherry tomatoes and local 0 km extra virgin olive oil. Pecorino romano cheese with walnuts and honey. Fried artichokes, typical recipe of Jewish-Roman cuisine.   Main course  Fettuccine Cacio e Pepe and Tonnarelli with organic and fresh cherry tomato sauce Dessert  A special Tiramisu made with a traditional family recipe, top secret!   Drinks: Organic and local wine, water and moka coffee!   All included in the price.",70.58,70.58,EUR,Ilaria,https://schema.org/EventScheduled,2024-03-11T09:30:00Z,2024-03-11T12:30:00Z,Let's cook and eat together with a Real Italian Chef in Trastevere,"THE BEST COOKING CLASS WITH A PROFESSIONAL ITALIAN CHEF! LUNCH OR DINNER, DESSERT & OPEN WINE BAR INCLUDED",https://www.eventbrite.com/e/lets-cook-and-eat-together-with-a-real-italian-chef-in-trastevere-tickets-746096935017,roma
