Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
NA,Sold out,No Refunds,"Purchase a ticket to our live events and enjoy a 7-day bonus access. Dive into Healing Sessions, Masterclasses, Breathing Experiences, and Live Breathing Classes immediately. Learn more. The Healing Breathwork is a 75-minute online session of Soul Dimension Breathing, focused on addressing healing needs. With a deep focus on healing breathwork techniques, these sessions offer a powerful tool for healing and transformation at physical and emotional levels. You will learn how to use your breath to release emotional blocks, and accelerate the physical and emotional healing processes, and receive guidance to address your unique healing needs. As your week starts enjoy the opportunity to begin your healing breathwork journey with Soul Dimension Breathing Technique. During the Healing Breathwork session, you will be safely and gently guided to explore, feel and connect to deeper layers of your body, emotions, and consciousness that will allow you to quickly and effectively access a profound connection with your body, mind, heart, and Soul unlocking all levels of self-healing. Sylvie has been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, pranayama, healing breathwork, and meditation. ""It is my pleasure and honor to guide you toward self-empowerment, transformation, and awakened consciousness. I will help you connect to your deepest self and inner guide with breathwork from the physical to the soul dimension. Sylvie The Soul Dimension Breathing is a unique technique that combines the ancient knowledge of yoga pranayama, chakras, energy, sound healing, and modern science-backed information about the powerful benefits of breathwork.",22.11,22.11,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-11T18:00:00Z,2024-03-11T19:15:00Z,Healing Breathwork | Accelerate emotional and physical healing • San Sebastian,"Release emotional blocks, physical tension, and accelerate physical and emotional healing in our online Healing Breathwork Session.",https://www.eventbrite.com/e/healing-breathwork-accelerate-emotional-and-physical-healing-san-sebastian-tickets-820888047247,san sebastian
6 horas,Entrada electrónica móvil,Contacta con el organizador para solicitar un reembolso.,"Curso orientado  tanto a trabajadores que desarrollan sus trabajos en altura como a  personal con responsabilidad en el control de materiales y ejecución de trabajos (encargados, responsables de proyectos, técnicos en PRL,..)",199.83,199.83,EUR,IKASI FORMACION,https://schema.org/EventScheduled,2024-03-11T07:00:00Z,2024-03-11T13:00:00Z,TELCO I ALTURAS,Formación Teórico  práctica de TRABAJOS EN ALTURA TELCO I especifico para empresas del sector de Telecomunicaciones,https://www.eventbrite.es/e/entradas-telco-i-alturas-851586156117,san sebastian
NA,Sold out,Contact the organizer to request a refund.,"This experience will allow you to develop a beautiful relationship with the oldest area of San Sebastián. Through its history and its most important spaces, you will be able to understand why it was almost entirely destroyed and what happened afterwards. The area, filled with buildings built more than a hundred years ago, right alongside newer constructions, seamlessly combines both the modern and the historical. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO  The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-11T11:00:00Z,2024-03-11T12:30:00Z,San Sebastian Old Town: Outdoor Escape Game,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/san-sebastian-old-town-outdoor-escape-game-tickets-734118216347,san sebastian
NA,Sold out,No Refunds,"Purchase a ticket to our live events and enjoy a 7-day bonus access. Dive into Healing Sessions, Masterclasses, Breathing Experiences, and Live Breathing Classes immediately. Learn more. Experience the amazing healing power of your breath with the Joy of Breathing technique. It allows you to quickly and effectively access a deeper connection with your body, mind, heart and soul. During this 75 minute online live session you will be safely and gently guided to explore, feel and connect to deeper layers of your body, emotions and consciousness. You will journey into profoundly healing, deeply relaxing and transformative states of being. For over 30 years, Sylvie has been experiencing, learning, practicing and teaching a wide scope of breathwork and pranayama techniques. She finally developed her own technique that is both a science and yoga-based practice. It weaves together modern scientific discoveries in breathwork and the ancient yogic wisdom. BIOGRAPHY Sylvie is the creator of the Joy of Breathing. She's been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, pranayama, breathwork and meditation. SOULDIMENSION.ORG Copyright © 2022 • Soul Dimension",20.67,20.67,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-11T18:00:00Z,2024-03-11T19:15:00Z,Breathwork Healing Session • Joy of Breathing • San Sebastian,Ready to feel more vibrantly alive and consciously connected with your inner healer?,https://www.eventbrite.com/e/breathwork-healing-session-joy-of-breathing-san-sebastian-tickets-418156917597,san sebastian
NA,Sold out,Contact the organizer to request a refund.,"Play a city exploration game and discover the beautiful downtown area of San Sebastian. Along the way, you'll uncover the history behind the neighborhood's continuing popularity. Explore parks and buildings created over a century ago with both British and French inspiration, giving the city its unique stately style. Wander through the charming and picturesque town, basking in the rich history of its culture and for a moment become part of that special feeling that is San Sebastian. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-11T11:00:00Z,2024-03-11T12:30:00Z,San Sebastian Outdoor Escape Game: The Identity Mystery,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/san-sebastian-outdoor-escape-game-the-identity-mystery-tickets-655630407197,san sebastian
NA,Sold out,No Refunds,"Purchase a ticket to our live events and enjoy a 7-day bonus access. Dive into Healing Sessions, Masterclasses, Breathing Experiences, and Live Breathing Classes immediately. Learn more. The Healing Breathwork is a 75-minute online session of Soul Dimension Breathing, focused on addressing healing needs. With a deep focus on healing breathwork techniques, these sessions offer a powerful tool for healing and transformation at physical and emotional levels. You will learn how to use your breath to release emotional blocks, and accelerate the physical and emotional healing processes, and receive guidance to address your unique healing needs. As your week starts enjoy the opportunity to begin your healing breathwork journey with Soul Dimension Breathing Technique. During the Healing Breathwork session, you will be safely and gently guided to explore, feel and connect to deeper layers of your body, emotions, and consciousness that will allow you to quickly and effectively access a profound connection with your body, mind, heart, and Soul unlocking all levels of self-healing. Sylvie has been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, pranayama, healing breathwork, and meditation. ""It is my pleasure and honor to guide you toward self-empowerment, transformation, and awakened consciousness. I will help you connect to your deepest self and inner guide with breathwork from the physical to the soul dimension. Sylvie The Soul Dimension Breathing is a unique technique that combines the ancient knowledge of yoga pranayama, chakras, energy, sound healing, and modern science-backed information about the powerful benefits of breathwork.",22.11,22.11,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-11T18:00:00Z,2024-03-11T19:15:00Z,Healing Breathwork | Accelerate emotional and physical healing • Bilbao,"Release emotional blocks, physical tension, and accelerate physical and emotional healing in our online Healing Breathwork Session.",https://www.eventbrite.com/e/healing-breathwork-accelerate-emotional-and-physical-healing-bilbao-tickets-820813183327,san sebastian
NA,Sold out,Contact the organizer to request a refund.,"Play a thrilling city exploration game and uncover the secrets of the Casco Viejo of Bilbao, the beating heart of the city! On your quest in search of the missing Maestro of the Bilbao Orchestra, you'll wander through historic alleys, step on bridges full of legends, and solve challenges to discover iconic and hidden treasures of Bilbao's Old Town. Are you ready for a mysterious adventure? The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-11T11:00:00Z,2024-03-11T12:30:00Z,Mysterious Bilbao Outdoor Escape Game: Secrets of Casco Viejo,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/mysterious-bilbao-outdoor-escape-game-secrets-of-casco-viejo-tickets-710027089137,san sebastian
NA,Sold out,No Refunds,"Experience the amazing healing power of your breath with the Joy of Breathing technique. It allows you to quickly and effectively access a deeper connection with your body, mind, heart and soul. During this 75 minute online live session you will be safely and gently guided to explore, feel and connect to deeper layers of your body, emotions and consciousness. You will journey into profoundly healing, deeply relaxing and transformative states of being. For over 30 years, Sylvie has been experiencing, learning, practicing and teaching a wide scope of breathwork and pranayama techniques. She finally developed her own technique that is both a science and yoga-based practice. It weaves together modern scientific discoveries in breathwork and the ancient yogic wisdom. BIOGRAPHY Sylvie is the creator of the Joy of Breathing. She's been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, pranayama, breathwork and meditation. SOULDIMENSION.ORG Copyright © 2022 • Soul Dimension",20.67,20.67,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-11T18:00:00Z,2024-03-11T19:15:00Z,Breathwork Healing Session • Joy of Breathing • Bilbao,Ready to feel more vibrantly alive and consciously connected with your inner healer?,https://www.eventbrite.com/e/breathwork-healing-session-joy-of-breathing-bilbao-tickets-418141320947,san sebastian
NA,Sold out,Refunds up to 30 days before event,"In this On Demand Class, we will address real challenges leaders face in the real world, but most training seminars can not and will not address:-( You will get real down to earth insights, zero corporate fluff! You will learn a whole new set of thinking, that is outside of your current ""zone of thinking"", you will hear things you've never heard of before, you will perform a ""software upgrade"" in your thinking. You will be equipped with skills that are new to you, so you can venture outside of your current comfort zone, and do things you've never done before, and get rewarded handsomely as a result of your new understanding, new thinking, new feeling, new actions. You will lose: Unhelpful thinking that have been holding you down :-( You will gain: New thinking that will catapult you to the next level! 1: Delegation Skills for Busy Leaders - Why & How 2: How To Motivate & Inspire Your Employees? Young Employees? 3: How to Overcome Employee's Resistance To Change? 4: How to Create Genuine and Sincere Employee Loyalty? 5: How to Manage the 4 Different Types of Younger Employees? 6: How to Successfully Coach Your Employees? 7: Is being friends with your employees a good idea? or a bad idea? 8: How To Get Your Best Employees To Stay For As Long As Possible? 9: How To Avoid Costly Hiring Mistakes? 10: How to Overcome Your Anxiety with Discipline and Termination? 11: Seven Secrets for Your Leadership Success that They Won't Teach You! Thousands of business leaders, from hundreds of organizations and associations, in dozens of industries, have attended his Leadership Seminars, Workshops, Keynote Sessions & 1-on-1 Coaching sessions. His leadership seminar students love his unique teaching content, as well as his unique teaching method. He is the best, at: ● Discovering what is in people's blindspot that is holding them back, causing internal conflicts deep down inside; ● Effectively teaching his students new ways of understanding their situations, therefore helping them to resolve the conflicts in their thinking, so they can become more productive - instantly! +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Coach Michael Lin came out of the tech industry, and uses his superb analytical skills to dissect business challenges. He has deep insights into human nature, which he uses to help people to solve their business challenges. His analysis and solutions are all based on Emotional Intelligence, not on how we wish humans ought to be, but based on what humans actually are. Managers & Leaders from over 500 organizations across many industries have attended seminars and workshops taught by Coach Michael Lin. Example industries are: - Airports - Automobile Manufacturers - Aviation Companies - Banks & Credit Unions - Casinos - Charities - Churches - Courts (State and County) - Fire, Police & Sheriff Depts - Food Companies - Governments - Hospitals - Hotel Chains - Insurance Companies - Railroad Companies - School Districts - Technology Companies - Universities - Etc Etc. 1: What makes other people tick? Employees who report to us? Our peer managers & leaders? Outside customers? Outside vendors? Shareholders? Upper management? 2: How to identify the right incentives - for other people? Why should we not confuse “the right incentive for ourselves"" with ""the right incentive for others”? How to utilize our insights into short term vs long term pain & pleasure to influence, persuade and help others, to create Win/Win outcomes for everyone? 3: How to advance our own careers, by going out of our way to: help others?! solve other people's problems?! Why do we need to understand the big picture of the corporation (not just ""my department"") and solve problems for the entire corporation? 4: ""Software Upgrade"" in our heads, from employee thinking (my hours for my salary), into business thinking: what do customers need and want? how to provide goods/services for customers? What hardware & human capabilities do we have? how to inspire employees to want to give their best - using non monetary incentives? How to create win/win for everyone? customers, shareholders, employees, and managers/leaders? 5: Why Confidence Building by practicing Fear Busting is the key to Self Development? How can we constantly expand our comfort zone, by doing things we know we should do, but don't do - due to fear? +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is an Interview/Article by Coach Michael Lin on ""Moving From Command & Control to Coaching & Collaboration: How Leaders and Managers Can Become Better Coaches - the Why, the What, and the How"": https://medium.com/authority-magazine/moving-from-command-control-to-coaching-collaboration-michael-lin-on-how-leaders-and-managers-64fdf22eaa71 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a list of two dozen people telling us what they thought of the teaching, after they've attended the seminar or workshop by Coach Michael Lin: (These people range from brand new managers to highly experienced leaders, from various private sectors to the government...) https://youtu.be/_jPxflr1LV8 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a short sample of Coach Michael Lin in action, helping managers to get over their fears and grow into Real Leaders, so they can do what they are afraid of doing but need to be doing: https://youtu.be/Wc4GylRBQ6U +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here are over a dozen media interviews, in which Coach Michael Lin answers tough questions from journalists on leadership: https://www.linkedin.com/in/coachmichaellin/recent-activity/videos/ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ We have all attended those waste of time seminars that are: Why bring another one of those waste of time seminars to your company? And force employees to endure the ordeal? Be a real hero, bring a seminar that your employees will: And when leaders improve? everyone in the company gets to enjoy the benefit: from team members to shareholders! And all of them will be thanking you for organizing training that's useful!",33.84,33.84,USD,Coach Michael Lin,https://schema.org/EventScheduled,2024-03-11T16:00:00Z,2024-03-11T16:30:00Z,Bilbao Leadership Secret: Is It Good/Bad Idea To Be Friends With Employees?,Should you be friends with your employee?  What if  your employees don't like you?  How to get your employees to want to help you?,https://www.eventbrite.com/e/bilbao-leadership-secret-is-it-goodbad-idea-to-be-friends-with-employees-tickets-610429359647,san sebastian
NA,Sold out,Refunds up to 30 days before event,"After you take the class, you will figure out: Why it's impossible for them to teach you these secrets This class is ONLY for those managers who want to expand their own comfort zones, hear the truth, willing to do what has to be done, and want to overcome this challenge. You need to do/learn/hear what is necessary! And what you need to hear (not what you want to hear) are outside of your current awareness, they are outside of your current comfort zone. But you have a long history of expanding your comfort zone, right? You are not the sort of person who spends 100% of their intellectual, mental and emotional energy fighting to stay inside their comfort zone, are you? The type of person who insists on only hearing what they want to hear, and refuses to hear what they need to hear?  You are busy, that's why this class is ""On-demand""! As soon as you register, you'll be able to take the class! Or come back to the class if you get interrupted! 1: Delegation Skills for Busy Leaders - Why & How 2: How To Motivate & Inspire Your Employees? Young Employees? 3: How to Overcome Employee's Resistance To Change? 4: How to Create Genuine and Sincere Employee Loyalty? 5: How to Manage the 4 Different Types of Younger Employees? 6: How to Successfully Coach Your Employees? 7: Is being friends with your employees a good idea? or a bad idea? 8: How To Get Your Best Employees To Stay For As Long As Possible? 9: How To Avoid Costly Hiring Mistakes? 10: How to Overcome Your Anxiety with Discipline and Termination? 11: Seven Secrets for Your Leadership Success that They Won't Teach You! Thousands of business leaders, from hundreds of organizations and associations, in dozens of industries, have attended his Leadership Seminars, Workshops, Keynote Sessions & 1-on-1 Coaching sessions. His leadership seminar students love his unique teaching content, as well as his unique teaching method. He is the best, at: ● Discovering what is in people's blindspot that is holding them back, causing internal conflicts deep down inside; ● Effectively teaching his students new ways of understanding their situations, therefore helping them to resolve the conflicts in their thinking, so they can become more productive - instantly! +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Coach Michael Lin came out of the tech industry, and uses his superb analytical skills to dissect business challenges. He has deep insights into human nature, which he uses to help people to solve their business challenges. His analysis and solutions are all based on Emotional Intelligence, not on how we wish humans ought to be, but based on what humans actually are. Managers & Leaders from over 500 organizations across many industries have attended seminars and workshops taught by Coach Michael Lin. Example industries are: - Airports - Automobile Manufacturers - Aviation Companies - Banks & Credit Unions - Casinos - Charities - Churches - Courts (State and County) - Fire, Police & Sheriff Depts - Food Companies - Governments - Hospitals - Hotel Chains - Insurance Companies - Railroad Companies - School Districts - Technology Companies - Universities - Etc Etc. 1: What makes other people tick? Employees who report to us? Our peer managers & leaders? Outside customers? Outside vendors? Shareholders? Upper management? 2: How to identify the right incentives - for other people? Why should we not confuse “the right incentive for ourselves"" with ""the right incentive for others”? How to utilize our insights into short term vs long term pain & pleasure to influence, persuade and help others, to create Win/Win outcomes for everyone? 3: How to advance our own careers, by going out of our way to: help others?! solve other people's problems?! Why do we need to understand the big picture of the corporation (not just ""my department"") and solve problems for the entire corporation? 4: ""Software Upgrade"" in our heads, from employee thinking (my hours for my salary), into business thinking: what do customers need and want? how to provide goods/services for customers? What hardware & human capabilities do we have? how to inspire employees to want to give their best - using non monetary incentives? How to create win/win for everyone? customers, shareholders, employees, and managers/leaders? 5: Why Confidence Building by practicing Fear Busting is the key to Self Development? How can we constantly expand our comfort zone, by doing things we know we should do, but don't do - due to fear? +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is an Interview/Article by Coach Michael Lin on ""Moving From Command & Control to Coaching & Collaboration: How Leaders and Managers Can Become Better Coaches - the Why, the What, and the How"": https://medium.com/authority-magazine/moving-from-command-control-to-coaching-collaboration-michael-lin-on-how-leaders-and-managers-64fdf22eaa71 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a list of two dozen people telling us what they thought of the teaching, after they've attended the seminar or workshop by Coach Michael Lin: (These people range from brand new managers to highly experienced leaders, from various private sectors to the government...) https://youtu.be/_jPxflr1LV8 +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here is a short sample of Coach Michael Lin in action, helping managers to get over their fears and grow into Real Leaders, so they can do what they are afraid of doing but need to be doing: https://youtu.be/Wc4GylRBQ6U +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ Here are over a dozen media interviews, in which Coach Michael Lin answers tough questions from journalists on leadership: https://www.linkedin.com/in/coachmichaellin/recent-activity/videos/ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ +++ We have all attended those waste of time seminars that are: Why bring another one of those waste of time seminars to your company? And force employees to endure the ordeal? Be a real hero, bring a seminar that your employees will: And when leaders improve? everyone in the company gets to enjoy the benefit: from team members to shareholders! And all of them will be thanking you for organizing training that's useful!",33.84,33.84,USD,Coach Michael Lin,https://schema.org/EventScheduled,2024-03-11T06:00:00Z,2024-03-11T06:30:00Z,Bilbao Leadership Secrets: 7 Secrets for Your Success They Won't Teach You!,"If you want others to give you fish, this class is NOT for you. If you want to learn how to fish on your own, this class is for you!",https://www.eventbrite.com/e/bilbao-leadership-secrets-7-secrets-for-your-success-they-wont-teach-you-tickets-610428677607,san sebastian
