Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
NA,Sold out,Contact the organizer to request a refund.,NA,87.83,87.83,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-12T02:30:00Z,2024-03-12T05:30:00Z,The Culture and Classic Eats of Seville - Food Tours by Cozymeal™,"Learn all about Seville's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “The Culture and Classic Eats of Seville”, with Guide Charlie or Local Guide for a fun 3-hour experience with 8 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit The Culture and Classic Eats of Seville",https://www.eventbrite.com/e/the-culture-and-classic-eats-of-seville-food-tours-by-cozymealtm-tickets-800514238637,sevilla
NA,Sold out,No Refunds,"Purchase a ticket to our live events and enjoy a 7-day bonus access. Dive into Healing Sessions, Masterclasses, Breathing Experiences, and Live Breathing Classes immediately. Learn more. The Healing Breathwork is a 75-minute online session of Soul Dimension Breathing, focused on addressing healing needs. With a deep focus on healing breathwork techniques, these sessions offer a powerful tool for healing and transformation at physical and emotional levels. You will learn how to use your breath to release emotional blocks, and accelerate the physical and emotional healing processes, and receive guidance to address your unique healing needs. As your week starts enjoy the opportunity to begin your healing breathwork journey with Soul Dimension Breathing Technique. During the Healing Breathwork session, you will be safely and gently guided to explore, feel and connect to deeper layers of your body, emotions, and consciousness that will allow you to quickly and effectively access a profound connection with your body, mind, heart, and Soul unlocking all levels of self-healing. Sylvie has been guiding spiritual seekers for over 30 years with the self-transformative teachings of yoga, pranayama, healing breathwork, and meditation. ""It is my pleasure and honor to guide you toward self-empowerment, transformation, and awakened consciousness. I will help you connect to your deepest self and inner guide with breathwork from the physical to the soul dimension. Sylvie The Soul Dimension Breathing is a unique technique that combines the ancient knowledge of yoga pranayama, chakras, energy, sound healing, and modern science-backed information about the powerful benefits of breathwork.",22.11,22.11,USD,Soul Dimension,https://schema.org/EventScheduled,2024-03-11T18:00:00Z,2024-03-11T19:15:00Z,Healing Breathwork | Accelerate emotional and physical healing • Sevilla,"Release emotional blocks, physical tension, and accelerate physical and emotional healing in our online Healing Breathwork Session.",https://www.eventbrite.com/e/healing-breathwork-accelerate-emotional-and-physical-healing-sevilla-tickets-820804497347,sevilla
NA,Sold out,Contacta con el organizador para solicitar un reembolso.,"Experience the soul-stirring rhythms and passionate melodies of authentic Flamenco at Tablao Flamenco La Cantaora Sevilla, combined with the delightful indulgence of a refreshing drink. Immerse yourself in the heart of Andalusian culture as you witness a mesmerizing performance that has captivated audiences for centuries. Upon arrival at Tablao Flamenco La Cantaora Sevilla, you will be greeted by the vibrant ambiance and traditional décor, transporting you to a world of fiery passion and artistic expression. Take a seat in the intimate and cozy setting, perfectly designed to enhance your Flamenco experience. As the show begins, prepare to be swept away by the powerful and emotive performances of renowned Flamenco artists. The skilled dancers, accompanied by talented musicians and soulful singers, will enthrall you with their synchronized footwork, intricate hand movements, and heartfelt vocalizations. Feel the intensity and energy radiating from the stage as the performers effortlessly merge complex rhythms and graceful movements, telling stories of love, loss, and longing. Each dancer's soulful expression and flamboyant costumes will transport you to the heart of Flamenco, evoking a range of emotions within you. To enhance your evening, we have included a refreshing drink for you to enjoy during the show. Sip on a glass of chilled sangria, a traditional Spanish wine cocktail, or indulge in a selection of other beverages available. Let the flavors complement the passion of the performance, as you immerse yourself fully in the sensory experience. Whether you are a Flamenco aficionado or experiencing it for the first time, Tablao Flamenco La Cantaora Sevilla promises an unforgettable evening of cultural immersion and artistic brilliance. Allow the music, dance, and drink to awaken your senses and leave you with lasting memories of this enchanting Spanish tradition.",25,25,EUR,Tablao Flamenco La Cantaora,https://schema.org/EventScheduled,2024-03-10T20:00:00Z,2024-03-10T21:00:00Z,PURE FLAMENCO SHOW,"Immerse in Seville's authentic flamenco show, inspired by 19th-century café cantantes. A intimate, low-capacity setting respects our roots.",https://www.eventbrite.com/e/entradas-pure-flamenco-show-798201942497,sevilla
NA,Sold out,Contact the organizer to request a refund.,NA,110.01,110.01,EUR,Cozymeal,https://schema.org/EventScheduled,2024-03-10T19:00:00Z,2024-03-10T22:00:00Z,Culinary Secrets of Seville - Food Tours by Cozymeal™,"Learn all about Seville's incredible culture while enjoying the city's favorite fare with Cozymeal! Join the upcoming food tour, “Culinary Secrets of Seville”, with Guide Charlie or Local Guide for a fun 3-hour experience with 7 tastings along the way.Cozymeal offers a variety of culinary experiences, including cooking classes, team building activities, food tours and private chef services. We’ll give you a unique, unforgettable experience hosted by incredible chefs and guides in over 70 cities across the U.S. and Canada. Book a culinary experience with Cozymeal and let theus take care of the rest.For additional information and dates visit Culinary Secrets of Seville",https://www.eventbrite.com/e/culinary-secrets-of-seville-food-tours-by-cozymealtm-tickets-786897350157,sevilla
NA,Sold out,Contacta con el organizador para solicitar un reembolso.,"Get inmerse into the beautiful Seville with our self-guide. You will discover the historical center. The specific places that made Seville the most important city in the world some centuries ago. All surrounded by colorful places where you will be informed about some historical facts that will really amaze you. Also, our self-guided tour created by our sevillian  historians guides will tell you about of many real hidden gems and/or legends that are normally known just by Sevillian people who were born and raised in the city.",10.21,10.21,EUR,Lunten Tours,https://schema.org/EventScheduled,2024-03-11T10:00:00Z,2024-03-11T12:30:00Z,SEVILLE HIGHLIGHTS AND HISTORICAL TOUR (SELF-GUIDED),"If you want see the very best of Seville, this is your tour!!",https://www.eventbrite.com/e/registro-seville-highlights-and-historical-tour-self-guided-852545194627,sevilla
NA,Sold out,Refunds up to 7 days before event,"Synthesis of the human Mind Our internal world drives our external world. Our ability to use our mind determines how well we can control our external realities. What you may not know is that our Minds have an identity. Creating an Identity of mind allows us to direct our external world intentionally. The language we use to run our lives is one dimensional, which creates needless limitations. Our minds work best in a multidimensional language. Learning how to access your minds resources correctly will enable you to create a life beyond who we desire to be. Our vocabulary, are words we use internally to motivate change, but instead of encouraging us, the imperfections in our speech and articulation restrict access to our minds. There is no synchronicity between the one-dimensional language in our speech and the 4 th dimension of the mind. If you’re not using the correct language of the mind, the mind disengages where we become confused. We don’t have the language to describe the life that we want in a way that the mind accepts, understands, and can utilise. Mind ReMapping is a language illuminating an internal identity, so that we no longer need to be afraid of the dark, neither do we need to be afraid of our minds and what the future holds for us. Meta Tech Organica – Excited about Dimensions of LIVING D0 – Orientation – Who you are & who you are NOT. D1 – Point of Focus – What Where When Why & How to SEE. D2 – Objectification – Finding Imagination. D3 – Understanding – 4 Dimensions of Quadrilateral Thinking D4 – TIME – Mind ReMapping.(Cognitive Positioning System) Thank you for your patience. Mind ReMapping N.B. ALL EVENTS ARE ONLINE",14.99,44.99,GBP,Gavin  Gooden,https://schema.org/EventScheduled,2024-03-10T18:00:00Z,2024-03-10T19:30:00Z,Mind ReMapping - LOST WITHOUT AN  IDENTITY - ONLINE,"The MIND ReMapping  Philosophy: ""Be so Creatively removed from reality, that the Mind has no choice, but to come out of hiding….""",https://www.eventbrite.co.uk/e/mind-remapping-lost-without-an-identity-online-tickets-681408730857,sevilla
NA,Sold out,Contacta con el organizador para solicitar un reembolso.,"¿Sabías que hasta la construcción de San Pedro del Vaticano fue la Iglesia más grande del mundo?Ven a descubrir con nosotros una de las Catedrales más impresionante, y grande, que existen. Piérdete en sus diferentes estilos artísticos, sus 5 naves, y sus más de 40 altares y capillas.En un principio, en este emplazamiento se encontró la mezquita aljama de Sevilla, construida en el siglo XII, pero tras un terremoto a mitad del siglo XIV, el cabildo decidió que era un buen momento para destruir la mezquita y comenzar con la construcción de una nueva catedral para la ciudad, y ellos mismos, dijeron: “Hagamos una Iglesia tal y tan grande que los que la vieren labrada nos tomen por locos”, y así comenzó la construcción de la tercera iglesia más grande del mundo.Abarcaremos durante la visita los estilos musulmán, gótico, renacentista o barroco. Pinturas, esculturas, orfebrería, vidrieras… un extenso y rico patrimonio.No te irás sin conocer el mausoleo de Cristóbal Colón, el retablo más grande de la cristiandad, el coro con sus dos órganos, o la Sacristía Mayor, que esconde el tesoro de la Catedral, aquí te mostraremos cosas tan interesantes como las llaves que recibió Fernando III en la reconquista de Sevilla, la llave musulmana y la judía.¿Y para terminar? … la Giralda. Si quieres ver las mejores vistas de Sevilla, cuando terminemos nuestra ruta, desde el Patio de los Naranjos hablaremos de la torre de la Giralda, antiguo minarete de la mezquita de Sevilla, y tendrás tiempo para subirla si lo deseas. ¡Tan solo son 35 rampas y 17 escalones! IMPORTANTE",5.77,35.71,EUR,Visitando Andalucía,https://schema.org/EventScheduled,2024-03-11T12:00:00Z,2024-03-11T13:30:00Z,Visita Guiada a la Catedral de Sevilla,"Ven a conocer la Catedral de Sevilla, la Iglesia gótica más grande del mundo. Acaba la visita subiendo la Giralda, las mejores vistas.",https://www.eventbrite.com/e/entradas-visita-guiada-a-la-catedral-de-sevilla-793088006577,sevilla
NA,Sold out,Contacta con el organizador para solicitar un reembolso.,"Tablao Flamenco Azahar esta ubicado en la Plaza de las tres cruces, un espacio singular en Santa Cruz, el encantador barrio de Sevilla.  Tablao Flamenco Azahar es un lugar íntimo y acogedor que te transportará a la esencia más pura del arte flamenco. Aquí, estarás tan cerca de los artistas que podrás sentir la pasión que emana de sus cuerpos y el compás de sus tacones resonará en tu corazón. Además, te maravillarás al contemplar las hermosas pinturas que adornan nuestras paredes, donde el flamenco y los toros se fusionan en una explosión de colores y emociones. También ofrecemos productos hechos con la fragante flor de azahar, un verdadero deleite para tus sentidos. Ven y déjate llevar por la magia de nuestra casa, donde el arte y la cultura flamenca se encuentran en cada rincón. Este lugar elegante y refinado te hará vivir el Flamenco en la intimidad, donde la cercanía con los artistas te permitirá apreciar cada detalle de su arte, mientras disfrutas de una copa de vino.",22.51,22.51,EUR,Anais Forestier,https://schema.org/EventScheduled,2024-03-11T18:00:00Z,2024-03-11T19:00:00Z,Tablao Flamenco Intimo en el Flamenco Azahar,Tablao Flamenco Azahar es un lugar íntimo y acogedor que te transportará a la esencia más pura del arte flamenco.,https://www.eventbrite.com/e/entradas-tablao-flamenco-intimo-en-el-flamenco-azahar-649656739797,sevilla
NA,Sold out,Reembolsos hasta 1 día antes del evento,"Un espectáculo flamenco único en Sevilla, a los pies de la Giralda Disfruta del mejor tablao flamenco en Sevilla. Te proponemos ser partícipe de un espectáculo flamenco, vivir una experiencia auténtica e inolvidable junto a los cantaores, guitarristas y bailaoras, de una forma cercana y familiar. Cante. Baile. Guitarra. Lo sentirás en tu piel.",25,25,USD,Flamenco en Sevilla,https://schema.org/EventScheduled,2024-03-11T17:00:00Z,2024-03-11T18:00:00Z,Flamenco junto a la Giralda de Sevilla,Conoce el auténtico flamenco disfrutando de un espectáculo junto a la Catedral de Sevilla,https://www.eventbrite.es/e/entradas-flamenco-junto-a-la-giralda-de-sevilla-794310703697,sevilla
NA,Sold out,Contacta con el organizador para solicitar un reembolso.,"En esta apasionante visita vamos a hacer un recorrido por la historia de Sevilla, ya que la construcción de este conjunto de palacios data del siglo X, cuando el califa Abd Al-Rahman III mandó que se hiciera un nuevo recinto para el gobierno de Isbiliya, nombre musulmán de nuestra ciudad, del que aún podemos visitar el patio de la yesería.A partir de la reconquista, en el año 1248, del periodo cristiano recorreremos el palacio gótico, destacando su conjunto de azulejos, el palacio mudéjar, construido por el rey Don Pedro I, el cruel, a mitad del siglo XIV, con una maravillosa mezcla de la cultura musulmana y cristiana repartida en sus estancias y patios. Los salones de Carlos V, con su monumental entrada realizada por el arquitecto Van der Borch tras el terremoto de Lisboa de 1755, y en el interior un salón lleno de tapices hechos al estilo flamenco en el siglo XVIII también, que nos cuentan la conquista de Túnez de Carlos V.Disfrutarás de sus diferentes jardines, llenos de estanques, fuentes y galerías, sin lugar a duda un paseo muy agradable en el que perderse conociendo la vegetación del Alcázar. Podéis imaginar desde ese momento hasta nuestros días, todo lo que podemos encontrar en el Alcázar.Este conjunto de palacios fue declarado Patrimonio de la Humanidad junto a la Catedral y el Archivo de Indias en 1987. Situado en los márgenes del Casco Antiguo, junto a la antigua Judería (Barrio de Santa Cruz), recibe más de 1 millón de visitas al año. No se trata sólo de un lugar de gran relevancia histórica, sino que además constituye uno de los más bellos y curiosos conjuntos arquitectónicos del país, mezclando estilos como el gótico, mudéjar o barroco.Consideramos que la visita al Alcázar de Sevilla es uno de los principales atractivos que tenemos en nuestra ciudad y, por lo tanto, no debes perdértelo si aún no lo conoces",2.45,35.71,EUR,Visitando Andalucía,https://schema.org/EventScheduled,2024-03-11T14:30:00Z,2024-03-11T16:30:00Z,Visita Guiada al Alcázar de Sevilla,Visita el palacio Real en uso más antiguo de toda Europa. Daremos un apasionante paseo por la Historia de Sevilla.,https://www.eventbrite.com/e/entradas-visita-guiada-al-alcazar-de-sevilla-779332653947,sevilla
