Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
2 hours 30 minutes,Mobile eTicket,Contact the organiser to request a refund.,"International Women's Day Event The 2024 UN theme for International Women's Day is: Accelerating Gender Equality Through Economic Empowerment. Join us for a high-impact, informative presentation that shows you the roadmap for wealth creation and financial independence at any age. MC'd by one of Australia's most successful women entrepreneurs, Inspiring Rare Birds Founder and CEO Jo Burston, this event brings together a group of wealth creation and financial management experts to help guide you on your journey to lifelong economic security. ■ How do women define and achieve financial independence at every life stage; ■ setting and hitting financial goals; ■ investing and optimising income; ■ begin planning for retirement early; ■ the roadmap for financial wellness Panel discussion and Q&A. FULL S﻿PEAKER LINE UP: Michelle Baltazar, Editor-in-Chief Money Magazine Christina Chun, COO Social Enterprise Australia Julia Scott, Founder Love Luck Wealth Carden Calder, Founder Bluechip Communication Melissa Cuturich, Founder Diva Financial In-person attendees enjoy a light breakfast and networking opportunities. The event will also be live-streamed to a national audience (link provided via email). Please select EITHER an in-person or online ticket option. All ticket holders go into a draw to win a course for small business owners, entrepreneurs and leaders called Partnership Essentials with thanks to Rare Birds Ambassador and Mentor Phil Hayes-St Clair. Special thanks also to our Venue Sponsor ACS and Event Sponsor Scalare Partners",16.5,53.9,AUD,Inspiring Rare Birds,https://schema.org/EventScheduled,2024-03-11T20:00:00Z,2024-03-11T22:30:00Z,The Women's Financial Wellness Roadmap,Your journey to lifelong economic security begins today,https://www.eventbrite.com.au/e/the-womens-financial-wellness-roadmap-tickets-839835700187,sydney
1 hour 30 minutes,Mobile eTicket,No Refunds,"Experience the profound effects of pranayama breathing techniques and sound healing! You will go on an amazing sound journey to release what no longer serves you, restore balance in your body, calm your nervous system and reach a deep state of relaxation. To deepen the healing, Tibetan bowls will be played directly on your body. In a cozy setting with a limited group of 15-20 participants, you can expect personalized attention. We will start the session with powerful pranayama breathing exercises to connect to your prana (life force energy), unblock stagnations and release trapped energy. After finding a place of gratitude and setting an intention, you will lie back and relax to embark on a transformative journey within, guided by the sounds and frequencies of Tibetan and crystal singing bowls, gong, rainstick, chimes, tingshas and indigenous rattles. Soon you will find yourself floating into a state of deep relaxation and meditation as your tension and stress melt away. Leverage this special opportunity to go deeper into your healing practice. All played live. No previous experience needed. Doors open 10 minutes before the event starty and will be locked once the event has started - please be on time to not disturb the group! Experience the Benefits of Sound Healing: During this sound healing, a coherent energetic pattern is created in the brain and body. The frequencies and vibrations created by the healing instruments activate the parasympathetic nervous system, which: ❤︎ reduces stress and anxiety ❤︎ creates calmness and relaxation ❤︎ quietens the mind ❤︎ rejuvenates and regenerates the body ❤︎ revives energy levels after illness or burnout ❤︎ increases creativity ❤︎ improves sleep Please bring the following items to ensure you are comfortable: ✭ yoga mat ✭ blanket ✭ pillow and/or bolster ✭ eye pillow Please make sure you: ✭ wear comfortable clothes ✭ are well-hydrated ✭ have finished eating at least 1.5 hours before the sound healing starts ✭ keep caffeine and alcohol intake to a minimum for 24 hours before the sound healing starts Enhance your healing journey by exploring the transformative benefits of SEED OF LIFE HEALING's Hypercharged Chakra Oils. I'm so looking forward to welcoming you to a blissful sound healing in Bondi! In gratitude, Viktoria SEED OF LIFE HEALING viktoria@seedoflifehealing.com www.seedoflifehealing.com www.instagram.com/SeedofLifeHealing www.facebook.com/SeedofLifeHealing If you feel unwell, please stay at home (you can give your ticket to a friend). By purchasing a ticket to a sound healing event hosted by SEED OF LIFE HEALING, you accept the Terms & Conditions.",73.42,73.42,AUD,SEED OF LIFE HEALING,https://schema.org/EventScheduled,2024-03-12T08:00:00Z,2024-03-12T09:30:00Z,Pranayama & Sound Healing - Bondi,"✰Join this exclusive sound healing event in Bondi to release what no longer serves you, calm your nervous system, and relax deeply✰",https://www.eventbrite.com.au/e/pranayama-sound-healing-bondi-tickets-824971089737,sydney
NA,Sold out,Contact the organiser to request a refund.,"$24AUD per person PayID: 0424 193 886 Thomas Chong or BSB: 732-135 A/C： 752668 Name: Thomas Chong Reference: Please put your registered name please join our whatsapp group through the link below or our QR code on the main page. Whatsapp Group: https://chat.whatsapp.com/I3Xv8gttJql8xTADgrs6IQ What should I bring? - Your own racket, water & some spare shirts What are my transport/parking options for getting to and from the event? - Cars are highly recommended. Can I transfer my ticket to my friend? - Yes you may transfer your ticket to a nominated person before the game starts, simply log on to the ""web version"" of Eventbrite, locate your ticket then press edit, change the name and email address to the nominated person's details will do. The nominated person will have to pay you the price of the ticket you purchased online. Please notify us about the changes on our whatsapp group Cancellation Policy & refund policy - Tickets are not refundable. Please refer to the answer in the question above. How can I contact the organiser with any questions? Please shot a message to Thomas (0424 193 886 ) or Leslie on 0422 255 667 Please scan the QR code to join our whatsapp group to upload your receipts. Thank you.",0,0,AUD,Versal Property,https://schema.org/EventScheduled,2024-03-12T08:00:00Z,2024-03-12T12:00:00Z,Versal Badminton @ NBC Alexandria -Tuesday 7pm-11pm pls scan QR on whatsapp,Welcome to Versal Badminton Club! We pride ourselves with fun games & fun people with up to 18 courts available weekly!  See you there!,https://www.eventbrite.com.au/e/versal-badminton-nbc-alexandria-tuesday-7pm-11pm-pls-scan-qr-on-whatsapp-tickets-839687898107,sydney
2 hours,Mobile eTicket,Contact the organiser to request a refund.,"CUT TO THE CHASE Feedback, Conflict and the Cost of the conversations we avoid There are plenty of reasons we avoid tough conversations: Fear; conflict avoidance; not wanting to hurt feelings or rock the boat; not backing ourselves; riding it out in the hope that things will change. They won’t. Which is why I challenge you to cut to the chase, give feedback early and directly, before the cracks widen. If you don’t – don’t under-estimate the personal, organisational and opportunity cost of the conversation you’re avoiding. The contradiction is people thrive when we give them tough feedback and go on to produce great results. Key Takeaways",318.96,318.96,AUD,The Team at Integrity and Values,https://schema.org/EventScheduled,2024-03-11T20:00:00Z,2024-03-11T22:00:00Z,Cut to the Chase Boardroom Breakfast Sydney,"Cut to the Chase: Feedback, Conflict and the Cost of the conversations we avoid",https://www.eventbrite.com/e/cut-to-the-chase-boardroom-breakfast-sydney-tickets-817599230307,sydney
2 hours,Mobile eTicket,Contact the organiser to request a refund.,NA,5.28,10.55,AUD,Arc Creative UNSW,https://schema.org/EventScheduled,2024-03-12T07:30:00Z,2024-03-12T09:30:00Z,Art Therapy,An evening of Art Therapy with Emma from Come As You Art,https://www.eventbrite.com.au/e/art-therapy-tickets-819690254617,sydney
2 hours,Mobile eTicket,Refunds up to 1 day before event,"Come and join us to celebrate International Women´s Day. In this two - hour watercolor class, we will learn to paint a fabolous floral wreath. During this workshop, you will be guided through: By the end of the workshop you will leave with not only some new skills in watercolour painting but also a stunning floral art piece of your own. MATERIALS PROVIDED: Including paint, brushes and paper. BEGINNERS FRIENDLY This guided workshop is perfect for begginers who want to explore the art of watercolour painting in a relaxed, welcoming environment. Don´´t worry if you are new to painting this class is desigined to be a fun experience for all, no prior expirience necesasary. FAMILY FRIENDLY: It is also perfect for families who want to spend some time together learning a new skill. Family friendly. Minimun age 5 years old. Keep calm and create Ana @magic.feather",26.72,26.72,AUD,Ana De La Cruz Ortiz,https://schema.org/EventScheduled,2024-03-12T06:00:00Z,2024-03-12T08:00:00Z,Paint with Ana. Watercolor Workshop beginners,Come and join us to celebrate together the International Women´s Day. You will create your own piece of art to take home.,https://www.eventbrite.com.au/e/paint-with-ana-watercolor-workshop-beginners-tickets-856584245537,sydney
1 hour,Mobile eTicket,Contact the organiser to request a refund.,"WHO ARE WE? At Breathe Sydney, we're not just a company; we're a sanctuary for your well-being. Our vision is to be the guiding light for those who seek relief from life's daily stressors, offering a safe space where you can discover, evolve, and unleash your fullest potential. WHO IS IT RIGHT FOR? Those feeling overwhelmed by the demands of modern life Individuals eager to experience a heightened sense of self-awareness Anyone wanting to escape from the hamster wheel of negative thoughts Adventurous souls keen on experimenting with alternative ways to achieve peace of mind WHAT WE DO: Picture this: a heartfelt welcome followed by a moment of authentic connection. We then transition into expertly-guided breathwork, designed to release the pent-up energies and stresses you've been holding onto. We cap it off with a transformative meditation session, grounding your newfound clarity and calmness. WHY WE DO THIS: We're driven by a simple, yet profound, truth: humanity deserves better. It's heartbreaking to see so many people navigating life's complexities with frazzled nerves and heavy hearts. That's why we're committed to offering transformative experiences that touch your soul and rejuvenate your spirit, using the ancient practices of breathwork and meditation as our medium. WHAT TO BRING: Yoga mat Drink bottle Journal Pen WHAT TO WEAR: Clothes that make you feel relaxed and warm WHO CAN ATTEND? All are welcome ABOUT YOUR FACILATOR: Alex Borthwick isn't just a facilitator; she's a healer and a guide. Her own journey of self-discovery started back in 2020 when she stumbled upon breathwork while living on the Gold Coast. It wasn't long before she sensed the remarkable transformation taking place within her. Since then, she's taken her passion to the next level, becoming a Level 2 Facilitator and guiding hundreds through their own ever changing journey. Her unique blend of business savvy and holistic techniques, allow her to offer an experience that's as enriching as it is transformative. When you're with Alex, you're not just another attendee—you're a part of a greater quest for inner peace. THE SPACE: Our event unfolds in the tranquil ambiance of the BresicWhitney Office, which perfectly complements the restorative activities we have planned for you. Disclaimer/Waiver: Please notify me prior to the class if you are pregnant, have high blood pressure, recently had a vaccination, have a history of heart issues, cardiovascular disease, recent injury or surgery, heart attack, angina, seizure disorders, aneurisms in your family history. Energetic breathwork is not recommended in these cases without clearance from your doctor. You are still welcome to join the class and I will instruct you on a more gentle breathing pattern.",27.78,27.78,AUD,Alex Borthwick - Breathwork Facilitator,https://schema.org/EventScheduled,2024-03-12T07:00:00Z,2024-03-12T08:00:00Z,Breathwork and Meditation by Breathe Sydney,Breathwork and Meditation,https://www.eventbrite.com.au/e/breathwork-and-meditation-by-breathe-sydney-tickets-850697678657,sydney
2 hours 45 minutes,Mobile eTicket,No Refunds,"Games Night with Sydney Working Holiday Girls Come alone and leave with friends! A night dedicated to board games and friendship, come alone, and leave with friends! We will be hosting our GIRLS ONLY Game Night at Frank Macs where we have all of downstairs for us girls! The night begins from 6pm and we’ll be playing some of our favourite games at 7pm. What’s included: ⭐️ A drink on arrival ⭐️ A name tag ⭐️ Friendly Sydney Working Holiday Girls Hosts! ⭐️ All of downstairs just for Sydney Working Holiday Girls ⭐️ Games at 7pm ⭐️ Opportunities to help spark conversation and get you mingling with others you haven’t spoken to! ⭐️ An Instagram groupchat for pre and post event Friendmaking The details: Where? Frank Mac's, The Rocks What time? Arrive from 6pm. The event approximately ends at 8.45pm, however, you’re more than welcome to stick around to the bar closes! Who can come? Working Holiday Girls & other similar visas between the ages of 18 - 35. Will there be a groupchat? Yes, a groupchat will be made 48hrs prior to the event. How much? $20 + Eventbrite booking fee T&C’s: - Arrive between 6-7pm for your drink on arrival - No refunds however you can sell or transfer your ticket to someone else - Photos will be taken at the event for promotion purposes. If you would not like to be in the pictures, please let one of the volunteers know on the evening. Ticket price inclusive of GST",22.04,22.04,AUD,Sydney Working Holiday Girls,https://schema.org/EventScheduled,2024-03-12T07:00:00Z,2024-03-12T09:45:00Z,Games Night with Sydney Working Holdiay Girls,"Our girls only game night, full of Sydney Working Holiday Girls favourite games! Come alone and leave with friends!",https://www.eventbrite.com.au/e/games-night-with-sydney-working-holdiay-girls-tickets-847952798647,sydney
1 hour,Mobile eTicket,No Refunds,"You don't need to be funny and we won't make you perform on stage or put you on the spot. We ask for a donation because our behavioural psychologist told us that if you pay any amount, no matter how small, you're more likely to come. And we want you to! If you have fun and see the value in what we do (and we know you will) then you might want to sign up for our next 6-week class. We've included a description of it below. ----- Over the course of six weeks (one night a week), you will be amazed by your own personal transformation as you learn to connect more meaningfully with others (and yourself), experience countless hilarious and ""ah-ha!"" moments, and develop soft skills for success. We are so confident that you will get value out of this experience that if you attend all 6 nights and at the end you disagree, we'll refund you 100% of your registration. ""⭐️ ⭐️ ⭐️ ⭐️ ⭐️ "" (Check our reviews) Take yourself and your career to a higher level. ▶ Unlock the power of ""yes, and..."" ▶ Connect, communicate, and collaborate like a legend. ▶ Develop more confidence, resilience, and agility. ▶ Overcome post-covid isolation and loneliness. ▶ Have heaps of fun without having to be funny. QUICK LINKS: ▶ Learn more about this class ▶ Make your Boss pay for it ▶ Get on the waitlist for the next one ▶ Check out our workshops for business teams ▶ Watch reviews from past students ▶ Listen to our 3-minute podcast HAVE YOU EVER FELT... ▶ Anxious when presenting or speaking? ▶ Afraid of saying the wrong thing in a meeting? ▶ Worried that one mistake might derail everything? ▶ Uncreative or stuck in your thinking? ▶ Nervous about joining in conversations? DO YOU EVER... ▶ Avoid confrontation or difficult chats? ▶ Freeze up when forced to think on your feet? ▶ Struggle with imposter syndrome? ▶ Second guess what someone actually meant? ▶ Wish you could be more playful and fun? No comedians or clowns. Unlike classes at a comedy school or improv theatre where the focus is on performing and being funny, PowerPlay is led by highly-trained facilitators with relatable work experience. This means we can frame our unique curriculum around your personal goals and desired outcomes. And you’ll be learning from Pros who practice what they teach in the real world. Focused and fun. We’ve taken our much-loved improv workshops for teams and expanded the curriculum to give individuals an opportunity to grow, learn, play, and reap all the benefits of improv. This improv class will give you invaluable skills that you’ll use for the rest of your career and life. And you’ll have so much fun, you’ll probably want to take it more than once. HERE'S WHAT YOU'RE SIGNING UP FOR: 🤝 An Intro to Improv – It’s not about being funny! It’s about learning to React, Adapt, and Communicate. Discover the difference between Editing and Auditing. And embrace what it means to fail joyfully. 👂 Becoming an “Active Listener” – We’re all taught how to read, write, and speak, but nobody ever taught us how to listen, until now. You will transform into an expert and confident conversationalist. 💡 Dynamic Communication & Collaboration – Unlock the Power of “Yes, and.” Use Convergent and Divergent Thinking to innovate like a boss. Get clued up about body language and hear what’s not being said. 🛼 Thinking on Your Feet – Learn to trust your instinct and intuition. Get comfortable with uncertainty. Acquire powerful tools for problem-solving and new ways to come up with great ideas. 🎤 Public Speaking & Presenting – Develop an ensemble mindset. Crush fear, anxiety, or insecurity about being in front of a crowd. Sell with authority. And celebrate your highest levels of self-confidence. 🏆 Soft Skills for Success – Navigate workplace hierarchies and biases. Discover how to get information without asking questions. And learn the secret words you can use to make people like you. THEMES THIS CLASS WILL COVER: Ensemble Resilience Confidence Authenticity Innovation Playfulness Introverts welcome! PowerProv is built on an Ensemble philosophy. This means every class is a safe space where everyone’s actions, choices, and ideas are welcome and supported – and failure is a foreign concept. And since we’re all in it together, feelings of loneliness, isolation, anxiety, fear, and shyness, quickly evaporate so the fun can begin. No pressure to perform. Take a class at an improv theatre and they’ll expect you to put on a show. And while conquering stage fright can be freeing and fun, most people just want to perform better at work and in life. We will challenge you, but we’ll never force you to be funny on demand. And we’ll always make sure you feel supported and successful as you acquire new tools to help you perform where it counts. POWERPLAY™ IS PERFECT FOR ALMOST EVERYONE PowerPlay is NOT for you if: ⛔️ You already know everything. ⛔️ You never make mistakes. ⛔️ You prefer to do everything yourself. ⛔️ You are happy with the status quo. ⛔️ You only want to tell jokes. PowerPlay is 100% for you if: 👍 You want to get out of your comfort zone. 👍 You like meeting new people. 👍 You are willing to try new things. 👍 You believe in personal growth & development. 👍 You invest in yourself. Improv Techniques for Business. Improvisation is one of the most important life skills you can develop. It teaches you to listen to everything being said – and hear what’s not being said. It helps you gain confidence in yourself and your ideas. And increases your awareness of who you are, what you bring to the table, and how you interact with others. All of this contributes to success both at work and in your personal life. And we have the the proof. Improv for Business Workshops. Our professionally trained Facilitators will quickly put you at ease so you can be yourself without being self-conscious. After just 6 weeks you will leave with: * You will not have X-Ray vision, but you will feel like a superhero. POWERPROV IS #1 IN BUSINESS IMPROV TRAINING Our classes use procedural knowledge (learning by doing), behavioural science, and cognitive learning to keep you active, engaged, and enthusiastic. No trust falls. No Powerpoint. No B.S. Google Rating ⭐️ ⭐️ ⭐️ ⭐️ ⭐️ Improv Classes Near Me. At PowerProv we are committed to creating a safe and welcoming environment where anyone can learn, play, take risks, fail gloriously – and succeed awesomely while making new friends and acquiring skills they will use for the rest of their lives. We currently run PowerPlay classes in Sydney (Surry Hills/CBD/East Sydney) and will add more locations soon. Live somewhere else? Book an improv workshop for your team and we’ll come to you! STILL NOT SURE? 👉 Watch some reviews. 👉 Get more info about us. 👉 Check the FAQs - ------------------------------------- EVENT KEYWORDS FOR SEARCH: improvisational, theater, personal development, professional and human resources, human resource, consulting, training and development, sales, sales, presentation, self-confidence, leadership development, leadership, Innovation, play, fun, self–help, self improvement, human resources, generalist, human resources, administrator, human resources, supervisor, Director of human resources , head of human resources, human resources, consultant, human resource, specialist, public speaking, back office, leadership, organizational leadership and management, power, prov, new years eve, new year's eve parties, new year's eve party, new year's resolution",0,0,AUD,PowerProv - The #1 Best Improv Classes + Workshops,https://schema.org/EventScheduled,2024-03-12T07:30:00Z,2024-03-12T08:30:00Z,Improv Class for Personal & Professional Development by PowerProv (1-hour),This is an almost free (donation) PowerPlay intro to improv class open to anyone interested in personal & professional development.,https://www.eventbrite.com.au/e/improv-class-for-personal-professional-development-by-powerprov-1-hour-registration-816116886577,sydney
3 hours,Mobile eTicket,Contact the organiser to request a refund.,"An unforgettable night of laughter. An opportunity to see local and international comedians perform in Sydney's most funky and atmospheric lounge bar. Grab a table, order some food and enjoy a midweek bev as you witness some of the best comedy happening in Sydney. We'll deliver food to your table so you can chill. Whether it's an after-work catch up, or a date night, or just doing something fun with your pals, Lazy's is a top-notch Comedy Club in a 5-Star venue. 📸 Check us out on Instagram: https://www.instagram.com/lazyscomedyclub Event Details:",22.49,22.49,AUD,Lazy's Comedy Club supported by Lazy Bones Lounge in Marrickville.,https://schema.org/EventScheduled,2024-03-12T08:00:00Z,2024-03-12T11:00:00Z,Best Comedy Night Marrickville Sydney,"Get ready for a hilarious night in Marrickville, with top comedians—established and emerging—in one of Sydney's coolest venues.",https://www.eventbrite.com.au/e/best-comedy-night-marrickville-sydney-tickets-841132127837,sydney
