Duration,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City,Ticket_Type
10 hours 30 minutes,Contact the organiser to request a refund.,"The Fathering Summit 2024 The Fathering Summit: The Changing Culture of Fatherhood is the first of its kind aimed at raising awareness of the crucial role of fathers and promoting positive and progressive changes in the role of fathers and father figures in modern Australia with a particular focus on the critical early years of a child's life. Location: Sheraton Grand Sydney Hyde Park, Elizabeth Street, Sydney NSW, Australia This transformative summit unites a diverse group of participants, including researchers, advocates, educators, policymakers, and influencers, all committed to reshaping and redefining fatherhood in a contemporary context. The summit addresses a wide array of topics that revolve around modern fatherhood, such as caregiving, gender equality, work-life balance, parenting roles, mental health, family safety, communication within families, and breaking down traditional stereotypes. What to expect A full day event where you will hear keynote speeches from experts in their field including Prof. Natasha Cabrera, Prof. Michael Flood and Dr. Zac Seidler. Listen to panel discussions followed by interactive workshop sessions and activities.  The Fathering Summit offers a platform for sharing experiences, discussing research findings, networking and executing innovative strategies to drive meaningful change in the way fathers are perceived and engaged in their families' lives. Secure your seat today and join a movement that will redefine fatherhood and positively shape the lives of our children.",385,495,AUD,The Fathering Project,https://schema.org/EventScheduled,2024-03-13T22:00:00Z,2024-03-14T08:30:00Z,The Fathering Summit 2024,"Get ready for The Fathering Summit 2024, a power-packed one day gathering of researchers, policymakers, industry professionals and advocates",https://www.eventbrite.com.au/e/the-fathering-summit-2024-tickets-776774783287,sydney,NA
5 hours,Contact the organiser to request a refund.,"International Women's Day Mixer, Spanglish Version! ****DATE CHANGED TO 28TH OF MARCH****** Join us for a fun-filled evening celebrating women at the Miami Bar in Pyrmont, NSW, Australia. Get ready to dance to musica Latina and connect with amazing women from diverse backgrounds. This in-person event promises to be an opportunity hermosa to celebrate la cultura, share stories, and build new friendships. Whether you're a Latina, Hispanic, or just love the vibrant Latin culture, this mixer is for you. Details:",12,12,AUD,Amiga Mía,https://schema.org/EventScheduled,2024-03-14T07:00:00Z,2024-03-14T12:00:00Z,"International Women's Day Mixer,  Spanglish Version!","Celebrate IWD with like-minded women at a newly opened Miami-inspired in Sydney CBD! Enjoy latin music, cocktails & empowering conversations",https://www.eventbrite.com/e/international-womens-day-mixer-spanglish-version-tickets-841392777447,sydney,NA
4 hours 15 minutes,Contact the organiser to request a refund.,"This all-inclusive intensive is designed to provide a mixture of live sessions (face-to-face or via Zoom) and online* CPD that is relevant and engaging for property lawyers. Please click here to select whether you wish to attend in person or remotely. The program will feature the following keynote presenters who will provide in-depth insight on property law matters: (Chairperson) Talitha Fishburn, Barrister, Black Chambers Stephen Pallavicini, Special Counsel, Thomson Greer Sydney Jacobs, Barrister, 13 Wentworth Chambers Andrew Rider, Barrister, Level 22 Chambers Anthony Herro, Principal, Herro Solicitors Leisha de Aboitiz, Partner, Massons Michael Bennett, Barrister, 13 Wentworth Chambers Mayank Gupta, Partner, Cornwalls Bishoy Genday, Senior Associate, Cornwalls Charlotte Morson, Principal Solicitor, The Legal Costs Consultants Topics include: - Update on caveats - The good, the bad & the ugly: the doctrine of benefits & burdens in property law - Recent stamp duty and land tax changes affecting property transactions - Leasing update – recent developments and key decisions - Navigating strata law reform: strata renewal - Tax, trusts, family provision, SMSF & bankruptcy in property settlements - Don’t get caught out! Complexities in the Personal Property Securities Act (2009) Cth - Costs and disclosures: navigating the Uniform Law - Admissibility of evidence through the lens of Section 66G applications* View the full program here. *Online modules are for participants to complete in their own time and will be available to complete 1 week before the date of the live sessions. Modules marked with an asterisk are available now.",920,920,AUD,UNSW Edge,https://schema.org/EventScheduled,2024-03-13T21:30:00Z,2024-03-14T01:45:00Z,Property Law Intensive,"CPD units: 10 (4 live, 6 online)
Knowledge areas: All",https://www.eventbrite.com.au/e/property-law-intensive-tickets-826531647407,sydney,NA
3 hours 15 minutes,Contact the organiser to request a refund.,"Philosophy Dinner Join us for a fascinating evening of deep thoughts and delicious food at the Philosophy Dinner! Suzanne's Banquet Philosophy Dinner will be held at Fez & Co, located on Booth Street in Annandale, NSW, Australia. Tibor G Molnar MRSN, Honorary Research Associate, Philosophy University of Sydney will be leading the higher level discussion;  so be ready for your minds to be challenged. Booking essential . Reading material will be sent to you once registration is received .  The banquet will involve a repertoire of SuzAnne's nourishing delicious dishes. These dishes are vegan and gluten free safe. If you have other dietary requiremts please email  Suzanne info@fezandco.com.",38.37,38.37,AUD,NA,https://schema.org/EventScheduled,2024-03-14T07:45:00Z,2024-03-14T11:00:00Z,Due to Popular Demand ;  Repeat of 1st Philosophy Dinner,"ENCORE:Join us for an intellectually stimulating Philosophy Dinner, presented by Tibor G Molnar MRSN with Banquet by Suzanne. 1st Wine free.",https://www.eventbrite.com/e/due-to-popular-demand-repeat-of-1st-philosophy-dinner-tickets-846675588477,sydney,NA
1 hour 30 minutes,Refunds up to 7 days before event,"Come learn everything you need to make your own homebrewed beer. We will demonstrate the basics using a starter kit, followed by a Q&A session. Learn how to care for your equipment, improve on a basic canned ""beer concentrate"" kit with grain infusions, malt extracts, brew enhancers, finishing hops and other beer-y goodness. This class is specifically designed for people who have never brewed before or have only just started out. All you need to bring is yourself... if you're lucky you might get to try something we prepared earlier! Time permitting, starter kits and refills will available for purchase after the class if you're ready to get started on your own brew! The class will take approximately 2 hours, but may be a little shorter or longer depending on the type of brew we do on the night and the how many questions come up during the Q&A. Don't forget that our space is a warehouse so wear something cool or warm as appropriate for the weather. The doors will open at 7pm, so please arrive on time, but not too early. Cancellations & Rescheduling Refunds are allowed up to 7 days prior to the event. If you are unable to attend or would like to attend a different class, please process a refund yourself through eventbrite. No refunds are given within the 7 days preceeding the event, although you may give your ticket to a friend - no photo ID is required for entry.",40,40,AUD,The Hop and Grain Brew Store,https://schema.org/EventScheduled,2024-03-14T08:00:00Z,2024-03-14T09:30:00Z,Brewers Basics Class - March - Marrickville,"Come learn everything you need to make your own homebrewed beer.
We will demonstrate the basics using a starter kit, followed by a Q&A sessi",https://www.eventbrite.com.au/e/brewers-basics-class-march-marrickville-tickets-788802478447,sydney,NA
4 hours,Contact the organiser to request a refund.,"STREAMLINE YOUR BUSINESS WITH THE LATEST SOFTWARE, TOOLS & TECHNOLOGY Talk to our experts and see live demonstrations of: LIVE DEMONSTRATIONS INTERACTIVE WORKSHOP SPECIAL OFFERS ON THE DAY LIGHT LUNCH INCLUDED 9AM - 1PM $25 PP For more information contact: Bernie Edmonds - bedmonds@crkennedy.com.au",25,25,AUD,C.R. Kennedy Building Construction,https://schema.org/EventScheduled,2024-03-13T22:00:00Z,2024-03-14T02:00:00Z,Modern Methods of Construction Roadshow - Sydney,Efficiency is key,https://www.eventbrite.com.au/e/modern-methods-of-construction-roadshow-sydney-tickets-814533460507,sydney,NA
5 hours,Contact the organiser to request a refund.,"We're playing Blood on the Clocktower, the supernatural murder mystery social deduction game where death is not the end and no game is ever the same. Each game goes for 30-90 minutes, so there are many games in a night. Players are never eliminated and can enter a game after it starts. Games are in the upstairs function rooms - ask the bar staff for help or look around upstairs until you find us :) Attendance is limited to 50 players at a time. Feel free to support the venue by getting a drink or a meal while you're there. See you there for a fun night of murder & mystery, lies & logic, and deduction & deception! Find out more about the game at bloodontheclocktower.com",6.46,11.73,AUD,Theo Walsh,https://schema.org/EventScheduled,2024-03-14T06:00:00Z,2024-03-14T11:00:00Z,Blood on the Clocktower at Fortress Sydney,Play Blood on the Clocktower at our new venue - Fortress! Join us for the thrilling new murder mystery game where death is not the end.,https://www.eventbrite.com.au/e/blood-on-the-clocktower-at-fortress-sydney-tickets-857606924397,sydney,NA
1 hour,Contact the organizer to request a refund.,"Welcome to our **Wellness Event** happening on Thu Mar 14 2024 at 6:30 PM in the beautiful Bali Memorial! Join us as we explore all things feminine energy. This in-person event is the perfect opportunity to unwind and focus on your well-being. How you can cultivate and tap into your feminine energ, which is key to becoming the most confident version of you and creating a life that lights you up. An evening if learning, expansion, Journalling And guided through a beautiful meditation. Connect with like-minded individuals and discover new ways to prioritize your health. Don't miss out on this chance to treat yourself to a night of self-care and wellness. No refunds on tickets. See you there! 📍Coogee hill ⌚️6:30pm What you need to bring: yoga mat/towel (to sit on). A journal & pen. A jumper, as it can get chilly.",16.93,16.93,AUD,Align with Aoife,https://schema.org/EventScheduled,2024-03-14T07:30:00Z,2024-03-14T08:30:00Z,Wellness Event,Exploring the topic of feminine energy to improve your life and manifest your desires,https://www.eventbrite.com.au/e/wellness-event-tickets-859113229797,sydney,NA
1 hour 30 minutes,Contact the organizer to request a refund.,"The ""unreasonable effectiveness"" of mathematics prompts us to ask big questions about the nature of the universe. Why does our world display such beautiful order? Yet the limits of mathematics leave us searching for answers to questions of ethics, relationships and mortality. How does the Christian worldview make sense of these realities? Rowan completed a PhD in Pure Mathematics (Combinatorics) at Sydney University, before swapping into theology. He now serves as a Chaplain at Sydney University where he particularly works alongside the Evangelical Union in reaching and discipling students and staff at the University with the good news of Jesus. Come and hear from Rowan Kemp as he shares his perspective on 'Jesus and Mathematics'.",15,15,AUD,Third Space,https://schema.org/EventScheduled,2024-03-14T01:00:00Z,2024-03-14T02:30:00Z,Jesus and Mathematics,"What are we to make of the ""unreasonable effectiveness"" of mathematics?",https://www.eventbrite.com.au/e/jesus-and-mathematics-tickets-836908053517,sydney,NA
3 hours,Contact the organiser to request a refund.,"Australian south sea pearls are highly sort after. In this presentation you will be taken on an exciting journey from a time before white settlement, to the rough ‘grab what you can’ of the early settlers on the nor’west coast of West Australia to the boom times before World War 1. Over 400 pearling lugger boats operated out of Broome at that time. The Pearling Masters wielded enormous political leverage in a unique industry that eventually collapsed at the end of World War 2 with the introduction of plastic buttons. The rebuilding of our cultured pearl industry led to Australia producing some of the finest pearls in the world. Pearls have been prized throughout history and you will hear about the mystique and glamour of some famous pearls and the people who wore them. Join Gillian Lewis from the Museum's Speakers Group as we learn more about this amazing subject. Add to the fun by wearing or bringing something pearl related to the event. Enjoy a glass of bubbly or wine and cheese and fruit platters before the talk. $30 Maritime Museum Members / $40 Non Members  Enter your promo code to get your Members price. Not a Member ? Sign up here Pre talk drinks: 6.00pm - 6.45pm Talk: 6.45pm - 8.15pm",40,40,AUD,Australian National Maritime Museum - Events,https://schema.org/EventScheduled,2024-03-14T07:00:00Z,2024-03-14T10:00:00Z,An Evening of  Pearls & Pearling,Join us for wine and nibbles for a look back at the history of pearls and pearling and learn about some famous pearls and who wore them.,https://www.eventbrite.com.au/e/an-evening-of-pearls-pearling-tickets-750264329807,sydney,NA
