Duration,Ticket_Type,Refund_Policy,Description,LowPrice,HighPrice,Currency,Organizer,EventStatus,StartTime,EndTime,Title,Subtitle,url,City
NA,Sold out,Contact the organiser to request a refund.,"A spacious and elegant outdoor venue in the heart of Warsaw, ideal for all your company events. Our dedicated team of professionals on-site will ensure a smooth operation from start to finish. Catering options and more—we can provide everything you need to turn your event into a success. This space can accommodate up to 200 people. Let us  organize Expand to Europe offers an exclusive networking opportunity for businesses looking to expand into new markets and tap into new opportunities. With our years of experience helping companies thrive in the European market, we can provide valuable insights and guidance on everything from cultural nuances to legal and regulatory hurdles. Don't miss out on this chance to take your business to the next level!",330,330,PLN,Expand to Europe events,https://schema.org/EventScheduled,2024-03-08T16:00:00Z,2024-03-08T19:00:00Z,Team building,"Why Choose Us?
•	Expertly crafted events: Our experienced team designs and facilitates high-impact programs that go beyond the ordinary.",https://www.eventbrite.com/e/team-building-tickets-822538323267,warsaw
3 hours,Mobile eTicket,Contact the organizer to request a refund.,"Przygotuj się na noc pełną latynoskich rytmów i smaków podczas LATINO VIBES! To wydarzenie na żywo odbędzie się 9 marca o godz. 20:00 w Galerii Miła, adres: ul. Miła 2, 05-100 Nowy Dwór Mazowiecki.Przyjdź i ciesz się najlepszą muzyką latynoską. Zapewniamy, że nie będziesz mógł oprzeć się tańcu przez całą noc!",48.6,48.6,PLN,KIKEX,https://schema.org/EventScheduled,2024-03-09T19:00:00Z,2024-03-09T22:00:00Z,LATINO VIBES,"Przygotuj się na eksplozję latynoskich rytmów podczas LATINO VIBES,  gdzie muzyka, taniec i zabawa łączą się w jednym miejscu!",https://www.eventbrite.com/e/latino-vibes-tickets-841390500637,warsaw
NA,Sold out,Refunds up to 7 days before event,"TIME IS OPEN! OPEN YOUR MIND. NO ONE CAN STOP YOU UNLESS YOU DECIDE. TIME IS OPEN! WE DON’T NEED TO BE HERE, THE ONLY TIME THAT KEEPS US LIMITED, ARE TIMES OF FEAR. TIME IS OPEN! IT IS WITHIN EVERY BREATH, & WITHIN EVERY HEARTBEAT. TIME IS OPEN! ITS HAS MORE THAN 24 HOURS IN ITS DAY, THAT TIME IS YOURS, SO BE FOOLED NOT, BY WHAT PEOPLE SAY. TIME IS OPEN! STOP SITTING AROUND, FOR THE LIGHT, THE AIR, THE WATER, AND ITS FIRE IS YOUR GROUND, SO RISE AND SEE THEM AND MAKE THEM SOUND. TIME IS OPEN! IT IS THE EYE OF THE INVENTOR, THE PAINTER, THE STORYTELLER, AND THE CREATOR. TIME IS OPEN! ITS GATES ARE RAINBOWS OF LIFES LIGHT, THAT ARE HERE, THERE, AND EVERYWHERE. TIME IS OPEN! IT DOESN’T LIE, NOR DOES IT STEAL, FEEL ITS TRUTH FEEL ITS ASPIRATIONS AND SEE TIMES INSPIRATIONS. TIME IS OPEN! I STAND AT TIMES UNIVERSAL GATES AT THE 5TH DIMENBSION, AND YOU TOO LIKE ME CAN STAND HERE AND BE ITS KEEPER. TIME IS OPEN! YOUR TRUE IDENTITIES ARE ALWAYS HERE, THEY LISTEN INTENTLY FOR YOUR MUSIC TO FIND YOU, BUT THERE IS NOTHING TO HERE. TIME IS OPEN. YOU ARE NOT YOUR NAME, YOU ARE THE GENESIS OF CONSCIOUSNESS, AND IT IS THIS MUSIC, THAT YOU MUST PROCLAIM. ""I AM NOT MY NAME, I AM THE WAVE OF TIMES GENESIS! "" ""I AM NOT MY NAME, I AM A WAVE OF TIMES GENESIS!"" YOU ARE TIMES SCENT, YOU ARE TIMES TASTE, YOU ARE TIMES TOUCH, AND YOU ARE TIMES SOUND. AND WHEN TIME IS OPENED AROUND THE THOUGHTS IN THIS LIFE WE HOLD, THE GATES OF THE 4TH DIMENSION AND OUR MINDS WILL UNFOLD, AS BEACONS OF LIGHT, MAKING US BOLD. WHEN TIMES CLOCK IS OPEN, WE DON’T CHASE TIME, TIME COMES INTO LIFE AS VISIONS AND TOKENS. Meta Tech Organica – Excited about New Dimensions of LIVING. Mind ReMapping N.B. ALL EVENTS ARE ONLINE",14.99,44.99,GBP,Gavin  Gooden,https://schema.org/EventScheduled,2024-03-08T19:00:00Z,2024-03-08T20:30:00Z,QUADRILATERAL THINKING  - TIME IS OPEN !  - ONLINE - Warsaw,"The MIND ReMapping  Philosophy: ""Be so Creatively removed from reality, that the Mind has no choice, but to come out of hiding….""",https://www.eventbrite.co.uk/e/quadrilateral-thinking-time-is-open-online-warsaw-tickets-656124394727,warsaw
NA,Sold out,Contact the organizer to request a refund.,"Embark on a thrilling journey into the heart of Warsaw's past and present with a city exploration game. The inhabitants of Muranów dream peculiar dreams. Here, the memory of the war nightmare still lingers in the colorful present. Discover the past and the present of this one-of-a kind spot, the place of the biggest ghetto in Europe, the city-like district that after years of horrendous events rose from the ashes. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. Be ready to have a full immersion into the past and present of Warsaw. So grab your walking shoes, and join this adventure through the streets of Warsaw! HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",9.99,39.99,EUR,Questo - City Exploration Games,https://schema.org/EventScheduled,2024-03-08T17:00:00Z,2024-03-08T18:30:00Z,Warsaw Muranów District: Outdoor Escape Game,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/warsaw-muranow-district-outdoor-escape-game-tickets-531110926077,warsaw
NA,Sold out,Refunds up to 7 days before event,"THE AGENDA OF THIS EVENT / PROGRAM : 1. BUILDING A STARTUP BUSINESS: 2. MARKET RESEARCH & STATISTICS FOR A STARTUP BUSINESS: 3. POC / MVP (MINIMUM VIABLE PRODUCT) FOR YOUR STARTUP BUSINESS: 4. PRODUCT & PRODUCT POSITIONING FOR YOUR STARTUP BUSINESS: 5. GO TO MARKET (GTM) STRATEGY FOR YOUR STARTUP BUSINESS: 6. CUSTOMER ACQUISITION, RETENTION FOR YOUR STARTUP: 7. SALES & MARKETING STRATEGIES FOR YOUR STARTUP BUSINESS: 8. INVESTMENT READINESS (STARTUP FUND RAISING): 9. INVESTOR'S ANALYSIS OF A STARTUP (STARTUP FUND RAISING): 10. ORGANIZATIONAL STRUCTURE OF YOUR STARTUP BUSINESS: 11. COMMON ISSUES WITH STARTUPS (STARTUP FOUNDERS): ---------------------------------------- This Startup Business Event will be Delivered ONLINE ---------------------------------------- ABOUT ME: I am LAKSHMAN SINGH (Startup / Business Mentor, Business Coach & Auditor, Fund Management, Angel Investor) I hold more than a decade of extensive experience in startup/business ecosystem and help founders/cxo's in startup/business through Consultations, Advices & by Auditing the Businesses. I also help startup businesses by investing in them, mentoring them and giving them exposure of my network. Linkedin : https://linkedin.com/in/iamlakshmansingh Facebook : https://www.facebook.com/iamlakshmansingh Email : Connect@LakshmanSingh.com Web : https://www.lakshmansingh.com/ Blog : https://www.lakshmansingh.com/blog Clientele : https://www.lakshmansingh.com/clientele ---------------------------------------- Startup Mentorship Event | Learn to build Startup Business | Startup | Entrepreneur | Entrepreneurship Workshop | Entrepreneur Class | Tech Workshop |Bootcamp | Tech Class | Tech Webinar | Entrepreneur Bootcamp | Entrepreneur Webinar | Startup Webinar | Startup Class | Entrepreneur Conference | Startup Conference | Tech Startup Conference | Business Conference | Business Networking | Startup Networking | Startup Classes | Entrepreneur Classes | Business Training | Entrepreneurship Training | Startup Training | Entrepreneur Training | Tech Workshop | Startup Workshop | Entrepreneur Workshop",32.64,80.12,EUR,Lakshman Singh,https://schema.org/EventScheduled,2024-03-09T08:00:00Z,2024-03-09T09:00:00Z,Startups Mentorship Program,Join This Startup Business Mentorship Event Today !,https://www.eventbrite.com/e/startups-mentorship-program-tickets-121908777435,warsaw
NA,Sold out,Refunds up to 7 days before event,"Join This Startup Business Fund Raising Event Today To Learn How To Raise Funds $$ For Your Startup Business If : THIS IS AN ONLINE EVENT / PROGRAM THE AGENDA OF THIS STARTUP EVENT / PROGRAM : 1. FUND RAISING FROM NAIVE INVESTORS AND BOOTSTRAPPING 2. PROFESSIONAL INVESTORS (ANGELS, VC'S, PE'S) 2.1. ANGEL INVESTORS (UPTO $1 MILLION) 2.2. VENTURE CAPITALIST (VC's) (ABOVE $5 MILLION) 2.3. PRIVATE EQUITY (HUNDREDS OF MILLIONS $$) 3. INVESTMENT TERMS, DOCUMENTS & CONTRACTS 4. CROWDFUNDING FOR STARTUP BUSINESS 5. PRESALES (MVP) 6. FINANCIAL & NON-FINANCIAL INSTITUTIONS ------------- ABOUT ME: I am LAKSHMAN SINGH (Angel Investor, Startups Mentor, Fund Management) I hold more than a decade of extensive experience and help people & businesses through Investments, Mentoring & Consultations. Linkedin : https://linkedin.com/in/iamlakshmansingh Facebook : https://www.facebook.com/iamlakshmansingh Email : Connect@LakshmanSingh.com Web : https://www.lakshmansingh.com/ Blog : https://www.lakshmansingh.com/blog Clientele : https://www.lakshmansingh.com/clientele ---------------------------------------- Startup Fund Raising Event, Learn how to raise fund for Startup Business, Fundraising, Series Rounds, Seed Capital, Seed Round, Venture Capital, Angel Investor, Investments, Investor, Startup, Entrepreneur, Startup Webinar, Startup Class, Entrepreneur Conference, Startup Conference, Business Conference, Business Networking, Startup Networking",32.64,80.12,EUR,Lakshman Singh,https://schema.org/EventScheduled,2024-03-09T09:00:00Z,2024-03-09T10:00:00Z,Startups Fund Raising Program,Join This Startup Business Fund Raising Event Today !,https://www.eventbrite.com/e/startups-fund-raising-program-tickets-121903262941,warsaw
NA,Sold out,NA,"Witaj Warszawa, jeśli bilety tutaj są wyprzedane, zawsze możesz znaleźć bilety u nas Możesz kupić limitowane bezpłatne bilety online: LINK Lokalizacja: Studio Mąka - Suwak 4, 02-676 Warszawa, Polska📍 (Domaniewska 51 str., Gate 2) Data i godzina: ⏰ 08. & 09. MarzecPiątek: od 13:00 do 19:00Sobota: od 10:30 do 18:00 Co Cię czeka? Świetna atmosfera i tysiące ukochanych, wysokiej jakości, designerskich ubrań vintage, którym możesz dać drugie życie. Odzież sportowa, sukienki, t-shirty, denim, streetwear, płaszcze, kurtki i wiele więcej w rozmiarach od XS do Plus Size. Ceny zaczynają się od 15 zł za sztukę odzieży Kim jesteśmy? BeThrifty to nie tylko jedna z wielu wyprzedaży Vintage Kilo, dzięki BeThrifty wyróżniamy się na tle innych! Oferujemy największy i najlepszy wybór ubrań vintage i elementów pochodzących z recyklingu! Oryginał wyprzedaży Vintage Kilo wraca do Twojego miasta! 👖👗 Jak to działa? Możesz kupić tyle, ile chcesz. Nie kupujesz dwóch spodni, koszuli i marynarki, ale 1,08 kilograma najlepszych elementów vintage, które dopasowują się do Twojego indywidualnego stylu. Koszulka kosztuje od około 20 zł. Ważymy Twoje ubrania przy wyjściu i to określa cenę, w oparciu o 175zl za kilogram (ale nie musisz kupować całego kilograma) W przeliczeniu za jeansy zapłacisz około 60zl, za sukienkę 40zl, a za koszulkę 20zl. Czy muszę zarezerwować wcześniejszy termin, aby znaleźć najlepsze ubrania? Oczywiście nie! Przez cały dzień uzupełniamy regały o nowe elementy vintage, więc nie ma znaczenia, czy jesteś rannym ptaszkiem, czy chcesz dołączyć do nas jako kupujący w ostatniej chwili, jest mnóstwo niesamowitych, jednorazowych rzeczy do odkrycia. Czy mogę kupić bilety na miejscu? Bilety przy wejściu są zawsze dostępne, ale zalecamy zamawianie biletów z wyprzedzeniem, aby uniknąć dodatkowego czasu oczekiwania, a ograniczoną liczbę bezpłatnych biletów można znaleźć tylko online! Na co czekasz? Zdobądź bilety już teraz! Jak mogę zdobyć torbę bawełniana BeThrifty? Możesz otrzymać torbę BeThrifty za darmo, oznaczając nas i lokalizację wydarzenia w swojej historii, instagramie, poście lub na TikToku za pomocą @bethrifty.store lub kupujesz torbę za 13zl przy wyjściu DODATKOWE INFORMACJE Dzieci do lat 14 nie potrzebują biletu Możliwość płatności gotówką i kartą/zbliżeniową GIVEAWAY - Wygraj kilogram! Po zarezerwowaniu biletu udostępnij go na Instagramie i oznacz @bethrifty.store, aby wygrać darmowy kilogram na tym wydarzeniu! PODĄŻAJ ZA NAMI: Śledź nas na Instagramie: @betrifty.store Śledź nas na TikTok: @bethrifty.store Odwiedź naszą stronę internetową: www.bethrifty.events WSPARCIE DLA ZESPOŁU: Dołącz do naszego zespołu BeThrifty i otrzymaj darmowe ubrania vintage podczas wydarzenia. -Pomagasz naszemu zespołowi w przygotowaniach -Otrzymasz 1 kg ubrań za 4 godziny wsparcia + 2kg -50% -Kliknij link i dołącz do naszej grupy WhatsApp, aby uzyskać więcej informacji: LINK",0,0,EUR,BeThrifty,https://schema.org/EventScheduled,2024-03-08T12:00:00Z,2024-03-08T18:00:00Z,BeThrifty Vintage Kilo Sale | Warszawa | 08. & 09. Marzec,Vintage Kilo Sale | Warszawa | 08. & 09. Marzec,https://www.eventbrite.ca/e/bethrifty-vintage-kilo-sale-warszawa-08-09-marzec-tickets-810220089097,warsaw
NA,Sold out,NA,"Usually what we use were BB cream with ""moisturizer effect"", follow by the primer to set the base for foundation, then with the foundation, we end with bronzer to look darker or using a highlighter to look shining in beauty. But...  What if I told you that there is a ""BB foundation mist"" that has the BB cream + foundation together that repair and rejuvenates your skin while you are wearing makeup? Making you look younger and younger while you are on your makeup? Or wearing your makeup while you are swimming with water-proof protection against discolouring? Be the envy with the Co-creator with Celebrity Makeup Artist Yolanda Halston, who has been a makeup artist for 25 years and boasts a cult following of beauty bloggers, celebrities and women all over the world. She also the makeup artist of the movie ""Twilight"" that bring the shinning growing effect with ""NV shimmer mist"". The NV collection includes a primer, foundation, bronzer and shimmer that give you an enviable, professionally airbrushed finish in no time. Award-winning NV BB Perfecting Mist Foundation blurs skin imperfections and quickly delivers high-definition, photo-ready coverage. Register now for this NV makeup Master Class to learn the technique on applying your makeup within a few minutes with the professional look that's ready for photo shooting. Get your set of NV below before the class starts to learn and apply during the Master Class session. NV Perfecting Foundation Mist Click on Beauty > NV Scroll down until you find the perfect match. Choose the manufacturer > Brand > Shade that you are using at the moment. The example below will give you the perfect match to the current brand that you are using. Click view product and it will bring you to purchase site. Subscribe and get it under Monthly SmartDelivery to get it at the promotional price. In case if this is not what you want, within 30 days before your subscription date, you can unsubscribe with our support team and they will be happy to help you to remove the monthly purchase. Register to attend NV makeup Master Class Now!",0,0,GBP,RawElegant.Life,https://schema.org/EventScheduled,2024-03-08T18:30:00Z,2024-03-08T19:10:00Z,(7.30pm Session) Envy Yourself With Beauty Makeup MasterClass,"Have you ever tried a ""BB foundation mist"" before?",https://www.eventbrite.co.uk/e/730pm-session-envy-yourself-with-beauty-makeup-masterclass-tickets-125299312617,warsaw
NA,Sold out,NA,"You have a glorious opportunity to get your message into the world. Never before has there been such an exciting time in communication. The ability to transmit your words across the world has existed for decades. What has changed a result of COVID-19 is now people are LISTENING. Virtual communication has now been accepted as the norm. People know that they need to tune into the Facebook Lives and join the Zoom meetings otherwise they are going to be left out of the loop. They are ready to hear your message. Are you ready to give it to them? Your phone and your computer are all you need to make a difference in the world. You have a voice, it’s time to use it. You have a story, it’s time to tell it. You have a message, it’s time to share it. Imagine being able to reach people in places you’ve never heard of and changing the lives of people you have never met. That possibility is more real than ever thanks to virtual speaking. You still aren’t 100% sure about all this, are you? You’ve done some Facebook Lives, you’ve been in some Zoom meetings and you’ve filmed a few selfie videos. You’re trying things out, but you’re not as confident as you’d like to be. It still feels weird not being able to see people. You still feel self conscious seeing yourself on camera. You aren’t getting the likes and comments that you see other people getting on their lives and videos. Does it feel like you’ve been left behind by all this change? You haven’t been left behind yet…but you will if you don’t act now. When the technology arrived to do virtual speaking, only a tiny fraction of people adopted it. During the 2010s they rose to the top of their fields. The “second wave” is now here, and you’ve got to catch it if you want to have a meaningful impact during the 2020s. I joined the second wave late. I started my Youtube channel in 2015, 10 years after Youtube had been created. I first used Zoom in 2018, 5 years after Zoom had been created. I was quicker on the uptake with Facebook Live, being one of the first people in my industry to use it in 2016. I didn’t have the audience nor the engagement of my peers, but I kept learning the craft. When lockdown hit in 2020, I was able to seamlessly transition my business online. I’d been preparing for half a decade to speak virtually whilst the competition got caught with their pants down. I managed to grow my audience and increase my income in 2020 when so many businesses struggled or even sadly closed up shop. There’s one thing that made the difference for me and it will make the difference for you too. I knew how to communicate online. I was far more confident with the tech, more practiced in the communication and more open to the switch to virtual. We still have people who don’t know how to unmute themselves on Zoom. We still have people who speak like an emotionless robot on their Youtube videos. We still have people who think virtual was just a “phase” and not a transition into a new way of doing things. Don’t be one of those people. The second wave of virtual communication is here...are you going to jump on it? This is going to be far bigger than the first wave. If you don’t jump on now, you will get swept away. Equally, if you put in the work now to master virtual speaking, you are going to flourish for the next decade. That is what this Virtual Speaking Masterclass is going to help you do. There are three basic building blocks you need to be a great virtual speaker. Firstly you will learn how to make friends with the camera. Making friends with the camera means that you will: Secondly you will learn why it’s so important to create an “active window”. An active window means that you: Thirdly you will learn how to effectively interact with your audience. Strong interaction means that your audience will: Are you ready for the second wave? Then grab your surfboard and sign up for the masterclass! In the true spirit of Virtual Speaking, we will of course be hosting this class virtually so that you can join us from the comfort of your own home. FAQs Is this definitely an online event? Because the event has a physical location? Yes this is entirely online. The physical location allows people in your city (such as you!) to find the event as it shows up as being geographically close to them. Where can I access the masterclass? You can attend the masterclass live on Zoom. You will be sent the link on the day of the masterclass. The event repeats each month, do I need to attend on a monthly basis? No. The same series is repeated every month. You only need to attend one event.",0,0,GBP,David McCrae,https://schema.org/EventScheduled,2024-03-09T19:00:00Z,2024-03-09T20:30:00Z,Virtual Speaking Masterclass Warsaw,Online Workshop Teaching You How To Speak Online!,https://www.eventbrite.com/e/virtual-speaking-masterclass-warsaw-tickets-775001519407,warsaw
NA,Sold out,NA,"Participate in a night of exuberance and celebration in a powerful space for self-transformation. Includes meditation, dance, potluck dinner and webstream from the Indian ashram! Please register in advance online before attending. ""Mahashivratri is of great significance for all those who aspire for the Ultimate. May this night become an exuberant awakening for you.” - Sadhguru Join local celebrations near you 👇 http://isha.co/msr-24",0,0,GBP,Isha Foundation,https://schema.org/EventScheduled,2024-03-08T17:00:00Z,2024-03-09T05:00:00Z,2024 Mahashivratri Celebration Warsaw,Participate in a night of exuberance and celebration in a powerful space for self-transformation.,https://www.eventbrite.co.uk/e/2024-mahashivratri-celebration-warsaw-tickets-849669403057,warsaw
