Duration,Ticket_Type,Refund_Policy,Description,Start_Time,Currency,LowPrice,HighPrice,EventStatus,Organizer,StartTime,EndTime,Title,Subtitle,url
,,,,,,0,0,,,NA,NA,,,
7 hours 30 minutes,Mobile eTicket,No Refunds,"Reklama na Amazon jest skutecznym narzędziem zdobywania zamówień na oferowane na Amazonie produkty. Amazon wyświetla klientom produkty sponsorowane niemalże na każdym ekranie.  Dzięki płatnej reklamie produkty mogą szybko uzyskać pierwsze zamówienia a następnie stale się sprzedawać. U wielu sprzedawców na Amazonie reklama generuje nawet więcej niż połowę całej sprzedaży. Reklama ta kosztuje i to sporo. Płaci się za każde kliknięcie w produkt, niezależnie od tego czy klient kupi czy nie. Dlatego sumaryczny koszt reklamy na Amazonie wynosi najczęściej kilkadziesiąt procent wartości sprzedaży. U wielu sprzedawców wskaźnik jest tak wysoki, że cała sprzedaż jest kompletnie nieopłacalna a budżet reklamowy jest “przepalany” czyli marnowany. Wiedząc dlaczego budżet reklamowy wydawany jest na zbyt wiele wyświetleń reklamy, która nie przynosi zamówień, można w łatwy sposób polepszyć, zoptymalizować istniejące kampanie reklamowe. Koszt reklamy spada do założonego poziomu, zapewniając zyskowną sprzedaż. Przyjemnym efektem jest zazwyczaj wzrost sprzedaży, nie tylko tej generowanej przez płatną reklamę. W czasie szkolenia “Amazon Reklama PPC - dla sprzedawców” poznasz wszystkie zasady działania reklamy na Amazonie, uzyskasz wiedzę i umiejętności do sprawnego prowadzenia kampanii reklamowych. Przejmiesz pełną kontrolę nad wydatkami na reklamę, wpłyniesz na zwiększenie sprzedaży, znajomości produktów i rozpoznawania Twojej marki. Prowadzone jest przez wieloletniego sprzedawcę (od 2009 roku) i eksperta sprzedaży na Amazon. Łukasz Koronczok od wielu lat doradza sprzedawcom w Niemczech, Polsce, Szwajcarii i innych krajach. Jest praktykiem, który sam aktywnie sprzedaje na Amazonie i prowadzi skuteczne kampanie reklamowe. Równocześnie eksperymentuje z różnymi metodami marketingowymi, aby znaleźć oryginalne rozwiązania, które sprawdzą się w przypadku jego klientów. Jego agencja NetAnaliza używa sprawdzonych najlepszych praktyk, aby tworzyć reklamy na każdym poziomie budżetu - od 500 dolarów aż po 50 tysięcy euro miesięcznie! Całość szkolenia odbywa się w jeden dzień szkoleniowy w wygodnej i nowoczesnej sali. Przerwy pomagają w skutecznym przyswajaniu materiału i zapewniają przyjemną atmosferę. Na obiad zaprasza gospodarz spotkania Łukasz Koronczok.  Bardzo wskazane jest przywieźć własny laptop na warsztaty - uczestnicy dokonują od razu ustawień, zmian na własnych kontach Seller Central Amazon. Do osiągnięcia maksymalnych korzyści ze szkolenia nie jest konieczna wcześniejsza wiedza czy doświadczenie w prowadzeniu reklamy na Amazonie. Jeśli już masz doświadczenie to na warsztatach je dodatkowo rozszerzysz, poznasz nowe możliwości. 09:00 MODUŁ 1 - fundament - jak działa reklama na Amazon, co można osiągnąć (15 minut)
 
 09:15 MODUŁ 2 - określenie celów i budżetu reklamy (30 minut)
 
 09:45 MODUŁ 3 - kalkulacja kosztów i granicy opłacalności (30 minut)
 
 10:15 MODUŁ 4 - przygotowanie kampanii reklamowej PPC (15 minut)
 
 10:30 przerwa kawowa
 
 10:45 MODUŁ 5 - słowa kluczowe - pozytywne i negatywne, produkty konkurencji ""do podpięcia się"", kategorie do reklamowania (30 minut)
 
 11:15 MODUŁ 6 - ustawienie kampanii reklamowej ""produkty sponsorowane"" (sponsored products) (60 minut)
 
 12:15 przerwa obiadowa
 
 13:00 MODUŁ 7 - ustawienie kampanii reklamowej ""marki sponsorowane"" (sponsored brands) (30 minut)
 
 13:30 MODUŁ 8 - optymalizacja budżetu i ofert (30 minut)
 
 14:00 MODUŁ 9 - optymalizacja strategii słów kluczowych (30 minut)
 
 14:30 MODUŁ 10 - optymalizacja i rozszerzanie targetowania (30 minut)
 
 15:00 przerwa kawowa
 
 15:15 MODUŁ 11 - narzędzia analizy raportów produktów sponsorowanych (30 minut)
 
 15:45 MODUŁ 12 - analiza wyników, optymalizacja kampanii (45 minut)
 
 16:30 koniec szkolenia Jeśli masz dalsze pytania w sprawie warsztatów lub potrzebujesz doradztwa czy te warsztaty są dla Ciebie - napisz lub zadzwoń do nas. Czekamy na Ciebie! Email: support@netanaliza.com Telefon biuro:+498920349002 WhatsApp/SMS +48795055173",NA,PLN,3451,3451,https://schema.org/EventScheduled,Lukasz Koronczok,2024-03-06T08:00:00Z,2024-03-06T15:30:00Z,Szkolenie/warsztaty Amazon Ads Reklama PPC - dla sprzedawców - STACJONARNIE,"Szkolenie Amazon Ads PPC: Zwiększ sprzedaż, optymalizuj koszty! Warsztaty stacjonarne dla sprzedawców na Amazonie.",https://www.eventbrite.de/e/szkoleniewarsztaty-amazon-ads-reklama-ppc-dla-sprzedawcow-stacjonarnie-tickets-821342115377
NA,Sold out,Contact the organizer to request a refund.,"More often than we want to admit, as Startups,  we either over-engineer or under-engineer a product and discover it's a little too late to deploy it to the early adopters who have the final say of whether it is a viable, desirable or feasible to use your product for their specific needs. In this mini online class, we will discuss the pragmatics of actually deploying a viable product to your early adopters so to validate your market share. Let's talk experience! 1. What is Minimum Viable Thinking (MVT)? 2. How to transmit MVT output to deploying Minimum Viable Products? (Techniques and Strategies) 3. Foundations of a foolproof Minimum Viable Product Roadmapping What you will receive: ✔ 1.5 – 2.00 hours of an instructor-led pre-recorded class ✔ Personalized Q&A discussion ✔ Certificate of Completion  ✔ Recording and Hand out materials for later viewing (If you can't make it, no worries. You will receive this post-class) Who should attend? Why Me? I help ambitious careerists and entrepreneurs in building their arsenal towards creative problem solving, authentic product design and development. My masterclasses are highly interactive and personalized. I look forward to having you onboard!   Industrial Experience: Lab Manager (R&D) at Duke University – Pratt School of Engineering Former Adjunct University Lecturer at ENSET Biomedical Engineering School at the age of 23. ""How to Gamify a Virtual Surgical Workspace"" Talk at (VRVoice2018) Harvard Medical School Co-Founder of TechVerse Coworking Space & Incubator, Rabat City, Morocco – the first tech-oriented coworking space in the kingdom. est. 2016 HIT | Design Thinking Consultant at Medverselab est. 2016 Chief Software Architect of Sutures App – Gamified Gastro-intestinal e-Surgery Simulator (Check it out! ) est. 2016 Chief Design Thinker / Information Architect at Sinclair School of Nursing – HEAR App est. 2017 Research Fellow at the University of Missouri’s Center for Biomedical Informatics - focus on Mobile Based & Gamified Precision Medicine est. 2018 Design Thinker (mHealth) for Precision Medicine    Academic Background:  Peer Reviewer at IEEE Journal of Biomedical & Health Informatics (JBHI) Peer Reviewer at Journal for Medical Internet Research (JMIR) Public Speaker: USA, Hong Kong, Malaysia, Morocco, Philippines (+30 talks)  Author of ""Gamified Psychosphere""  - available on Google books/amazon kindle @ 2019 Holder of Engineering Diploma in Manufacturing Engineering and Management with Specialization in Biomedical Engineering  Advanced Degree (MS) in Health Informatics – Translational Personalized Medicine Apps #KeepHustling! Linkedin:  https://www.linkedin.com/in/katanai/ Website: katusop.com Twitter: @itskatusop",NA,USD,77.77,77.77,https://schema.org/EventScheduled,"Kat Usop, MSHI",2024-03-06T18:00:00Z,2024-03-06T21:00:00Z,Startups: Develop Innovative Product with Minimum Viable Thinking,"“Good companies manage Engineering. Great companies manage Product.”
– Thomas Schranz, Founder and CEO of Blossom",https://www.eventbrite.com/e/startups-develop-innovative-product-with-minimum-viable-thinking-tickets-656338174147
NA,Sold out,Contact the organizer to request a refund.,"ABOUT THIS WORKSHOP: Our workshop is specially designed to give international job seekers in Sweden an insight into what is required by Swedish employers and how to improve their chances of success. All workshops are held as 1 on 1 sessions via online web meetings over Skype. Typical duration is 45 mins. WORKSHOP CONTENTS: This is your chance to work directly with a recruiter and get help with moving to Sweden, finding a job and settling down. You will learn how to apply for jobs in Sweden and getting your work permit / visa. Learn about applying for jobs: 1. How to match your skills and experience with Swedish companies hiring 2. Which industries you should focus on and how to find  out  about jobs available ? How to find opportunities at companies such as Spotify, Truecaller, Tictail that are rapidly expanding into international markets. 3. How to connect with employers hiring international talent and who to contact 4. How to present your skills and competencies. 5. How to apply at the right time depending on the industry and company. 6. How to send your CV and follow up 7. How to get decisions and interview requests. 8. Your expected salary and salary negotiations Learn about getting your work permit: 1. How the work permit application process works  2. How to meet employer and migration board requirements.  3. How to qualify for fast track work permit application 4. How to secure your work permit, tax id number (personal number) 5. What you need to know before you arrive in Sweden - housing, food, expense budgets, bank account, settling in 6. Your rights as an international job seeker, insurance, trade union rules 7. How to secure a permanent work residence permit  8. Common mistakes international job seekers make and how to to avoid application  errors",NA,EUR,19,19,https://schema.org/EventScheduled,English Jobs Sweden,2024-03-06T15:00:00Z,2024-03-06T16:00:00Z,"Work in Europe / Sweden - Work Visa, Employers, Jobs, Relocation (WAR)","Get help with applying for your Swedish work visa, meeting employers and applying for jobs.",https://www.eventbrite.com/e/work-in-europe-sweden-work-visa-employers-jobs-relocation-war-tickets-467081622707
NA,Sold out,Refunds up to 7 days before event,"TIME IS OPEN! OPEN YOUR MIND. NO ONE CAN STOP YOU, UNLESS YOU DECIDE. TIME IS OPEN! STOP SITTING AROUND. NOTHING WILL HAPPEN, UNLESS WE EXSPAND TIMES EYE. TIME IS OPEN! ITS GATES ARE RIGHT HERE. DON’T LOOK FOR ITS DOORS, INSTEAD SEE ITS PASSAGES. TIME IS OPEN! WE DON’T NEED TO STEAL, NOR DO WE NEED TO LIE. FOR THE FEELING OF TRUTH CREATIVITY AND INSPIRATION IS ITS KEY. TIME IS OPEN! I AM THE GATEKEEPER OF THE MIND. YOU ARE INFINITIES OF THE 4TH DIMENSION WHERE THE BEST DECISIONS RESIDE. TIME IS OPEN! YOUR TRUE IDENTITY IS HERE, I SEE AND KNOW THEM. THEY ARE NOT YOUR NAMES, THEY ARE THE GENESIS OF CONSCIOUSNESS. AND WHEN TIME IS OPENED, BOTH OUR MINDS AND THE GATES OF THE 4TH DIMENSION WILL INVITE US IN. DO NOT ALLOW ANYONE, ANYTHING, OR ANY SITUATION, TO CLOSE YOUR TIME. Meta Tech Organica – Excited about New Dimensions of LIVING Mind ReMapping N.B. ALL EVENTS ARE ONLINE",NA,GBP,14.99,44.99,https://schema.org/EventScheduled,Gavin  Gooden,2024-03-05T19:00:00Z,2024-03-05T20:30:00Z,QUADRILATERAL THINKING  - TIME IS OPEN !  - ONLINE - Warsaw,"The MIND ReMapping  Philosophy: ""Be so Creatively removed from reality, that the Mind has no choice, but to come out of hiding….""",https://www.eventbrite.co.uk/e/quadrilateral-thinking-time-is-open-online-warsaw-tickets-656124394727
4 hours,Mobile eTicket,Refunds up to 30 days before event,HI-C : Hi-C | Spotify LIL YAWH: Lil Yawh | Spotify NOSGOV   BAYYMACK: Bayymack | Spotify HUBITHEKID ALIXN: ALIXN | Spotify UNITY: loveUnity | Spotify SOUNDS BY ANTICRUSHED special guests tba... --------------------------------- WSZYSTKICH GRUP WIEKOWYCH | poniżej 16 roku życia z opiekunem 19:00-23:00 **merchandise will be on sale at the show | gadżety będą sprzedawane podczas targów @TOUGH.LUVV & @EUROCLASH.EU,NA,PLN,72.31,103.75,https://schema.org/EventScheduled,@tough.luvv,2024-03-06T18:00:00Z,2024-03-06T22:00:00Z,"Hi-C , Lil Yawh, Bayymack & Więcej - Euroluvv 2024 Tour @ Hydrozagadka","Legenda undergroundu Hi-C zadebiutuje w UE w marcu 2024 r., towarzysząc mu goście specjalni i DJ-e... kup bilety już teraz",https://www.eventbrite.com/e/hi-c-lil-yawh-bayymack-wiecej-euroluvv-2024-tour-hydrozagadka-tickets-772319146357
NA,Sold out,Contact the organizer to request a refund.,"Module 1: Introduction to Design Thinking Understanding Design Thinking Principles The Human-Centered Design Approach Real-World Applications of Design Thinking Module 2: Empathize and Understand Users The Importance of Empathy in Product Design Conducting User Research and Interviews Creating User Personas and Journey Maps Module 3: Define the Problem Problem Framing and Identification Defining the Design Challenge Creating Problem Statements Module 4: Ideation and Creativity Techniques for Ideation and Brainstorming Encouraging a Culture of Creativity Idea Selection and Prioritization Module 5: Prototyping and Testing Rapid Prototyping Techniques Conducting User Testing Gathering and Analyzing Feedback Module 6: Iterate and Refine The Iterative Nature of Design Thinking Incorporating User Feedback for Improvement Pivoting and Making Informed Changes Module 7: Integrating Design Thinking into Product Development Design Thinking in Agile and Lean Environments Collaborating Across Cross-Functional Teams Overcoming Common Implementation Challenges Module 8: Case Studies and Examples Analysis of Successful Products Developed with Design Thinking Learning from Real-World Design Challenges Course Format: R﻿eading Appetizers:  https://www.katusop.com/blog I own multiple businesses and shoestring travel the world. (digital nomadism)  2020 Finalist at IdeaFest, Danville, VA 2020 Finalist at NC Showcase, Raleigh, NC 2019 Recipient of MU School of Medicine's Donald Lindberg Award's Innovation in Health IT R&D Manager at Duke University – Biomedical Engineering Dept.  Former University Lecturer at ENSET Biomedical Engineering School Peer Reviewer at IEEE Journal of Biomedical & Health Informatics (JBHI) Peer Reviewer at Journal for Medical Internet Research (JMIR) Public Speaker: USA, Hong Kong, Malaysia, Morocco, Philippines (+30 talks) Author of “Gamified Psychosphere” | ""Gamifying Surgery"" eBooks (Kindly and Google Books 2020) HIT | Design Thinking Consultant at medverselab.com Holder of Engineering Diploma in Manufacturing Engineering and Management with Specialization in Biomedical Engineering Advanced Degree (MS.PhD) in Health Informatics Co-founder of TechVerse Coworking Space, Rabat City, Morocco – the first tech-oriented coworking space in the kingdom. Industrial background in Early-Startup Business Management and Operations (since I managed an incubator at Techverse) Chief Software Architect of Sutures App – Gamified Gastro-intestinal e-Surgery Simulator (Check it out! ) Research Fellow at the University of Missouri’s Center for Biomedical Informatics. Chief Design Thinker / Information Architect at Sinclair School of Nursing – HEAR App Founder of GINA HEALTH – Gamified AI Startup (www.meetgina.co) Bio: Katusop.com Twitter: @itskatusop Email: kat@medverselab.com",NA,USD,39.7,57.77,https://schema.org/EventScheduled,"Kat Usop, MSHI",2024-03-06T12:00:00Z,2024-03-06T15:00:00Z,MINDSHOP | Design Thinking: The HolyGrail of Innovative Products,"“We must design for the way people behave, not for how we would wish them to behave.” ― Donald A. Norman",https://www.eventbrite.com/e/mindshop-design-thinking-the-holygrail-of-innovative-products-tickets-735278135697
NA,Sold out,Contact the organizer to request a refund.,"Embark on a thrilling journey into the heart of Warsaw's past and present with a city exploration game. The inhabitants of Muranów dream peculiar dreams. Here, the memory of the war nightmare still lingers in the colorful present. Discover the past and the present of this one-of-a kind spot, the place of the biggest ghetto in Europe, the city-like district that after years of horrendous events rose from the ashes. The route you’re going to follow in the city is sprinkled with unique places, fun clues and challenges, and incredible stories of past and present. The experience will play out like you’re the main characters of a movie, only that you’re experiencing everything in first person! Fun dialogue, intrigue, and unexpected interactions are guaranteed. Be ready to have a full immersion into the past and present of Warsaw. So grab your walking shoes, and join this adventure through the streets of Warsaw! HOW IT WORKS❓ 1. Book your tickets 🎫 2. Download the Questo app - it's free 📲 3. Head to the starting point📍 WHAT YOU’LL DO The game is an interactive activity where you are guided by a mobile app through the city. With it, you follow directions and solve very fun puzzles, riddles, and cryptic codes. During the game, you will also visit popular and hidden places in the city while learning fun (and we mean it) stories about them. This is a storytelling experience just as much. The people doing these city exploration games gave them an average rating of 4.7/5 around the world. Join the playground too! ------------------ More about Questo 🚶‍♀️ Questo is an urban entertainment platform offering thematic real-world exploration games. It is currently available in over 150 cities 🌎 and has entertained hundreds of thousands of players already. As of today, the app offers more than 400 different experiences created by a growing network of local content creators and event organizers.",NA,EUR,9.99,39.99,https://schema.org/EventScheduled,Questo - City Exploration Games,2024-03-05T15:00:00Z,2024-03-05T16:30:00Z,Warsaw Muranów District: Outdoor Escape Game,"Follow clues, solve puzzles, discover new places and learn incredible stories of the city's past and present during this city adventure.",https://www.eventbrite.com/e/warsaw-muranow-district-outdoor-escape-game-tickets-531110926077
NA,Sold out,NA,Join us for an evening of drinks and standup comedy in ENGLISH at Klar Cocktail Bar! ★ Hosted by Ariel Bialski and Jordan Thomas Gray★ ⏰ Doors at 19:00. Show starts at 20:00. Join us every WEDNESDAY night for a wild and friendly standup show! Bring your friends or make new friends at the show!,NA,USD,0,0,https://schema.org/EventScheduled,Ariel,2024-03-06T19:00:00Z,2024-03-06T21:00:00Z,PIZZA MIC - English Stand Up Comedy,"Join us for an evening of food, drinks and standup comedy in ENGLISH every WEDNESDAY night at 20:00 for a wild and friendly standup show!",https://www.eventbrite.ca/e/pizza-mic-english-stand-up-comedy-tickets-725955872557
NA,Sold out,NA,"Usually what we use were BB cream with ""moisturizer effect"", follow by the primer to set the base for foundation, then with the foundation, we end with bronzer to look darker or using a highlighter to look shining in beauty. But...  What if I told you that there is a ""BB foundation mist"" that has the BB cream + foundation together that repair and rejuvenates your skin while you are wearing makeup? Making you look younger and younger while you are on your makeup? Or wearing your makeup while you are swimming with water-proof protection against discolouring? Be the envy with the Co-creator with Celebrity Makeup Artist Yolanda Halston, who has been a makeup artist for 25 years and boasts a cult following of beauty bloggers, celebrities and women all over the world. She also the makeup artist of the movie ""Twilight"" that bring the shinning growing effect with ""NV shimmer mist"". The NV collection includes a primer, foundation, bronzer and shimmer that give you an enviable, professionally airbrushed finish in no time. Award-winning NV BB Perfecting Mist Foundation blurs skin imperfections and quickly delivers high-definition, photo-ready coverage. Register now for this NV makeup Master Class to learn the technique on applying your makeup within a few minutes with the professional look that's ready for photo shooting. Get your set of NV below before the class starts to learn and apply during the Master Class session. NV Perfecting Foundation Mist Click on Beauty > NV Scroll down until you find the perfect match. Choose the manufacturer > Brand > Shade that you are using at the moment. The example below will give you the perfect match to the current brand that you are using. Click view product and it will bring you to purchase site. Subscribe and get it under Monthly SmartDelivery to get it at the promotional price. In case if this is not what you want, within 30 days before your subscription date, you can unsubscribe with our support team and they will be happy to help you to remove the monthly purchase. Register to attend NV makeup Master Class Now!",NA,GBP,0,0,https://schema.org/EventScheduled,RawElegant.Life,2024-03-05T18:30:00Z,2024-03-05T19:10:00Z,(7.30pm Session) Envy Yourself With Beauty Makeup MasterClass,"Have you ever tried a ""BB foundation mist"" before?",https://www.eventbrite.co.uk/e/730pm-session-envy-yourself-with-beauty-makeup-masterclass-tickets-125299312617
